point, dist
1981.000000,0.226752 
2186.000000,0.174053 
1696.000000,0.193635 
2192.000000,0.240341 
1979.000000,0.183174 
2339.000000,0.271512 
2369.000000,0.313350 
2288.000000,0.222303 
2216.000000,0.258753 
6689.000000,0.266821 
6688.000000,0.271951 
6914.000000,0.257726 
1697.000000,0.131904 
1689.000000,0.285077 
1689.000000,0.271769 
1687.000000,0.221630 
5840.000000,0.110121 
5840.000000,0.263669 
6887.000000,0.295488 
8683.000000,0.193830 
8674.000000,0.215162 
8678.000000,0.279600 
8683.000000,0.250863 
1980.000000,0.170835 
1691.000000,0.283696 
1674.000000,0.273714 
1980.000000,0.228522 
7958.000000,0.264240 
7956.000000,0.295399 
9995.000000,0.244952 
9078.000000,0.238859 
8192.000000,0.206051 
2165.000000,0.264740 
1692.000000,0.220830 
1684.000000,0.243767 
7948.000000,0.229289 
7950.000000,0.165664 
7937.000000,0.253701 
7947.000000,0.249103 
2180.000000,0.216899 
2184.000000,0.216089 
2180.000000,0.233226 
2199.000000,0.287504 
2194.000000,0.286525 
2162.000000,0.157980 
1656.000000,0.241750 
1658.000000,0.265113 
2162.000000,0.329965 
7931.000000,0.204492 
7913.000000,0.287314 
7933.000000,0.217686 
9022.000000,0.241715 
9019.000000,0.148243 
9037.000000,0.301113 
9550.000000,0.348501 
9037.000000,0.272065 
9550.000000,0.126269 
9071.000000,0.214424 
6589.000000,0.189519 
2167.000000,0.220303 
1978.000000,0.078869 
2445.000000,0.229412 
2418.000000,0.335433 
2455.000000,0.160046 
7956.000000,0.334150 
7966.000000,0.290826 
2673.000000,0.161049 
6739.000000,0.307679 
2629.000000,0.280906 
2515.000000,0.159145 
9568.000000,0.134190 
9569.000000,0.252711 
8990.000000,0.196538 
9555.000000,0.277655 
7914.000000,0.355128 
9051.000000,0.325796 
7914.000000,0.172439 
2633.000000,0.323364 
2691.000000,0.193637 
9997.000000,0.237454 
7936.000000,0.309475 
9996.000000,0.166531 
9997.000000,0.234922 
9977.000000,0.191481 
9979.000000,0.257437 
7960.000000,0.198264 
7381.000000,0.094643 
8183.000000,0.428151 
8186.000000,0.277657 
8180.000000,0.327573 
