point, dist
9950.000000,0.239127 
9956.000000,0.217360 
9955.000000,0.292161 
871.000000,0.231034 
3521.000000,0.119587 
3497.000000,0.207180 
2101.000000,0.230742 
9956.000000,0.281096 
9554.000000,0.168775 
47.000000,0.302130 
60.000000,0.239493 
6536.000000,0.193274 
5312.000000,0.243755 
565.000000,0.276260 
564.000000,0.264818 
5281.000000,0.349796 
5239.000000,0.182124 
5276.000000,0.315295 
5326.000000,0.273961 
5514.000000,0.391825 
5514.000000,0.201671 
5378.000000,0.199481 
5385.000000,0.313273 
5295.000000,0.221443 
5194.000000,0.201897 
5298.000000,0.238164 
5273.000000,0.151750 
5183.000000,0.184490 
217.000000,0.306753 
5753.000000,0.155323 
5837.000000,0.199528 
825.000000,0.257749 
9600.000000,0.195070 
9582.000000,0.299975 
9589.000000,0.096271 
5724.000000,0.153435 
5901.000000,0.201072 
5736.000000,0.229876 
5691.000000,0.217091 
5631.000000,0.122871 
3458.000000,0.424207 
5592.000000,0.231203 
5602.000000,0.154879 
5628.000000,0.220537 
5713.000000,0.204996 
9456.000000,0.159529 
9457.000000,0.072099 
9445.000000,0.288325 
9585.000000,0.190334 
5457.000000,0.155506 
5439.000000,0.159005 
5390.000000,0.200516 
5486.000000,0.203270 
48.000000,0.292591 
563.000000,0.354104 
5247.000000,0.243504 
5281.000000,0.195040 
5318.000000,0.277478 
3350.000000,0.429057 
5223.000000,0.181369 
5263.000000,0.248298 
672.000000,0.276551 
5203.000000,0.236460 
5328.000000,0.255539 
5338.000000,0.229971 
5293.000000,0.174175 
6644.000000,0.132260 
6602.000000,0.386729 
6618.000000,0.198570 
5852.000000,0.212692 
214.000000,0.351793 
4630.000000,0.347715 
9330.000000,0.146309 
188.000000,0.283522 
509.000000,0.298723 
9812.000000,0.218565 
5846.000000,0.143173 
5906.000000,0.339460 
5857.000000,0.200953 
5173.000000,0.204509 
4561.000000,0.274184 
5407.000000,0.309705 
5172.000000,0.216788 
3278.000000,0.213520 
5291.000000,0.166299 
1432.000000,0.214567 
1432.000000,1.034216 
1411.000000,0.172795 
3464.000000,1.054160 
952.000000,0.299162 
2234.000000,0.220391 
9578.000000,0.252404 
9555.000000,0.178062 
5705.000000,0.235932 
5718.000000,0.137676 
5544.000000,0.321726 
5642.000000,0.216285 
5664.000000,0.192473 
5636.000000,0.337016 
5604.000000,0.160787 
1383.000000,0.270754 
5742.000000,0.160939 
9584.000000,0.093983 
9591.000000,0.092076 
3290.000000,0.217211 
3043.000000,0.735060 
794.000000,0.222084 
1100.000000,0.316014 
597.000000,0.302729 
5339.000000,0.299156 
5228.000000,0.317664 
598.000000,0.374616 
5170.000000,0.204433 
831.000000,0.209333 
1015.000000,0.225964 
8979.000000,0.255352 
5624.000000,0.186516 
9169.000000,0.427852 
9208.000000,1.082179 
9169.000000,1.389297 
9250.000000,1.147670 
9250.000000,0.657361 
9250.000000,0.706812 
9250.000000,0.232410 
9253.000000,0.657219 
9362.000000,0.254446 
6487.000000,0.897297 
6456.000000,1.419263 
6565.000000,1.234517 
6525.000000,0.604902 
6525.000000,1.064880 
6456.000000,0.921581 
5356.000000,0.258563 
5488.000000,0.285747 
6622.000000,0.269486 
6623.000000,0.172757 
6619.000000,0.190661 
35.000000,0.333065 
37.000000,0.316372 
6537.000000,0.155420 
6525.000000,0.330128 
5196.000000,0.215562 
6450.000000,0.178702 
6450.000000,0.938498 
5802.000000,0.241058 
5796.000000,0.240231 
5798.000000,0.239995 
5747.000000,0.130026 
5809.000000,0.266509 
5726.000000,0.304624 
5836.000000,0.154188 
5754.000000,0.260000 
5904.000000,0.221288 
9820.000000,0.173757 
9991.000000,0.152355 
9818.000000,0.201009 
5764.000000,0.295454 
5825.000000,0.197259 
4588.000000,0.241485 
4968.000000,0.333666 
4223.000000,0.306680 
4596.000000,0.232512 
511.000000,0.298933 
4968.000000,0.325151 
282.000000,0.313627 
219.000000,0.309628 
5758.000000,0.188249 
5772.000000,0.245533 
5861.000000,0.244813 
5799.000000,0.198211 
5752.000000,0.201238 
5878.000000,0.165733 
3483.000000,0.465015 
3474.000000,0.404397 
3457.000000,0.417463 
5675.000000,0.183555 
5264.000000,0.170917 
3281.000000,0.107368 
