point, dist
5532.000000,0.300554 
5684.000000,0.341681 
5683.000000,0.277506 
5722.000000,0.267312 
5551.000000,0.227341 
2035.000000,0.050739 
2035.000000,0.232971 
8882.000000,0.330929 
1117.000000,0.174391 
7877.000000,0.163804 
8741.000000,0.239553 
7881.000000,0.281377 
8213.000000,0.094192 
8197.000000,0.233961 
6466.000000,0.187566 
6079.000000,0.250716 
6079.000000,0.255844 
6333.000000,0.239679 
6081.000000,0.234344 
6331.000000,0.263284 
2107.000000,0.284822 
1869.000000,0.186652 
2079.000000,0.193594 
5279.000000,0.187768 
5271.000000,0.228404 
5029.000000,0.243915 
5034.000000,0.303393 
5681.000000,0.159550 
5735.000000,0.289900 
2085.000000,0.255531 
21.000000,0.260667 
5361.000000,0.327497 
5550.000000,0.145269 
5372.000000,0.321498 
5538.000000,0.377387 
5034.000000,0.292431 
5021.000000,0.221395 
5027.000000,0.249852 
6643.000000,0.325785 
6634.000000,0.056021 
6448.000000,0.257686 
2154.000000,1.265295 
2157.000000,1.296273 
3860.000000,1.256354 
1905.000000,0.104874 
7856.000000,0.212344 
2168.000000,0.171988 
7855.000000,0.148116 
7015.000000,0.310023 
7041.000000,0.193571 
7037.000000,0.290788 
7040.000000,0.394491 
2154.000000,1.309625 
6350.000000,0.280280 
6659.000000,0.183681 
6468.000000,0.334690 
6654.000000,0.177841 
6351.000000,0.197681 
6649.000000,0.249249 
6470.000000,0.359998 
5548.000000,0.293401 
5353.000000,0.358586 
5664.000000,0.270117 
5657.000000,0.275188 
7302.000000,0.241859 
7034.000000,0.310555 
7035.000000,0.185403 
8262.000000,0.268595 
7871.000000,0.323712 
7872.000000,0.055328 
7872.000000,0.307698 
8683.000000,0.294752 
8683.000000,0.503100 
8497.000000,0.206704 
9635.000000,0.275534 
9455.000000,0.317718 
9759.000000,0.343115 
9609.000000,0.167073 
9937.000000,0.146350 
9947.000000,0.419894 
9881.000000,0.315287 
8494.000000,0.442142 
11.000000,0.231472 
11.000000,0.257756 
2052.000000,0.240820 
2083.000000,0.286455 
5001.000000,0.292375 
3.000000,0.293604 
5019.000000,0.228819 
5024.000000,0.237794 
5023.000000,0.216845 
3846.000000,0.116384 
2112.000000,0.275175 
5028.000000,0.244033 
5031.000000,0.230253 
5030.000000,0.241785 
5280.000000,0.159409 
5272.000000,0.261839 
5033.000000,0.285753 
5301.000000,0.634291 
4487.000000,0.737472 
5044.000000,0.669148 
5546.000000,0.259201 
3799.000000,0.351575 
2104.000000,0.265772 
2142.000000,0.284104 
3832.000000,0.152118 
2125.000000,0.267526 
2095.000000,0.266574 
3838.000000,0.147180 
5309.000000,0.672172 
5309.000000,0.630009 
5517.000000,0.231199 
5519.000000,0.217800 
5522.000000,0.170191 
5360.000000,0.327991 
2104.000000,0.313527 
2100.000000,0.341666 
1583.000000,0.341353 
9707.000000,0.186393 
9408.000000,0.358090 
9707.000000,0.281490 
4799.000000,0.246174 
4789.000000,0.399648 
4804.000000,0.740919 
5199.000000,0.291688 
5178.000000,0.451152 
5025.000000,0.189807 
2157.000000,0.944878 
2154.000000,0.963114 
6626.000000,0.169405 
6734.000000,0.182330 
6734.000000,0.250076 
6735.000000,0.124853 
6740.000000,0.315356 
6735.000000,0.300099 
2088.000000,0.248738 
2053.000000,0.252294 
5733.000000,0.217379 
2099.000000,0.269031 
1940.000000,0.190494 
7860.000000,0.311145 
8264.000000,0.218243 
8037.000000,0.283602 
8042.000000,0.218635 
1922.000000,0.244795 
7293.000000,0.272126 
7307.000000,0.176758 
6978.000000,0.298421 
6979.000000,0.193829 
7283.000000,0.250354 
3295.000000,0.191078 
1981.000000,0.310786 
8705.000000,0.284302 
8543.000000,0.322362 
8712.000000,0.270658 
8531.000000,0.266306 
6725.000000,0.122131 
6716.000000,0.242239 
6716.000000,0.215240 
2154.000000,1.259727 
1897.000000,0.294755 
1897.000000,0.105659 
6348.000000,0.237019 
6352.000000,0.278244 
6652.000000,0.249241 
6482.000000,0.349587 
6655.000000,0.311475 
6474.000000,0.320825 
6742.000000,0.186954 
6634.000000,0.141632 
5681.000000,0.230588 
7415.000000,0.243052 
7737.000000,0.236975 
7601.000000,0.265858 
7392.000000,0.271603 
7541.000000,0.239629 
7527.000000,0.248331 
6504.000000,0.071549 
6674.000000,0.130491 
6516.000000,0.249691 
7048.000000,0.231837 
7146.000000,0.189178 
7048.000000,0.272954 
6595.000000,0.052049 
1925.000000,0.223118 
8489.000000,0.386985 
1604.000000,0.369959 
9437.000000,0.358315 
9583.000000,0.165543 
9583.000000,0.381940 
9760.000000,0.370533 
9760.000000,0.197733 
9455.000000,0.268404 
7457.000000,0.586181 
7335.000000,0.403569 
7457.000000,0.765855 
4597.000000,1.063767 
7652.000000,0.234031 
4608.000000,0.802039 
4607.000000,1.231778 
4607.000000,0.811596 
9927.000000,0.276804 
9928.000000,0.254001 
9998.000000,0.239915 
9921.000000,0.301851 
9902.000000,0.335475 
9961.000000,0.131758 
8494.000000,0.303102 
8377.000000,0.359431 
8377.000000,0.617233 
8380.000000,0.524742 
8378.000000,0.279374 
2076.000000,0.284060 
23.000000,0.275870 
2061.000000,0.231275 
2093.000000,0.246125 
3795.000000,0.247585 
2100.000000,0.376697 
6381.000000,0.258634 
6665.000000,0.262483 
6369.000000,0.336909 
6665.000000,0.219185 
6671.000000,0.204071 
1294.000000,0.633616 
33.000000,0.327994 
5313.000000,0.356135 
5068.000000,0.389951 
3802.000000,0.192497 
5201.000000,0.210201 
4803.000000,0.304742 
4805.000000,0.363767 
5000.000000,0.381547 
4765.000000,0.149054 
2101.000000,0.282937 
2113.000000,0.260564 
149.000000,0.659657 
138.000000,0.663740 
5301.000000,1.085190 
5176.000000,0.399632 
5362.000000,0.390398 
5529.000000,0.391451 
5524.000000,0.189294 
5348.000000,0.232668 
5350.000000,0.218303 
5630.000000,0.130493 
5472.000000,0.262542 
5340.000000,0.223261 
5474.000000,0.193413 
9371.000000,0.305982 
9373.000000,0.234671 
9514.000000,0.239043 
9374.000000,0.213818 
9514.000000,0.240470 
3844.000000,0.185305 
37.000000,0.284960 
5766.000000,0.208356 
2096.000000,0.317609 
4707.000000,0.270898 
4976.000000,0.206505 
5255.000000,0.272990 
2.000000,0.259154 
4969.000000,0.303109 
2049.000000,0.208108 
4978.000000,0.284362 
4969.000000,0.338039 
5281.000000,0.272080 
5007.000000,0.196630 
5532.000000,0.170772 
9391.000000,0.510332 
4790.000000,0.341442 
9144.000000,0.476456 
5200.000000,0.347910 
4789.000000,0.282866 
4793.000000,0.395238 
5169.000000,0.325849 
5538.000000,0.256206 
5527.000000,0.296504 
5538.000000,0.381658 
5546.000000,0.184847 
5678.000000,0.317250 
5678.000000,0.161866 
5682.000000,0.224558 
5677.000000,0.240673 
3870.000000,0.274592 
9938.000000,0.155554 
9967.000000,0.318105 
9951.000000,0.197092 
8602.000000,0.340588 
8450.000000,0.286814 
8140.000000,0.320037 
8740.000000,0.276727 
6743.000000,0.218642 
6743.000000,0.152586 
6635.000000,0.280984 
6739.000000,0.277580 
6442.000000,0.264416 
6618.000000,0.223029 
6673.000000,0.247153 
6623.000000,0.179986 
6738.000000,0.288952 
8.000000,0.318109 
6011.000000,0.338286 
14.000000,0.263727 
7861.000000,0.212931 
69.000000,0.246886 
7857.000000,0.258399 
57.000000,0.225401 
8141.000000,0.311021 
1879.000000,0.087491 
1890.000000,0.211701 
1885.000000,0.266238 
2154.000000,0.897905 
2154.000000,0.568736 
2154.000000,0.125761 
1868.000000,0.165157 
2159.000000,0.247791 
8037.000000,0.335891 
8043.000000,0.323504 
7777.000000,0.125515 
1948.000000,0.237913 
7778.000000,0.242763 
5592.000000,0.282535 
5402.000000,0.354904 
5161.000000,0.282584 
5588.000000,0.305215 
428.000000,0.659450 
621.000000,1.183126 
575.000000,1.145570 
421.000000,0.689464 
4517.000000,0.293196 
416.000000,1.161263 
4568.000000,0.992413 
455.000000,0.750207 
4521.000000,0.213678 
4530.000000,0.537669 
426.000000,1.084645 
4488.000000,0.851628 
4488.000000,0.876524 
3814.000000,0.102344 
1590.000000,0.218257 
1953.000000,0.251113 
7017.000000,0.406108 
7012.000000,0.376972 
1608.000000,0.235453 
7013.000000,0.282094 
3821.000000,0.200755 
6885.000000,0.262709 
6885.000000,0.335837 
6885.000000,0.316529 
7426.000000,0.229408 
7139.000000,0.203851 
7047.000000,0.222802 
7736.000000,0.239547 
7599.000000,0.287676 
7419.000000,0.269021 
7017.000000,0.328129 
3935.000000,0.256055 
3936.000000,1.242562 
3933.000000,0.642432 
1060.000000,0.217253 
8477.000000,0.233520 
8656.000000,0.257666 
8782.000000,0.132620 
8545.000000,0.124345 
