point, dist
8093.000000,0.131680 
8217.000000,0.069616 
6753.000000,0.286352 
4868.000000,0.166316 
4853.000000,0.159555 
4925.000000,0.171840 
4881.000000,0.198913 
2316.000000,0.080519 
2935.000000,0.134703 
2928.000000,0.095510 
4712.000000,0.190973 
4878.000000,0.195404 
1100.000000,0.046478 
4874.000000,0.123704 
4824.000000,0.189920 
4807.000000,0.153020 
4839.000000,0.068006 
4860.000000,0.102432 
173.000000,0.115945 
177.000000,0.072666 
232.000000,0.137653 
5440.000000,0.133842 
5439.000000,0.123403 
5551.000000,0.164421 
5307.000000,0.078316 
8066.000000,0.073295 
8220.000000,0.054404 
8092.000000,0.047002 
8097.000000,0.101783 
1114.000000,0.124654 
4727.000000,0.156700 
4677.000000,0.197173 
7522.000000,0.084564 
7571.000000,0.139751 
7588.000000,0.101491 
7495.000000,0.114744 
7556.000000,0.074487 
3962.000000,0.086490 
3702.000000,0.131259 
3944.000000,0.238980 
3633.000000,0.118354 
3981.000000,0.122844 
3993.000000,0.153328 
3346.000000,0.271711 
3536.000000,0.140400 
3415.000000,0.282247 
3316.000000,0.143442 
5578.000000,0.209787 
2778.000000,0.181026 
2798.000000,0.227296 
5290.000000,0.106856 
5438.000000,0.166311 
444.000000,0.154439 
6811.000000,0.135767 
8860.000000,0.256526 
6812.000000,0.116392 
9632.000000,0.165018 
9649.000000,0.175555 
9678.000000,0.137090 
74.000000,0.356091 
103.000000,0.342569 
8990.000000,0.255818 
9735.000000,0.082256 
8290.000000,0.200283 
6727.000000,0.157988 
3167.000000,0.156614 
6547.000000,0.158691 
6558.000000,0.180838 
3164.000000,0.154340 
6616.000000,0.178870 
6538.000000,0.118177 
6590.000000,0.167052 
1259.000000,0.252596 
1989.000000,0.245204 
2852.000000,0.262568 
2836.000000,0.182865 
5581.000000,0.270655 
5765.000000,0.290409 
5767.000000,0.265433 
5624.000000,0.260452 
5584.000000,0.217576 
2801.000000,0.269616 
8080.000000,0.103220 
8117.000000,0.084634 
8055.000000,0.108541 
2176.000000,0.075553 
1449.000000,0.216213 
2236.000000,0.081424 
2695.000000,0.206960 
2191.000000,0.077992 
1073.000000,0.063334 
8248.000000,0.117405 
1099.000000,0.096550 
1122.000000,0.110339 
1121.000000,0.043333 
4715.000000,0.178339 
4510.000000,0.104377 
4703.000000,0.128896 
7701.000000,0.086403 
7679.000000,0.124147 
3374.000000,0.285406 
3281.000000,0.144877 
7226.000000,0.115455 
3033.000000,0.144762 
3034.000000,0.143605 
6953.000000,0.285030 
7240.000000,0.150629 
7723.000000,0.100523 
7284.000000,0.160778 
7268.000000,0.153524 
2147.000000,0.063445 
3061.000000,0.071228 
3068.000000,0.225310 
3090.000000,0.083645 
7622.000000,0.135780 
7540.000000,0.097816 
7706.000000,0.082160 
7885.000000,0.084916 
7054.000000,0.115043 
7917.000000,0.125339 
1732.000000,0.194797 
1716.000000,0.196891 
1724.000000,0.183910 
1796.000000,0.204113 
1872.000000,0.204945 
1833.000000,0.205263 
1473.000000,0.234671 
1451.000000,0.206765 
1807.000000,0.218253 
1790.000000,0.223489 
5576.000000,0.206412 
2768.000000,0.134790 
5493.000000,0.115142 
1952.000000,0.209710 
1766.000000,0.204423 
1770.000000,0.203046 
1640.000000,0.210861 
4662.000000,0.139165 
4672.000000,0.204694 
4699.000000,0.148460 
8200.000000,0.217070 
8638.000000,0.231022 
7666.000000,0.113007 
7064.000000,0.140235 
7668.000000,0.099502 
1557.000000,0.141256 
3541.000000,0.291189 
3482.000000,0.299075 
3527.000000,0.113520 
3870.000000,0.257967 
4160.000000,0.136576 
4155.000000,0.133673 
7229.000000,0.120889 
7555.000000,0.112403 
6467.000000,0.142373 
