point, dist
8358.000000,0.088449 
7438.000000,0.122275 
5334.000000,0.261050 
7550.000000,0.094100 
5256.000000,0.265953 
7589.000000,0.208442 
7590.000000,0.205384 
8140.000000,0.168610 
7657.000000,0.143292 
8403.000000,0.118560 
3285.000000,0.206661 
8351.000000,0.070030 
3303.000000,0.167372 
3362.000000,0.213567 
3334.000000,0.176055 
3212.000000,0.166896 
7450.000000,0.162529 
7575.000000,0.093085 
7519.000000,0.138415 
1965.000000,0.186452 
834.000000,0.136257 
2035.000000,0.137344 
1773.000000,0.195140 
8774.000000,0.115188 
8954.000000,0.096397 
6993.000000,0.155207 
8679.000000,0.100361 
8741.000000,0.052060 
5261.000000,0.259894 
5232.000000,0.271416 
5429.000000,0.279817 
529.000000,0.154079 
530.000000,0.187630 
45.000000,0.139509 
1457.000000,0.177965 
7000.000000,0.116458 
7045.000000,0.101495 
6984.000000,0.090232 
5575.000000,0.281774 
2376.000000,0.201457 
8832.000000,0.115455 
5329.000000,0.262713 
3129.000000,0.180184 
3021.000000,0.129945 
3003.000000,0.219765 
4999.000000,0.152421 
3195.000000,0.169351 
4879.000000,0.136010 
8328.000000,0.252282 
8349.000000,0.061300 
5816.000000,0.457412 
4086.000000,0.244814 
4786.000000,0.134073 
4959.000000,0.219787 
4770.000000,0.168298 
5040.000000,0.143438 
589.000000,0.152217 
324.000000,0.189102 
2912.000000,0.130694 
3063.000000,0.142258 
3000.000000,0.154096 
7338.000000,0.101955 
7310.000000,0.107523 
7392.000000,0.078600 
7538.000000,0.086452 
6291.000000,0.215330 
6273.000000,0.227637 
3728.000000,0.137943 
8019.000000,0.125973 
8089.000000,0.133252 
8052.000000,0.204257 
8109.000000,0.141528 
8092.000000,0.160099 
2824.000000,0.156539 
7523.000000,0.124986 
7463.000000,0.073061 
8508.000000,0.125712 
8384.000000,0.101154 
8362.000000,0.140281 
9041.000000,0.120236 
9181.000000,0.050569 
9096.000000,0.223592 
512.000000,0.184608 
7423.000000,0.108988 
7367.000000,0.089736 
7319.000000,0.120971 
7377.000000,0.164807 
7315.000000,0.122139 
7347.000000,0.127319 
7305.000000,0.073753 
7283.000000,0.147947 
7426.000000,0.098865 
7552.000000,0.154308 
3760.000000,0.148059 
3722.000000,0.134636 
3865.000000,0.153960 
9956.000000,0.119311 
9810.000000,0.118172 
9950.000000,0.101930 
9539.000000,0.122015 
9543.000000,0.196746 
9667.000000,0.065931 
9673.000000,0.084268 
4010.000000,0.166944 
3684.000000,0.169554 
4048.000000,0.144140 
8788.000000,0.116501 
4402.000000,0.188165 
8927.000000,0.174360 
4455.000000,0.154862 
4581.000000,0.154638 
4733.000000,0.142573 
4313.000000,0.147118 
3911.000000,0.165877 
3904.000000,0.172341 
6515.000000,0.289691 
6521.000000,0.277536 
3264.000000,0.151279 
3306.000000,0.148215 
3217.000000,0.214296 
4968.000000,0.142789 
4803.000000,0.177732 
5088.000000,0.199162 
7531.000000,0.052843 
7544.000000,0.147309 
7514.000000,0.145300 
1758.000000,0.159935 
1948.000000,0.154776 
1959.000000,0.165089 
1596.000000,0.158340 
1613.000000,0.168757 
1544.000000,0.131678 
1604.000000,0.154003 
1683.000000,0.139019 
7634.000000,0.123490 
7586.000000,0.243072 
8688.000000,0.128378 
8901.000000,0.116574 
8759.000000,0.107621 
8676.000000,0.093922 
8859.000000,0.108374 
8642.000000,0.064326 
8592.000000,0.117511 
8770.000000,0.045369 
5365.000000,0.269607 
7350.000000,0.148157 
1222.000000,0.184070 
40.000000,0.139339 
7163.000000,0.133474 
7136.000000,0.107930 
7243.000000,0.140096 
7150.000000,0.129938 
7030.000000,0.120921 
7011.000000,0.061866 
7220.000000,0.118435 
