point, dist
9822.000000,0.358069 
9820.000000,0.390054 
9822.000000,0.383979 
9826.000000,0.313427 
9820.000000,0.422609 
9815.000000,0.212611 
9815.000000,0.363610 
9826.000000,0.673039 
9826.000000,0.201819 
9833.000000,0.273953 
9824.000000,0.241156 
9818.000000,0.555108 
9913.000000,0.338592 
9915.000000,0.435429 
9913.000000,0.258179 
9916.000000,0.507892 
9918.000000,0.265436 
9917.000000,0.365148 
1135.000000,0.373538 
1164.000000,0.385776 
1135.000000,0.385163 
4721.000000,0.261272 
4721.000000,0.232974 
1137.000000,0.251261 
4845.000000,0.215310 
1139.000000,0.359909 
9915.000000,0.420150 
9915.000000,0.256959 
9842.000000,0.449006 
9836.000000,0.211340 
9836.000000,0.450514 
4713.000000,0.290876 
1174.000000,0.604257 
1190.000000,0.219059 
1174.000000,0.399872 
1165.000000,0.471251 
9834.000000,0.280287 
9907.000000,0.331146 
9834.000000,0.479540 
9907.000000,0.336223 
9907.000000,0.453644 
9834.000000,0.591724 
9824.000000,0.337786 
930.000000,0.716278 
945.000000,0.879878 
930.000000,0.384303 
945.000000,0.300716 
5420.000000,0.426324 
648.000000,0.722314 
5420.000000,0.304329 
648.000000,1.223122 
4686.000000,0.538765 
4686.000000,0.414016 
4659.000000,0.428143 
9908.000000,0.360364 
4686.000000,0.337251 
4662.000000,0.531224 
1137.000000,0.391445 
4395.000000,0.414495 
4540.000000,0.559885 
4567.000000,0.581822 
4542.000000,0.220339 
4533.000000,0.351783 
4533.000000,0.456817 
6419.000000,0.338496 
1139.000000,0.328722 
9912.000000,0.301347 
9910.000000,0.320463 
9872.000000,0.554572 
9911.000000,0.356830 
9914.000000,0.386307 
4716.000000,0.398483 
4679.000000,0.404247 
1167.000000,0.381630 
1088.000000,0.661105 
1686.000000,0.698230 
1084.000000,0.747374 
1616.000000,0.788457 
1616.000000,0.897855 
1795.000000,0.801755 
3545.000000,0.591980 
9736.000000,0.326586 
9732.000000,0.302136 
9909.000000,0.230015 
9818.000000,0.241183 
7101.000000,0.378602 
7049.000000,0.283311 
7049.000000,0.666216 
7101.000000,0.711973 
3905.000000,0.354636 
3915.000000,0.431887 
3915.000000,0.194714 
945.000000,0.675115 
9532.000000,0.814097 
916.000000,0.784455 
847.000000,0.747996 
984.000000,0.689770 
5756.000000,0.321646 
5756.000000,0.455308 
6154.000000,0.533695 
984.000000,0.587034 
916.000000,0.753928 
4662.000000,0.276117 
4599.000000,0.656439 
4533.000000,0.242938 
4533.000000,0.304813 
9918.000000,0.489350 
9896.000000,0.493998 
3692.000000,0.290846 
3726.000000,0.191571 
3731.000000,0.188965 
9818.000000,0.252339 
1136.000000,0.323448 
1211.000000,0.618422 
8978.000000,0.230593 
1204.000000,0.507827 
9916.000000,0.214385 
4736.000000,0.628633 
4723.000000,0.449807 
4723.000000,0.171974 
4386.000000,0.320681 
4521.000000,0.266478 
4429.000000,0.320633 
4386.000000,0.418443 
4570.000000,0.273514 
4541.000000,0.198815 
4540.000000,0.193010 
