point, dist
9989.000000,0.433419 
9989.000000,0.237649 
9990.000000,0.322197 
9990.000000,0.465309 
9974.000000,0.303795 
9974.000000,0.446641 
9996.000000,0.310461 
9995.000000,0.428405 
9996.000000,0.239546 
9992.000000,0.369918 
9994.000000,0.345967 
9993.000000,0.278687 
9958.000000,0.308050 
9932.000000,0.358063 
9995.000000,0.290542 
2987.000000,0.716680 
3461.000000,0.696125 
2282.000000,0.721102 
3461.000000,0.692084 
9994.000000,0.263740 
9962.000000,0.176257 
9962.000000,0.569607 
37.000000,0.460445 
9895.000000,0.348747 
13.000000,0.353036 
4782.000000,0.352569 
12.000000,0.594299 
12.000000,0.355531 
9895.000000,0.423055 
9978.000000,0.406971 
9983.000000,0.187856 
9990.000000,0.514839 
9998.000000,0.339206 
9999.000000,0.261357 
4769.000000,0.307857 
53.000000,0.507912 
4767.000000,0.305882 
3643.000000,0.346623 
4689.000000,0.458637 
4673.000000,0.235237 
4777.000000,0.185057 
9927.000000,0.554459 
9917.000000,0.616674 
9915.000000,0.305758 
2962.000000,0.781376 
5753.000000,0.691815 
5753.000000,0.339050 
5753.000000,0.748409 
4741.000000,0.302431 
4732.000000,0.298627 
4732.000000,0.336650 
4683.000000,0.371818 
4652.000000,0.323085 
4655.000000,0.301824 
4984.000000,0.450897 
4906.000000,0.342776 
5851.000000,0.482602 
6046.000000,0.314009 
9617.000000,0.544547 
6046.000000,0.323678 
9925.000000,0.308153 
9921.000000,0.402950 
9922.000000,0.523638 
1778.000000,0.705980 
9617.000000,0.790896 
5084.000000,1.209300 
3733.000000,0.209868 
3783.000000,0.461638 
3733.000000,0.458518 
3733.000000,0.405667 
3749.000000,0.475592 
3749.000000,0.408524 
9917.000000,0.229687 
3686.000000,0.392335 
3686.000000,0.227069 
8663.000000,0.351956 
9990.000000,0.390272 
9998.000000,0.327999 
9997.000000,0.231971 
9983.000000,0.549882 
9981.000000,0.368204 
9999.000000,0.341234 
9915.000000,0.295862 
9915.000000,0.292065 
4768.000000,0.295871 
38.000000,0.446838 
9924.000000,0.276455 
4605.000000,0.303883 
6335.000000,0.465132 
6335.000000,0.375264 
5845.000000,0.518575 
9610.000000,0.474263 
9610.000000,0.567121 
5742.000000,0.395832 
3602.000000,0.149702 
3591.000000,0.387854 
9829.000000,0.349235 
3591.000000,0.622879 
4906.000000,0.478212 
5181.000000,0.504662 
5181.000000,0.163591 
5851.000000,0.469868 
9933.000000,0.349118 
9938.000000,0.447398 
9933.000000,0.406317 
9929.000000,0.202431 
9929.000000,0.497023 
3585.000000,0.188423 
4095.000000,0.238658 
4095.000000,0.560565 
8967.000000,0.534358 
8967.000000,0.225661 
8770.000000,0.374523 
8718.000000,0.578620 
3689.000000,0.296275 
7954.000000,0.697501 
7576.000000,0.403081 
7576.000000,0.725255 
7954.000000,0.304553 
7481.000000,0.782920 
7989.000000,0.381533 
7989.000000,0.678129 
7481.000000,0.499366 
7722.000000,0.352894 
7299.000000,0.507751 
7299.000000,0.321131 
9475.000000,0.511847 
2417.000000,0.295869 
2417.000000,0.468097 
9473.000000,0.314544 
9473.000000,0.480221 
6924.000000,0.321453 
4000.000000,0.648459 
7020.000000,0.496110 
9951.000000,0.274972 
9951.000000,0.271314 
9951.000000,0.429894 
9962.000000,0.418301 
13.000000,0.395654 
14.000000,0.195464 
9976.000000,0.586292 
3616.000000,0.436084 
4054.000000,0.472838 
3668.000000,0.581416 
9993.000000,0.222326 
3783.000000,0.159831 
3783.000000,0.386800 
9924.000000,0.317803 
9908.000000,0.379355 
9927.000000,0.334199 
8663.000000,0.232867 
9997.000000,0.504233 
9998.000000,0.457194 
9978.000000,0.319588 
4337.000000,0.291799 
4336.000000,0.422256 
3513.000000,0.445290 
7026.000000,0.387729 
7026.000000,0.197890 
6924.000000,0.261031 
7020.000000,0.284803 
34.000000,0.530836 
4771.000000,0.308054 
34.000000,0.324795 
9915.000000,0.309432 
4864.000000,0.506524 
4795.000000,0.375255 
4772.000000,0.323163 
4777.000000,0.419902 
4779.000000,0.365177 
7161.000000,0.461428 
7170.000000,0.397175 
7064.000000,0.394635 
6267.000000,1.323418 
6412.000000,1.773092 
6478.000000,1.795098 
6267.000000,1.371278 
6431.000000,1.356790 
9463.000000,0.386108 
9463.000000,0.716051 
9471.000000,0.277144 
9475.000000,0.106624 
4038.000000,0.345371 
9472.000000,0.299850 
9475.000000,0.350513 
6468.000000,0.933318 
6544.000000,0.839499 
6544.000000,0.818534 
4824.000000,0.916595 
2975.000000,0.938799 
3113.000000,0.809594 
3394.000000,0.799138 
3394.000000,0.880154 
2598.000000,0.697576 
2886.000000,0.656460 
2598.000000,0.727414 
2750.000000,0.767255 
2575.000000,0.679168 
3604.000000,0.436112 
3604.000000,0.472182 
3608.000000,0.301111 
42.000000,0.552376 
4775.000000,0.312771 
36.000000,0.436930 
4769.000000,0.326610 
4767.000000,0.235404 
4773.000000,0.646486 
4771.000000,0.521808 
4650.000000,0.292057 
4650.000000,0.482560 
4633.000000,0.440271 
4647.000000,0.536359 
4756.000000,0.280316 
4720.000000,0.372110 
4683.000000,0.175258 
4997.000000,0.292737 
4637.000000,0.341441 
4739.000000,0.401289 
4708.000000,0.150238 
4637.000000,0.280650 
5241.000000,0.715450 
5512.000000,0.651324 
5241.000000,0.433595 
5241.000000,0.430100 
5736.000000,0.384849 
5084.000000,0.333999 
5102.000000,0.236027 
5102.000000,0.365218 
573.000000,0.906843 
573.000000,0.796869 
573.000000,0.906229 
954.000000,0.902488 
941.000000,0.812738 
1203.000000,0.931800 
1639.000000,1.234383 
1778.000000,0.743116 
1778.000000,1.235537 
5851.000000,0.290242 
5851.000000,0.396078 
5120.000000,0.714039 
9910.000000,0.473828 
9925.000000,0.350538 
9910.000000,0.434202 
9916.000000,0.232563 
3778.000000,0.231940 
9932.000000,0.530014 
9937.000000,0.461706 
9932.000000,0.210695 
3633.000000,0.415735 
3633.000000,0.415900 
3633.000000,0.385377 
9918.000000,0.469461 
9918.000000,0.308575 
9909.000000,0.400157 
1004.000000,0.856664 
3605.000000,0.350680 
3605.000000,0.263154 
1004.000000,0.840929 
9922.000000,0.164807 
3741.000000,0.451830 
3766.000000,0.383361 
9916.000000,0.251002 
45.000000,0.219765 
45.000000,0.415608 
21.000000,0.376266 
3598.000000,0.560934 
3606.000000,0.565183 
3606.000000,0.437309 
3962.000000,1.658169 
7151.000000,0.265168 
3968.000000,0.295976 
9831.000000,0.367614 
7093.000000,0.444429 
3965.000000,0.578900 
7093.000000,0.332891 
3625.000000,0.415254 
8231.000000,0.474706 
