point, dist
4869.000000,0.446769 
6789.000000,0.393109 
6789.000000,0.360885 
4870.000000,0.351546 
3168.000000,0.325020 
3327.000000,0.374630 
3303.000000,0.260897 
3374.000000,0.188309 
3374.000000,0.530452 
3333.000000,0.465593 
3296.000000,0.271237 
3328.000000,0.412140 
4496.000000,0.383473 
4497.000000,0.420238 
7705.000000,0.264351 
428.000000,0.109548 
440.000000,0.299424 
498.000000,0.281382 
320.000000,0.251791 
3526.000000,0.426407 
3333.000000,0.497730 
3387.000000,0.164843 
3396.000000,0.300451 
3303.000000,0.233550 
3374.000000,0.292791 
3367.000000,0.219491 
3327.000000,0.318660 
3296.000000,0.312225 
3366.000000,0.505575 
869.000000,0.266783 
1194.000000,0.206300 
1192.000000,0.377409 
869.000000,0.398209 
3296.000000,0.266925 
1004.000000,0.417878 
713.000000,0.242965 
1004.000000,0.271351 
4502.000000,0.422460 
4629.000000,0.419348 
4502.000000,0.283856 
4505.000000,0.371807 
3153.000000,0.249939 
3329.000000,0.389772 
3097.000000,0.364429 
3329.000000,0.279361 
923.000000,0.342844 
939.000000,0.300943 
939.000000,0.337348 
7495.000000,0.407191 
7495.000000,0.191792 
7338.000000,0.235982 
3754.000000,0.168504 
3794.000000,0.601239 
3750.000000,0.315891 
3764.000000,0.331016 
9662.000000,0.396708 
9662.000000,0.322664 
9654.000000,0.331282 
1146.000000,0.237604 
3094.000000,0.265703 
3396.000000,0.288197 
3166.000000,0.312608 
2403.000000,0.292666 
2311.000000,0.410571 
2276.000000,0.262996 
2234.000000,0.478612 
3299.000000,0.624801 
2070.000000,0.336659 
2030.000000,0.230039 
2038.000000,0.153089 
2911.000000,0.228439 
3182.000000,0.328009 
3084.000000,0.481020 
3182.000000,0.470841 
3537.000000,0.392941 
3598.000000,0.259892 
3537.000000,0.300690 
7806.000000,0.421426 
7805.000000,0.374275 
7806.000000,0.347920 
7842.000000,0.375923 
962.000000,0.395034 
960.000000,0.315097 
959.000000,0.316282 
961.000000,0.392769 
9321.000000,0.416765 
9457.000000,0.296064 
9434.000000,0.313854 
4622.000000,0.281540 
4611.000000,0.279907 
3151.000000,0.266782 
3119.000000,0.251060 
3336.000000,0.357227 
3170.000000,0.311447 
3175.000000,0.548376 
2873.000000,0.428391 
3251.000000,0.282399 
3384.000000,0.390204 
3362.000000,0.345485 
3362.000000,0.338720 
2924.000000,0.401424 
3141.000000,0.246008 
2746.000000,0.370548 
2787.000000,0.300071 
2846.000000,0.352417 
2869.000000,0.388950 
1009.000000,0.236024 
4505.000000,0.469400 
4625.000000,0.362415 
1008.000000,0.400652 
1207.000000,0.287291 
1038.000000,0.262695 
6885.000000,0.314545 
6819.000000,0.279641 
6839.000000,0.284571 
7904.000000,0.445999 
7904.000000,0.281127 
9946.000000,0.337020 
6847.000000,0.257728 
9961.000000,0.268378 
4608.000000,0.217826 
9956.000000,0.377457 
1603.000000,0.346835 
1850.000000,0.278841 
1862.000000,0.345099 
1844.000000,0.345589 
1193.000000,0.298109 
1197.000000,0.409257 
873.000000,0.363711 
873.000000,0.319460 
911.000000,0.348160 
7872.000000,0.266774 
7894.000000,0.204653 
7888.000000,0.242628 
7927.000000,0.493016 
4505.000000,0.357326 
8042.000000,0.552974 
8039.000000,0.553460 
1977.000000,0.475050 
1977.000000,0.678816 
9666.000000,0.200628 
1791.000000,0.189131 
1736.000000,0.291757 
1773.000000,0.179653 
1764.000000,0.476832 
936.000000,0.325507 
1244.000000,0.136606 
1156.000000,0.229521 
1155.000000,0.255996 
9324.000000,0.437327 
9326.000000,0.403582 
9326.000000,0.447226 
9328.000000,0.446554 
1109.000000,0.249834 
1135.000000,0.462865 
1255.000000,0.272912 
1109.000000,0.415091 
9559.000000,0.395232 
9555.000000,0.289589 
9534.000000,0.244738 
9544.000000,0.245969 
9507.000000,0.311559 
9496.000000,0.263750 
9524.000000,0.285399 
7331.000000,0.361271 
7331.000000,0.308559 
7538.000000,0.340789 
7538.000000,0.242761 
7290.000000,0.260508 
7485.000000,0.385566 
7310.000000,0.309293 
7043.000000,0.202777 
7068.000000,0.417653 
7068.000000,0.340769 
7310.000000,0.335266 
7305.000000,0.206561 
7334.000000,0.377864 
7531.000000,0.271163 
7522.000000,0.479442 
7258.000000,0.443922 
7238.000000,0.337049 
7554.000000,0.232876 
169.000000,0.224464 
7670.000000,0.283889 
208.000000,0.380445 
144.000000,0.121530 
9647.000000,0.112618 
9642.000000,0.279778 
1331.000000,0.253528 
9668.000000,0.311387 
9671.000000,0.366207 
7876.000000,0.208945 
7892.000000,0.376730 
7928.000000,0.365300 
7869.000000,0.314885 
7508.000000,0.497374 
7635.000000,0.377791 
7580.000000,0.216607 
2505.000000,0.197795 
2375.000000,0.202631 
2451.000000,0.388112 
2335.000000,0.420241 
2172.000000,0.274440 
2343.000000,0.431589 
2164.000000,0.317406 
2366.000000,0.206928 
2343.000000,0.379272 
2338.000000,0.309995 
2457.000000,0.283571 
2374.000000,0.450968 
2687.000000,0.162971 
2489.000000,0.298156 
2586.000000,0.159042 
2720.000000,0.303429 
2489.000000,0.393578 
3750.000000,0.392426 
6816.000000,0.363860 
6808.000000,0.203672 
6795.000000,0.297898 
6883.000000,0.468049 
958.000000,0.357463 
2598.000000,0.366642 
2375.000000,0.314107 
2373.000000,0.382195 
1234.000000,0.220781 
1148.000000,0.218574 
1149.000000,0.292497 
1147.000000,0.468447 
941.000000,0.442827 
1147.000000,0.251725 
943.000000,0.347343 
942.000000,0.215989 
943.000000,0.303241 
2153.000000,0.319521 
2098.000000,0.225112 
2124.000000,0.237253 
2018.000000,0.407153 
1987.000000,0.380424 
2179.000000,0.226635 
2107.000000,0.378369 
2107.000000,0.266768 
3619.000000,0.448704 
3307.000000,0.475846 
3578.000000,0.347694 
3209.000000,0.281610 
3212.000000,0.187994 
3106.000000,0.282919 
3117.000000,0.414834 
3117.000000,0.301003 
3195.000000,0.140265 
3070.000000,0.503345 
2884.000000,0.275659 
2989.000000,0.386817 
2721.000000,0.632148 
2715.000000,0.398245 
2205.000000,0.354127 
2293.000000,0.362315 
2236.000000,0.208671 
2496.000000,0.227242 
2273.000000,0.231062 
2223.000000,0.276570 
2190.000000,0.303955 
2229.000000,0.311119 
2130.000000,0.421680 
2100.000000,0.193795 
1251.000000,0.339956 
951.000000,0.290514 
950.000000,0.420128 
2475.000000,0.188115 
2509.000000,0.148225 
2712.000000,0.537273 
2436.000000,0.409042 
2475.000000,0.496327 
2711.000000,0.286920 
2257.000000,0.336796 
2228.000000,0.351376 
3604.000000,0.558646 
3663.000000,0.462873 
3593.000000,0.313124 
3605.000000,0.256127 
3515.000000,0.293315 
3832.000000,0.318681 
3151.000000,0.645682 
8166.000000,0.683364 
3368.000000,0.291122 
3368.000000,0.200961 
3310.000000,0.243218 
3457.000000,0.388815 
3301.000000,0.400461 
2487.000000,0.373621 
2485.000000,0.220672 
2446.000000,0.319073 
2502.000000,0.383405 
2478.000000,0.306527 
9907.000000,0.356572 
7787.000000,0.379835 
7787.000000,0.385903 
4458.000000,0.346812 
4451.000000,0.438728 
4318.000000,0.346338 
