point, dist
9725.000000,0.211092 
92.000000,0.130756 
79.000000,0.145406 
109.000000,0.193639 
1665.000000,0.351593 
1286.000000,0.269504 
1665.000000,0.117667 
1231.000000,0.260006 
1626.000000,0.240764 
9634.000000,0.173148 
147.000000,0.228016 
9619.000000,0.193421 
165.000000,0.204348 
3142.000000,0.200964 
3141.000000,0.118675 
4233.000000,0.188740 
3059.000000,0.124006 
3087.000000,0.190900 
5361.000000,0.151356 
5046.000000,0.141497 
5032.000000,0.146050 
5295.000000,0.148529 
6114.000000,0.216721 
6092.000000,0.243777 
6211.000000,0.253894 
6155.000000,0.298883 
3102.000000,0.189121 
3106.000000,0.253150 
3073.000000,0.121824 
3015.000000,0.196416 
3108.000000,0.166650 
2061.000000,0.221348 
1393.000000,0.177987 
1377.000000,0.220056 
1401.000000,0.233985 
1341.000000,0.190353 
4877.000000,0.257002 
4862.000000,0.291251 
2889.000000,0.316181 
2685.000000,0.277255 
4803.000000,0.263081 
2711.000000,0.319260 
2679.000000,0.286313 
4950.000000,0.234591 
5113.000000,0.146440 
5109.000000,0.190088 
4892.000000,0.220006 
3149.000000,0.153141 
4266.000000,0.180022 
3134.000000,0.191428 
9478.000000,0.219303 
9496.000000,0.228371 
9511.000000,0.230961 
4278.000000,0.185533 
6483.000000,0.182443 
6479.000000,0.214792 
6484.000000,0.159294 
5929.000000,0.203283 
5876.000000,0.212669 
5944.000000,0.287062 
2079.000000,0.168141 
1979.000000,0.234698 
2071.000000,0.111118 
1899.000000,0.203805 
4494.000000,0.185762 
4771.000000,0.318333 
4152.000000,0.175558 
4491.000000,0.223290 
4498.000000,0.162676 
4185.000000,0.193961 
4159.000000,0.195343 
2278.000000,0.183244 
2364.000000,0.184120 
2106.000000,0.233174 
2007.000000,0.208063 
3107.000000,0.174476 
4379.000000,0.217366 
2180.000000,0.190993 
1949.000000,0.198681 
2164.000000,0.365437 
7567.000000,0.409517 
2695.000000,0.289524 
4808.000000,0.284780 
2690.000000,0.285870 
2687.000000,0.277856 
5444.000000,0.163596 
5525.000000,0.139154 
5029.000000,0.283189 
2649.000000,0.178689 
2464.000000,0.306061 
1881.000000,0.184519 
1880.000000,0.138571 
1927.000000,0.165729 
7574.000000,0.392887 
1244.000000,0.268227 
1022.000000,0.238324 
1248.000000,0.298832 
946.000000,0.239788 
998.000000,0.185137 
1919.000000,0.331991 
1902.000000,0.249736 
5057.000000,0.170159 
5087.000000,0.184782 
5157.000000,0.153927 
144.000000,0.162968 
9562.000000,0.163589 
9231.000000,0.251102 
9398.000000,0.242529 
9571.000000,0.139321 
9397.000000,0.226199 
4268.000000,0.190844 
9655.000000,0.157971 
9664.000000,0.196349 
1592.000000,0.255153 
1544.000000,0.248878 
3282.000000,0.073871 
9408.000000,0.262279 
9413.000000,0.245315 
4197.000000,0.173079 
3129.000000,0.131800 
3139.000000,0.191182 
7101.000000,0.182375 
7033.000000,0.175380 
7073.000000,0.205957 
3426.000000,0.200656 
887.000000,0.179180 
310.000000,0.172003 
786.000000,0.163549 
378.000000,0.210477 
9067.000000,0.257232 
4009.000000,0.169050 
8653.000000,0.108810 
7810.000000,0.390489 
6105.000000,0.265077 
4991.000000,0.247216 
4831.000000,0.252166 
4995.000000,0.289409 
4767.000000,0.264847 
2874.000000,0.213533 
2811.000000,0.235586 
2861.000000,0.286461 
2780.000000,0.308253 
4194.000000,0.186656 
2988.000000,0.141197 
2985.000000,0.170080 
9544.000000,0.244671 
9156.000000,0.228639 
2948.000000,0.082942 
4715.000000,0.157490 
2992.000000,0.170801 
7997.000000,0.309146 
7590.000000,0.375704 
8018.000000,0.210311 
6584.000000,0.175195 
4649.000000,0.149775 
4728.000000,0.108205 
4599.000000,0.158389 
4473.000000,0.184765 
6558.000000,0.231914 
4597.000000,0.173944 
4469.000000,0.215822 
9848.000000,0.163870 
9895.000000,0.178055 
4537.000000,0.151846 
7804.000000,0.405272 
5683.000000,0.206461 
5557.000000,0.209618 
5607.000000,0.149307 
4797.000000,0.273279 
4870.000000,0.255562 
4838.000000,0.255621 
5016.000000,0.227517 
4859.000000,0.269658 
4810.000000,0.242719 
3750.000000,0.267039 
3752.000000,0.291923 
3649.000000,0.315076 
3753.000000,0.280705 
9975.000000,0.291032 
3462.000000,0.181344 
3395.000000,0.303358 
9992.000000,0.298554 
883.000000,0.190524 
3546.000000,0.177525 
3539.000000,0.244785 
1988.000000,0.236681 
2022.000000,0.184951 
2062.000000,0.140179 
2118.000000,0.128941 
2109.000000,0.241842 
1801.000000,0.118960 
2033.000000,0.246008 
970.000000,0.191061 
997.000000,0.132578 
959.000000,0.126107 
764.000000,0.076703 
954.000000,0.127991 
958.000000,0.116895 
943.000000,0.167253 
4897.000000,0.253263 
5458.000000,0.209336 
5466.000000,0.153288 
7598.000000,0.391581 
2798.000000,0.236179 
2540.000000,0.154145 
2260.000000,0.140930 
2150.000000,0.160512 
7670.000000,0.421766 
7663.000000,0.403207 
7584.000000,0.411267 
4319.000000,0.246194 
4316.000000,0.211672 
4100.000000,0.130062 
4335.000000,0.174752 
4356.000000,0.205211 
4435.000000,0.127693 
9057.000000,0.202368 
4047.000000,0.142103 
4443.000000,0.168953 
9018.000000,0.239650 
8892.000000,0.241298 
9004.000000,0.227365 
4373.000000,0.197237 
4372.000000,0.173415 
4351.000000,0.183076 
4134.000000,0.212382 
4464.000000,0.174533 
4465.000000,0.211251 
4348.000000,0.218357 
9218.000000,0.212423 
9405.000000,0.221235 
4310.000000,0.218454 
123.000000,0.188694 
9656.000000,0.187978 
9492.000000,0.240943 
9472.000000,0.223228 
9507.000000,0.216396 
2242.000000,0.143671 
2334.000000,0.155335 
2361.000000,0.152074 
3253.000000,0.055933 
4291.000000,0.184178 
9553.000000,0.213055 
8825.000000,0.316755 
9279.000000,0.372464 
9080.000000,0.328000 
9287.000000,0.386445 
8958.000000,0.236195 
8889.000000,0.250441 
8982.000000,0.223142 
99.000000,0.120608 
9441.000000,0.247631 
9595.000000,0.250537 
9279.000000,0.200680 
9423.000000,0.253763 
9602.000000,0.203524 
9137.000000,0.241636 
9136.000000,0.135410 
142.000000,0.220083 
9622.000000,0.190334 
153.000000,0.164513 
9623.000000,0.186939 
6745.000000,0.165195 
6921.000000,0.219866 
6691.000000,0.112077 
6973.000000,0.188906 
415.000000,0.231511 
487.000000,0.145231 
477.000000,0.245796 
421.000000,0.234994 
346.000000,0.193974 
276.000000,0.253000 
796.000000,0.149289 
469.000000,0.173845 
440.000000,0.203445 
265.000000,0.195149 
8916.000000,0.247566 
8963.000000,0.230899 
8948.000000,0.251836 
8885.000000,0.224142 
4349.000000,0.187966 
4482.000000,0.125133 
9001.000000,0.226400 
9007.000000,0.218770 
9003.000000,0.223992 
6145.000000,0.247214 
5926.000000,0.357159 
5926.000000,0.165650 
7349.000000,0.139929 
7098.000000,0.219499 
7043.000000,0.194923 
7082.000000,0.174297 
4225.000000,0.169652 
4457.000000,0.171205 
4205.000000,0.165204 
4957.000000,0.223181 
5011.000000,0.222804 
6646.000000,0.376070 
6379.000000,0.277630 
7376.000000,0.141193 
3492.000000,0.161266 
7319.000000,0.156422 
7354.000000,0.197448 
7038.000000,0.172619 
7142.000000,0.231822 
7389.000000,0.206315 
7311.000000,0.169146 
7092.000000,0.188269 
2462.000000,0.203782 
2660.000000,0.241662 
2471.000000,0.192607 
2915.000000,0.257744 
2797.000000,0.268472 
2754.000000,0.258660 
2833.000000,0.235999 
4901.000000,0.250883 
4818.000000,0.259290 
4960.000000,0.211121 
4914.000000,0.216595 
3043.000000,0.161451 
1115.000000,0.187473 
2993.000000,0.168494 
1150.000000,0.115750 
1092.000000,0.103685 
1164.000000,0.079134 
7614.000000,0.400320 
6497.000000,0.176873 
4529.000000,0.161643 
6862.000000,0.112258 
6764.000000,0.178917 
4529.000000,0.103174 
4535.000000,0.098697 
6391.000000,0.109456 
6409.000000,0.104702 
6427.000000,0.211501 
6480.000000,0.176597 
6748.000000,0.214788 
4548.000000,0.164328 
9821.000000,0.185054 
9893.000000,0.162556 
9875.000000,0.187398 
9824.000000,0.280796 
9820.000000,0.235367 
3687.000000,0.274736 
9754.000000,0.407705 
3709.000000,0.200697 
9747.000000,0.384831 
9773.000000,0.397148 
3357.000000,0.206186 
6842.000000,0.089681 
6592.000000,0.108967 
5032.000000,0.421915 
167.000000,0.196077 
8221.000000,0.264916 
7700.000000,0.389775 
5296.000000,0.241241 
5333.000000,0.198764 
8229.000000,0.291483 
7718.000000,0.398582 
8045.000000,0.072346 
8123.000000,0.130731 
8031.000000,0.073956 
8183.000000,0.101771 
7547.000000,0.404764 
7494.000000,0.418323 
8336.000000,0.174645 
8257.000000,0.204027 
8531.000000,0.156982 
8368.000000,0.160029 
8497.000000,0.282703 
181.000000,0.285793 
7515.000000,0.394657 
4801.000000,0.283770 
3034.000000,0.169366 
2276.000000,0.176649 
1825.000000,0.154134 
2124.000000,0.232023 
2814.000000,0.244207 
2493.000000,0.241224 
2904.000000,0.213929 
4898.000000,0.226756 
4924.000000,0.235078 
5264.000000,0.140941 
2662.000000,0.301485 
2612.000000,0.123694 
2605.000000,0.148193 
3115.000000,0.120056 
4413.000000,0.165609 
3120.000000,0.247082 
4414.000000,0.262512 
2766.000000,0.263805 
4878.000000,0.267655 
2975.000000,0.242724 
4157.000000,0.174498 
4570.000000,0.218455 
3744.000000,0.328955 
3635.000000,0.260925 
3628.000000,0.245247 
9807.000000,0.207558 
9970.000000,0.320745 
3406.000000,0.306921 
3399.000000,0.303401 
3464.000000,0.180488 
3505.000000,0.234935 
3461.000000,0.214973 
3559.000000,0.255382 
3397.000000,0.294015 
9762.000000,0.390263 
3409.000000,0.300127 
3353.000000,0.269632 
1932.000000,0.196900 
2068.000000,0.084427 
4368.000000,0.179583 
4367.000000,0.174601 
