point, dist
6641.000000,0.212755 
6623.000000,0.220866 
6587.000000,0.173373 
6355.000000,0.232501 
3637.000000,0.127490 
3270.000000,0.171700 
3358.000000,0.110143 
3570.000000,0.258290 
3291.000000,0.131128 
6389.000000,0.258310 
7039.000000,0.248162 
7034.000000,0.263931 
7077.000000,0.160320 
3266.000000,0.207063 
3275.000000,0.267975 
3356.000000,0.397104 
8381.000000,0.058139 
2956.000000,0.279827 
7002.000000,0.156885 
7316.000000,0.228881 
7111.000000,0.166627 
7249.000000,0.126459 
7152.000000,0.159678 
4284.000000,0.299774 
4530.000000,0.259257 
2623.000000,0.263303 
4757.000000,0.288656 
9798.000000,0.284766 
547.000000,0.257907 
555.000000,0.187630 
9800.000000,0.310088 
612.000000,0.292543 
9794.000000,0.305207 
1376.000000,0.138186 
1377.000000,0.155449 
5738.000000,0.102311 
1389.000000,0.150728 
9544.000000,0.123016 
9560.000000,0.234348 
9531.000000,0.187632 
6381.000000,0.281499 
6416.000000,0.177572 
6528.000000,0.218846 
6598.000000,0.189336 
7755.000000,0.563387 
7758.000000,0.576562 
8007.000000,0.471226 
6770.000000,0.375581 
4509.000000,0.247836 
4513.000000,0.249608 
4555.000000,0.246724 
4554.000000,0.282100 
6621.000000,0.131567 
6715.000000,0.173406 
6728.000000,0.135038 
6784.000000,0.097728 
8596.000000,0.184861 
9788.000000,0.324140 
355.000000,0.214466 
3629.000000,0.356162 
7796.000000,0.586989 
8499.000000,0.280852 
7178.000000,0.243113 
7240.000000,0.156617 
31.000000,0.202322 
31.000000,0.525286 
8990.000000,0.256337 
8938.000000,0.324109 
8944.000000,0.297234 
4505.000000,0.269145 
9909.000000,0.293982 
4030.000000,0.308942 
4287.000000,0.257598 
4528.000000,0.245024 
4306.000000,0.172845 
4298.000000,0.234668 
4355.000000,0.137017 
4318.000000,0.195592 
6002.000000,0.126475 
5932.000000,0.212578 
5996.000000,0.184498 
4068.000000,0.146346 
7225.000000,0.226705 
7174.000000,0.212086 
512.000000,0.174744 
617.000000,0.178391 
1951.000000,0.197494 
566.000000,0.236041 
9772.000000,0.296607 
9773.000000,0.285417 
9799.000000,0.324950 
9795.000000,0.299632 
6651.000000,0.165116 
6642.000000,0.182289 
6517.000000,0.206181 
1289.000000,0.194515 
1376.000000,0.155144 
1016.000000,0.236131 
5398.000000,0.168669 
5711.000000,0.107852 
5712.000000,0.159220 
5704.000000,0.162602 
6195.000000,0.325453 
6229.000000,0.342612 
5709.000000,0.097612 
5509.000000,0.246759 
5463.000000,0.118076 
5455.000000,0.150365 
5833.000000,0.112848 
5371.000000,0.208124 
5824.000000,0.115403 
5436.000000,0.120114 
5456.000000,0.226502 
5725.000000,0.116082 
5484.000000,0.146973 
5452.000000,0.244196 
4563.000000,0.229196 
4571.000000,0.194889 
4558.000000,0.242694 
4511.000000,0.228212 
4749.000000,0.238583 
4751.000000,0.259811 
4979.000000,0.136537 
4928.000000,0.191367 
5060.000000,0.226147 
4981.000000,0.207126 
6816.000000,0.119809 
6851.000000,0.228152 
112.000000,0.268383 
210.000000,0.254438 
6428.000000,0.201695 
6560.000000,0.128740 
6481.000000,0.206364 
7080.000000,0.170091 
6691.000000,0.172714 
7094.000000,0.183806 
6384.000000,0.251444 
6649.000000,0.195575 
6729.000000,0.430744 
7727.000000,0.574131 
7100.000000,0.150119 
6998.000000,0.186900 
7210.000000,0.175698 
6966.000000,0.160597 
1595.000000,0.130912 
5771.000000,0.232682 
3280.000000,0.556382 
8158.000000,0.088520 
8169.000000,0.109888 
4005.000000,0.163339 
3938.000000,0.111489 
8171.000000,0.183135 
8321.000000,0.049796 
553.000000,0.275476 
586.000000,0.247961 
9787.000000,0.328587 
9767.000000,0.273479 
9791.000000,0.285937 
366.000000,0.261468 
502.000000,0.232759 
409.000000,0.230749 
622.000000,0.246095 
269.000000,0.294755 
518.000000,0.200937 
370.000000,0.183986 
414.000000,0.204549 
350.000000,0.195282 
587.000000,0.205396 
7830.000000,0.585390 
4282.000000,0.279195 
4475.000000,0.319239 
3604.000000,0.162049 
3840.000000,0.181000 
3916.000000,0.218364 
3763.000000,0.270378 
3959.000000,0.190615 
3298.000000,0.227598 
3165.000000,0.287298 
3467.000000,0.254516 
3459.000000,0.268341 
3487.000000,0.205543 
3920.000000,0.310429 
7813.000000,0.588731 
4399.000000,0.248767 
8310.000000,0.150328 
8318.000000,0.124409 
8173.000000,0.418039 
8227.000000,0.199517 
8556.000000,0.078861 
8233.000000,0.433798 
8440.000000,0.157024 
8274.000000,0.160153 
8297.000000,0.070061 
8361.000000,0.129778 
8578.000000,0.132064 
8577.000000,0.195114 
8464.000000,0.183138 
8456.000000,0.121710 
8379.000000,0.225666 
8362.000000,0.104443 
8285.000000,0.077353 
8536.000000,0.171562 
8317.000000,0.041310 
8537.000000,0.047076 
8543.000000,0.051482 
8503.000000,0.092290 
8513.000000,0.148097 
14.000000,0.277342 
17.000000,0.237883 
57.000000,0.276534 
1019.000000,0.167875 
1025.000000,0.200325 
1022.000000,0.180451 
8641.000000,0.200345 
4795.000000,0.122974 
4481.000000,0.243955 
4546.000000,0.211045 
5350.000000,0.208664 
7930.000000,0.575471 
4962.000000,0.401253 
4878.000000,0.202519 
4668.000000,0.132102 
4882.000000,0.209582 
5057.000000,0.135854 
4748.000000,0.160887 
4993.000000,0.138526 
4184.000000,0.297527 
9882.000000,0.293474 
9877.000000,0.282874 
3853.000000,0.286679 
3852.000000,0.288056 
4023.000000,0.266503 
9872.000000,0.290947 
9884.000000,0.308959 
4420.000000,0.213191 
9867.000000,0.317467 
9873.000000,0.254716 
4421.000000,0.190420 
4018.000000,0.256370 
4393.000000,0.198197 
5896.000000,0.114607 
3911.000000,0.230733 
3909.000000,0.197587 
3931.000000,0.181396 
4007.000000,0.139191 
3906.000000,0.174808 
3887.000000,0.235549 
3691.000000,0.112132 
3636.000000,0.134650 
9919.000000,0.306280 
2622.000000,0.286621 
2004.000000,0.282968 
4164.000000,0.174169 
5940.000000,0.214065 
4172.000000,0.121095 
4103.000000,0.120292 
4127.000000,0.136336 
5885.000000,0.066716 
6009.000000,0.235608 
3366.000000,0.207721 
3351.000000,0.230861 
3328.000000,0.217465 
9924.000000,0.311971 
3406.000000,0.345878 
9940.000000,0.311133 
4518.000000,0.255707 
9765.000000,0.289095 
124.000000,0.198027 
159.000000,0.198475 
7439.000000,0.160145 
243.000000,0.287326 
524.000000,0.225427 
20.000000,0.255689 
9805.000000,0.303507 
3.000000,0.269637 
97.000000,0.282125 
6474.000000,0.275698 
6280.000000,0.297229 
6256.000000,0.294951 
6215.000000,0.332748 
6144.000000,0.315523 
6070.000000,0.262684 
6091.000000,0.260744 
6046.000000,0.277980 
5663.000000,0.228420 
6052.000000,0.268368 
6074.000000,0.289603 
6162.000000,0.306099 
7489.000000,0.145255 
7207.000000,0.199720 
7524.000000,0.156002 
7133.000000,0.101301 
6876.000000,0.103091 
6932.000000,0.165448 
6783.000000,0.226339 
7795.000000,0.563101 
8155.000000,0.456735 
3269.000000,0.151634 
3599.000000,0.101271 
3562.000000,0.285163 
348.000000,0.176844 
354.000000,0.191775 
405.000000,0.280772 
2139.000000,0.185917 
2077.000000,0.146484 
2021.000000,0.191541 
2080.000000,0.209784 
5361.000000,0.116353 
5199.000000,0.189679 
5162.000000,0.195421 
5173.000000,0.182008 
5098.000000,0.201284 
5244.000000,0.190890 
4967.000000,0.254442 
5291.000000,0.139176 
5430.000000,0.095210 
5787.000000,0.107580 
5449.000000,0.224846 
5445.000000,0.169484 
5458.000000,0.216739 
5409.000000,0.239296 
6227.000000,0.290329 
6073.000000,0.323668 
6078.000000,0.266870 
6267.000000,0.293206 
6268.000000,0.284894 
6282.000000,0.348435 
6284.000000,0.283023 
6128.000000,0.287740 
6204.000000,0.271938 
6360.000000,0.315556 
6432.000000,0.270082 
6164.000000,0.264332 
5741.000000,0.300315 
6118.000000,0.349347 
6104.000000,0.273372 
6090.000000,0.267697 
6062.000000,0.279297 
6968.000000,0.154107 
6961.000000,0.232549 
6780.000000,0.245629 
6501.000000,0.136508 
6633.000000,0.187396 
6734.000000,0.110401 
6675.000000,0.158565 
6705.000000,0.240342 
6618.000000,0.165130 
6801.000000,0.220167 
6272.000000,0.277186 
6065.000000,0.258423 
6120.000000,0.329612 
6150.000000,0.271729 
5690.000000,0.199910 
5783.000000,0.188834 
5615.000000,0.212459 
5541.000000,0.124032 
5789.000000,0.162144 
5696.000000,0.192231 
5404.000000,0.229281 
5794.000000,0.197461 
5714.000000,0.216116 
5813.000000,0.190015 
5528.000000,0.283759 
9942.000000,0.268877 
4293.000000,0.270671 
4440.000000,0.323406 
1849.000000,0.267060 
4605.000000,0.145718 
4680.000000,0.141466 
4961.000000,0.153085 
4768.000000,0.225403 
5000.000000,0.111416 
5051.000000,0.156391 
4743.000000,0.178613 
5020.000000,0.102398 
6110.000000,0.290911 
6028.000000,0.322809 
7963.000000,0.597774 
5577.000000,0.255123 
5616.000000,0.540433 
5621.000000,0.213522 
6155.000000,0.288582 
6677.000000,0.207649 
217.000000,0.222280 
607.000000,0.181749 
1888.000000,0.199084 
477.000000,0.162339 
541.000000,0.151149 
1916.000000,0.150142 
1941.000000,0.154306 
67.000000,0.302206 
9828.000000,0.296333 
64.000000,0.274597 
68.000000,0.342005 
9696.000000,0.162407 
9695.000000,0.237829 
9704.000000,0.197244 
403.000000,0.261033 
