point, dist
9441.000000,0.283773 
9464.000000,0.133287 
9432.000000,0.181891 
7390.000000,0.382543 
7461.000000,0.409182 
7460.000000,0.401027 
8263.000000,0.229054 
5808.000000,0.123597 
5984.000000,0.256164 
5812.000000,0.293159 
1285.000000,0.207281 
1307.000000,0.245453 
1542.000000,0.313667 
1293.000000,0.213232 
9500.000000,0.269037 
9522.000000,0.300403 
9490.000000,0.232384 
7713.000000,0.321400 
7743.000000,0.302495 
8269.000000,0.197710 
6402.000000,0.080218 
7361.000000,0.377800 
6523.000000,0.237915 
6523.000000,0.254247 
7457.000000,0.458466 
2609.000000,0.153299 
2419.000000,0.305191 
2644.000000,0.285226 
2689.000000,0.225218 
1069.000000,0.364228 
1072.000000,0.272512 
1230.000000,0.247332 
1236.000000,0.314744 
1392.000000,0.273685 
1299.000000,0.301118 
1282.000000,0.280710 
4143.000000,0.233632 
4080.000000,0.268213 
4152.000000,0.185370 
4070.000000,0.195453 
4129.000000,0.186917 
331.000000,0.275536 
334.000000,0.345728 
513.000000,0.335351 
318.000000,0.343840 
1388.000000,0.220013 
984.000000,0.216859 
1339.000000,0.331397 
494.000000,0.258607 
317.000000,0.395839 
7456.000000,0.457717 
7295.000000,0.514829 
5762.000000,0.307243 
5601.000000,0.385774 
7392.000000,0.438070 
5771.000000,0.186004 
7395.000000,0.421206 
8261.000000,0.253356 
410.000000,0.247463 
7693.000000,0.447963 
1995.000000,0.362649 
1954.000000,0.256875 
16.000000,0.347972 
23.000000,0.322527 
7.000000,0.355720 
9802.000000,0.400209 
376.000000,0.123515 
5890.000000,0.169447 
6014.000000,0.081806 
5780.000000,0.159694 
5963.000000,0.123774 
5970.000000,0.314030 
5750.000000,0.274986 
5913.000000,0.128232 
5766.000000,0.196415 
5816.000000,0.230969 
6473.000000,0.182918 
7542.000000,0.434791 
7548.000000,0.471997 
6223.000000,0.340048 
7537.000000,0.403237 
7534.000000,0.447143 
7588.000000,0.398595 
7206.000000,0.290582 
7232.000000,0.124098 
7207.000000,0.219521 
7502.000000,0.406752 
6522.000000,0.224077 
7324.000000,0.415316 
7490.000000,0.421195 
7443.000000,0.467970 
7488.000000,0.496934 
1226.000000,0.289203 
1017.000000,0.277940 
1046.000000,0.263099 
1456.000000,0.325047 
1455.000000,0.376400 
1014.000000,0.329447 
7675.000000,0.411359 
2238.000000,0.315305 
7305.000000,0.289921 
7673.000000,0.428526 
7321.000000,0.365403 
7323.000000,0.476894 
7642.000000,0.446072 
2404.000000,0.360157 
7657.000000,0.489206 
7643.000000,0.440809 
2634.000000,0.345874 
2644.000000,0.369801 
2447.000000,0.199678 
2662.000000,0.200633 
7669.000000,0.487334 
2163.000000,0.276264 
7660.000000,0.490807 
6604.000000,0.176872 
6835.000000,0.213078 
7045.000000,0.313021 
6972.000000,0.248928 
1351.000000,0.249802 
1352.000000,0.311722 
1351.000000,0.276302 
1014.000000,0.254181 
1018.000000,0.200783 
1015.000000,0.233861 
1259.000000,0.250638 
1173.000000,0.247045 
1138.000000,0.290799 
1260.000000,0.158155 
1151.000000,0.245161 
9185.000000,0.351666 
9210.000000,0.317057 
9050.000000,0.321922 
1227.000000,0.257300 
1446.000000,0.217480 
1779.000000,0.230823 
1568.000000,0.210690 
1265.000000,0.177726 
1782.000000,0.190057 
1565.000000,0.247220 
1709.000000,0.193095 
5354.000000,0.283643 
5322.000000,0.183396 
4020.000000,0.264822 
4011.000000,0.190406 
4020.000000,0.343560 
4002.000000,0.058170 
9816.000000,0.242626 
7313.000000,0.434518 
7314.000000,0.357817 
9819.000000,0.324423 
1428.000000,0.221329 
1762.000000,0.269354 
1428.000000,0.284417 
1406.000000,0.213795 
4276.000000,0.228978 
4137.000000,0.296854 
4329.000000,0.327151 
4307.000000,0.279919 
2935.000000,0.221366 
2847.000000,0.240588 
2923.000000,0.236830 
3115.000000,0.311176 
3047.000000,0.237228 
3128.000000,0.361605 
3288.000000,0.219975 
3141.000000,0.292895 
3141.000000,0.338174 
3129.000000,0.283144 
3322.000000,0.306741 
3623.000000,0.184955 
3685.000000,0.221433 
3630.000000,0.111373 
985.000000,0.256732 
982.000000,0.246020 
938.000000,0.224566 
9446.000000,0.247326 
519.000000,0.219761 
483.000000,0.287111 
575.000000,0.326293 
548.000000,0.227457 
490.000000,0.149771 
552.000000,0.274235 
5997.000000,0.083643 
5859.000000,0.172836 
5844.000000,0.143065 
5769.000000,0.110747 
5918.000000,0.070599 
7458.000000,0.505723 
5814.000000,0.299980 
5778.000000,0.180385 
5714.000000,0.256758 
7233.000000,0.265746 
7203.000000,0.131867 
7231.000000,0.164114 
7204.000000,0.206368 
7228.000000,0.203846 
7363.000000,0.310605 
4447.000000,0.347312 
7616.000000,0.465977 
9728.000000,0.336443 
9722.000000,0.376729 
9743.000000,0.304573 
281.000000,0.363758 
9727.000000,0.380014 
311.000000,0.306434 
232.000000,0.339524 
231.000000,0.373568 
52.000000,0.292752 
69.000000,0.261892 
104.000000,0.263029 
9755.000000,0.327565 
237.000000,0.305732 
9725.000000,0.355498 
222.000000,0.348922 
218.000000,0.279962 
578.000000,0.188237 
505.000000,0.186089 
509.000000,0.175758 
406.000000,0.381678 
15.000000,0.334376 
13.000000,0.399258 
9554.000000,0.399123 
9569.000000,0.408204 
174.000000,0.245021 
9571.000000,0.467974 
6572.000000,0.253313 
6534.000000,0.235212 
6508.000000,0.288483 
6584.000000,0.323842 
6556.000000,0.348390 
20.000000,0.247500 
219.000000,0.335814 
188.000000,0.203046 
186.000000,0.272787 
4.000000,0.388405 
183.000000,0.379519 
6541.000000,0.357791 
187.000000,0.369589 
200.000000,0.199955 
9426.000000,0.277062 
6453.000000,0.334529 
6435.000000,0.340724 
172.000000,0.241967 
9796.000000,0.358139 
176.000000,0.369939 
197.000000,0.352636 
9588.000000,0.226794 
13.000000,0.246226 
10.000000,0.299813 
94.000000,0.135057 
141.000000,0.116102 
294.000000,0.334590 
298.000000,0.319813 
298.000000,0.317672 
14.000000,0.373790 
301.000000,0.394121 
11.000000,0.347050 
9723.000000,0.305958 
9733.000000,0.360997 
1032.000000,0.213385 
1037.000000,0.253491 
1035.000000,0.204395 
5936.000000,0.159139 
1569.000000,0.182187 
5597.000000,0.291079 
5758.000000,0.217272 
5798.000000,0.141987 
5721.000000,0.234179 
1897.000000,0.292559 
1971.000000,0.199223 
2066.000000,0.235154 
375.000000,0.230999 
500.000000,0.138306 
526.000000,0.226872 
506.000000,0.059455 
7547.000000,0.404455 
7544.000000,0.438871 
7577.000000,0.464797 
7511.000000,0.467724 
8315.000000,0.156662 
7439.000000,0.447217 
5475.000000,0.304884 
5405.000000,0.325894 
5390.000000,0.311117 
5433.000000,0.317561 
5731.000000,0.120602 
5800.000000,0.267574 
8064.000000,0.250594 
8095.000000,0.201011 
8061.000000,0.090395 
8047.000000,0.196176 
1335.000000,0.297982 
7684.000000,0.435722 
7255.000000,0.333019 
2570.000000,0.273986 
2620.000000,0.165653 
2544.000000,0.271146 
2693.000000,0.204439 
2488.000000,0.230024 
7657.000000,0.436309 
7622.000000,0.405107 
7638.000000,0.534815 
7601.000000,0.464442 
7625.000000,0.420671 
2380.000000,0.248851 
2375.000000,0.297361 
2677.000000,0.169543 
7599.000000,0.457012 
2640.000000,0.219605 
2696.000000,0.302016 
2689.000000,0.277580 
2654.000000,0.324516 
9440.000000,0.220343 
9420.000000,0.205331 
9416.000000,0.234543 
9429.000000,0.248246 
8911.000000,0.356488 
8646.000000,0.224870 
8900.000000,0.335132 
2643.000000,0.363964 
2660.000000,0.380668 
7562.000000,0.592840 
7561.000000,0.430815 
8043.000000,0.128896 
8091.000000,0.152170 
8094.000000,0.099016 
7432.000000,0.418526 
7259.000000,0.366212 
7417.000000,0.383680 
7403.000000,0.431809 
7467.000000,0.392670 
7928.000000,0.142790 
7935.000000,0.158075 
8160.000000,0.199629 
8276.000000,0.172468 
2890.000000,0.259583 
2862.000000,0.173520 
7385.000000,0.407876 
7398.000000,0.403420 
7464.000000,0.450560 
5029.000000,0.190109 
7075.000000,0.235276 
5028.000000,0.260995 
4238.000000,0.246346 
1111.000000,0.279537 
9166.000000,0.315690 
1121.000000,0.315209 
1338.000000,0.157394 
1419.000000,0.184060 
1224.000000,0.247447 
1414.000000,0.158899 
1195.000000,0.284045 
1204.000000,0.259079 
1198.000000,0.204411 
1541.000000,0.325005 
1584.000000,0.254959 
1579.000000,0.177662 
8362.000000,0.140018 
8243.000000,0.148801 
8349.000000,0.142465 
8478.000000,0.128686 
7606.000000,0.413472 
8288.000000,0.180496 
8228.000000,0.178523 
7724.000000,0.308244 
1398.000000,0.156464 
9189.000000,0.296894 
9172.000000,0.270153 
9203.000000,0.240560 
1164.000000,0.236664 
676.000000,0.184491 
1163.000000,0.220139 
1283.000000,0.222834 
1268.000000,0.273900 
1262.000000,0.218457 
1401.000000,0.144024 
1270.000000,0.312020 
1311.000000,0.237226 
942.000000,0.259606 
1258.000000,0.215509 
1139.000000,0.301492 
1246.000000,0.169900 
1109.000000,0.225612 
9180.000000,0.319885 
707.000000,0.198681 
1076.000000,0.278796 
8556.000000,0.305335 
1078.000000,0.326329 
8561.000000,0.161419 
1080.000000,0.203484 
1448.000000,0.354926 
5286.000000,0.261158 
1707.000000,0.291395 
5344.000000,0.211970 
3870.000000,0.330448 
3870.000000,0.247557 
3999.000000,0.242937 
7923.000000,0.184453 
7072.000000,0.168661 
7087.000000,0.354222 
7315.000000,0.358141 
7300.000000,0.250013 
6986.000000,0.244802 
7431.000000,0.442620 
7389.000000,0.451796 
4354.000000,0.368251 
9820.000000,0.299135 
9823.000000,0.344074 
7328.000000,0.387153 
1433.000000,0.279975 
1324.000000,0.240401 
1414.000000,0.237546 
1323.000000,0.162614 
7230.000000,0.265612 
9832.000000,0.401920 
9825.000000,0.329517 
6823.000000,0.278030 
9818.000000,0.350691 
4224.000000,0.245367 
4241.000000,0.195933 
7006.000000,0.388503 
9821.000000,0.236159 
7199.000000,0.286844 
7189.000000,0.290764 
7191.000000,0.268963 
7226.000000,0.245254 
874.000000,0.302294 
7200.000000,0.190121 
7220.000000,0.219473 
7211.000000,0.239089 
9895.000000,0.264149 
6787.000000,0.399812 
6766.000000,0.391407 
6783.000000,0.335441 
6787.000000,0.369482 
9903.000000,0.377978 
6760.000000,0.321225 
6773.000000,0.306207 
6799.000000,0.331703 
6774.000000,0.281067 
4151.000000,0.190836 
4171.000000,0.258787 
6766.000000,0.404232 
4494.000000,0.118295 
4803.000000,0.303834 
4836.000000,0.177680 
4081.000000,0.205517 
4120.000000,0.133296 
7197.000000,0.206491 
7215.000000,0.216761 
4298.000000,0.216922 
4125.000000,0.315712 
4252.000000,0.183463 
4244.000000,0.094084 
5515.000000,0.321639 
5590.000000,0.310117 
5563.000000,0.335389 
5539.000000,0.297465 
5410.000000,0.260776 
6776.000000,0.344269 
9881.000000,0.378565 
6777.000000,0.331652 
9869.000000,0.396040 
2688.000000,0.297378 
2706.000000,0.387718 
2686.000000,0.355656 
7608.000000,0.407312 
4478.000000,0.346041 
7647.000000,0.382311 
2753.000000,0.299637 
2646.000000,0.189347 
2959.000000,0.308433 
2869.000000,0.297017 
2889.000000,0.354290 
2988.000000,0.378039 
2943.000000,0.281988 
3031.000000,0.360067 
3035.000000,0.356663 
2969.000000,0.352114 
2781.000000,0.294617 
2893.000000,0.324395 
2876.000000,0.404024 
2780.000000,0.248062 
3026.000000,0.294220 
2904.000000,0.344783 
2759.000000,0.314680 
2798.000000,0.268197 
2549.000000,0.221617 
2653.000000,0.320620 
2798.000000,0.345764 
2639.000000,0.402035 
2697.000000,0.378975 
2836.000000,0.301764 
2754.000000,0.241687 
3040.000000,0.274811 
3019.000000,0.350809 
2997.000000,0.344050 
3078.000000,0.253827 
3052.000000,0.300627 
3053.000000,0.370974 
3349.000000,0.277664 
3724.000000,0.217375 
3793.000000,0.224691 
3796.000000,0.272211 
1098.000000,0.319218 
1099.000000,0.313785 
1125.000000,0.267895 
1048.000000,0.210062 
1278.000000,0.271994 
914.000000,0.228959 
969.000000,0.196776 
1275.000000,0.192359 
9409.000000,0.220149 
9408.000000,0.157958 
9231.000000,0.257277 
9244.000000,0.327096 
9178.000000,0.305625 
9233.000000,0.277182 
9182.000000,0.284718 
926.000000,0.196523 
1286.000000,0.238540 
1298.000000,0.198069 
931.000000,0.352056 
908.000000,0.201457 
913.000000,0.227485 
906.000000,0.292731 
911.000000,0.271740 
952.000000,0.201630 
1318.000000,0.235314 
1381.000000,0.331953 
1450.000000,0.311193 
