point, dist
7.000000,0.246711 
89.000000,0.228621 
109.000000,0.211195 
9299.000000,0.143685 
9287.000000,0.258822 
424.000000,0.223573 
9300.000000,0.332930 
304.000000,0.237831 
9289.000000,0.234374 
8673.000000,0.270232 
8636.000000,0.217011 
8606.000000,0.290745 
3941.000000,1.198669 
3735.000000,1.268203 
3973.000000,1.192858 
3733.000000,1.257124 
3143.000000,0.238790 
2456.000000,0.341932 
2499.000000,0.083381 
3401.000000,0.209882 
3300.000000,0.120317 
3401.000000,0.304487 
8604.000000,0.278254 
7944.000000,0.258914 
5785.000000,0.230802 
8098.000000,0.271520 
7987.000000,0.197010 
7999.000000,0.257927 
8002.000000,0.254531 
278.000000,0.168417 
1204.000000,0.280176 
1208.000000,0.281436 
1573.000000,0.200710 
1352.000000,0.310390 
1351.000000,0.247497 
1748.000000,0.309213 
1751.000000,0.448941 
7766.000000,0.441442 
7730.000000,0.441650 
7704.000000,0.467601 
7927.000000,0.312172 
4609.000000,0.348049 
4258.000000,0.600382 
4411.000000,0.165990 
1339.000000,0.263082 
1155.000000,0.324125 
1313.000000,0.388403 
1488.000000,0.342431 
1259.000000,0.221134 
3137.000000,0.221243 
2442.000000,0.348067 
1634.000000,0.355034 
304.000000,0.072292 
1932.000000,0.303688 
3320.000000,0.282711 
3320.000000,0.148330 
1666.000000,0.374271 
1337.000000,0.288744 
8675.000000,0.258539 
8387.000000,0.735156 
1257.000000,0.241301 
1254.000000,0.271656 
1308.000000,0.334802 
4457.000000,0.167401 
4417.000000,0.173342 
4438.000000,0.224957 
4756.000000,0.183992 
7545.000000,0.814958 
7592.000000,0.780035 
7653.000000,0.854988 
7572.000000,0.865433 
277.000000,0.106460 
275.000000,0.142874 
275.000000,0.102361 
349.000000,0.182180 
403.000000,0.237772 
14.000000,0.230982 
2057.000000,0.401246 
1678.000000,0.420162 
1521.000000,0.340258 
1353.000000,0.272463 
1527.000000,0.148523 
7995.000000,0.365869 
8252.000000,0.323260 
7981.000000,0.303325 
2111.000000,0.330772 
8267.000000,0.293479 
2194.000000,0.357781 
2617.000000,1.267355 
2160.000000,1.138979 
2115.000000,1.154797 
1833.000000,0.440178 
2273.000000,0.197546 
1692.000000,0.649808 
1846.000000,0.485367 
2046.000000,0.313863 
2783.000000,0.292420 
2727.000000,0.291812 
4469.000000,0.281640 
3190.000000,0.241426 
3339.000000,0.078829 
3316.000000,0.302722 
3643.000000,0.126195 
1543.000000,1.143263 
1548.000000,0.204651 
5747.000000,0.874167 
5497.000000,0.860098 
5579.000000,0.857559 
8194.000000,0.790942 
8195.000000,0.763998 
3378.000000,0.187184 
3351.000000,0.210047 
3319.000000,0.198794 
3310.000000,0.227826 
3340.000000,0.216277 
8063.000000,0.205772 
8126.000000,0.201541 
8129.000000,0.173123 
9273.000000,0.299572 
423.000000,0.300966 
221.000000,0.496643 
2437.000000,0.358697 
2507.000000,0.606729 
277.000000,0.260998 
413.000000,0.226767 
80.000000,0.256993 
239.000000,0.816899 
2148.000000,0.338844 
2100.000000,0.397237 
2102.000000,0.323370 
2042.000000,0.402969 
1727.000000,1.049667 
2252.000000,1.081415 
2109.000000,1.348575 
2223.000000,1.155696 
1754.000000,0.991944 
2216.000000,1.015437 
8040.000000,0.264101 
8042.000000,0.375798 
8036.000000,0.323748 
7636.000000,0.783086 
7547.000000,0.844859 
7464.000000,0.835161 
7601.000000,0.809384 
7415.000000,0.744251 
1772.000000,0.324876 
1311.000000,0.287316 
8241.000000,0.325446 
8269.000000,0.355834 
9511.000000,0.159927 
9803.000000,0.141218 
9672.000000,0.310026 
9512.000000,0.174890 
1435.000000,0.199784 
1487.000000,0.221717 
1583.000000,0.216746 
4642.000000,0.356562 
4577.000000,0.217266 
4475.000000,0.271917 
4874.000000,0.209116 
4640.000000,0.321150 
8099.000000,0.266499 
8085.000000,0.314537 
8031.000000,0.310090 
8097.000000,0.329520 
8096.000000,0.301940 
7985.000000,0.207011 
7977.000000,0.250769 
8100.000000,0.337185 
7976.000000,0.169166 
6047.000000,0.193836 
5582.000000,1.283458 
5466.000000,1.359048 
5646.000000,1.379835 
7310.000000,0.777557 
7350.000000,0.872064 
7271.000000,0.758723 
6785.000000,0.218324 
6863.000000,0.158153 
7110.000000,0.496623 
7054.000000,0.318848 
1639.000000,0.191213 
7093.000000,0.246369 
6412.000000,0.417868 
6484.000000,0.498611 
6530.000000,0.560755 
6449.000000,0.480485 
1477.000000,0.746539 
1329.000000,0.298959 
5419.000000,1.313650 
5620.000000,1.359481 
5440.000000,1.287766 
1432.000000,0.311585 
1431.000000,0.361925 
1306.000000,0.284499 
1432.000000,0.243143 
1239.000000,0.266199 
1430.000000,0.270943 
1139.000000,0.322222 
1246.000000,0.236170 
6008.000000,1.238556 
5863.000000,1.272198 
5963.000000,1.168123 
5918.000000,1.139406 
5984.000000,1.147510 
6067.000000,1.520998 
6229.000000,1.596537 
5957.000000,1.676302 
7206.000000,0.862510 
7156.000000,0.845961 
7178.000000,0.791349 
7247.000000,0.821238 
7323.000000,0.813886 
7019.000000,0.994899 
7157.000000,0.798041 
7176.000000,0.877746 
7894.000000,0.951871 
7626.000000,0.878281 
7505.000000,0.797102 
7411.000000,0.804609 
7576.000000,0.853421 
7583.000000,0.853227 
7633.000000,0.872609 
404.000000,0.776685 
595.000000,0.756206 
669.000000,1.552378 
2272.000000,0.324128 
2178.000000,0.298936 
1816.000000,0.524871 
1909.000000,0.522597 
7320.000000,0.801282 
7221.000000,0.848743 
1364.000000,0.332351 
1529.000000,0.188111 
1365.000000,0.211353 
1218.000000,0.314963 
1269.000000,0.241625 
1275.000000,0.296162 
1334.000000,0.279124 
1185.000000,0.248826 
1762.000000,0.365320 
1686.000000,0.664276 
1750.000000,0.642567 
1904.000000,0.510551 
1898.000000,0.497650 
2205.000000,0.540978 
2174.000000,0.119704 
2283.000000,0.308020 
2256.000000,0.141851 
1900.000000,0.490790 
1888.000000,0.428969 
1882.000000,0.244179 
2651.000000,1.309597 
2552.000000,1.325316 
1695.000000,0.688734 
1771.000000,0.761653 
1912.000000,0.498401 
2271.000000,0.655154 
2192.000000,0.608281 
2258.000000,0.329426 
2119.000000,0.348697 
1808.000000,0.836695 
2189.000000,0.896284 
2286.000000,0.900761 
2043.000000,0.294182 
2683.000000,0.258894 
641.000000,0.293814 
2686.000000,0.224999 
535.000000,0.204004 
2284.000000,1.143817 
1720.000000,1.005693 
1818.000000,0.925544 
4195.000000,0.608582 
4252.000000,0.809776 
4218.000000,0.839154 
4170.000000,0.809265 
4268.000000,0.828664 
4281.000000,0.818255 
4191.000000,0.617377 
4417.000000,0.204680 
4622.000000,0.361454 
4570.000000,0.137246 
4478.000000,0.155279 
3720.000000,1.326230 
3720.000000,1.340361 
3717.000000,1.318005 
3761.000000,1.312642 
3779.000000,1.315773 
4652.000000,0.320591 
4548.000000,0.399486 
4601.000000,0.240456 
4627.000000,0.389142 
3351.000000,0.271957 
4049.000000,1.311769 
4121.000000,1.303034 
4107.000000,1.304403 
3704.000000,1.330466 
1053.000000,0.432122 
1179.000000,0.130599 
1183.000000,0.239796 
5657.000000,0.853644 
8231.000000,0.300200 
8232.000000,0.323990 
7929.000000,0.172946 
8127.000000,0.189483 
35.000000,0.298932 
8126.000000,0.372484 
8196.000000,0.716047 
3378.000000,0.128901 
2478.000000,0.152358 
2509.000000,0.286376 
2467.000000,0.152319 
205.000000,0.242598 
424.000000,0.243570 
8090.000000,0.256591 
9284.000000,0.287878 
8093.000000,0.238558 
7934.000000,0.290722 
8089.000000,0.284753 
