point, dist
9254.000000,0.258655 
29.000000,0.050425 
9076.000000,0.136490 
75.000000,0.273173 
86.000000,0.276458 
7580.000000,0.275389 
2028.000000,0.227221 
1967.000000,0.380144 
2027.000000,0.266122 
5146.000000,0.035495 
5137.000000,0.098072 
5111.000000,0.077387 
273.000000,0.119633 
259.000000,0.145914 
9489.000000,0.228477 
5765.000000,0.120124 
5430.000000,0.129546 
5344.000000,0.098156 
7261.000000,0.138229 
5333.000000,0.150420 
6022.000000,0.274609 
9206.000000,0.144744 
9164.000000,0.255969 
9212.000000,0.127431 
9223.000000,0.143486 
8979.000000,0.169420 
9006.000000,0.275806 
8949.000000,0.181625 
1600.000000,0.282742 
1639.000000,0.353947 
1786.000000,0.260825 
1486.000000,0.259764 
2654.000000,0.197390 
1241.000000,0.220248 
1244.000000,0.257079 
1790.000000,0.240611 
1940.000000,0.232940 
1781.000000,0.272860 
1782.000000,0.345855 
7759.000000,0.118061 
7488.000000,0.134871 
5074.000000,0.084299 
5108.000000,0.127723 
2559.000000,0.197111 
1387.000000,0.276676 
2558.000000,0.263610 
9233.000000,0.230844 
9232.000000,0.230757 
9916.000000,0.188156 
9054.000000,0.110565 
9010.000000,0.271966 
5026.000000,0.089109 
5184.000000,0.173453 
5183.000000,0.161889 
252.000000,0.226499 
276.000000,0.181250 
249.000000,0.227371 
1124.000000,0.166264 
1314.000000,0.243183 
1295.000000,0.304022 
8936.000000,0.249696 
8883.000000,0.153362 
9023.000000,0.114331 
9051.000000,0.099224 
9902.000000,0.117464 
9913.000000,0.129598 
9904.000000,0.199045 
1794.000000,0.336128 
1594.000000,0.264134 
1642.000000,0.354551 
2170.000000,0.214562 
2172.000000,0.239415 
5138.000000,0.027401 
263.000000,0.118256 
264.000000,0.122132 
247.000000,0.231507 
9498.000000,0.234759 
4920.000000,0.300056 
4069.000000,0.281821 
7660.000000,0.301460 
4784.000000,0.256889 
3535.000000,0.196423 
2474.000000,0.265171 
3672.000000,0.271363 
4074.000000,0.282799 
308.000000,0.256341 
323.000000,0.247163 
206.000000,0.246267 
3610.000000,0.284107 
9082.000000,0.278461 
9102.000000,0.149875 
9106.000000,0.163896 
9105.000000,0.165936 
8760.000000,0.259223 
9111.000000,0.152127 
7268.000000,0.223428 
7262.000000,0.163106 
8828.000000,0.253551 
9104.000000,0.185103 
