point, dist
4979.000000,0.201179 
4975.000000,0.184015 
5080.000000,0.239909 
5073.000000,0.163472 
4971.000000,0.135285 
4940.000000,0.144974 
4967.000000,0.238552 
4954.000000,0.122585 
5063.000000,0.195587 
5182.000000,0.279710 
3103.000000,0.254147 
3100.000000,0.244933 
4026.000000,0.268427 
4020.000000,0.191257 
5178.000000,0.180368 
5200.000000,0.250929 
3110.000000,0.229596 
3093.000000,0.290375 
5635.000000,0.195503 
5171.000000,0.212922 
5157.000000,0.211677 
8190.000000,0.073928 
9744.000000,0.347772 
8209.000000,0.086772 
8334.000000,0.091702 
8337.000000,0.100724 
8226.000000,0.145985 
6627.000000,0.123919 
6660.000000,0.090734 
6735.000000,0.110384 
6574.000000,0.116839 
6692.000000,0.066304 
3821.000000,0.086971 
3892.000000,0.066778 
3524.000000,0.058493 
3816.000000,0.053552 
6540.000000,0.212293 
6658.000000,0.157970 
6559.000000,0.140473 
7208.000000,0.167464 
7290.000000,0.304906 
7294.000000,0.207205 
7342.000000,0.244624 
2309.000000,0.238545 
3457.000000,0.078397 
7262.000000,0.172391 
3919.000000,0.098239 
7181.000000,0.253723 
7227.000000,0.160974 
7155.000000,0.236812 
3810.000000,0.016644 
6286.000000,0.115429 
6216.000000,0.057518 
6189.000000,0.082706 
6153.000000,0.207650 
5208.000000,0.188193 
5120.000000,0.179019 
8640.000000,0.165951 
8771.000000,0.224850 
8783.000000,0.216738 
8538.000000,0.059378 
4040.000000,0.172110 
4013.000000,0.272492 
4582.000000,0.259499 
4704.000000,0.082251 
2901.000000,0.108648 
4909.000000,0.171718 
5606.000000,0.146666 
5609.000000,0.165480 
4962.000000,0.253338 
4930.000000,0.254065 
4935.000000,0.193050 
4943.000000,0.196666 
5100.000000,0.236309 
5084.000000,0.269636 
4364.000000,0.072671 
4304.000000,0.091453 
4265.000000,0.204677 
9868.000000,0.205679 
7416.000000,0.252001 
9784.000000,0.222393 
7441.000000,0.223987 
6356.000000,0.118071 
