point, dist
7231.000000,0.192420 
7321.000000,0.150462 
3882.000000,0.038245 
7219.000000,0.246427 
5025.000000,0.269552 
5032.000000,0.244364 
3204.000000,0.247415 
2999.000000,0.292238 
5002.000000,0.140499 
5678.000000,0.128083 
7247.000000,0.238674 
8341.000000,0.211912 
8304.000000,0.200034 
8427.000000,0.217320 
8205.000000,0.236006 
9559.000000,0.787238 
8355.000000,0.083421 
9524.000000,0.687417 
9568.000000,0.443336 
8197.000000,0.071356 
8194.000000,0.076920 
8203.000000,0.238411 
5045.000000,0.186879 
5068.000000,0.177119 
5138.000000,0.251765 
5161.000000,0.235042 
5128.000000,0.176055 
5011.000000,0.112830 
5220.000000,0.188902 
6824.000000,0.068917 
6827.000000,0.099906 
6892.000000,0.095855 
3575.000000,0.017962 
3606.000000,0.072361 
3587.000000,0.088691 
3621.000000,0.061843 
3686.000000,0.067239 
3649.000000,0.291899 
3752.000000,0.030421 
3802.000000,0.078871 
3769.000000,0.095165 
3766.000000,0.094240 
3712.000000,0.029451 
3748.000000,0.033549 
6386.000000,0.102074 
6344.000000,0.036328 
6411.000000,0.141179 
6423.000000,0.143616 
6416.000000,0.085942 
3089.000000,0.263191 
4841.000000,0.243606 
4780.000000,0.268148 
4783.000000,0.210434 
4937.000000,0.256935 
4990.000000,0.157259 
3177.000000,0.234704 
3161.000000,0.226278 
3189.000000,0.266579 
6498.000000,0.076886 
6426.000000,0.055003 
6402.000000,0.213931 
6527.000000,0.121392 
7409.000000,0.184149 
7359.000000,0.218502 
7284.000000,0.323886 
7325.000000,0.199785 
7331.000000,0.188955 
8345.000000,0.139531 
8308.000000,0.157206 
9538.000000,0.112183 
5234.000000,0.217940 
5149.000000,0.261845 
5659.000000,0.140882 
5690.000000,0.221067 
4960.000000,0.280741 
7392.000000,0.275860 
412.000000,0.062413 
420.000000,0.081870 
449.000000,0.171553 
5188.000000,0.202898 
5218.000000,0.295942 
1659.000000,0.389108 
1622.000000,0.595820 
6617.000000,0.140461 
6565.000000,0.135574 
6554.000000,0.153929 
6563.000000,0.264523 
6597.000000,0.216087 
6657.000000,0.076704 
7054.000000,0.240420 
7076.000000,0.148798 
7077.000000,0.151873 
6948.000000,0.097500 
6967.000000,0.119669 
6957.000000,0.130811 
6994.000000,0.144474 
7062.000000,0.176276 
6982.000000,0.179112 
6992.000000,0.140956 
6906.000000,0.115256 
6779.000000,0.205065 
3595.000000,0.059877 
7125.000000,0.226958 
7134.000000,0.167705 
6672.000000,0.225157 
6635.000000,0.263340 
6598.000000,0.224871 
3625.000000,0.060278 
3650.000000,0.006729 
7542.000000,0.070088 
9879.000000,0.093900 
9191.000000,0.421548 
6410.000000,0.254384 
9173.000000,0.520884 
6364.000000,0.125505 
4878.000000,0.088483 
4849.000000,0.120218 
4928.000000,0.149902 
9746.000000,0.262494 
