point, dist
810.000000,0.166077 
494.000000,0.187637 
707.000000,0.231100 
795.000000,0.258189 
795.000000,0.181268 
3568.000000,0.125058 
4352.000000,0.129480 
804.000000,0.150164 
4365.000000,0.140806 
2736.000000,0.098627 
2895.000000,0.263379 
2808.000000,0.259993 
2601.000000,0.191429 
7006.000000,0.224843 
6997.000000,0.170692 
301.000000,0.158780 
3227.000000,0.429237 
3193.000000,0.121064 
3165.000000,0.186422 
9561.000000,0.147629 
3537.000000,0.116753 
3339.000000,0.200693 
841.000000,0.218447 
6684.000000,0.254578 
6342.000000,0.090484 
6764.000000,0.152011 
6411.000000,0.159886 
9512.000000,0.183391 
9537.000000,0.210637 
9682.000000,0.100250 
2520.000000,0.179873 
9597.000000,0.124934 
543.000000,0.167528 
596.000000,0.164863 
9844.000000,0.144643 
549.000000,0.144829 
751.000000,0.188897 
562.000000,0.244409 
288.000000,0.170942 
629.000000,0.092041 
2771.000000,0.149538 
9692.000000,0.107525 
9128.000000,0.286367 
3570.000000,0.218700 
9991.000000,0.085314 
20.000000,0.239401 
9989.000000,0.134992 
16.000000,0.233128 
2347.000000,0.298971 
2698.000000,0.191363 
2233.000000,0.137326 
6157.000000,0.168710 
5252.000000,0.177847 
4806.000000,0.133221 
5757.000000,0.263291 
1272.000000,0.386510 
5952.000000,0.171358 
4794.000000,0.169576 
1940.000000,0.428500 
2630.000000,0.168934 
6064.000000,0.213200 
1940.000000,0.418574 
1596.000000,0.396251 
633.000000,0.067671 
744.000000,0.183061 
779.000000,0.133711 
168.000000,0.154307 
825.000000,0.226006 
3341.000000,0.184606 
238.000000,0.089982 
9887.000000,0.156405 
548.000000,0.208988 
9817.000000,0.201923 
5028.000000,0.113843 
5813.000000,0.117720 
326.000000,0.165871 
7097.000000,0.223525 
6999.000000,0.130919 
249.000000,0.155903 
733.000000,0.276536 
624.000000,0.183288 
7329.000000,0.231640 
7048.000000,0.196076 
7031.000000,0.142013 
7249.000000,0.090313 
2815.000000,0.188877 
2672.000000,0.240597 
2181.000000,0.410119 
1711.000000,0.401601 
2804.000000,0.087767 
2706.000000,0.207018 
2801.000000,0.163458 
9888.000000,0.159479 
286.000000,0.194531 
286.000000,0.186983 
3565.000000,0.194944 
3370.000000,0.154405 
4388.000000,0.159606 
3348.000000,0.114092 
3360.000000,0.123337 
49.000000,0.226594 
