point, dist
9623.000000,0.267941 
3262.000000,0.300551 
3028.000000,0.321186 
3028.000000,0.114793 
2246.000000,0.415935 
2222.000000,0.357168 
7975.000000,0.356848 
3011.000000,0.213456 
3073.000000,0.402802 
3073.000000,0.370909 
2391.000000,0.372407 
8471.000000,0.242020 
7262.000000,0.261344 
58.000000,0.297449 
4269.000000,0.370429 
3918.000000,0.471522 
9449.000000,0.289028 
9427.000000,0.324363 
9295.000000,0.417275 
9277.000000,0.244226 
9350.000000,0.283429 
9295.000000,0.365261 
9226.000000,0.234930 
9480.000000,0.472970 
3015.000000,0.367828 
3081.000000,0.398670 
2391.000000,0.572613 
3706.000000,0.404396 
7224.000000,0.270296 
7138.000000,0.284599 
9832.000000,0.355921 
409.000000,0.219628 
3945.000000,0.353948 
3688.000000,0.383126 
7779.000000,0.387981 
7919.000000,0.253161 
7685.000000,0.264668 
8428.000000,0.249663 
8428.000000,0.482072 
7759.000000,0.237214 
7923.000000,0.190174 
8319.000000,0.277146 
7888.000000,0.328196 
7888.000000,0.355016 
1496.000000,0.705583 
1147.000000,0.381225 
1582.000000,0.715197 
7923.000000,0.704880 
1107.000000,0.710100 
3237.000000,0.358750 
3147.000000,0.377238 
3147.000000,0.544430 
3329.000000,0.404016 
3318.000000,0.392042 
2982.000000,0.364336 
9540.000000,0.327284 
9626.000000,0.173052 
9313.000000,0.248281 
9159.000000,0.255524 
9283.000000,0.260527 
117.000000,0.322066 
9125.000000,0.204199 
117.000000,0.348748 
9384.000000,0.282717 
1475.000000,0.316242 
1668.000000,0.352594 
9716.000000,0.382178 
9505.000000,0.313781 
9487.000000,0.345612 
9411.000000,0.235315 
9255.000000,0.299059 
9241.000000,0.274098 
9372.000000,0.277203 
9317.000000,0.252588 
9250.000000,0.181015 
9194.000000,0.364119 
9139.000000,0.189173 
1335.000000,0.430759 
1108.000000,0.372457 
7975.000000,0.342914 
2222.000000,0.713989 
1862.000000,0.775007 
2099.000000,0.380085 
2099.000000,0.722696 
9587.000000,0.422602 
5629.000000,0.747066 
5629.000000,0.328756 
2269.000000,0.431762 
1957.000000,0.410716 
1579.000000,0.391638 
9220.000000,0.387594 
113.000000,0.273408 
9123.000000,0.301921 
56.000000,0.356516 
59.000000,0.383123 
9933.000000,0.218942 
9936.000000,0.186444 
9942.000000,0.199037 
5437.000000,0.302505 
5495.000000,0.232279 
6001.000000,0.246953 
5571.000000,0.270146 
5870.000000,0.248188 
5947.000000,0.224307 
5908.000000,0.194882 
5106.000000,0.255333 
1376.000000,0.357582 
3684.000000,0.382630 
3633.000000,0.349538 
7203.000000,0.328867 
7455.000000,0.250200 
8089.000000,0.296828 
7730.000000,0.281711 
8067.000000,0.264344 
8489.000000,0.306223 
7701.000000,0.201405 
8663.000000,0.336631 
7533.000000,0.283212 
8684.000000,0.390763 
8089.000000,0.311249 
7385.000000,0.236637 
8378.000000,0.238995 
1490.000000,0.359764 
45.000000,0.377476 
46.000000,0.123190 
75.000000,0.316440 
41.000000,0.176101 
2236.000000,0.705670 
3318.000000,0.434806 
2998.000000,0.402405 
3237.000000,0.405859 
2985.000000,0.702888 
3413.000000,0.395761 
3006.000000,0.377787 
7039.000000,0.375386 
9565.000000,0.221569 
5452.000000,0.314434 
5452.000000,0.081527 
6377.000000,0.243510 
9559.000000,0.365142 
6320.000000,0.211074 
2474.000000,0.294504 
2474.000000,0.303904 
9447.000000,0.286680 
9521.000000,0.398427 
9413.000000,0.221516 
103.000000,0.332368 
9383.000000,0.300981 
112.000000,0.258629 
110.000000,0.481706 
9915.000000,0.319892 
3643.000000,0.350331 
110.000000,0.430998 
9912.000000,0.275410 
9381.000000,0.292972 
9381.000000,0.385404 
9388.000000,0.234132 
9128.000000,0.270447 
9325.000000,0.460923 
9325.000000,0.274784 
35.000000,0.334797 
8463.000000,0.219021 
38.000000,0.307675 
37.000000,0.093740 
7265.000000,0.315988 
8464.000000,0.231043 
8884.000000,0.325136 
8767.000000,0.259905 
8744.000000,0.128397 
9464.000000,0.417434 
9435.000000,0.194346 
9464.000000,0.315186 
3182.000000,0.707969 
3188.000000,0.732172 
2953.000000,0.752011 
2852.000000,0.268116 
2708.000000,0.334032 
2927.000000,0.880002 
2852.000000,0.900538 
2708.000000,0.361076 
3196.000000,0.782271 
3011.000000,0.299958 
9480.000000,0.363851 
9277.000000,0.320691 
9194.000000,0.348743 
9252.000000,0.289136 
9340.000000,0.307507 
9337.000000,0.201536 
9232.000000,0.203750 
9232.000000,0.378378 
7568.000000,0.316937 
8165.000000,0.361420 
1113.000000,0.411347 
7929.000000,0.264495 
1705.000000,0.362977 
6946.000000,0.191443 
7058.000000,0.199703 
7086.000000,0.459031 
6820.000000,0.145180 
9579.000000,0.311417 
7093.000000,0.226096 
7086.000000,0.410622 
3098.000000,0.732425 
2175.000000,0.713939 
2959.000000,0.799716 
3155.000000,0.845457 
1862.000000,0.435812 
1862.000000,0.721898 
1862.000000,0.482889 
2246.000000,0.685937 
2286.000000,0.374896 
1862.000000,1.253991 
8255.000000,1.230687 
2177.000000,0.746813 
2175.000000,0.366372 
2279.000000,0.388768 
1957.000000,0.411125 
1839.000000,0.444058 
8048.000000,0.299464 
118.000000,0.272904 
5814.000000,0.255983 
5995.000000,0.396321 
5697.000000,0.288815 
5433.000000,0.312799 
7007.000000,0.312412 
7105.000000,0.253197 
7038.000000,0.220598 
6043.000000,0.348752 
5614.000000,0.347201 
5986.000000,0.208135 
3044.000000,0.434988 
3332.000000,0.380679 
3058.000000,0.369825 
6923.000000,0.295523 
7108.000000,0.248800 
9558.000000,0.237566 
6512.000000,0.221083 
5962.000000,0.301618 
4900.000000,0.309919 
5780.000000,0.219708 
5644.000000,0.340208 
5821.000000,0.253860 
4961.000000,0.234850 
5993.000000,0.226635 
5817.000000,0.284320 
5626.000000,0.179698 
1147.000000,0.433464 
1218.000000,0.363808 
61.000000,0.433779 
7264.000000,0.258510 
8473.000000,0.261603 
7261.000000,0.252862 
8474.000000,0.256615 
8468.000000,0.299039 
90.000000,0.295196 
7270.000000,0.179696 
7263.000000,0.318170 
49.000000,0.365398 
3933.000000,0.341738 
9880.000000,0.225872 
354.000000,0.257495 
3715.000000,0.345296 
7255.000000,0.314681 
7193.000000,0.219704 
7254.000000,0.393974 
7809.000000,0.269502 
7741.000000,0.289317 
8247.000000,0.325353 
7491.000000,0.309717 
7809.000000,0.761740 
7313.000000,0.727511 
361.000000,0.337886 
7168.000000,0.328794 
8178.000000,0.281363 
7708.000000,0.199260 
8178.000000,0.386661 
7540.000000,0.214219 
7334.000000,0.267798 
8169.000000,0.384811 
8169.000000,0.245044 
7741.000000,0.323060 
7421.000000,0.336721 
8315.000000,0.178269 
7727.000000,0.269471 
8445.000000,0.264046 
7759.000000,0.380303 
8041.000000,0.239966 
7895.000000,0.296742 
7353.000000,0.224557 
8234.000000,0.310990 
8515.000000,0.278365 
7421.000000,0.746546 
8684.000000,0.759638 
7919.000000,0.719284 
1589.000000,0.706316 
1688.000000,1.240369 
1328.000000,0.742095 
1688.000000,0.721158 
1328.000000,1.252656 
1279.000000,0.748960 
1650.000000,0.385743 
760.000000,0.390915 
8927.000000,0.337880 
9086.000000,0.181160 
8927.000000,0.314423 
6063.000000,0.216474 
85.000000,0.304499 
4859.000000,0.274663 
74.000000,0.313672 
4349.000000,0.346279 
4312.000000,0.455495 
4331.000000,0.349585 
4407.000000,0.339859 
9967.000000,0.330614 
9998.000000,0.349667 
1.000000,0.340863 
3686.000000,0.404714 
3716.000000,0.300197 
3721.000000,0.400889 
10.000000,0.295768 
7.000000,0.261092 
2.000000,0.187740 
9981.000000,0.351378 
10.000000,0.287414 
9997.000000,0.348717 
8.000000,0.236751 
4418.000000,0.407892 
4276.000000,0.355234 
4418.000000,0.388935 
306.000000,0.318632 
323.000000,0.354112 
366.000000,0.399852 
407.000000,0.304256 
211.000000,0.339178 
344.000000,1.411015 
3648.000000,0.483403 
3143.000000,0.458857 
3143.000000,0.452380 
3169.000000,0.418107 
3388.000000,0.336666 
3388.000000,0.421842 
3061.000000,0.406073 
3231.000000,0.467619 
3240.000000,0.417430 
3374.000000,0.381698 
3400.000000,0.390660 
3400.000000,0.429603 
2974.000000,0.404980 
6019.000000,0.730273 
4898.000000,0.730030 
1972.000000,0.460400 
6019.000000,0.265219 
1797.000000,0.450015 
3242.000000,0.391246 
3413.000000,0.413654 
7054.000000,0.381287 
9546.000000,0.286658 
9580.000000,0.257114 
9550.000000,0.249791 
3673.000000,0.699712 
9543.000000,0.278804 
9545.000000,0.252817 
2773.000000,0.380511 
9533.000000,0.347704 
2890.000000,0.334949 
6840.000000,0.251451 
7039.000000,0.227080 
2463.000000,0.342518 
9549.000000,0.272502 
3919.000000,0.395090 
3921.000000,0.326824 
2687.000000,0.720934 
2606.000000,0.756689 
9039.000000,0.202140 
8755.000000,0.229325 
8730.000000,0.261669 
9418.000000,0.407966 
9211.000000,0.357322 
9190.000000,0.270634 
9132.000000,0.288065 
9290.000000,0.227425 
116.000000,0.258509 
9910.000000,0.285990 
2469.000000,0.439148 
2740.000000,0.359152 
2784.000000,0.500469 
2599.000000,0.408747 
2680.000000,0.481292 
8633.000000,0.305215 
8562.000000,0.194062 
8215.000000,0.336835 
8276.000000,0.353968 
8097.000000,0.359963 
8509.000000,0.302733 
8636.000000,0.180964 
8621.000000,0.408136 
7375.000000,0.216155 
8177.000000,0.334722 
7267.000000,0.334785 
7732.000000,0.299240 
7220.000000,0.180040 
7228.000000,0.234535 
7226.000000,0.204289 
8650.000000,0.274037 
8567.000000,0.309099 
8567.000000,0.302343 
8884.000000,0.325255 
9515.000000,0.469624 
9515.000000,0.175761 
8166.000000,0.398219 
8167.000000,0.393857 
8167.000000,0.426171 
7444.000000,0.456521 
8994.000000,0.213052 
9017.000000,0.329241 
8957.000000,0.309203 
9074.000000,0.256969 
9074.000000,0.307642 
9103.000000,0.281110 
9497.000000,0.339285 
7037.000000,0.373096 
7015.000000,0.152299 
9560.000000,0.279882 
3219.000000,0.817520 
2984.000000,0.830011 
3023.000000,0.367002 
3381.000000,0.432840 
3232.000000,0.484388 
1182.000000,0.277943 
1364.000000,0.353853 
1260.000000,0.295010 
1740.000000,0.411395 
1284.000000,0.358057 
9506.000000,1.269263 
9469.000000,0.751306 
9477.000000,0.758216 
9477.000000,0.275493 
9477.000000,0.387997 
9506.000000,0.733976 
9469.000000,1.245167 
9495.000000,0.739212 
9495.000000,0.349402 
9427.000000,0.322683 
9525.000000,0.316491 
9295.000000,0.333977 
9173.000000,0.288538 
9173.000000,0.278255 
9455.000000,0.285598 
9332.000000,0.191475 
9203.000000,0.215319 
9161.000000,0.390619 
9352.000000,0.364542 
8794.000000,0.258386 
9161.000000,0.251359 
9346.000000,0.272056 
9140.000000,0.368780 
8185.000000,0.433531 
7594.000000,0.308439 
7374.000000,0.176122 
9355.000000,0.308673 
8914.000000,0.360305 
7764.000000,0.263066 
7419.000000,0.388946 
7419.000000,0.286654 
8267.000000,0.355388 
1730.000000,0.392355 
1690.000000,0.461705 
1647.000000,0.301318 
1330.000000,0.388140 
1711.000000,0.294313 
1362.000000,0.499174 
7930.000000,0.298191 
8306.000000,0.249324 
7525.000000,0.296865 
8216.000000,0.365569 
8198.000000,0.352189 
8870.000000,0.706081 
8255.000000,0.704377 
3360.000000,0.785960 
3101.000000,0.860107 
3360.000000,0.725148 
3101.000000,0.821824 
3105.000000,0.712651 
5157.000000,0.282928 
5174.000000,0.177811 
5157.000000,0.295246 
5112.000000,0.337905 
5117.000000,0.315391 
6031.000000,0.287712 
5449.000000,0.277196 
5828.000000,0.252654 
5253.000000,0.341873 
5706.000000,0.207395 
5465.000000,0.398964 
7058.000000,0.244054 
9561.000000,0.236320 
6991.000000,0.221068 
6820.000000,1.235079 
5255.000000,0.267510 
5613.000000,0.318591 
5031.000000,0.274976 
5072.000000,0.356713 
2097.000000,0.355453 
2177.000000,0.432885 
2329.000000,1.255715 
3341.000000,0.342325 
3238.000000,0.402881 
3138.000000,0.470481 
3371.000000,0.414715 
2012.000000,0.393423 
1894.000000,0.381971 
2351.000000,0.521141 
2087.000000,0.432400 
2311.000000,0.408901 
3137.000000,0.798508 
3315.000000,0.875245 
2422.000000,0.522227 
1857.000000,0.319961 
2279.000000,0.722139 
2406.000000,0.317045 
1980.000000,0.294678 
2072.000000,0.417787 
2098.000000,0.370657 
2072.000000,0.429093 
2398.000000,0.386161 
1806.000000,0.392750 
2215.000000,0.349859 
1293.000000,0.456710 
1315.000000,0.327307 
1747.000000,0.532833 
1789.000000,0.386392 
1205.000000,0.373126 
5962.000000,0.294091 
1916.000000,0.390748 
5995.000000,0.210831 
2403.000000,0.443791 
1955.000000,0.320847 
1896.000000,0.464455 
2149.000000,0.459460 
1981.000000,0.406708 
1888.000000,0.462707 
2149.000000,0.382543 
1802.000000,0.446951 
2029.000000,0.372556 
2030.000000,0.370784 
9087.000000,1.257733 
2991.000000,1.395931 
3383.000000,1.373339 
9087.000000,0.750632 
8848.000000,0.360416 
1566.000000,0.467919 
1598.000000,0.410384 
1201.000000,0.291248 
7381.000000,0.422764 
7736.000000,0.442456 
8288.000000,0.822156 
8122.000000,0.780850 
8177.000000,0.299881 
8245.000000,0.335397 
8413.000000,0.444603 
8473.000000,0.306347 
8717.000000,0.349358 
126.000000,0.254825 
122.000000,0.333874 
9124.000000,0.404602 
9126.000000,0.187673 
9386.000000,0.257177 
9164.000000,0.204936 
5433.000000,0.321470 
5802.000000,0.398553 
5545.000000,0.227319 
5791.000000,0.234602 
5786.000000,0.255737 
5437.000000,0.355980 
5760.000000,0.391656 
5760.000000,0.437340 
5667.000000,0.451010 
5254.000000,0.400604 
5964.000000,0.359271 
2254.000000,0.429353 
5902.000000,0.309669 
7069.000000,0.225472 
7038.000000,0.181941 
5348.000000,0.483580 
5171.000000,0.396107 
5171.000000,0.410052 
5770.000000,0.386129 
1978.000000,0.705423 
5427.000000,0.255289 
7108.000000,0.176632 
6377.000000,1.233247 
1972.000000,0.723407 
7052.000000,0.261333 
6825.000000,0.112689 
2199.000000,0.732232 
5656.000000,0.443384 
5656.000000,0.385138 
6011.000000,0.359990 
5781.000000,0.293162 
5618.000000,0.292704 
5800.000000,0.254355 
5267.000000,0.225013 
4972.000000,0.347580 
5129.000000,0.452017 
6046.000000,0.360505 
1566.000000,0.435603 
5419.000000,0.244110 
1985.000000,0.373325 
5386.000000,0.315993 
2284.000000,0.405730 
1985.000000,0.357745 
2444.000000,0.433435 
2444.000000,0.447872 
47.000000,0.305005 
51.000000,0.374540 
9929.000000,0.280526 
3698.000000,0.496961 
3696.000000,0.320137 
3698.000000,0.323980 
3683.000000,0.329903 
3937.000000,0.353320 
7254.000000,0.310945 
7246.000000,0.294237 
589.000000,0.241696 
7899.000000,0.732478 
8432.000000,1.322766 
8247.000000,0.728153 
7421.000000,0.364659 
7490.000000,0.267133 
178.000000,1.430553 
7313.000000,0.393322 
7685.000000,0.703135 
7302.000000,0.742903 
610.000000,0.303114 
9864.000000,0.296855 
9865.000000,0.268490 
7231.000000,0.273408 
7231.000000,0.363560 
8497.000000,0.203417 
7899.000000,0.334921 
8010.000000,0.289230 
7570.000000,0.377439 
7570.000000,0.262597 
7750.000000,0.281383 
8145.000000,0.261311 
7920.000000,0.249803 
7665.000000,0.224760 
8282.000000,0.281119 
7556.000000,0.433975 
8656.000000,0.266307 
8274.000000,0.243813 
8492.000000,0.324589 
8492.000000,0.727811 
8543.000000,0.726661 
7899.000000,1.246984 
478.000000,1.434237 
7421.000000,0.733301 
7305.000000,0.284189 
7305.000000,0.398343 
7877.000000,0.327002 
7737.000000,0.362861 
7700.000000,0.329427 
1489.000000,0.412847 
1525.000000,0.447067 
7809.000000,1.264393 
7563.000000,0.338189 
7313.000000,1.244073 
9247.000000,0.255370 
8764.000000,0.179455 
9068.000000,0.296927 
9370.000000,0.494611 
9171.000000,0.181311 
9314.000000,0.196126 
9076.000000,0.188951 
8819.000000,0.422296 
8731.000000,0.187353 
8819.000000,0.279090 
8964.000000,0.269253 
9140.000000,0.268286 
9093.000000,0.456961 
9184.000000,0.304436 
64.000000,0.344172 
4377.000000,0.363297 
4387.000000,0.320236 
4342.000000,0.348271 
4331.000000,0.395504 
4343.000000,0.341632 
4644.000000,0.362407 
4345.000000,0.330494 
4445.000000,0.341505 
4659.000000,0.327045 
4555.000000,0.327381 
4286.000000,0.388790 
4414.000000,0.365907 
4501.000000,0.359980 
4440.000000,0.345281 
4589.000000,0.413714 
4659.000000,0.422872 
4334.000000,0.319670 
4336.000000,0.351261 
4336.000000,0.389830 
4411.000000,0.361893 
4287.000000,0.353512 
4341.000000,0.309466 
4432.000000,0.370171 
4441.000000,0.303355 
4363.000000,0.351608 
4375.000000,0.331491 
4364.000000,0.312220 
4374.000000,0.367855 
4313.000000,0.401770 
3676.000000,0.376851 
9883.000000,0.269221 
3700.000000,0.363741 
5.000000,0.160275 
4344.000000,0.301562 
4676.000000,0.388961 
4325.000000,0.335477 
4687.000000,0.299286 
4693.000000,0.319116 
4671.000000,0.315299 
4822.000000,0.285338 
4781.000000,0.287492 
4781.000000,0.289577 
587.000000,0.278069 
