point, dist
8947.000000,0.326229 
5452.000000,0.183019 
8983.000000,0.238969 
9002.000000,0.177744 
9005.000000,0.253223 
54.000000,0.161841 
141.000000,0.135084 
214.000000,0.156742 
335.000000,0.132354 
347.000000,0.133796 
8635.000000,0.058795 
8665.000000,0.145193 
8621.000000,0.057352 
8716.000000,0.227858 
8675.000000,0.114503 
8819.000000,0.055276 
8697.000000,0.195078 
9473.000000,0.138348 
9493.000000,0.120824 
9471.000000,0.148418 
9601.000000,0.137998 
9597.000000,0.146196 
5561.000000,0.064840 
5574.000000,0.122869 
5575.000000,0.235110 
6124.000000,0.209300 
7852.000000,0.270694 
8757.000000,0.267242 
8832.000000,0.049051 
8828.000000,0.086034 
8785.000000,0.125314 
8794.000000,0.155062 
8781.000000,0.101086 
8891.000000,0.246876 
9445.000000,0.136005 
138.000000,0.137397 
400.000000,0.142302 
385.000000,0.170861 
454.000000,0.078413 
449.000000,0.148370 
8351.000000,0.154734 
7938.000000,0.253349 
8341.000000,0.090853 
8482.000000,0.041250 
8433.000000,0.090804 
8408.000000,0.087138 
5064.000000,0.190461 
4953.000000,0.084195 
5185.000000,0.270788 
3994.000000,0.257081 
5192.000000,0.273326 
6140.000000,0.128238 
6157.000000,0.077842 
6220.000000,0.223936 
6214.000000,0.046517 
5535.000000,0.219953 
6177.000000,0.110729 
8603.000000,0.227338 
6228.000000,0.229351 
48.000000,0.168866 
45.000000,0.168921 
204.000000,0.149224 
205.000000,0.159892 
323.000000,0.138095 
325.000000,0.144118 
353.000000,0.123471 
109.000000,0.148704 
511.000000,0.056367 
230.000000,0.136038 
525.000000,0.123826 
4120.000000,0.264372 
4445.000000,0.268725 
4073.000000,0.266976 
5802.000000,0.058081 
5623.000000,0.122388 
5586.000000,0.130705 
5797.000000,0.051591 
7766.000000,0.180056 
2243.000000,0.118648 
2038.000000,0.122450 
2044.000000,0.123335 
2260.000000,0.139534 
2084.000000,0.122426 
7338.000000,0.072482 
6886.000000,0.079361 
7340.000000,0.217655 
7284.000000,0.087442 
7125.000000,0.241177 
7052.000000,0.176112 
7184.000000,0.242767 
7091.000000,0.187565 
7000.000000,0.208765 
8872.000000,0.215217 
8942.000000,0.156615 
2390.000000,0.123284 
2322.000000,0.122793 
2365.000000,0.134876 
2104.000000,0.117637 
2011.000000,0.129982 
2215.000000,0.124316 
2035.000000,0.148219 
2223.000000,0.126157 
4824.000000,0.151162 
2558.000000,0.147660 
4810.000000,0.146142 
4840.000000,0.141793 
2323.000000,0.163876 
2405.000000,0.147257 
4819.000000,0.147896 
2432.000000,0.140473 
6871.000000,0.130088 
8019.000000,0.060150 
6889.000000,0.236319 
9545.000000,0.137019 
9419.000000,0.154777 
9666.000000,0.110189 
9768.000000,0.107564 
6866.000000,0.086004 
9733.000000,0.133497 
9710.000000,0.143027 
8065.000000,0.130164 
8070.000000,0.090632 
3005.000000,0.156746 
8092.000000,0.100125 
3050.000000,0.128929 
5665.000000,0.129387 
8247.000000,0.087292 
240.000000,0.150163 
30.000000,0.171520 
2088.000000,0.121007 
7521.000000,0.124828 
7355.000000,0.048345 
8476.000000,0.080918 
272.000000,0.136681 
285.000000,0.105592 
4792.000000,0.156074 
5106.000000,0.268916 
4980.000000,0.178755 
5076.000000,0.182978 
4920.000000,0.082513 
4860.000000,0.051727 
4878.000000,0.036312 
4893.000000,0.085656 
4982.000000,0.178539 
5021.000000,0.199008 
5500.000000,0.238423 
5152.000000,0.267759 
4369.000000,0.273291 
5347.000000,0.152111 
4260.000000,0.260871 
4213.000000,0.262182 
4453.000000,0.267552 
9500.000000,0.111777 
162.000000,0.144937 
115.000000,0.137151 
5063.000000,0.210288 
429.000000,0.126979 
8454.000000,0.059155 
8616.000000,0.146558 
9626.000000,0.145188 
9635.000000,0.145700 
9442.000000,0.139113 
9535.000000,0.114408 
9410.000000,0.140407 
314.000000,0.132155 
156.000000,0.153805 
9208.000000,0.034187 
9154.000000,0.108043 
9142.000000,0.164571 
9162.000000,0.145203 
3307.000000,0.122191 
5814.000000,0.062096 
5024.000000,0.189726 
4134.000000,0.269863 
4094.000000,0.265237 
3780.000000,0.263562 
4427.000000,0.266708 
4098.000000,0.262884 
4497.000000,0.266270 
4130.000000,0.272701 
4258.000000,0.263617 
9312.000000,0.334420 
9315.000000,0.223417 
5414.000000,0.222980 
9263.000000,0.345364 
5695.000000,0.158645 
5934.000000,0.208526 
5603.000000,0.141220 
8395.000000,0.287194 
8378.000000,0.174763 
7559.000000,0.136913 
4742.000000,0.145181 
2349.000000,0.120337 
2425.000000,0.141698 
8775.000000,0.116668 
2154.000000,0.116097 
7806.000000,0.267647 
7647.000000,0.200236 
7650.000000,0.182554 
7814.000000,0.277232 
2288.000000,0.153280 
9808.000000,0.136398 
9785.000000,0.141451 
7993.000000,0.144939 
6606.000000,0.082913 
6845.000000,0.234075 
7239.000000,0.268975 
1493.000000,0.075592 
1015.000000,0.010594 
8158.000000,0.185566 
8119.000000,0.052914 
8014.000000,0.154769 
2989.000000,0.146400 
9519.000000,0.127161 
9439.000000,0.142065 
9596.000000,0.138540 
9637.000000,0.148835 
8126.000000,0.020810 
8132.000000,0.064427 
8192.000000,0.161055 
116.000000,0.145669 
25.000000,0.165509 
7976.000000,0.239203 
3620.000000,0.073256 
8508.000000,0.184724 
8560.000000,0.259916 
7417.000000,0.103888 
7420.000000,0.078198 
7430.000000,0.227127 
8537.000000,0.150315 
8483.000000,0.036854 
8592.000000,0.130744 
8450.000000,0.158127 
8449.000000,0.108935 
5136.000000,0.263558 
3971.000000,0.268668 
3749.000000,0.266211 
3737.000000,0.261428 
5072.000000,0.183114 
4119.000000,0.266190 
4294.000000,0.264324 
9522.000000,0.142450 
152.000000,0.151828 
66.000000,0.160780 
519.000000,0.131666 
9364.000000,0.221942 
4447.000000,0.275278 
6229.000000,0.053555 
6103.000000,0.244780 
6102.000000,0.247390 
4233.000000,0.268931 
3712.000000,0.262205 
3878.000000,0.264517 
4002.000000,0.265873 
3759.000000,0.269255 
4724.000000,0.290480 
8294.000000,0.260535 
5955.000000,0.333183 
6013.000000,0.327235 
6277.000000,0.215475 
4177.000000,0.277638 
4534.000000,0.273363 
9707.000000,0.111142 
320.000000,0.133936 
5931.000000,0.211133 
9216.000000,0.226513 
9241.000000,0.246347 
3298.000000,0.141836 
9151.000000,0.132303 
3334.000000,0.125506 
9307.000000,0.126033 
4515.000000,0.270610 
4404.000000,0.266193 
4659.000000,0.286583 
4790.000000,0.146619 
4896.000000,0.054203 
4997.000000,0.196089 
4476.000000,0.272515 
4358.000000,0.264040 
3094.000000,0.139259 
6436.000000,0.158214 
3220.000000,0.139148 
6417.000000,0.153548 
3174.000000,0.153754 
6431.000000,0.145658 
3365.000000,0.149042 
3524.000000,0.136483 
3190.000000,0.129412 
5684.000000,0.164500 
5648.000000,0.137723 
5711.000000,0.045015 
567.000000,0.093313 
1946.000000,0.263391 
1647.000000,0.132299 
1665.000000,0.133640 
3145.000000,0.116694 
3266.000000,0.129113 
5846.000000,0.207640 
5889.000000,0.218701 
5851.000000,0.214395 
5898.000000,0.212779 
6008.000000,0.336908 
5994.000000,0.328947 
5882.000000,0.206657 
8339.000000,0.134562 
8511.000000,0.154698 
2033.000000,0.127905 
2089.000000,0.145068 
7514.000000,0.152526 
8358.000000,0.072190 
7623.000000,0.182779 
7531.000000,0.127778 
7579.000000,0.063805 
7586.000000,0.053628 
7581.000000,0.073292 
7584.000000,0.058376 
7443.000000,0.115469 
7469.000000,0.118926 
2250.000000,0.117806 
2105.000000,0.137318 
2194.000000,0.124576 
2059.000000,0.125180 
2467.000000,0.127657 
2544.000000,0.122544 
7825.000000,0.275521 
1582.000000,0.266698 
965.000000,0.063766 
1497.000000,0.267154 
1033.000000,0.051927 
6683.000000,0.192228 
6662.000000,0.168204 
1485.000000,0.261163 
1286.000000,0.278053 
1314.000000,0.270641 
7807.000000,0.277727 
7851.000000,0.273609 
7649.000000,0.195801 
1334.000000,0.265203 
1200.000000,0.269061 
1415.000000,0.270873 
1144.000000,0.268620 
1263.000000,0.268332 
875.000000,0.069352 
689.000000,0.264616 
590.000000,0.270515 
671.000000,0.265538 
7395.000000,0.125032 
7351.000000,0.085538 
1411.000000,0.266367 
1308.000000,0.266079 
1458.000000,0.269390 
7462.000000,0.116827 
2352.000000,0.129229 
8852.000000,0.230266 
8745.000000,0.329921 
8901.000000,0.353400 
8871.000000,0.214167 
8824.000000,0.047685 
8927.000000,0.348201 
8907.000000,0.336702 
7111.000000,0.174148 
7204.000000,0.244114 
7094.000000,0.165305 
7170.000000,0.072563 
4510.000000,0.266284 
1599.000000,0.265082 
6731.000000,0.267385 
1110.000000,0.048546 
753.000000,0.065047 
6527.000000,0.170529 
5655.000000,0.125341 
3551.000000,0.117659 
5915.000000,0.208434 
3274.000000,0.127014 
3037.000000,0.124946 
3278.000000,0.174058 
6723.000000,0.266634 
6766.000000,0.267316 
6547.000000,0.179638 
6707.000000,0.173106 
6646.000000,0.086281 
6517.000000,0.050531 
6361.000000,0.145272 
6369.000000,0.143679 
9798.000000,0.096870 
6664.000000,0.177705 
6779.000000,0.266007 
8172.000000,0.149439 
7996.000000,0.127292 
3023.000000,0.145353 
3020.000000,0.153402 
6388.000000,0.153271 
7276.000000,0.112063 
7210.000000,0.092221 
9436.000000,0.145757 
8249.000000,0.041257 
8272.000000,0.128314 
8303.000000,0.068853 
9698.000000,0.108938 
9699.000000,0.122672 
8121.000000,0.060944 
8389.000000,0.087034 
5262.000000,0.311478 
5434.000000,0.165547 
5455.000000,0.153935 
691.000000,0.266573 
7315.000000,0.260693 
7364.000000,0.219152 
4776.000000,0.149816 
5109.000000,0.269748 
3680.000000,0.262432 
5142.000000,0.275444 
5523.000000,0.254580 
5517.000000,0.244451 
5504.000000,0.241327 
4505.000000,0.263059 
4064.000000,0.266478 
4409.000000,0.267027 
4324.000000,0.271061 
6180.000000,0.268235 
