point, dist
9874.000000,0.145488 
9798.000000,0.134399 
9846.000000,0.152256 
9821.000000,0.117834 
5167.000000,0.140107 
3377.000000,0.259282 
3461.000000,0.213315 
7371.000000,0.288438 
80.000000,0.090744 
7309.000000,0.275042 
120.000000,0.091900 
7283.000000,0.250170 
5186.000000,0.049589 
3175.000000,0.253754 
3144.000000,0.262164 
7403.000000,0.266957 
3409.000000,0.250318 
3308.000000,0.202190 
7203.000000,0.249403 
7375.000000,0.278703 
7122.000000,0.227298 
7227.000000,0.263277 
7123.000000,0.283384 
2981.000000,0.238630 
7251.000000,0.244848 
7171.000000,0.239957 
7276.000000,0.199995 
4926.000000,0.153010 
4934.000000,0.122051 
5023.000000,0.129673 
4933.000000,0.109346 
6819.000000,0.212270 
14.000000,0.120087 
22.000000,0.216995 
6990.000000,0.231807 
9791.000000,0.196466 
5320.000000,0.110416 
1105.000000,0.266113 
5673.000000,0.229503 
57.000000,0.124369 
6423.000000,0.218592 
6648.000000,0.245738 
6802.000000,0.223203 
9582.000000,0.258372 
680.000000,0.259004 
6127.000000,0.238063 
212.000000,0.244957 
1803.000000,0.250112 
1829.000000,0.240244 
1692.000000,0.246912 
1398.000000,0.252403 
1291.000000,0.253639 
5680.000000,0.229719 
5681.000000,0.221152 
5651.000000,0.207956 
9572.000000,0.260143 
5732.000000,0.233111 
3384.000000,0.228134 
3373.000000,0.274293 
3004.000000,0.213992 
3704.000000,0.273321 
3313.000000,0.259832 
3259.000000,0.245616 
3553.000000,0.208160 
3460.000000,0.250936 
9963.000000,0.189642 
9985.000000,0.168169 
9915.000000,0.200703 
5098.000000,0.065011 
5150.000000,0.069111 
9983.000000,0.143663 
9893.000000,0.179194 
48.000000,0.104838 
9780.000000,0.154426 
43.000000,0.100289 
1660.000000,0.257464 
1434.000000,0.260506 
1021.000000,0.267265 
1451.000000,0.252933 
1725.000000,0.244079 
3718.000000,0.199084 
3347.000000,0.207647 
3496.000000,0.201695 
3771.000000,0.204948 
6976.000000,0.238135 
9973.000000,0.156013 
4929.000000,0.133120 
9784.000000,0.212998 
6714.000000,0.209135 
6688.000000,0.218178 
6712.000000,0.222682 
6640.000000,0.262015 
6660.000000,0.209330 
1170.000000,0.272708 
1246.000000,0.280001 
1086.000000,0.249100 
