point, dist
591.000000,0.141946 
660.000000,0.124538 
959.000000,0.136459 
4693.000000,0.119419 
8714.000000,0.173917 
8780.000000,0.158294 
8764.000000,0.164944 
378.000000,0.131297 
2494.000000,0.163865 
3474.000000,0.082404 
3581.000000,0.325905 
3915.000000,0.324756 
5140.000000,0.107157 
5053.000000,0.130809 
1818.000000,0.144138 
1685.000000,0.150450 
82.000000,0.134461 
9925.000000,0.132176 
73.000000,0.150871 
5294.000000,0.105347 
5826.000000,0.115285 
4674.000000,0.104994 
1816.000000,0.134787 
9306.000000,0.132238 
9395.000000,0.185719 
9373.000000,0.174521 
5374.000000,0.139220 
5392.000000,0.173570 
285.000000,0.135702 
5753.000000,0.120858 
6233.000000,0.115456 
1437.000000,0.141283 
1582.000000,0.131888 
1435.000000,0.122583 
1422.000000,0.124005 
9521.000000,0.185928 
9480.000000,0.184727 
9233.000000,0.144715 
9204.000000,0.145326 
2228.000000,0.126311 
2119.000000,0.145698 
9476.000000,0.172173 
2448.000000,0.141574 
2545.000000,0.134927 
2486.000000,0.123857 
710.000000,0.138013 
379.000000,0.132918 
9304.000000,0.143197 
3013.000000,0.134415 
2773.000000,0.119018 
2952.000000,0.142377 
2859.000000,0.135282 
3000.000000,0.126614 
9572.000000,0.175528 
4817.000000,0.113814 
4759.000000,0.085262 
5992.000000,0.129714 
4636.000000,0.133651 
6054.000000,0.162607 
9622.000000,0.179913 
9564.000000,0.174443 
9661.000000,0.165441 
6050.000000,0.140646 
4590.000000,0.119347 
4872.000000,0.121625 
8765.000000,0.170411 
6240.000000,0.111048 
5595.000000,0.116197 
9769.000000,0.147722 
9547.000000,0.175953 
9833.000000,0.149497 
9809.000000,0.130883 
9726.000000,0.138111 
9668.000000,0.176462 
5964.000000,0.130191 
5552.000000,0.117154 
5574.000000,0.124644 
5587.000000,0.108984 
8487.000000,0.126706 
4786.000000,0.095860 
6042.000000,0.113599 
7101.000000,0.130576 
3196.000000,0.099083 
3293.000000,0.108758 
3909.000000,0.308194 
3680.000000,0.271511 
3682.000000,0.274710 
3729.000000,0.271798 
3596.000000,0.266882 
4458.000000,0.295223 
4086.000000,0.311510 
4333.000000,0.295144 
4081.000000,0.310569 
4621.000000,0.113520 
8434.000000,0.150063 
8593.000000,0.152182 
4914.000000,0.106414 
5048.000000,0.115804 
4325.000000,0.276535 
3712.000000,0.291494 
4007.000000,0.299055 
3984.000000,0.307545 
4100.000000,0.300794 
4722.000000,0.104181 
4505.000000,0.115589 
4588.000000,0.093430 
4699.000000,0.098374 
4628.000000,0.106353 
3176.000000,0.090584 
3933.000000,0.306232 
3198.000000,0.081514 
3957.000000,0.313561 
793.000000,0.161503 
351.000000,0.131748 
465.000000,0.160321 
2675.000000,0.156705 
2346.000000,0.135673 
1084.000000,0.134300 
48.000000,0.130429 
52.000000,0.142595 
1516.000000,0.132015 
9948.000000,0.131811 
1301.000000,0.138984 
1683.000000,0.130640 
5761.000000,0.137532 
2418.000000,0.127875 
4647.000000,0.084551 
4758.000000,0.101536 
4726.000000,0.135572 
8528.000000,0.153020 
3363.000000,0.122222 
6105.000000,0.116596 
2781.000000,0.111649 
6256.000000,0.137464 
9221.000000,0.158650 
9381.000000,0.176597 
9384.000000,0.176030 
8403.000000,0.126960 
8085.000000,0.126192 
8318.000000,0.132534 
8008.000000,0.123720 
6217.000000,0.123707 
2258.000000,0.134550 
2259.000000,0.134502 
150.000000,0.123689 
157.000000,0.140769 
283.000000,0.133833 
299.000000,0.128863 
587.000000,0.128081 
368.000000,0.159360 
1527.000000,0.143223 
1073.000000,0.122571 
1050.000000,0.125773 
2345.000000,0.133661 
947.000000,0.128966 
7559.000000,0.130102 
7145.000000,0.143269 
6780.000000,0.134728 
8272.000000,0.134027 
8332.000000,0.133135 
8235.000000,0.130709 
5417.000000,0.123327 
5475.000000,0.141271 
9518.000000,0.186356 
2778.000000,0.079826 
2831.000000,0.107179 
3019.000000,0.082306 
3012.000000,0.086842 
2788.000000,0.111555 
2671.000000,0.104130 
3093.000000,0.092965 
3356.000000,0.089270 
2822.000000,0.089261 
2910.000000,0.072650 
2755.000000,0.087522 
3057.000000,0.081026 
2737.000000,0.129910 
2897.000000,0.132811 
9804.000000,0.154615 
9839.000000,0.127285 
9730.000000,0.136345 
9767.000000,0.136715 
5540.000000,0.122562 
9559.000000,0.175770 
9571.000000,0.180890 
8441.000000,0.132658 
8541.000000,0.139274 
8530.000000,0.131348 
5630.000000,0.116464 
5777.000000,0.119829 
7998.000000,0.132685 
4878.000000,0.115962 
4498.000000,0.097455 
3916.000000,0.295492 
3624.000000,0.302601 
1552.000000,0.145883 
5179.000000,0.076639 
4942.000000,0.090408 
5089.000000,0.081466 
5238.000000,0.090625 
5157.000000,0.114572 
833.000000,0.140240 
570.000000,0.146020 
763.000000,0.128705 
524.000000,0.142788 
4871.000000,0.162837 
8703.000000,0.163446 
8540.000000,0.126673 
4731.000000,0.114004 
4760.000000,0.092233 
4664.000000,0.080695 
5019.000000,0.108337 
5143.000000,0.096214 
5223.000000,0.103731 
4982.000000,0.099084 
4718.000000,0.090705 
4832.000000,0.080816 
5109.000000,0.098398 
4968.000000,0.090989 
5074.000000,0.096807 
5309.000000,0.096045 
908.000000,0.125577 
2526.000000,0.132237 
3309.000000,0.090236 
2762.000000,0.140058 
2669.000000,0.083749 
68.000000,0.124403 
9938.000000,0.124713 
1291.000000,0.136767 
1163.000000,0.126664 
1262.000000,0.144499 
1119.000000,0.131671 
1145.000000,0.140539 
1314.000000,0.136277 
1447.000000,0.134021 
1763.000000,0.131618 
1681.000000,0.146668 
1787.000000,0.140811 
1826.000000,0.136538 
3392.000000,0.111884 
3413.000000,0.079550 
3385.000000,0.076423 
8180.000000,0.123448 
5806.000000,0.115441 
5800.000000,0.126260 
5628.000000,0.135716 
6474.000000,0.143323 
6133.000000,0.118045 
8321.000000,0.136346 
6714.000000,0.134016 
7533.000000,0.130292 
6972.000000,0.135523 
7640.000000,0.136469 
7979.000000,0.127388 
8070.000000,0.136097 
5773.000000,0.141830 
5741.000000,0.119282 
9311.000000,0.136234 
2031.000000,0.123430 
2236.000000,0.136646 
2160.000000,0.135114 
2195.000000,0.123951 
2294.000000,0.148733 
6212.000000,0.129791 
1501.000000,0.131677 
5406.000000,0.114921 
2050.000000,0.139917 
1383.000000,0.125040 
1454.000000,0.138110 
1160.000000,0.135208 
1507.000000,0.129392 
1371.000000,0.128491 
2074.000000,0.131207 
2102.000000,0.149158 
1322.000000,0.133205 
2055.000000,0.123595 
1208.000000,0.133687 
1223.000000,0.128265 
1923.000000,0.133580 
1942.000000,0.128394 
1103.000000,0.136397 
2487.000000,0.128088 
6689.000000,0.139942 
7162.000000,0.123180 
6946.000000,0.127777 
7717.000000,0.128711 
1540.000000,0.123818 
925.000000,0.122958 
933.000000,0.127492 
7960.000000,0.142159 
