point, dist
6585.000000,0.105802 
6691.000000,0.076360 
6688.000000,0.121853 
7475.000000,0.207973 
6679.000000,0.064263 
8658.000000,0.238384 
3737.000000,0.332794 
3640.000000,0.337012 
3988.000000,0.356253 
8967.000000,0.239860 
9630.000000,0.184110 
8964.000000,0.239189 
9818.000000,0.157684 
9797.000000,0.166161 
9893.000000,0.156657 
9829.000000,0.163302 
9781.000000,0.209477 
9686.000000,0.118281 
9734.000000,0.207677 
9701.000000,0.133533 
6520.000000,0.062401 
6525.000000,0.116667 
7172.000000,0.106994 
8367.000000,0.266197 
8432.000000,0.228140 
8416.000000,0.226393 
7351.000000,0.252054 
8385.000000,0.207689 
8346.000000,0.231321 
1758.000000,0.126119 
1052.000000,0.253335 
9636.000000,0.198750 
6886.000000,0.058340 
6394.000000,0.141200 
1096.000000,0.246859 
2727.000000,0.230505 
3282.000000,0.201417 
3482.000000,0.250024 
720.000000,0.206518 
9944.000000,0.229245 
729.000000,0.229060 
9849.000000,0.175504 
9897.000000,0.165884 
6880.000000,0.099938 
1790.000000,0.093877 
7087.000000,0.046268 
1055.000000,0.212160 
7246.000000,0.104573 
6645.000000,0.098217 
6625.000000,0.107442 
6665.000000,0.110118 
7769.000000,0.273861 
7728.000000,0.204174 
7581.000000,0.216952 
7673.000000,0.232289 
6601.000000,0.138144 
3399.000000,0.228274 
2932.000000,0.211584 
2809.000000,0.245062 
2921.000000,0.221151 
3531.000000,0.215118 
6967.000000,0.118789 
3014.000000,0.224899 
2747.000000,0.233875 
6953.000000,0.064681 
6921.000000,0.108951 
9784.000000,0.180101 
9724.000000,0.202905 
9716.000000,0.146990 
6485.000000,0.065674 
6509.000000,0.124528 
6966.000000,0.109117 
8306.000000,0.219841 
8454.000000,0.247476 
7916.000000,0.203195 
7618.000000,0.228245 
8450.000000,0.223774 
8421.000000,0.226631 
7346.000000,0.201470 
8328.000000,0.228389 
7337.000000,0.224429 
7355.000000,0.268394 
7311.000000,0.237535 
7359.000000,0.251147 
7341.000000,0.250559 
7391.000000,0.263790 
3286.000000,0.224567 
3382.000000,0.239604 
3362.000000,0.215485 
1750.000000,0.159965 
9796.000000,0.190259 
9798.000000,0.171365 
8444.000000,0.238800 
8334.000000,0.211870 
7368.000000,0.214125 
7343.000000,0.256320 
7361.000000,0.220803 
8298.000000,0.216975 
113.000000,0.243703 
3554.000000,0.365667 
2319.000000,0.267907 
1959.000000,0.255760 
737.000000,0.229549 
47.000000,0.235716 
71.000000,0.232490 
3595.000000,0.365941 
1619.000000,0.231543 
3578.000000,0.367951 
3994.000000,0.358702 
1609.000000,0.216973 
4055.000000,0.369405 
3877.000000,0.340034 
3622.000000,0.377645 
3540.000000,0.359198 
3746.000000,0.357208 
3899.000000,0.379467 
455.000000,0.209078 
503.000000,0.236853 
506.000000,0.206210 
7229.000000,0.072617 
7234.000000,0.083243 
7196.000000,0.141209 
9865.000000,0.173688 
9687.000000,0.145354 
9770.000000,0.186204 
6845.000000,0.125409 
6849.000000,0.096802 
7178.000000,0.098336 
7127.000000,0.077523 
7150.000000,0.162870 
9850.000000,0.185714 
9895.000000,0.169369 
9856.000000,0.154930 
8871.000000,0.215060 
6606.000000,0.045002 
6618.000000,0.167543 
6530.000000,0.087795 
1759.000000,0.154285 
8816.000000,0.231147 
9042.000000,0.228503 
1760.000000,0.161865 
4863.000000,0.253352 
1223.000000,0.255844 
1151.000000,0.214141 
1514.000000,0.229359 
1253.000000,0.222942 
1294.000000,0.221873 
9013.000000,0.220237 
9017.000000,0.227136 
9158.000000,0.294809 
4681.000000,0.283505 
8978.000000,0.224310 
5206.000000,0.273904 
9175.000000,0.281764 
9065.000000,0.232712 
7808.000000,0.225000 
8237.000000,0.231541 
4167.000000,0.362519 
4222.000000,0.334410 
3598.000000,0.367022 
4266.000000,0.373867 
7766.000000,0.235383 
7747.000000,0.255211 
7891.000000,0.209988 
7879.000000,0.221307 
8200.000000,0.213147 
7510.000000,0.222138 
8108.000000,0.214377 
7790.000000,0.236336 
8958.000000,0.238766 
8656.000000,0.241828 
8836.000000,0.238600 
8484.000000,0.231090 
8941.000000,0.203356 
4287.000000,0.372292 
6080.000000,0.237146 
5230.000000,0.289097 
8066.000000,0.221313 
7757.000000,0.243115 
8081.000000,0.207527 
8135.000000,0.240427 
8201.000000,0.212400 
3342.000000,0.234336 
668.000000,0.260894 
1732.000000,0.123670 
676.000000,0.245365 
6331.000000,0.102624 
1953.000000,0.255268 
788.000000,0.229168 
206.000000,0.241344 
6574.000000,0.083814 
9817.000000,0.224261 
9817.000000,0.190408 
9673.000000,0.123921 
6471.000000,0.111531 
9735.000000,0.192957 
6656.000000,0.057582 
6631.000000,0.146341 
9674.000000,0.123542 
6521.000000,0.144343 
6649.000000,0.118881 
6505.000000,0.089285 
6934.000000,0.115192 
7354.000000,0.247192 
3215.000000,0.255983 
2985.000000,0.244649 
2698.000000,0.217974 
2880.000000,0.233999 
6789.000000,0.165624 
9110.000000,0.240314 
6759.000000,0.141366 
6387.000000,0.117533 
9883.000000,0.167277 
1102.000000,0.226748 
2349.000000,0.262376 
274.000000,0.244443 
2624.000000,0.271464 
510.000000,0.245998 
9871.000000,0.199900 
6529.000000,0.039678 
9822.000000,0.193652 
7377.000000,0.262199 
3174.000000,0.215174 
3374.000000,0.247194 
3350.000000,0.211106 
3133.000000,0.227863 
2981.000000,0.209286 
3260.000000,0.204308 
2292.000000,0.229956 
2188.000000,0.244845 
2389.000000,0.253008 
2047.000000,0.222942 
2308.000000,0.221867 
3796.000000,0.323534 
3799.000000,0.328741 
3709.000000,0.359745 
3996.000000,0.353079 
3726.000000,0.356487 
2307.000000,0.231758 
2443.000000,0.245136 
1958.000000,0.206445 
4023.000000,0.367480 
2030.000000,0.212631 
6300.000000,0.254157 
5527.000000,0.208583 
5619.000000,0.206386 
5541.000000,0.241071 
5909.000000,0.278122 
5531.000000,0.199514 
5804.000000,0.203486 
5694.000000,0.250149 
5578.000000,0.241052 
6103.000000,0.224516 
5299.000000,0.205700 
5387.000000,0.208862 
5164.000000,0.216137 
5328.000000,0.212746 
4799.000000,0.201838 
5034.000000,0.228846 
5879.000000,0.209826 
6059.000000,0.265121 
7981.000000,0.210240 
7944.000000,0.220075 
767.000000,0.276022 
823.000000,0.223836 
900.000000,0.233012 
1616.000000,0.223813 
3716.000000,0.361701 
6188.000000,0.251124 
4568.000000,0.382942 
5514.000000,0.270109 
3687.000000,0.320990 
3947.000000,0.359153 
3949.000000,0.330301 
3957.000000,0.339264 
3797.000000,0.374299 
3577.000000,0.384794 
1639.000000,0.199786 
9947.000000,0.217869 
764.000000,0.234628 
914.000000,0.239562 
1620.000000,0.233511 
44.000000,0.225217 
491.000000,0.209670 
217.000000,0.210641 
230.000000,0.221977 
225.000000,0.234098 
257.000000,0.207948 
9981.000000,0.212833 
645.000000,0.207633 
8690.000000,0.202885 
8480.000000,0.223588 
8550.000000,0.211838 
7157.000000,0.159574 
7204.000000,0.131663 
9847.000000,0.163598 
7201.000000,0.088029 
7089.000000,0.099720 
7075.000000,0.168819 
7052.000000,0.077286 
1074.000000,0.229147 
965.000000,0.204353 
7048.000000,0.098615 
6870.000000,0.061068 
