point, dist
266.000000,0.203385 
294.000000,0.227575 
275.000000,0.123715 
251.000000,0.104126 
8736.000000,0.185311 
9141.000000,0.177655 
7184.000000,0.137572 
8820.000000,0.286418 
293.000000,0.204140 
254.000000,0.167997 
257.000000,0.141941 
170.000000,0.112693 
284.000000,0.136432 
227.000000,0.109073 
187.000000,0.300771 
251.000000,0.169212 
7109.000000,0.142903 
9405.000000,0.238851 
9398.000000,0.173792 
9394.000000,0.274681 
9360.000000,0.260704 
7112.000000,0.212415 
7197.000000,0.154813 
7116.000000,0.200556 
6920.000000,0.163870 
6937.000000,0.184936 
7477.000000,0.204127 
6922.000000,0.107332 
7303.000000,0.188704 
7132.000000,0.191657 
272.000000,0.210364 
6003.000000,0.189591 
4355.000000,0.149767 
4423.000000,0.148552 
4350.000000,0.259164 
9656.000000,0.245374 
9671.000000,0.124412 
9692.000000,0.253022 
9401.000000,0.191416 
9391.000000,0.219686 
1307.000000,0.198236 
9496.000000,0.213453 
9494.000000,0.157999 
9495.000000,0.190675 
9550.000000,0.369044 
5647.000000,0.194747 
9551.000000,0.293214 
9548.000000,0.283526 
5629.000000,0.188153 
242.000000,0.291860 
223.000000,0.123512 
9341.000000,0.331142 
300.000000,0.447427 
9288.000000,0.309440 
9281.000000,0.378399 
9300.000000,0.262616 
9289.000000,0.210193 
9636.000000,0.260487 
9676.000000,0.170407 
9675.000000,0.148271 
9604.000000,0.269532 
6925.000000,0.028781 
6929.000000,0.096804 
6938.000000,0.217932 
7206.000000,0.048036 
8812.000000,0.122729 
9302.000000,0.177919 
8784.000000,0.183885 
8339.000000,0.224023 
8317.000000,0.211202 
9264.000000,0.219306 
9267.000000,0.158452 
9297.000000,0.276760 
7787.000000,0.458479 
9452.000000,0.201157 
9456.000000,0.218778 
9466.000000,0.149485 
9427.000000,0.290086 
1934.000000,0.205932 
2049.000000,0.247307 
2395.000000,0.270890 
2026.000000,0.275522 
1990.000000,0.208706 
2258.000000,0.236811 
1778.000000,0.181365 
1783.000000,0.188236 
1865.000000,0.189710 
1827.000000,0.200606 
1772.000000,0.193804 
4582.000000,0.370875 
4239.000000,0.414954 
4596.000000,0.447909 
1867.000000,0.211197 
1849.000000,0.168311 
1871.000000,0.218375 
1916.000000,0.237079 
1835.000000,0.221132 
1824.000000,0.179841 
1799.000000,0.223663 
5472.000000,0.192533 
5141.000000,0.263564 
9539.000000,0.172214 
5179.000000,0.313446 
9565.000000,0.256593 
5152.000000,0.276552 
9562.000000,0.249339 
4333.000000,0.138876 
4299.000000,0.243235 
4336.000000,0.105758 
2621.000000,0.211506 
2705.000000,0.172231 
6975.000000,0.230437 
6974.000000,0.204784 
6880.000000,0.287386 
7060.000000,0.285428 
6807.000000,0.463943 
7285.000000,0.199561 
9162.000000,0.182674 
6916.000000,0.071512 
7118.000000,0.156993 
2528.000000,0.263905 
2534.000000,0.172043 
2535.000000,0.193103 
2521.000000,0.205361 
4100.000000,0.163294 
4114.000000,0.097761 
4111.000000,0.113821 
9738.000000,0.168466 
9665.000000,0.185030 
5893.000000,0.179539 
4313.000000,0.177402 
4408.000000,0.041409 
9669.000000,0.108941 
9671.000000,0.199046 
81.000000,0.292764 
85.000000,0.213008 
88.000000,0.138888 
1247.000000,0.199569 
1250.000000,0.239135 
1287.000000,0.175330 
1305.000000,0.235219 
5721.000000,0.169614 
3380.000000,0.170790 
9384.000000,0.209760 
9409.000000,0.386538 
9348.000000,0.311963 
9330.000000,0.228018 
9416.000000,0.296939 
3484.000000,0.374742 
9568.000000,0.170353 
9573.000000,0.311805 
9474.000000,0.201500 
6324.000000,0.247234 
9484.000000,0.323946 
6273.000000,0.388758 
4457.000000,0.145002 
4440.000000,0.205687 
6909.000000,0.091849 
9029.000000,0.148343 
1256.000000,0.229762 
5825.000000,0.260240 
