point, dist
5325.000000,0.198601 
9305.000000,0.269805 
5303.000000,0.318525 
5303.000000,0.255673 
838.000000,0.241964 
835.000000,0.104586 
648.000000,0.127609 
873.000000,0.268987 
685.000000,0.307032 
723.000000,0.259581 
709.000000,0.312605 
602.000000,0.120510 
5225.000000,0.226144 
9847.000000,0.214319 
9838.000000,0.358295 
5227.000000,0.157491 
5234.000000,0.196436 
9843.000000,0.226932 
1298.000000,0.298334 
9425.000000,0.281133 
9438.000000,0.333307 
1287.000000,0.298330 
1199.000000,0.307057 
9249.000000,0.394391 
1254.000000,0.193350 
1225.000000,0.362099 
9704.000000,0.757391 
9725.000000,0.734193 
9712.000000,0.722215 
2550.000000,0.259522 
2234.000000,0.268986 
5289.000000,0.292387 
2196.000000,0.330646 
2198.000000,0.244124 
5309.000000,0.300370 
5311.000000,0.196263 
8749.000000,0.570205 
9317.000000,0.333264 
8749.000000,0.612878 
9614.000000,0.347880 
889.000000,0.135669 
737.000000,0.317723 
598.000000,0.334175 
712.000000,0.132183 
662.000000,0.251172 
711.000000,0.257641 
5125.000000,0.404648 
5091.000000,0.325081 
5109.000000,0.449093 
5028.000000,0.386119 
440.000000,0.312932 
9305.000000,0.355704 
9669.000000,0.115493 
5213.000000,0.224352 
5128.000000,0.298567 
9812.000000,0.509769 
9812.000000,0.488822 
5149.000000,0.199183 
9843.000000,0.332559 
2553.000000,0.282729 
5291.000000,0.317009 
5260.000000,0.173068 
5273.000000,0.294575 
5219.000000,0.231500 
5231.000000,0.175824 
5223.000000,0.321975 
5284.000000,0.264570 
5216.000000,0.209354 
5212.000000,0.309864 
5265.000000,0.157748 
5255.000000,0.170475 
5258.000000,0.294605 
2545.000000,0.250550 
5258.000000,0.377889 
5264.000000,0.269554 
2504.000000,0.184017 
4359.000000,0.303207 
1225.000000,0.290135 
9424.000000,0.276787 
9458.000000,0.283655 
9424.000000,0.676452 
9452.000000,0.223915 
1199.000000,0.118758 
1268.000000,0.126168 
1299.000000,0.380390 
6392.000000,0.216028 
5463.000000,0.313606 
5467.000000,0.142734 
5059.000000,0.241716 
5078.000000,0.251033 
5038.000000,0.126449 
5076.000000,0.266757 
5042.000000,0.391729 
5075.000000,0.252785 
5037.000000,0.329434 
5065.000000,0.180155 
9727.000000,0.692014 
9725.000000,0.457756 
5270.000000,0.227227 
2547.000000,0.202284 
5206.000000,0.289769 
75.000000,0.241511 
5177.000000,0.331588 
5178.000000,0.262469 
5172.000000,0.259074 
4975.000000,0.340463 
4972.000000,0.194527 
1255.000000,0.344614 
4983.000000,0.258585 
4961.000000,0.301837 
527.000000,0.272491 
527.000000,0.150254 
547.000000,0.314624 
595.000000,0.322778 
2525.000000,0.408514 
9617.000000,0.272628 
2234.000000,0.338924 
9625.000000,0.283234 
5307.000000,0.246468 
9629.000000,0.198059 
8749.000000,1.022331 
647.000000,0.222593 
709.000000,0.278694 
723.000000,0.272632 
2649.000000,0.146980 
2664.000000,0.214870 
9590.000000,0.232490 
9377.000000,0.347305 
739.000000,0.189506 
714.000000,0.215142 
9974.000000,0.496293 
9979.000000,0.358209 
423.000000,0.119234 
365.000000,0.177788 
392.000000,0.143610 
571.000000,0.384417 
557.000000,0.231999 
110.000000,0.291088 
526.000000,0.249687 
412.000000,0.300923 
439.000000,0.259704 
8712.000000,0.504563 
5185.000000,0.739514 
9669.000000,0.620963 
5310.000000,0.315675 
1264.000000,0.215643 
1204.000000,0.268645 
1258.000000,0.312820 
1257.000000,0.355557 
914.000000,0.205048 
827.000000,0.274177 
755.000000,0.150581 
888.000000,0.203982 
4943.000000,0.295415 
4957.000000,0.283904 
9746.000000,0.432863 
9748.000000,0.171887 
9748.000000,0.421912 
9748.000000,0.723105 
6350.000000,0.260219 
6351.000000,0.153762 
6350.000000,0.077714 
6345.000000,0.223112 
6344.000000,0.141785 
5874.000000,0.326184 
5167.000000,0.232125 
50.000000,0.307382 
5207.000000,0.294803 
5174.000000,0.249999 
5200.000000,0.274854 
274.000000,0.294202 
5180.000000,0.340508 
307.000000,0.299362 
5176.000000,0.313027 
6384.000000,0.289960 
6384.000000,0.168589 
6456.000000,0.217566 
6457.000000,0.143765 
6772.000000,0.239336 
6772.000000,0.154920 
6773.000000,0.299595 
5213.000000,0.278920 
5150.000000,0.277986 
5142.000000,0.186625 
5157.000000,0.191567 
5130.000000,0.271454 
5235.000000,0.167770 
5229.000000,0.322911 
5217.000000,0.184339 
5226.000000,0.312295 
5237.000000,0.186307 
5238.000000,0.263078 
5139.000000,0.211578 
5151.000000,0.203917 
5137.000000,0.272759 
5137.000000,0.359038 
9847.000000,0.324082 
9843.000000,0.782496 
9808.000000,0.438166 
9812.000000,0.915176 
6362.000000,0.247595 
6364.000000,0.296794 
6364.000000,0.111435 
6362.000000,0.290564 
5216.000000,0.293289 
5292.000000,0.191041 
2559.000000,0.295486 
5268.000000,0.341404 
5274.000000,0.320733 
5281.000000,0.234413 
5254.000000,0.158305 
5282.000000,0.189795 
5295.000000,0.171081 
5262.000000,0.312327 
9840.000000,0.325723 
9848.000000,0.405967 
9840.000000,0.216791 
9845.000000,0.338280 
5218.000000,0.208876 
5210.000000,0.331190 
5220.000000,0.200525 
9846.000000,0.366176 
5233.000000,0.240310 
9846.000000,0.447424 
2444.000000,0.274491 
9927.000000,0.245110 
2517.000000,0.284836 
9922.000000,0.248482 
5284.000000,0.369444 
2507.000000,0.182655 
4363.000000,0.316206 
4372.000000,0.296204 
2506.000000,0.338808 
2506.000000,0.305269 
4362.000000,0.251054 
2532.000000,0.260437 
2563.000000,0.280773 
2536.000000,0.168922 
9923.000000,0.232512 
9915.000000,0.102776 
1371.000000,0.218536 
9915.000000,0.297807 
5385.000000,0.158346 
5446.000000,0.326903 
5445.000000,0.244260 
5446.000000,0.186845 
5071.000000,0.273630 
5027.000000,0.246928 
5026.000000,0.233408 
9727.000000,0.386502 
9729.000000,0.417228 
9727.000000,0.139451 
5112.000000,0.344590 
5121.000000,0.365448 
9412.000000,0.228536 
9422.000000,0.139872 
9401.000000,0.326790 
9422.000000,0.313788 
9412.000000,0.276828 
9401.000000,0.664975 
7441.000000,0.709994 
6331.000000,0.843757 
6331.000000,0.661598 
5782.000000,1.094270 
6330.000000,0.562122 
1218.000000,0.238937 
1256.000000,0.404014 
1207.000000,0.239170 
9725.000000,0.282142 
1254.000000,0.326492 
1224.000000,0.160742 
1212.000000,0.335393 
4997.000000,0.775942 
4997.000000,0.368318 
9709.000000,0.309762 
5113.000000,0.206161 
4998.000000,0.321154 
5049.000000,0.414602 
5061.000000,0.324552 
5049.000000,0.241376 
5010.000000,0.168153 
5007.000000,0.193532 
4918.000000,0.443912 
9714.000000,0.746270 
9745.000000,0.760889 
2702.000000,1.098516 
4639.000000,0.325838 
4581.000000,0.364601 
2269.000000,0.258277 
2543.000000,0.248760 
5259.000000,0.187229 
9935.000000,0.231101 
5046.000000,0.283690 
186.000000,0.408979 
74.000000,0.239448 
5204.000000,0.287084 
5171.000000,0.333173 
5188.000000,0.338027 
26.000000,0.261024 
259.000000,0.268011 
128.000000,0.229800 
249.000000,0.326643 
99.000000,0.307798 
249.000000,0.368934 
269.000000,0.299013 
90.000000,0.320764 
5315.000000,0.166491 
5321.000000,0.447411 
5339.000000,0.270416 
9810.000000,0.179067 
9810.000000,0.424887 
9826.000000,0.259708 
