point, dist
7806.000000,0.357622 
7797.000000,0.394287 
7805.000000,0.291552 
7819.000000,0.406264 
2757.000000,0.271428 
2767.000000,0.251120 
2949.000000,0.374179 
2753.000000,0.263456 
2720.000000,0.511483 
2766.000000,0.406985 
2756.000000,0.342764 
3734.000000,0.292786 
1493.000000,0.346727 
3606.000000,0.227762 
1495.000000,0.300953 
2706.000000,0.444056 
2708.000000,0.383163 
2775.000000,0.314607 
1876.000000,0.326727 
1876.000000,0.538221 
1877.000000,0.270388 
1877.000000,0.217524 
2623.000000,0.283252 
4702.000000,0.150393 
1799.000000,0.285418 
1803.000000,0.250977 
4702.000000,0.348150 
1804.000000,0.108272 
3308.000000,0.287886 
3307.000000,0.573330 
1276.000000,0.502499 
3307.000000,0.211791 
1240.000000,0.378055 
3289.000000,0.403860 
1724.000000,0.345103 
5211.000000,0.290674 
5341.000000,0.486747 
1751.000000,0.458843 
5650.000000,0.279375 
5650.000000,0.312424 
1832.000000,0.483635 
1832.000000,0.196939 
1489.000000,0.411906 
1505.000000,0.373352 
1489.000000,0.322300 
1503.000000,0.403971 
3755.000000,0.370336 
3743.000000,0.219384 
3741.000000,0.468241 
3737.000000,0.224587 
3737.000000,0.331719 
1681.000000,0.121084 
6690.000000,0.379892 
6697.000000,0.265125 
1683.000000,0.550660 
2773.000000,0.179518 
2786.000000,0.267577 
2155.000000,0.355680 
5474.000000,0.299586 
1796.000000,0.180074 
1797.000000,0.219126 
1797.000000,0.317295 
1127.000000,0.121497 
1633.000000,0.258869 
1121.000000,0.129013 
1635.000000,0.422646 
3315.000000,0.429901 
1128.000000,0.348076 
3400.000000,0.241237 
1122.000000,0.273964 
1128.000000,0.416156 
1109.000000,0.260680 
2770.000000,0.408188 
2706.000000,0.496232 
4636.000000,0.456073 
2149.000000,0.344646 
2149.000000,0.560017 
7738.000000,0.367587 
7725.000000,0.316491 
7716.000000,0.470317 
7719.000000,0.193424 
7717.000000,0.343105 
7737.000000,0.398486 
1376.000000,0.276086 
2668.000000,0.396587 
1339.000000,0.369351 
1376.000000,0.340249 
7781.000000,0.320965 
7778.000000,0.413885 
7756.000000,0.270103 
7385.000000,0.334432 
7420.000000,0.226966 
942.000000,0.303265 
7762.000000,0.404773 
7769.000000,0.288507 
7762.000000,0.229119 
7774.000000,0.227378 
7770.000000,0.422212 
7769.000000,0.381233 
7774.000000,0.333380 
7769.000000,0.199516 
7753.000000,0.147769 
3307.000000,0.269451 
3511.000000,0.401449 
1133.000000,0.271916 
4654.000000,0.594441 
1133.000000,0.252885 
3365.000000,0.450613 
3507.000000,0.384027 
1121.000000,0.327755 
3365.000000,0.307868 
1503.000000,0.255703 
776.000000,0.385316 
3319.000000,0.368195 
3310.000000,0.360640 
3310.000000,0.409368 
1799.000000,0.311260 
5149.000000,0.348959 
2624.000000,0.355977 
5170.000000,0.444275 
2629.000000,0.506757 
4743.000000,0.238465 
1818.000000,0.430524 
1814.000000,0.444174 
1811.000000,0.507250 
1271.000000,0.565104 
1272.000000,0.530124 
6239.000000,0.402965 
1062.000000,1.042341 
4625.000000,0.864393 
4625.000000,1.513377 
4633.000000,1.156690 
770.000000,0.498410 
7640.000000,0.157909 
1046.000000,0.406606 
1039.000000,0.532926 
819.000000,0.340374 
7452.000000,0.286985 
819.000000,0.584003 
810.000000,0.209431 
7798.000000,0.398463 
949.000000,0.172290 
938.000000,0.389606 
2754.000000,0.340910 
1289.000000,0.249911 
2727.000000,0.486231 
4713.000000,0.246626 
3158.000000,0.439034 
1293.000000,0.452187 
3158.000000,0.424602 
1330.000000,0.368498 
7751.000000,0.233363 
7751.000000,0.240226 
9526.000000,1.331254 
5229.000000,1.389047 
5220.000000,1.393051 
921.000000,0.345460 
921.000000,0.370947 
921.000000,0.299601 
917.000000,0.263996 
931.000000,0.192933 
924.000000,0.227045 
1236.000000,0.213327 
1234.000000,0.117467 
3626.000000,0.250349 
3626.000000,0.347322 
1456.000000,0.329439 
2710.000000,0.304073 
1104.000000,0.308898 
2935.000000,0.147662 
2155.000000,0.250328 
5220.000000,0.891990 
5220.000000,0.870692 
1122.000000,0.202609 
3507.000000,0.251607 
1123.000000,0.197141 
6244.000000,0.355441 
1108.000000,0.235435 
1107.000000,0.177350 
2741.000000,0.456120 
2777.000000,0.342797 
2160.000000,0.247594 
2160.000000,0.372684 
2730.000000,0.588108 
2762.000000,0.316781 
2726.000000,0.372318 
2380.000000,0.349734 
2363.000000,0.424856 
2392.000000,0.336868 
926.000000,0.400079 
926.000000,0.299575 
942.000000,0.194365 
7244.000000,0.372528 
7382.000000,0.269345 
7422.000000,0.275483 
1224.000000,0.332430 
1221.000000,0.242027 
7160.000000,0.114283 
7144.000000,0.242605 
1180.000000,0.461566 
893.000000,0.371670 
1142.000000,0.284897 
7375.000000,0.213550 
854.000000,0.311875 
857.000000,0.325808 
855.000000,0.396559 
4701.000000,0.412657 
7416.000000,0.262067 
7422.000000,0.328297 
7332.000000,0.395688 
7332.000000,0.281267 
7332.000000,0.275963 
7393.000000,0.176001 
7417.000000,0.148002 
7394.000000,0.368836 
7373.000000,0.202193 
7385.000000,0.283578 
942.000000,0.453100 
9913.000000,0.387783 
9928.000000,0.255983 
9928.000000,0.306646 
1127.000000,0.370820 
3396.000000,0.394727 
3319.000000,0.337452 
3410.000000,0.421654 
3308.000000,0.324430 
3445.000000,0.372787 
3504.000000,0.224425 
3498.000000,0.344246 
1651.000000,0.398320 
6656.000000,0.330649 
1650.000000,0.361275 
1649.000000,0.533615 
2623.000000,0.567048 
4754.000000,0.278785 
4736.000000,0.347660 
4774.000000,0.424542 
5308.000000,0.360251 
1751.000000,0.493098 
1833.000000,0.374310 
5719.000000,0.201114 
4851.000000,0.405948 
1814.000000,0.568840 
1806.000000,0.441230 
4786.000000,0.228229 
4744.000000,0.178006 
1813.000000,0.443563 
5676.000000,0.382357 
2629.000000,0.538473 
2624.000000,0.617685 
5199.000000,0.290027 
5199.000000,0.627278 
1819.000000,0.531824 
1809.000000,0.577323 
4733.000000,0.123443 
4733.000000,0.488744 
4779.000000,0.365807 
5848.000000,0.314757 
5848.000000,0.265727 
5866.000000,0.529566 
5866.000000,0.110314 
6656.000000,0.472928 
1671.000000,0.480322 
1654.000000,0.555335 
6668.000000,0.230367 
6517.000000,0.236644 
6373.000000,0.235300 
6241.000000,0.203090 
6245.000000,0.382539 
1802.000000,0.418707 
1802.000000,0.350386 
5475.000000,0.285025 
2643.000000,0.266951 
5186.000000,0.517754 
5197.000000,0.294822 
4636.000000,0.693850 
770.000000,0.316945 
1057.000000,0.114347 
1049.000000,0.169309 
7647.000000,0.568145 
1056.000000,0.432024 
822.000000,0.303643 
7236.000000,0.510473 
7478.000000,0.320889 
7478.000000,0.289486 
7626.000000,0.463240 
801.000000,0.499301 
801.000000,0.198928 
7545.000000,0.399884 
795.000000,0.281095 
814.000000,0.303500 
7461.000000,0.231187 
7372.000000,0.158844 
7391.000000,0.144019 
1337.000000,0.164714 
3046.000000,0.314677 
1325.000000,0.317591 
3169.000000,0.375379 
1329.000000,0.220953 
1329.000000,0.274443 
1294.000000,0.553842 
1294.000000,0.238837 
3073.000000,0.477657 
3073.000000,0.275168 
1835.000000,0.129570 
2260.000000,2.854160 
4670.000000,2.821161 
2459.000000,3.139239 
2949.000000,0.346908 
2949.000000,0.372436 
1289.000000,0.227725 
3162.000000,0.222988 
1293.000000,0.228957 
1293.000000,0.231540 
2865.000000,0.515112 
1293.000000,0.453500 
1292.000000,0.308696 
7751.000000,0.459886 
7764.000000,0.199457 
7776.000000,0.297842 
7752.000000,0.276683 
5220.000000,1.406460 
1778.000000,1.446924 
5220.000000,1.563736 
1591.000000,0.329434 
869.000000,0.541732 
1577.000000,0.350468 
929.000000,0.243894 
924.000000,0.392083 
924.000000,0.331174 
6995.000000,0.267185 
1234.000000,0.374694 
818.000000,0.313934 
948.000000,0.428931 
1030.000000,0.184649 
1034.000000,0.170255 
1025.000000,0.242170 
1024.000000,0.331242 
9727.000000,0.388673 
1020.000000,0.242277 
6501.000000,0.310028 
1018.000000,0.223753 
1011.000000,0.234871 
1017.000000,0.317661 
1011.000000,0.413076 
5727.000000,0.367804 
1647.000000,0.166197 
5832.000000,0.489205 
5831.000000,0.390455 
3359.000000,0.395733 
3394.000000,0.283568 
3359.000000,0.312624 
5579.000000,2.871596 
207.000000,3.121852 
1854.000000,2.816160 
207.000000,2.696373 
207.000000,2.580336 
207.000000,2.774493 
1866.000000,2.703472 
1520.000000,0.255710 
3631.000000,0.320376 
3610.000000,0.237044 
1662.000000,0.507522 
8172.000000,2.788193 
8172.000000,3.030958 
8172.000000,2.763915 
1298.000000,0.302727 
1393.000000,0.240197 
3472.000000,0.295213 
3565.000000,0.296111 
9915.000000,0.408813 
9915.000000,0.310614 
1041.000000,0.483417 
1041.000000,0.217889 
1049.000000,0.446085 
1054.000000,0.360629 
1058.000000,0.397131 
752.000000,0.357091 
1059.000000,0.298711 
1050.000000,0.172534 
2935.000000,0.508682 
2326.000000,0.292472 
2326.000000,0.315595 
5211.000000,0.312251 
1726.000000,0.162869 
5212.000000,0.295741 
5220.000000,0.566090 
1122.000000,0.365486 
1122.000000,0.627710 
1106.000000,0.295293 
1241.000000,0.332939 
3315.000000,0.332602 
1985.000000,0.439549 
1970.000000,0.344072 
1984.000000,0.342172 
3063.000000,0.320342 
3063.000000,0.234750 
2730.000000,0.517432 
1105.000000,0.359476 
1104.000000,0.226630 
2158.000000,0.460135 
2884.000000,0.232566 
2831.000000,0.291824 
2860.000000,0.231128 
2149.000000,0.213885 
2140.000000,0.331361 
2140.000000,0.184056 
1060.000000,0.375165 
2154.000000,0.222723 
1060.000000,0.433534 
2791.000000,0.319765 
7824.000000,0.416447 
7800.000000,0.261758 
7808.000000,0.353936 
7808.000000,0.232036 
7149.000000,0.237453 
1225.000000,0.128881 
7149.000000,0.275365 
7752.000000,0.382894 
7777.000000,0.399969 
7776.000000,0.292394 
7754.000000,0.357562 
7778.000000,0.247789 
1376.000000,0.611450 
881.000000,0.283704 
7087.000000,0.177962 
891.000000,0.290255 
7778.000000,0.361044 
7155.000000,0.179499 
7174.000000,0.378774 
7180.000000,0.261558 
7174.000000,0.213973 
7135.000000,0.226628 
7163.000000,0.142755 
7103.000000,0.163735 
7147.000000,0.337255 
7103.000000,0.343642 
7242.000000,0.300965 
842.000000,0.322291 
828.000000,0.399255 
7241.000000,0.244125 
7336.000000,0.404472 
7336.000000,0.234683 
7796.000000,0.365562 
847.000000,0.328150 
7197.000000,0.325581 
845.000000,0.220221 
7754.000000,0.246100 
9221.000000,0.936951 
9221.000000,0.864821 
9290.000000,1.025956 
7335.000000,0.522361 
828.000000,0.345844 
7351.000000,0.379615 
7334.000000,0.201778 
7334.000000,0.562443 
7367.000000,0.349267 
7368.000000,0.335623 
7341.000000,0.543042 
7416.000000,0.229006 
7394.000000,0.232207 
7573.000000,0.243451 
7579.000000,0.290309 
7552.000000,0.579201 
798.000000,0.366250 
7497.000000,0.134105 
7529.000000,0.269378 
1463.000000,0.118990 
1463.000000,0.413397 
9913.000000,0.325232 
3493.000000,0.200207 
