point, dist
2226.000000,0.370342 
2310.000000,0.396845 
2354.000000,0.623226 
6407.000000,0.265085 
6407.000000,0.372254 
6407.000000,0.624824 
6997.000000,0.680298 
4721.000000,0.579998 
4717.000000,0.245191 
2023.000000,0.593035 
1968.000000,0.929335 
2023.000000,0.638788 
2023.000000,0.403413 
1968.000000,0.397303 
4628.000000,0.531727 
4645.000000,0.822577 
3508.000000,0.454003 
4628.000000,0.196558 
6911.000000,1.592866 
4664.000000,0.770874 
6913.000000,0.416200 
4628.000000,0.317843 
3659.000000,0.459094 
3561.000000,0.337850 
3659.000000,0.503986 
3561.000000,0.448790 
2015.000000,0.592539 
3561.000000,0.635329 
4736.000000,0.540762 
4736.000000,0.412789 
2288.000000,0.526919 
4736.000000,0.613333 
4518.000000,0.207788 
4550.000000,0.451728 
4527.000000,0.167227 
4518.000000,0.350438 
4706.000000,0.718393 
4706.000000,0.558937 
4706.000000,0.226505 
4706.000000,0.427424 
4706.000000,0.666249 
4715.000000,0.759900 
4716.000000,0.840780 
4716.000000,0.667677 
4715.000000,0.915756 
6421.000000,0.560895 
4721.000000,0.708808 
4721.000000,0.482292 
6255.000000,0.643569 
6377.000000,0.301982 
4948.000000,0.630911 
4948.000000,0.589943 
6377.000000,0.457975 
3561.000000,0.700645 
4609.000000,0.710881 
6093.000000,0.616263 
6093.000000,0.871238 
6387.000000,0.480102 
2015.000000,0.523663 
4609.000000,0.753427 
2019.000000,0.361051 
2019.000000,0.630740 
2012.000000,0.435878 
4550.000000,0.916345 
2019.000000,0.548150 
4584.000000,0.066083 
4516.000000,0.336411 
4584.000000,0.565024 
4741.000000,0.623921 
2318.000000,0.266398 
2318.000000,0.536498 
1964.000000,0.417093 
1964.000000,0.217703 
1964.000000,0.637395 
1964.000000,0.584440 
1968.000000,0.613540 
6944.000000,0.588218 
4546.000000,0.321280 
4565.000000,0.315259 
4628.000000,0.408931 
4664.000000,0.333697 
1968.000000,0.551110 
2173.000000,0.352984 
7414.000000,0.519333 
7405.000000,0.693899 
7414.000000,0.364672 
7405.000000,0.595557 
1957.000000,0.599362 
1957.000000,0.183381 
1957.000000,0.805859 
1957.000000,0.568948 
2281.000000,0.560459 
2281.000000,0.267539 
2281.000000,0.379968 
2284.000000,0.192393 
2292.000000,0.370731 
2291.000000,0.586050 
2291.000000,0.575712 
2292.000000,0.451871 
4735.000000,0.356441 
4735.000000,0.425410 
2011.000000,0.609789 
4569.000000,0.332576 
4542.000000,0.759272 
4542.000000,0.700467 
4525.000000,0.712071 
6413.000000,0.465549 
6413.000000,0.188592 
6413.000000,0.617316 
6413.000000,0.546381 
7010.000000,0.655566 
4717.000000,0.578230 
3659.000000,0.409273 
2173.000000,0.825514 
2173.000000,0.564374 
4470.000000,0.639085 
4470.000000,0.435177 
3509.000000,0.529776 
3498.000000,0.831606 
3498.000000,0.756979 
3491.000000,0.343719 
3509.000000,0.614694 
3509.000000,0.402261 
3496.000000,0.568927 
3498.000000,0.362283 
4671.000000,0.597624 
3509.000000,0.704924 
4671.000000,0.587729 
4671.000000,0.927102 
3509.000000,0.798310 
3498.000000,0.529483 
6336.000000,0.429060 
5875.000000,0.765899 
5891.000000,0.270697 
6336.000000,0.423876 
6407.000000,0.567547 
6407.000000,0.758716 
6432.000000,0.735042 
4715.000000,0.250029 
4974.000000,0.871430 
6768.000000,0.449304 
6421.000000,0.459892 
4717.000000,0.455236 
6768.000000,0.640164 
4715.000000,0.475100 
6093.000000,0.409584 
5740.000000,0.725259 
4907.000000,0.646634 
5740.000000,0.565390 
6056.000000,0.375542 
4788.000000,0.616924 
6056.000000,0.425029 
4586.000000,0.556881 
2168.000000,0.366940 
4395.000000,0.474300 
4340.000000,0.562699 
2023.000000,0.326441 
2011.000000,0.514383 
2022.000000,0.332945 
2025.000000,0.694338 
4518.000000,0.683472 
2022.000000,0.360010 
2022.000000,0.596965 
4541.000000,0.792837 
4541.000000,0.727147 
2019.000000,0.477296 
6491.000000,0.686794 
2283.000000,0.450074 
2283.000000,0.607188 
1736.000000,0.281916 
1736.000000,0.513647 
1736.000000,0.315793 
6961.000000,0.345532 
6950.000000,0.709248 
6949.000000,0.499173 
6950.000000,0.206503 
2287.000000,0.590268 
6628.000000,0.338408 
2310.000000,0.514067 
4741.000000,0.694723 
2265.000000,0.412875 
1964.000000,0.528965 
1964.000000,0.665534 
4619.000000,0.661270 
3508.000000,0.519827 
4688.000000,0.547718 
4535.000000,0.571935 
4520.000000,0.607252 
4664.000000,0.402471 
6913.000000,0.657143 
4628.000000,0.587459 
4638.000000,0.483713 
2000.000000,0.387156 
2000.000000,0.632761 
1967.000000,0.406153 
1976.000000,0.531841 
1967.000000,0.509465 
2173.000000,0.669557 
4851.000000,0.671529 
6430.000000,0.752480 
6444.000000,0.637826 
6444.000000,0.411985 
4851.000000,0.435658 
2281.000000,0.491268 
1957.000000,0.361006 
6445.000000,0.317859 
4738.000000,0.476598 
2292.000000,0.486972 
2284.000000,0.474046 
4742.000000,0.834158 
2296.000000,0.503252 
4736.000000,0.650007 
6635.000000,0.656043 
6629.000000,0.277010 
6629.000000,0.373388 
4738.000000,0.506852 
2292.000000,0.689061 
4743.000000,0.632319 
4743.000000,0.689129 
4851.000000,0.329971 
4851.000000,0.246881 
4734.000000,0.617203 
2282.000000,0.329590 
2293.000000,0.343078 
2293.000000,0.309416 
4695.000000,0.512538 
4626.000000,0.706628 
4695.000000,0.753218 
4586.000000,0.720264 
4586.000000,0.623726 
4575.000000,0.808462 
4589.000000,0.675287 
4516.000000,0.489913 
6412.000000,0.356837 
