point, dist
8160.000000,0.175887 
8096.000000,0.146148 
8057.000000,0.102004 
8224.000000,0.181676 
8125.000000,0.171426 
8076.000000,0.165951 
537.000000,0.120358 
6959.000000,0.145905 
6873.000000,0.112120 
6744.000000,0.057687 
284.000000,0.139750 
6792.000000,0.225165 
5807.000000,0.041584 
346.000000,0.148496 
7076.000000,0.128565 
7274.000000,0.165514 
7522.000000,0.182044 
7517.000000,0.193020 
7929.000000,0.188320 
7272.000000,0.161830 
7252.000000,0.162347 
7261.000000,0.158251 
7959.000000,0.194843 
7943.000000,0.194113 
7964.000000,0.189069 
7931.000000,0.174751 
7739.000000,0.182982 
9576.000000,0.143846 
9687.000000,0.155800 
9640.000000,0.086616 
9499.000000,0.094665 
2827.000000,0.140920 
3145.000000,0.209205 
1074.000000,0.121173 
2594.000000,0.169604 
6762.000000,0.038793 
6061.000000,0.056063 
130.000000,0.043212 
64.000000,0.075309 
8481.000000,0.261526 
8482.000000,0.159343 
373.000000,0.092677 
7708.000000,0.230556 
7518.000000,0.194821 
3395.000000,0.237990 
3364.000000,0.235875 
2944.000000,0.115166 
3695.000000,0.241490 
7710.000000,0.230637 
7716.000000,0.226754 
6671.000000,0.053461 
4262.000000,0.090671 
6710.000000,0.153940 
3036.000000,0.054611 
2962.000000,0.123038 
3009.000000,0.047219 
3086.000000,0.062019 
2343.000000,0.040735 
3987.000000,0.021925 
5923.000000,0.013389 
5946.000000,0.116699 
4601.000000,0.050884 
2136.000000,0.060236 
2424.000000,0.055695 
2373.000000,0.057866 
2196.000000,0.203641 
7219.000000,0.168365 
7965.000000,0.196252 
3096.000000,0.061100 
2897.000000,0.112876 
2958.000000,0.064532 
2869.000000,0.112565 
3133.000000,0.235938 
3691.000000,0.244538 
9343.000000,0.177335 
9388.000000,0.165073 
9668.000000,0.137290 
684.000000,0.096264 
579.000000,0.117506 
4969.000000,0.273127 
1159.000000,0.142291 
9521.000000,0.167979 
302.000000,0.113410 
6856.000000,0.276839 
8455.000000,0.344781 
8648.000000,0.190699 
8892.000000,0.202153 
8678.000000,0.186493 
8945.000000,0.196092 
4540.000000,0.057551 
3839.000000,0.059341 
4557.000000,0.054316 
4381.000000,0.042606 
6052.000000,0.049824 
1023.000000,0.100867 
937.000000,0.123465 
9087.000000,0.194739 
9159.000000,0.175895 
3485.000000,0.243434 
3136.000000,0.241283 
3624.000000,0.246507 
3147.000000,0.235155 
3451.000000,0.244889 
3258.000000,0.219699 
2834.000000,0.122825 
1259.000000,0.145608 
8930.000000,0.199084 
8934.000000,0.198044 
9130.000000,0.199133 
9084.000000,0.199147 
8681.000000,0.187635 
8667.000000,0.187787 
8948.000000,0.200166 
9377.000000,0.199986 
557.000000,0.119242 
1824.000000,0.259793 
1520.000000,0.175472 
1628.000000,0.104800 
1911.000000,0.257217 
1365.000000,0.420934 
751.000000,0.097163 
2412.000000,0.027807 
1897.000000,0.267059 
5296.000000,0.125443 
5391.000000,0.129484 
1547.000000,0.414066 
8172.000000,0.143266 
8191.000000,0.083601 
444.000000,0.085308 
8091.000000,0.217548 
8219.000000,0.152852 
8333.000000,0.630962 
8333.000000,0.668788 
7414.000000,0.156622 
314.000000,0.503437 
7520.000000,0.188179 
3848.000000,0.076106 
4402.000000,0.045129 
7140.000000,0.129777 
7693.000000,0.223037 
125.000000,0.436467 
8443.000000,0.334343 
7499.000000,0.184026 
6446.000000,0.160566 
6390.000000,0.051086 
405.000000,0.044674 
6399.000000,0.043515 
2998.000000,0.126172 
5957.000000,0.053145 
3882.000000,0.057631 
3929.000000,0.028854 
3588.000000,0.242402 
3406.000000,0.239332 
6318.000000,0.277939 
2843.000000,0.120436 
2518.000000,0.149502 
2625.000000,0.151567 
6002.000000,0.152279 
175.000000,0.116757 
6574.000000,0.229034 
7670.000000,0.221734 
7655.000000,0.221510 
7503.000000,0.180349 
7922.000000,0.180887 
3599.000000,0.239512 
3954.000000,0.114912 
3930.000000,0.122002 
9612.000000,0.167534 
9557.000000,0.149349 
6162.000000,0.116801 
6124.000000,0.263766 
6148.000000,0.120166 
5389.000000,0.082951 
4983.000000,0.106824 
9892.000000,0.277793 
9339.000000,0.188529 
9338.000000,0.186320 
4533.000000,0.036274 
4994.000000,0.105653 
6111.000000,0.219388 
9133.000000,0.203479 
9389.000000,0.199464 
4450.000000,0.048720 
4443.000000,0.052165 
3967.000000,0.125118 
3888.000000,0.126682 
3505.000000,0.231169 
9115.000000,0.201950 
2932.000000,0.139653 
3769.000000,0.137676 
9394.000000,0.190200 
840.000000,0.100114 
9797.000000,0.137539 
2390.000000,0.050192 
1623.000000,0.104738 
2084.000000,0.203347 
2445.000000,0.042572 
4955.000000,0.263087 
5284.000000,0.421981 
5339.000000,0.420489 
5248.000000,0.423572 
2165.000000,0.205101 
1678.000000,0.097285 
1867.000000,0.256315 
8341.000000,0.350732 
8135.000000,0.155555 
7225.000000,0.162672 
8339.000000,0.287742 
7263.000000,0.158966 
6892.000000,0.424287 
497.000000,0.143050 
6346.000000,0.207447 
3862.000000,0.039290 
3980.000000,0.057758 
3836.000000,0.053787 
792.000000,0.154868 
4074.000000,0.151575 
8677.000000,0.192733 
9914.000000,0.360233 
8896.000000,0.191965 
8628.000000,0.191129 
7122.000000,0.155763 
21.000000,0.069598 
6668.000000,0.134132 
7919.000000,0.188764 
276.000000,0.038277 
8319.000000,0.136454 
8444.000000,0.412081 
43.000000,0.450135 
2674.000000,0.152392 
5748.000000,0.152117 
5704.000000,0.034461 
5711.000000,0.040098 
3351.000000,0.233450 
5826.000000,0.202642 
5952.000000,0.120486 
6624.000000,0.241771 
6015.000000,0.156750 
4000.000000,0.111380 
4202.000000,0.152718 
4208.000000,0.145130 
5853.000000,0.231194 
5798.000000,0.113385 
92.000000,0.131597 
1912.000000,0.100741 
1847.000000,0.260749 
5579.000000,0.103764 
5635.000000,0.203640 
1789.000000,0.256691 
1495.000000,0.415002 
1572.000000,0.414129 
7776.000000,0.204770 
2539.000000,0.164074 
6153.000000,0.273384 
6207.000000,0.421409 
6177.000000,0.419339 
4995.000000,0.255293 
5080.000000,0.281316 
5166.000000,0.144962 
5423.000000,0.419191 
713.000000,0.460423 
9915.000000,0.665336 
4891.000000,0.066234 
9893.000000,0.352257 
9878.000000,0.156132 
4437.000000,0.028858 
4904.000000,0.095628 
4890.000000,0.224668 
4980.000000,0.272686 
5145.000000,0.101127 
6078.000000,0.216790 
6057.000000,0.065901 
9386.000000,0.191292 
4292.000000,0.150980 
4163.000000,0.144032 
796.000000,0.047401 
4010.000000,0.121986 
9106.000000,0.204048 
2346.000000,0.054335 
6272.000000,0.120412 
5611.000000,0.102157 
5549.000000,0.421201 
2229.000000,0.052904 
2574.000000,0.145249 
2369.000000,0.038265 
2571.000000,0.158421 
1425.000000,0.417709 
1662.000000,0.102898 
1396.000000,0.416617 
1356.000000,0.414609 
1626.000000,0.260344 
1742.000000,0.273736 
401.000000,0.473176 
8352.000000,0.368613 
7329.000000,0.162645 
9538.000000,0.186589 
195.000000,0.089275 
6487.000000,0.119764 
5783.000000,0.129229 
5771.000000,0.028670 
5735.000000,0.155295 
2993.000000,0.056102 
3633.000000,0.240916 
5875.000000,0.240290 
3993.000000,0.112743 
4580.000000,0.036150 
4246.000000,0.147923 
5904.000000,0.243355 
1556.000000,0.413360 
5703.000000,0.078141 
5467.000000,0.125498 
4689.000000,0.230997 
701.000000,0.060906 
806.000000,0.486171 
8917.000000,0.195903 
4340.000000,0.064555 
4832.000000,0.040768 
4550.000000,0.046450 
4527.000000,0.041932 
4892.000000,0.214999 
4886.000000,0.215564 
5197.000000,0.104354 
4306.000000,0.146904 
2666.000000,0.153283 
1624.000000,0.279003 
1089.000000,0.127092 
5648.000000,0.213427 
5614.000000,0.265201 
6254.000000,0.413194 
2249.000000,0.041849 
5051.000000,0.259533 
5264.000000,0.423104 
317.000000,0.059191 
9580.000000,0.136077 
5679.000000,0.066086 
4006.000000,0.120020 
4563.000000,0.074118 
5383.000000,0.422296 
4439.000000,0.027009 
4862.000000,0.036158 
632.000000,0.123653 
5098.000000,0.118212 
4478.000000,0.039180 
4823.000000,0.222318 
5069.000000,0.119468 
5122.000000,0.251971 
4602.000000,0.063284 
4201.000000,0.148561 
3790.000000,0.044334 
9771.000000,0.278265 
9762.000000,0.351493 
997.000000,0.467442 
559.000000,0.487715 
542.000000,0.027718 
2308.000000,0.046695 
2052.000000,0.206320 
