point, dist
9305.000000,0.133861 
9371.000000,0.193846 
9330.000000,0.159283 
9252.000000,0.128654 
9405.000000,0.093486 
9441.000000,0.157276 
4015.000000,0.491246 
6504.000000,0.052218 
6530.000000,0.061316 
8258.000000,0.630087 
7881.000000,0.203818 
8039.000000,0.137864 
7984.000000,0.092993 
7865.000000,0.154609 
8003.000000,0.159058 
4508.000000,0.122486 
6746.000000,0.142874 
7951.000000,0.164638 
7850.000000,0.089107 
7885.000000,0.169011 
8015.000000,0.207381 
6986.000000,0.176007 
7708.000000,0.170823 
4425.000000,0.103969 
7089.000000,0.176685 
7008.000000,0.176201 
7454.000000,0.192462 
7291.000000,0.187029 
6989.000000,0.178022 
7199.000000,0.186705 
7012.000000,0.174694 
7000.000000,0.180609 
7175.000000,0.187554 
7026.000000,0.183939 
7219.000000,0.186106 
3456.000000,0.168627 
3395.000000,0.168372 
3064.000000,0.045812 
3691.000000,0.049892 
2376.000000,0.233897 
2351.000000,0.239902 
2744.000000,0.241835 
2058.000000,0.151613 
7703.000000,0.185336 
6779.000000,0.123953 
4184.000000,0.084869 
6578.000000,0.215903 
3616.000000,0.047837 
3635.000000,0.053913 
3773.000000,0.095903 
3750.000000,0.044457 
7209.000000,0.186019 
7028.000000,0.181460 
3656.000000,0.064200 
871.000000,0.097702 
863.000000,0.089401 
959.000000,0.137471 
9994.000000,0.070463 
5391.000000,0.039695 
6180.000000,0.051944 
6038.000000,0.114791 
6121.000000,0.223835 
2102.000000,0.154827 
1688.000000,0.171276 
1823.000000,0.184622 
8901.000000,0.206917 
8880.000000,0.212836 
9142.000000,0.198577 
9035.000000,0.169985 
8935.000000,0.155138 
8416.000000,0.171690 
4964.000000,0.437578 
9537.000000,0.256033 
4786.000000,0.143988 
5447.000000,0.039026 
6137.000000,0.043327 
5450.000000,0.037152 
4310.000000,0.150976 
8144.000000,0.664905 
1299.000000,0.042822 
5338.000000,0.106363 
969.000000,0.110542 
9319.000000,0.147738 
9366.000000,0.165073 
7922.000000,0.137900 
7203.000000,0.174774 
7281.000000,0.192488 
7430.000000,0.222769 
4383.000000,0.025045 
4307.000000,0.023036 
4039.000000,0.116480 
4026.000000,0.019524 
6431.000000,0.011407 
6475.000000,0.180806 
7453.000000,0.224735 
7477.000000,0.227667 
6440.000000,0.152912 
4075.000000,0.093779 
6372.000000,0.242761 
6890.000000,0.134074 
4642.000000,0.099569 
4808.000000,0.101133 
953.000000,0.112708 
1618.000000,0.077301 
1596.000000,0.048354 
1285.000000,0.218016 
1163.000000,0.079164 
719.000000,0.097627 
2771.000000,0.241252 
3066.000000,0.135532 
3095.000000,0.125775 
8241.000000,0.668569 
8242.000000,0.356248 
3575.000000,0.061100 
3757.000000,0.036546 
3492.000000,0.062605 
3524.000000,0.068802 
3484.000000,0.051951 
3749.000000,0.032359 
5823.000000,0.067709 
2997.000000,0.036076 
3122.000000,0.031084 
2966.000000,0.085610 
3768.000000,0.025565 
3400.000000,0.170082 
3127.000000,0.050629 
5727.000000,0.045964 
7486.000000,0.224592 
5345.000000,0.106303 
7910.000000,0.160436 
9102.000000,0.183271 
8411.000000,0.184031 
2090.000000,0.160892 
4538.000000,0.448983 
1450.000000,0.065893 
4529.000000,0.096953 
9644.000000,0.147756 
1462.000000,0.063982 
1768.000000,0.210293 
4137.000000,0.104318 
6305.000000,0.236202 
5482.000000,0.170922 
5425.000000,0.033462 
5471.000000,0.029996 
1455.000000,0.081045 
1415.000000,0.074034 
1427.000000,0.088346 
139.000000,0.219198 
3583.000000,0.074387 
328.000000,0.120000 
5130.000000,0.146581 
9275.000000,0.175662 
9325.000000,0.219170 
8145.000000,0.358701 
4352.000000,0.096320 
6655.000000,0.170639 
4473.000000,0.116687 
8136.000000,0.261582 
8130.000000,0.348010 
4381.000000,0.453010 
7449.000000,0.207044 
7468.000000,0.223114 
3867.000000,0.081450 
2449.000000,0.239095 
2070.000000,0.158893 
2509.000000,0.239527 
1986.000000,0.135720 
