point, dist
3151.000000,0.084504 
3207.000000,0.059104 
3648.000000,0.151928 
9006.000000,0.150613 
9560.000000,0.201942 
9015.000000,0.167396 
9502.000000,0.176991 
9561.000000,0.192952 
9370.000000,0.269792 
3159.000000,0.177140 
9148.000000,0.298108 
8091.000000,0.258142 
7932.000000,0.161362 
7952.000000,0.156878 
8090.000000,0.080296 
9153.000000,0.277933 
9147.000000,0.278873 
9375.000000,0.270897 
2615.000000,0.051721 
3035.000000,0.111196 
3006.000000,0.072508 
2999.000000,0.061743 
3915.000000,0.168983 
3395.000000,0.061258 
3490.000000,0.064432 
9285.000000,0.122479 
9197.000000,0.127579 
3502.000000,0.101683 
3478.000000,0.081549 
3518.000000,0.131494 
9245.000000,0.103692 
9474.000000,0.188882 
8082.000000,0.250430 
603.000000,0.062845 
6945.000000,0.208400 
6915.000000,0.177180 
657.000000,0.341272 
618.000000,0.074606 
8986.000000,0.168910 
9087.000000,0.081053 
9164.000000,0.115436 
9086.000000,0.094140 
9146.000000,0.280491 
9012.000000,0.153486 
8994.000000,0.186045 
6924.000000,0.136424 
6867.000000,0.287657 
8576.000000,0.641224 
8852.000000,0.541991 
8621.000000,0.142931 
8506.000000,0.137772 
5039.000000,0.204435 
4791.000000,0.086016 
5034.000000,0.203944 
4871.000000,0.083792 
9013.000000,0.162115 
4035.000000,0.177260 
3989.000000,0.194180 
4022.000000,0.249662 
8058.000000,0.240124 
7943.000000,0.160233 
5936.000000,0.247230 
5985.000000,0.360018 
6108.000000,0.345301 
5937.000000,0.254998 
6337.000000,0.064751 
6340.000000,0.082862 
6381.000000,0.069221 
3362.000000,0.081305 
3276.000000,0.070442 
9238.000000,0.116371 
1179.000000,0.075759 
1211.000000,0.062282 
1105.000000,0.478928 
548.000000,0.111782 
6977.000000,0.048038 
6958.000000,0.146560 
583.000000,0.471115 
567.000000,0.635803 
564.000000,1.024110 
7919.000000,0.162078 
8622.000000,0.162963 
8670.000000,0.151693 
8005.000000,0.131794 
8570.000000,0.149883 
8589.000000,0.182347 
8435.000000,0.175570 
7913.000000,0.155465 
8089.000000,0.253531 
7941.000000,0.161943 
722.000000,0.093754 
2997.000000,0.028963 
9661.000000,0.152649 
9622.000000,0.137590 
9748.000000,0.160121 
7056.000000,0.101765 
485.000000,0.150972 
8225.000000,0.117348 
8174.000000,0.090090 
8119.000000,0.113949 
8221.000000,0.159152 
8233.000000,0.147939 
3911.000000,0.164185 
3721.000000,0.252755 
3780.000000,0.171923 
9317.000000,0.151128 
9171.000000,0.126127 
3953.000000,0.260676 
2874.000000,0.200405 
3344.000000,0.127776 
1593.000000,0.075127 
8189.000000,0.134058 
8312.000000,0.306092 
7231.000000,0.266927 
7236.000000,0.261521 
7781.000000,0.265161 
8161.000000,0.100969 
8145.000000,0.120097 
140.000000,0.064682 
162.000000,0.046311 
8002.000000,0.071735 
8749.000000,0.488692 
8159.000000,0.094795 
379.000000,0.048399 
251.000000,0.056657 
8739.000000,0.752449 
487.000000,1.062321 
8554.000000,0.567740 
8632.000000,0.146363 
8580.000000,0.234657 
8651.000000,0.129153 
