point, dist
3462.000000,0.116927 
3627.000000,0.082173 
3390.000000,0.059406 
9011.000000,0.299193 
8864.000000,0.182170 
8870.000000,0.172419 
8443.000000,0.195217 
8530.000000,0.124067 
8421.000000,0.147942 
7781.000000,0.128206 
8273.000000,0.193354 
8281.000000,0.186553 
8331.000000,0.196849 
8277.000000,0.193920 
7806.000000,0.136768 
7798.000000,0.139812 
1560.000000,0.053404 
3643.000000,0.102220 
1360.000000,0.474894 
1323.000000,1.049760 
3416.000000,0.228129 
3624.000000,0.099939 
3274.000000,0.100117 
3617.000000,0.101860 
3294.000000,0.055439 
3317.000000,0.098612 
3439.000000,0.198158 
3142.000000,0.093123 
3114.000000,0.079383 
3107.000000,0.091956 
4490.000000,0.166063 
4567.000000,0.083716 
4522.000000,0.167660 
4508.000000,0.162792 
4703.000000,0.077582 
4438.000000,0.163786 
4545.000000,0.188922 
3869.000000,0.221904 
4008.000000,0.096072 
3943.000000,0.076394 
3704.000000,0.196750 
3568.000000,0.082091 
3628.000000,0.122688 
3693.000000,0.122727 
9095.000000,0.108449 
9141.000000,0.122139 
9104.000000,0.090270 
7929.000000,0.278620 
2252.000000,0.321395 
9898.000000,0.362373 
9915.000000,0.331535 
2803.000000,0.148325 
2799.000000,0.165102 
3105.000000,0.072060 
3109.000000,0.216512 
6841.000000,0.055023 
6842.000000,0.076866 
6907.000000,0.083563 
2766.000000,0.212471 
2757.000000,0.246355 
2810.000000,0.176832 
2917.000000,0.172992 
7795.000000,0.160968 
1541.000000,0.065310 
9370.000000,0.176998 
9364.000000,0.177579 
9694.000000,0.148803 
927.000000,0.048972 
894.000000,0.067690 
9733.000000,0.171664 
3226.000000,0.052573 
3125.000000,0.074477 
442.000000,0.059656 
519.000000,0.086031 
448.000000,0.075872 
8701.000000,0.273879 
8192.000000,0.108935 
4579.000000,0.092075 
4799.000000,0.171946 
4672.000000,0.073553 
9247.000000,0.266940 
3929.000000,0.150989 
3923.000000,0.107208 
3895.000000,0.068950 
4352.000000,0.259871 
4254.000000,0.252063 
4278.000000,0.262757 
4804.000000,0.045564 
7194.000000,0.041147 
7276.000000,0.057665 
7266.000000,0.035839 
6533.000000,0.066121 
4035.000000,0.166259 
4133.000000,0.163624 
4227.000000,0.251254 
3828.000000,0.089643 
4046.000000,0.164963 
9242.000000,0.273467 
9149.000000,0.145561 
3373.000000,0.186155 
3237.000000,0.050663 
3381.000000,0.187267 
3498.000000,0.088500 
6269.000000,0.138984 
3817.000000,0.161482 
6222.000000,0.081104 
8997.000000,0.294717 
969.000000,1.061729 
5064.000000,0.103008 
5024.000000,0.336035 
4802.000000,0.160838 
6390.000000,0.157103 
6440.000000,0.118028 
4625.000000,0.180595 
4425.000000,0.170207 
6240.000000,0.060368 
6271.000000,0.126585 
8150.000000,0.311038 
8011.000000,0.095324 
6263.000000,0.091511 
6455.000000,0.077216 
6467.000000,0.073601 
7158.000000,0.084184 
5089.000000,0.091269 
4711.000000,0.182569 
4970.000000,0.077472 
4788.000000,0.219967 
4606.000000,0.063127 
4635.000000,0.064425 
4364.000000,0.170748 
4875.000000,0.173361 
4938.000000,0.193002 
4955.000000,0.199663 
