point, dist
3888.000000,0.184716 
3318.000000,0.090877 
9902.000000,0.321012 
3270.000000,0.065909 
3083.000000,0.219817 
3102.000000,0.216570 
9539.000000,0.132980 
9777.000000,0.038237 
9526.000000,0.034096 
9473.000000,0.124416 
4770.000000,0.128390 
1037.000000,0.134797 
1087.000000,0.139437 
1003.000000,0.119224 
4783.000000,0.124280 
1135.000000,0.109782 
4958.000000,0.112061 
4810.000000,0.121396 
1278.000000,0.110064 
1217.000000,0.107029 
4020.000000,0.177859 
2953.000000,0.215334 
2831.000000,0.230393 
2659.000000,0.110829 
2223.000000,0.148763 
1924.000000,0.184740 
4869.000000,0.117984 
5599.000000,0.130276 
7283.000000,0.180838 
7701.000000,0.141886 
7704.000000,0.093349 
6732.000000,0.127784 
6631.000000,0.172658 
6677.000000,0.172703 
7360.000000,0.188026 
7355.000000,0.189093 
5476.000000,0.180161 
5417.000000,0.093760 
3998.000000,0.177790 
7966.000000,0.294882 
315.000000,0.187323 
7948.000000,0.298399 
2869.000000,0.215622 
5289.000000,0.221475 
5258.000000,0.215310 
2937.000000,0.215932 
3052.000000,0.217203 
7336.000000,0.189670 
8490.000000,0.136384 
408.000000,0.018173 
8464.000000,0.186766 
9043.000000,0.163179 
8471.000000,0.184519 
8426.000000,0.183518 
9152.000000,0.163956 
9121.000000,0.164069 
9151.000000,0.164189 
7346.000000,0.186177 
8109.000000,0.295056 
3322.000000,0.063673 
2932.000000,0.215418 
2642.000000,0.119861 
2905.000000,0.216444 
8519.000000,0.185717 
9085.000000,0.165072 
9731.000000,0.283412 
3991.000000,0.180439 
3268.000000,0.064754 
4938.000000,0.123409 
4262.000000,0.137830 
4255.000000,0.144328 
4328.000000,0.146942 
4016.000000,0.178228 
6228.000000,0.145194 
5638.000000,0.112513 
6071.000000,0.115087 
110.000000,0.177508 
5754.000000,0.144380 
1691.000000,0.152321 
1879.000000,0.179451 
5924.000000,0.219289 
5225.000000,0.106869 
5888.000000,0.108250 
5106.000000,0.180089 
5760.000000,0.190649 
2028.000000,0.172503 
3439.000000,0.071657 
1843.000000,0.119553 
2065.000000,0.172813 
6763.000000,0.172631 
7391.000000,0.186714 
6664.000000,0.170042 
626.000000,0.034345 
587.000000,0.191754 
9030.000000,0.155372 
8541.000000,0.186825 
7953.000000,0.028057 
7926.000000,0.110255 
6651.000000,0.170386 
3300.000000,0.066768 
2155.000000,0.106303 
4756.000000,0.126399 
5522.000000,0.145181 
6110.000000,0.209559 
45.000000,0.037115 
78.000000,0.024764 
5941.000000,0.240933 
380.000000,0.110661 
1774.000000,0.113258 
124.000000,0.024983 
2608.000000,0.108680 
5092.000000,0.126804 
3219.000000,0.214441 
736.000000,0.081603 
9791.000000,0.101389 
4191.000000,0.143031 
4173.000000,0.148292 
2971.000000,0.214391 
696.000000,0.034067 
787.000000,0.161173 
1933.000000,0.233502 
1939.000000,0.204533 
4085.000000,0.179541 
6163.000000,0.167544 
515.000000,0.108191 
1783.000000,0.128183 
250.000000,0.029308 
2267.000000,0.099929 
9848.000000,0.104190 
7591.000000,0.045763 
8137.000000,0.102818 
4108.000000,0.139579 
3047.000000,0.215095 
451.000000,0.041390 
1621.000000,0.219296 
158.000000,0.069561 
1704.000000,0.184637 
0.148788 
0.148292 
