point, dist
5124.000000,0.110952 
5008.000000,0.216326 
5689.000000,0.227643 
577.000000,0.186366 
9577.000000,0.320013 
9559.000000,0.300596 
513.000000,0.121497 
4018.000000,0.184948 
144.000000,0.062287 
7438.000000,0.145093 
7809.000000,0.303299 
7875.000000,0.046099 
7862.000000,0.091919 
450.000000,0.026306 
2085.000000,0.200817 
2521.000000,0.115924 
3015.000000,0.217144 
2972.000000,0.221935 
2775.000000,0.204398 
9906.000000,0.117254 
9946.000000,0.120290 
1080.000000,0.131799 
4639.000000,0.128965 
1184.000000,0.139792 
9857.000000,0.118021 
369.000000,0.121890 
5350.000000,0.112109 
7672.000000,0.297547 
5480.000000,0.139299 
7651.000000,0.111008 
9475.000000,0.030242 
743.000000,0.064567 
9457.000000,0.288027 
9483.000000,0.107498 
9836.000000,0.147878 
9178.000000,0.031358 
9247.000000,0.047501 
2938.000000,0.218756 
8873.000000,0.147946 
8828.000000,0.147706 
3123.000000,0.217819 
2768.000000,0.200770 
3129.000000,0.220086 
8264.000000,0.174829 
8265.000000,0.172052 
8876.000000,0.144679 
8234.000000,0.177802 
8890.000000,0.155790 
4804.000000,0.170432 
5497.000000,0.182720 
1581.000000,0.121306 
4991.000000,0.199794 
6517.000000,0.153315 
7089.000000,0.189276 
82.000000,0.019640 
9821.000000,0.118771 
7032.000000,0.180624 
7442.000000,0.090288 
7692.000000,0.318427 
7668.000000,0.031759 
5972.000000,0.143144 
1963.000000,0.179229 
2476.000000,0.074189 
8834.000000,0.138155 
772.000000,0.173627 
1761.000000,0.172012 
3212.000000,0.112664 
3586.000000,0.104450 
4166.000000,0.117444 
4174.000000,0.122464 
9885.000000,0.135003 
9199.000000,0.107935 
9250.000000,0.129754 
8217.000000,0.139150 
8199.000000,0.173736 
8884.000000,0.148412 
649.000000,0.022134 
1756.000000,0.136700 
2451.000000,0.071240 
4948.000000,0.075169 
1934.000000,0.169382 
6499.000000,0.154868 
7131.000000,0.188260 
7146.000000,0.192350 
6516.000000,0.155871 
317.000000,0.189126 
198.000000,0.028513 
194.000000,0.036997 
6380.000000,0.156576 
5897.000000,0.154167 
5312.000000,0.131827 
5221.000000,0.135258 
5802.000000,0.130673 
5169.000000,0.185074 
3859.000000,0.186252 
2654.000000,0.200454 
2419.000000,0.073727 
2740.000000,0.199303 
2486.000000,0.064702 
3537.000000,0.100643 
2023.000000,0.176424 
2033.000000,0.168559 
4287.000000,0.118733 
4375.000000,0.131780 
3634.000000,0.099511 
3865.000000,0.183934 
3817.000000,0.178765 
3862.000000,0.180384 
2786.000000,0.200396 
692.000000,0.028312 
3080.000000,0.227042 
3638.000000,0.106183 
8206.000000,0.175091 
9537.000000,0.108610 
1990.000000,0.168969 
1559.000000,0.127052 
1621.000000,0.135892 
7121.000000,0.190287 
6520.000000,0.150804 
6451.000000,0.122775 
7092.000000,0.190045 
4144.000000,0.139322 
5844.000000,0.214129 
3855.000000,0.180731 
4400.000000,0.134753 
2447.000000,0.067907 
3147.000000,0.218082 
3398.000000,0.110462 
9169.000000,0.056114 
1312.000000,0.125375 
9746.000000,0.111251 
5621.000000,0.100241 
5667.000000,0.214547 
402.000000,0.022854 
4779.000000,0.128511 
4671.000000,0.106546 
111.000000,0.165748 
9720.000000,0.120988 
1751.000000,0.149891 
0.145042 
0.139792 
