point, dist
4704.000000,0.143742 
4465.000000,0.112337 
4323.000000,0.081941 
4742.000000,0.206271 
4757.000000,0.086878 
4183.000000,0.053913 
6536.000000,0.079434 
4468.000000,0.086492 
4479.000000,0.096253 
4439.000000,0.186439 
4426.000000,0.129892 
5745.000000,0.159084 
5753.000000,0.122547 
5722.000000,0.109571 
5701.000000,0.194213 
5609.000000,0.046858 
5634.000000,0.111317 
5732.000000,0.149468 
6535.000000,0.149545 
4253.000000,0.128253 
616.000000,0.080146 
6360.000000,0.180427 
587.000000,0.197364 
3457.000000,0.098756 
3540.000000,0.171881 
4164.000000,0.117117 
3521.000000,0.085816 
7398.000000,0.181693 
7478.000000,0.154647 
7523.000000,0.100281 
4793.000000,0.071997 
6964.000000,0.422122 
6965.000000,0.391450 
6849.000000,0.154610 
6909.000000,0.138846 
6963.000000,0.426726 
6965.000000,0.154843 
1740.000000,0.273227 
558.000000,0.199382 
377.000000,0.138851 
1782.000000,0.185851 
1525.000000,0.213220 
117.000000,0.180943 
193.000000,0.142504 
1968.000000,0.201440 
5859.000000,0.178806 
937.000000,0.278978 
2296.000000,0.140276 
5967.000000,0.210655 
5960.000000,0.109629 
1438.000000,0.240086 
1860.000000,0.250254 
5994.000000,0.188310 
6118.000000,0.208977 
5593.000000,0.156291 
5629.000000,0.114173 
6269.000000,0.213881 
4138.000000,0.075728 
6283.000000,0.188254 
6984.000000,0.167867 
6931.000000,0.132775 
6911.000000,0.123005 
5741.000000,0.216325 
3578.000000,0.153073 
4086.000000,0.103755 
3535.000000,0.143948 
5702.000000,0.219298 
4665.000000,0.143276 
4588.000000,0.096946 
4209.000000,0.107254 
5710.000000,0.202870 
4161.000000,0.119990 
9554.000000,0.117726 
9558.000000,0.102891 
9666.000000,0.210658 
9654.000000,0.320718 
9526.000000,0.159777 
4506.000000,0.110536 
4674.000000,0.131439 
4313.000000,0.091159 
4404.000000,0.108161 
4309.000000,0.174449 
4299.000000,0.103516 
4453.000000,0.137712 
4897.000000,0.089604 
4306.000000,0.122274 
4359.000000,0.167888 
4310.000000,0.134749 
4305.000000,0.142022 
4630.000000,0.192838 
598.000000,0.117200 
9340.000000,0.147447 
9392.000000,0.170689 
9317.000000,0.154748 
9379.000000,0.162894 
9149.000000,0.160317 
9126.000000,0.181234 
9159.000000,0.152395 
9354.000000,0.140437 
9330.000000,0.162178 
9594.000000,0.155387 
4613.000000,0.162126 
4566.000000,0.125756 
4642.000000,0.098841 
4215.000000,0.178155 
4117.000000,0.109924 
3609.000000,0.135005 
3775.000000,0.126737 
4108.000000,0.133639 
3480.000000,0.179509 
4579.000000,0.078336 
3978.000000,0.125344 
3563.000000,0.093251 
4777.000000,0.166833 
3461.000000,0.160649 
4388.000000,0.125163 
4373.000000,0.125521 
3645.000000,0.123453 
4200.000000,0.095499 
4482.000000,0.078502 
4321.000000,0.059473 
4785.000000,0.081810 
106.000000,0.115364 
1457.000000,0.189130 
1695.000000,0.234337 
535.000000,0.157329 
453.000000,0.161545 
4392.000000,0.116669 
4197.000000,0.117373 
4536.000000,0.136047 
4224.000000,0.207384 
4334.000000,0.123711 
5629.000000,0.160907 
5616.000000,0.160270 
5680.000000,0.131446 
5667.000000,0.081488 
5882.000000,0.100857 
6046.000000,0.214047 
6087.000000,0.186181 
8671.000000,0.120584 
8675.000000,0.125075 
9881.000000,0.091370 
8793.000000,0.183445 
