point, dist
9502.000000,0.177685 
9512.000000,0.188816 
9421.000000,0.130754 
186.000000,0.246840 
6231.000000,0.245594 
6216.000000,0.146088 
120.000000,0.236940 
6851.000000,0.149390 
6797.000000,0.099373 
6797.000000,0.191384 
6689.000000,0.136864 
2490.000000,0.093224 
3167.000000,0.395277 
2496.000000,0.105512 
3165.000000,0.049593 
6792.000000,0.139996 
6747.000000,0.134121 
9815.000000,0.165974 
9812.000000,0.174284 
9824.000000,0.165287 
9956.000000,0.142200 
9513.000000,0.130565 
9422.000000,0.168868 
3967.000000,0.105635 
4979.000000,0.079015 
4651.000000,0.148300 
9510.000000,0.154839 
6558.000000,0.122568 
5345.000000,0.258908 
6978.000000,0.425206 
6224.000000,0.243157 
6056.000000,0.147093 
5879.000000,0.119811 
5833.000000,0.128478 
5972.000000,0.278619 
5997.000000,0.173451 
301.000000,0.207872 
6994.000000,0.334135 
5973.000000,0.201430 
5981.000000,0.173282 
4222.000000,0.102155 
3249.000000,0.203073 
3692.000000,0.115904 
6642.000000,0.084497 
6850.000000,0.124019 
6857.000000,0.165887 
6693.000000,0.134983 
5990.000000,0.267755 
6086.000000,0.127309 
6791.000000,0.098128 
6787.000000,0.126786 
4592.000000,0.131285 
5003.000000,0.095881 
5128.000000,0.065763 
6297.000000,0.121923 
2940.000000,0.119979 
6253.000000,0.082430 
3828.000000,0.162067 
6324.000000,0.138068 
6250.000000,0.180365 
6629.000000,0.160390 
8305.000000,0.170359 
8587.000000,0.144730 
8303.000000,0.138113 
8207.000000,0.145832 
4925.000000,0.142565 
4987.000000,0.191587 
4293.000000,0.143630 
3648.000000,0.085147 
3827.000000,0.132911 
9412.000000,0.142408 
9503.000000,0.132577 
4313.000000,0.189077 
4097.000000,0.100789 
3284.000000,0.093163 
8893.000000,0.165334 
8897.000000,0.201005 
3697.000000,0.101908 
5923.000000,0.095727 
5965.000000,0.114183 
5928.000000,0.117883 
5339.000000,0.212250 
4263.000000,0.043703 
3622.000000,0.190897 
5922.000000,0.129202 
8745.000000,0.174421 
8650.000000,0.179639 
8744.000000,0.129238 
9876.000000,0.139888 
5799.000000,0.044491 
6064.000000,0.187776 
5803.000000,0.361091 
5828.000000,0.114425 
5884.000000,0.190011 
5943.000000,0.119708 
6097.000000,0.119729 
6087.000000,0.178972 
6016.000000,0.113352 
6795.000000,0.115281 
6794.000000,0.104976 
6688.000000,0.116014 
6938.000000,0.135550 
6908.000000,0.108329 
6918.000000,0.168667 
6903.000000,0.149539 
5366.000000,0.111187 
5968.000000,0.275012 
6980.000000,0.524375 
4897.000000,0.100058 
5084.000000,0.161504 
5108.000000,0.101007 
5029.000000,0.053368 
5091.000000,0.196620 
6007.000000,0.158999 
5873.000000,0.034759 
6072.000000,0.090029 
7397.000000,0.483596 
7349.000000,0.107506 
7289.000000,0.188419 
7291.000000,0.186555 
7348.000000,0.169016 
4690.000000,0.125730 
4688.000000,0.103551 
5951.000000,0.162417 
4456.000000,0.110836 
4432.000000,0.134327 
6023.000000,0.377662 
6129.000000,0.123522 
6117.000000,0.207943 
6229.000000,0.105983 
6117.000000,0.210257 
6202.000000,0.187641 
5814.000000,0.137339 
6041.000000,0.317805 
7229.000000,0.097182 
7264.000000,0.111588 
7199.000000,0.165525 
7266.000000,0.244749 
3954.000000,0.129588 
4245.000000,0.140291 
3868.000000,0.175227 
7207.000000,0.111362 
7261.000000,0.065538 
7398.000000,0.135639 
4028.000000,0.177031 
3670.000000,0.135040 
3733.000000,0.107691 
4856.000000,0.103678 
4572.000000,0.177225 
4728.000000,0.104055 
4850.000000,0.182038 
4694.000000,0.055147 
2964.000000,0.188925 
4059.000000,0.185064 
2951.000000,0.115122 
2291.000000,0.054420 
4141.000000,0.095082 
3929.000000,0.133041 
6282.000000,0.171850 
6625.000000,0.206171 
6339.000000,0.181228 
7538.000000,0.118647 
7489.000000,0.141608 
7539.000000,0.176210 
7565.000000,0.307550 
7488.000000,0.096850 
7485.000000,0.088547 
6814.000000,0.416452 
7573.000000,0.195907 
6831.000000,0.408128 
6707.000000,0.455233 
6775.000000,0.202191 
6712.000000,0.224480 
6548.000000,0.096845 
6962.000000,0.448523 
6840.000000,0.203380 
6781.000000,0.175827 
3807.000000,0.090108 
3937.000000,0.106486 
4365.000000,0.078513 
7856.000000,0.125349 
7857.000000,0.181648 
7886.000000,0.350682 
8005.000000,0.218257 
8006.000000,0.220637 
8009.000000,0.184111 
8005.000000,0.383055 
123.000000,0.143338 
125.000000,0.235376 
6144.000000,0.279152 
6143.000000,0.264690 
2327.000000,0.252574 
1547.000000,0.258873 
1845.000000,0.296528 
6107.000000,0.217825 
3883.000000,0.095627 
3662.000000,0.229190 
3812.000000,0.102041 
3679.000000,0.147047 
8955.000000,0.151083 
8961.000000,0.111381 
8960.000000,0.122519 
9049.000000,0.152864 
8964.000000,0.168395 
9047.000000,0.157297 
8965.000000,0.163615 
9482.000000,0.206727 
9550.000000,0.210461 
9410.000000,0.111807 
9488.000000,0.096651 
8306.000000,0.193435 
3789.000000,0.071129 
4338.000000,0.126526 
4103.000000,0.118173 
5130.000000,0.161399 
7630.000000,0.069266 
7629.000000,0.318002 
7628.000000,0.181538 
7635.000000,0.164100 
7423.000000,0.143490 
7421.000000,0.160945 
7499.000000,0.186379 
6957.000000,0.489820 
6826.000000,0.175331 
6957.000000,0.134768 
6910.000000,0.067229 
6839.000000,0.187207 
7860.000000,0.296306 
7793.000000,0.273741 
8039.000000,0.284741 
8045.000000,0.272676 
5066.000000,0.174997 
4872.000000,0.096591 
5006.000000,0.188944 
5038.000000,0.155942 
4726.000000,0.178182 
4589.000000,0.169894 
4503.000000,0.120107 
4475.000000,0.091037 
4999.000000,0.103444 
7260.000000,0.097505 
7222.000000,0.121198 
4180.000000,0.090125 
3777.000000,0.076596 
8949.000000,0.131132 
9898.000000,0.107157 
9902.000000,0.133266 
6650.000000,0.165238 
3646.000000,0.145676 
3803.000000,0.125159 
4904.000000,0.152778 
4868.000000,0.066620 
5107.000000,0.176436 
4705.000000,0.100178 
4821.000000,0.103837 
4438.000000,0.071144 
3968.000000,0.205598 
4425.000000,0.122930 
6613.000000,0.174893 
8648.000000,0.189872 
8742.000000,0.146151 
6252.000000,0.060165 
6320.000000,0.123188 
6305.000000,0.200782 
113.000000,0.324577 
111.000000,0.132575 
116.000000,0.145393 
5830.000000,0.115326 
5900.000000,0.124903 
5795.000000,0.164456 
6397.000000,0.203816 
6092.000000,0.119770 
5996.000000,0.186189 
2218.000000,0.289991 
5970.000000,0.161265 
4781.000000,0.121547 
5092.000000,0.121788 
6980.000000,0.219749 
5842.000000,0.084025 
6892.000000,0.194005 
4840.000000,0.227843 
4776.000000,0.159255 
4406.000000,0.077148 
4873.000000,0.054032 
4561.000000,0.157668 
4023.000000,0.051727 
4070.000000,0.081308 
3918.000000,0.043890 
3850.000000,0.138787 
6552.000000,0.120324 
4605.000000,0.056474 
4919.000000,0.149440 
4729.000000,0.173557 
2946.000000,0.379506 
7247.000000,0.156923 
5978.000000,0.161504 
7016.000000,0.385788 
6018.000000,0.167023 
6649.000000,0.112926 
8695.000000,0.212085 
8719.000000,0.108315 
8636.000000,0.173139 
8711.000000,0.123923 
8702.000000,0.076253 
8738.000000,0.132361 
6611.000000,0.116527 
5876.000000,0.330103 
2498.000000,0.032351 
7016.000000,0.602248 
6047.000000,0.223643 
6004.000000,0.196229 
6158.000000,0.255961 
6480.000000,0.249542 
1746.000000,0.256905 
2087.000000,0.258231 
1855.000000,0.226151 
7224.000000,0.094254 
7253.000000,0.173284 
7254.000000,0.064370 
7397.000000,0.111266 
4033.000000,0.196007 
4169.000000,0.173798 
6672.000000,0.095685 
4734.000000,0.138293 
4513.000000,0.146909 
4825.000000,0.176898 
4024.000000,0.073444 
6669.000000,0.148694 
7261.000000,0.524132 
4262.000000,0.255945 
4040.000000,0.165028 
6273.000000,0.133448 
7537.000000,0.231647 
7529.000000,0.268788 
7534.000000,0.202570 
7716.000000,0.342393 
7536.000000,0.113365 
506.000000,0.264206 
6756.000000,0.165704 
6828.000000,0.204980 
6769.000000,0.134759 
6806.000000,0.136808 
6681.000000,0.190625 
6762.000000,0.085339 
6765.000000,0.170618 
6751.000000,0.098476 
6754.000000,0.109488 
6569.000000,0.046241 
6556.000000,0.129280 
3765.000000,0.170979 
7859.000000,0.164450 
8011.000000,0.086265 
7969.000000,0.162067 
8030.000000,0.219915 
132.000000,0.074109 
7118.000000,0.163127 
118.000000,0.155589 
151.000000,0.265988 
119.000000,0.264931 
117.000000,0.131884 
2495.000000,0.273018 
2446.000000,0.239315 
2435.000000,0.238689 
1770.000000,0.318531 
6473.000000,0.267648 
6153.000000,0.249242 
7120.000000,0.138679 
7097.000000,0.095820 
7081.000000,0.177884 
480.000000,0.092902 
6430.000000,0.227112 
1877.000000,0.301880 
425.000000,0.126120 
6454.000000,0.151119 
632.000000,0.244738 
515.000000,0.233314 
4178.000000,0.165846 
4428.000000,0.088215 
4798.000000,0.124853 
4226.000000,0.204690 
9903.000000,0.059787 
6657.000000,0.055004 
9955.000000,0.081623 
9409.000000,0.148163 
9471.000000,0.175772 
4310.000000,0.210580 
9504.000000,0.120006 
3859.000000,0.072967 
4235.000000,0.146314 
9549.000000,0.320140 
3889.000000,0.197349 
4081.000000,0.103814 
4234.000000,0.146600 
4297.000000,0.140146 
4216.000000,0.218270 
3631.000000,0.062869 
