point, dist
6970.000000,0.175573 
6979.000000,0.105631 
6979.000000,0.194216 
2435.000000,0.120704 
5922.000000,0.230521 
2690.000000,0.184998 
2403.000000,0.228569 
7130.000000,0.165936 
7152.000000,0.151311 
6879.000000,0.459462 
8375.000000,0.177978 
6838.000000,0.390214 
8356.000000,0.136601 
6879.000000,0.079301 
2402.000000,0.206414 
775.000000,0.204590 
2735.000000,0.197144 
7989.000000,0.118899 
8078.000000,0.171539 
8459.000000,0.140857 
6981.000000,0.085662 
8586.000000,0.201036 
8510.000000,0.192976 
8587.000000,0.176972 
4585.000000,0.121715 
4696.000000,0.160172 
4636.000000,0.219277 
8380.000000,0.100489 
6908.000000,0.482501 
6899.000000,0.136367 
7275.000000,0.147429 
7276.000000,0.039595 
7238.000000,0.127247 
7211.000000,0.157318 
4763.000000,0.118190 
5757.000000,0.164451 
5843.000000,0.192871 
5769.000000,0.175310 
5850.000000,0.179684 
5855.000000,0.135800 
6376.000000,0.195424 
6453.000000,0.230123 
8717.000000,0.131922 
8628.000000,0.455276 
8741.000000,0.141703 
8741.000000,0.265721 
2508.000000,0.233855 
2346.000000,0.196113 
2364.000000,0.279007 
7042.000000,0.208034 
7029.000000,0.156301 
7045.000000,0.117068 
7031.000000,0.125970 
2344.000000,0.265648 
7128.000000,0.148094 
7155.000000,0.505180 
2334.000000,0.263638 
8738.000000,0.230574 
2532.000000,0.295392 
2425.000000,0.179916 
2434.000000,0.244109 
7142.000000,0.182086 
7093.000000,0.236244 
7159.000000,0.305180 
7104.000000,0.160808 
6369.000000,0.229079 
1029.000000,0.250655 
5902.000000,0.188609 
5925.000000,0.148034 
5900.000000,0.199125 
5901.000000,0.185757 
6817.000000,0.565304 
6295.000000,0.197054 
6193.000000,0.125160 
3537.000000,0.098943 
6459.000000,0.148862 
6173.000000,0.209407 
6454.000000,0.159532 
6201.000000,0.206967 
4303.000000,0.194550 
4188.000000,0.071535 
6860.000000,0.239082 
6843.000000,0.170870 
6850.000000,0.140627 
6850.000000,0.155246 
6871.000000,0.172041 
6848.000000,0.145679 
8315.000000,0.190963 
4584.000000,0.202241 
4645.000000,0.097416 
4872.000000,0.106212 
3706.000000,0.144914 
4117.000000,0.149910 
4002.000000,0.151011 
3894.000000,0.131827 
3564.000000,0.070491 
313.000000,0.210014 
614.000000,0.182782 
443.000000,0.233819 
8515.000000,0.142019 
8659.000000,0.220645 
8763.000000,0.128059 
8670.000000,0.179291 
8713.000000,0.136406 
331.000000,0.177957 
8084.000000,0.243399 
359.000000,0.194847 
639.000000,0.428973 
4533.000000,0.092925 
4867.000000,0.172315 
6542.000000,0.185764 
6542.000000,0.200908 
6621.000000,0.138101 
4665.000000,0.121095 
4614.000000,0.109811 
4997.000000,0.273327 
6720.000000,0.161936 
6678.000000,0.146157 
6681.000000,0.130114 
6746.000000,0.183828 
6744.000000,0.120046 
6540.000000,0.151713 
6677.000000,0.191657 
6834.000000,0.133989 
6889.000000,0.117972 
6867.000000,0.162227 
6872.000000,0.148537 
6877.000000,0.141675 
6851.000000,0.134552 
6921.000000,0.135467 
5825.000000,0.245900 
5871.000000,0.084496 
5836.000000,0.214816 
5862.000000,0.156573 
4846.000000,0.171813 
4699.000000,0.150725 
4850.000000,0.073706 
6655.000000,0.152894 
6546.000000,0.132823 
6654.000000,0.426965 
6555.000000,0.172897 
6590.000000,0.191013 
6530.000000,0.174460 
5505.000000,0.077476 
7228.000000,0.151962 
7849.000000,0.289776 
7692.000000,0.228859 
7690.000000,0.252586 
8703.000000,0.183340 
2357.000000,0.216180 
7156.000000,0.186885 
7098.000000,0.065979 
8603.000000,0.129934 
8624.000000,0.120260 
8627.000000,0.145492 
8615.000000,0.172439 
2236.000000,0.148801 
2277.000000,0.126891 
9806.000000,0.083088 
9710.000000,0.132519 
9850.000000,0.129451 
9782.000000,0.196359 
2393.000000,0.163980 
7455.000000,0.134596 
7560.000000,0.349816 
7489.000000,0.160718 
7298.000000,0.126000 
7270.000000,0.216596 
7295.000000,0.404699 
7360.000000,0.194821 
7401.000000,0.118700 
7405.000000,0.144011 
7400.000000,0.165168 
527.000000,0.191594 
595.000000,0.292665 
6269.000000,0.218172 
467.000000,0.329615 
2412.000000,0.209359 
7101.000000,0.200869 
2448.000000,0.074735 
80.000000,0.127851 
5914.000000,0.317751 
5935.000000,0.222591 
5933.000000,0.273111 
2409.000000,0.229901 
2424.000000,0.241135 
5889.000000,0.162756 
5897.000000,0.194399 
5886.000000,0.220656 
5876.000000,0.174799 
5918.000000,0.291382 
5913.000000,0.159316 
2894.000000,0.234991 
2891.000000,0.153573 
563.000000,0.261719 
6292.000000,0.151794 
537.000000,0.146922 
6132.000000,0.162632 
5079.000000,0.300830 
6431.000000,0.162446 
6178.000000,0.096062 
3778.000000,0.150581 
3755.000000,0.083032 
3996.000000,0.116231 
3652.000000,0.135336 
4309.000000,0.116629 
6191.000000,0.208168 
6461.000000,0.159297 
6204.000000,0.203493 
6424.000000,0.093479 
8300.000000,0.121995 
3561.000000,0.172976 
3888.000000,0.085895 
4012.000000,0.089666 
3767.000000,0.135691 
3853.000000,0.066921 
3746.000000,0.096671 
3661.000000,0.112293 
6854.000000,0.094041 
6873.000000,0.194273 
6857.000000,0.090056 
8421.000000,0.126449 
8424.000000,0.195113 
7521.000000,0.175198 
7508.000000,0.151116 
7567.000000,0.224648 
7424.000000,0.358456 
4502.000000,0.128033 
7393.000000,0.179056 
7391.000000,0.207803 
7318.000000,0.139208 
7201.000000,0.180503 
7295.000000,0.177902 
7221.000000,0.190544 
7182.000000,0.140059 
7178.000000,0.118945 
7260.000000,0.207949 
7264.000000,0.131096 
4758.000000,0.075866 
4926.000000,0.145168 
8389.000000,0.420585 
8230.000000,0.179453 
8247.000000,0.155563 
8357.000000,0.091491 
8292.000000,0.213204 
8355.000000,0.169587 
4485.000000,0.218611 
7715.000000,0.130031 
7790.000000,0.188572 
7726.000000,0.142409 
7844.000000,0.242944 
4950.000000,0.063256 
5014.000000,0.170576 
4981.000000,0.131000 
3580.000000,0.191559 
4287.000000,0.096517 
4255.000000,0.192077 
4304.000000,0.229029 
3924.000000,0.178960 
3730.000000,0.103369 
8267.000000,0.129089 
8346.000000,0.177896 
8482.000000,0.178236 
473.000000,0.227853 
479.000000,0.177989 
1642.000000,0.271547 
8088.000000,0.250444 
374.000000,0.286325 
7957.000000,0.221964 
8502.000000,0.191705 
8510.000000,0.168782 
8591.000000,0.156950 
8694.000000,0.192820 
8636.000000,0.178352 
8696.000000,0.157024 
8693.000000,0.096634 
8631.000000,0.366063 
8632.000000,0.443908 
8830.000000,0.123207 
8836.000000,0.134600 
8834.000000,0.180981 
8798.000000,0.183107 
8846.000000,0.109310 
8801.000000,0.198702 
3583.000000,0.114232 
4406.000000,0.115917 
3998.000000,0.055750 
8707.000000,0.147546 
2143.000000,0.298920 
1453.000000,0.278827 
1394.000000,0.281095 
1870.000000,0.214139 
1432.000000,0.281261 
1425.000000,0.207146 
8269.000000,0.206019 
113.000000,0.112038 
5275.000000,0.117954 
5724.000000,0.097052 
7267.000000,0.275458 
6580.000000,0.153144 
6609.000000,0.180639 
6554.000000,0.191960 
7247.000000,0.206214 
5937.000000,0.249480 
5953.000000,0.178890 
5950.000000,0.176970 
5947.000000,0.145824 
5981.000000,0.140646 
5906.000000,0.166200 
5829.000000,0.224035 
5881.000000,0.145025 
307.000000,0.087180 
5280.000000,0.085685 
4810.000000,0.135386 
4537.000000,0.097712 
4717.000000,0.220435 
4365.000000,0.082428 
4370.000000,0.166274 
4608.000000,0.079363 
4359.000000,0.126440 
4507.000000,0.141384 
4436.000000,0.218838 
6298.000000,0.239898 
311.000000,0.216053 
304.000000,0.282627 
299.000000,0.089247 
291.000000,0.246253 
288.000000,0.296205 
285.000000,0.150974 
6448.000000,0.132064 
5001.000000,0.087365 
4828.000000,0.059118 
4925.000000,0.101819 
6445.000000,0.194064 
4984.000000,0.060017 
4990.000000,0.157518 
4418.000000,0.065423 
5029.000000,0.079954 
4960.000000,0.198699 
4993.000000,0.095716 
4455.000000,0.183433 
4731.000000,0.083161 
4653.000000,0.163320 
5030.000000,0.174893 
4887.000000,0.114231 
