point, dist
6342.000000,0.165328 
617.000000,0.151349 
1745.000000,0.213366 
1818.000000,0.233840 
6043.000000,0.164382 
5993.000000,0.151918 
5986.000000,0.201531 
5997.000000,0.175801 
7114.000000,0.426769 
6496.000000,0.116650 
6499.000000,0.183690 
6590.000000,0.223910 
6703.000000,0.191303 
6593.000000,0.177725 
8569.000000,0.215886 
9880.000000,0.188128 
9884.000000,0.163721 
1047.000000,0.244542 
2559.000000,0.114996 
2770.000000,0.289886 
7029.000000,0.144047 
6962.000000,0.123266 
6932.000000,0.133701 
6353.000000,0.262873 
6349.000000,0.149516 
5994.000000,0.152494 
5907.000000,0.239272 
96.000000,0.123838 
6117.000000,0.186897 
2321.000000,0.273235 
2308.000000,0.102607 
2855.000000,0.154531 
7115.000000,0.446290 
7105.000000,0.429874 
7086.000000,0.096216 
7102.000000,0.213906 
2455.000000,0.141607 
6421.000000,0.186092 
6425.000000,0.157637 
7026.000000,0.163797 
7025.000000,0.360682 
6769.000000,0.076578 
6771.000000,0.221869 
6800.000000,0.440002 
5715.000000,0.304804 
5385.000000,0.173487 
5381.000000,0.242168 
6764.000000,0.369192 
6791.000000,0.373369 
5947.000000,0.196335 
9451.000000,0.170809 
9519.000000,0.356551 
9478.000000,0.205638 
9483.000000,0.123088 
9433.000000,0.174080 
5454.000000,0.110955 
5454.000000,0.252032 
1221.000000,0.228681 
869.000000,0.208978 
2814.000000,0.161720 
2814.000000,0.244964 
4583.000000,0.130018 
4450.000000,0.108335 
4856.000000,0.164871 
4587.000000,0.145844 
5114.000000,0.096330 
4723.000000,0.142651 
8559.000000,0.162177 
8568.000000,0.131189 
8823.000000,0.265739 
8807.000000,0.174124 
8759.000000,0.076003 
8803.000000,0.286529 
1348.000000,0.245911 
2571.000000,0.252641 
1372.000000,0.293478 
1273.000000,0.380075 
1318.000000,0.262776 
2679.000000,0.102898 
2525.000000,0.127886 
1000.000000,0.203380 
2525.000000,0.241082 
2598.000000,0.158928 
2679.000000,0.233821 
1327.000000,0.255729 
1324.000000,0.233274 
9407.000000,0.261902 
9522.000000,0.393144 
9432.000000,0.440819 
9275.000000,0.215197 
9358.000000,0.335619 
9239.000000,0.149785 
6835.000000,0.102935 
6858.000000,0.174154 
6835.000000,0.146219 
6834.000000,0.125801 
6839.000000,0.133642 
2347.000000,0.074587 
7002.000000,0.197188 
2324.000000,0.221818 
6753.000000,0.187789 
6753.000000,0.498926 
6172.000000,0.243523 
6155.000000,0.119755 
6178.000000,0.240566 
6134.000000,0.207849 
8572.000000,0.175795 
7097.000000,0.180962 
7074.000000,0.201627 
7080.000000,0.152164 
6024.000000,0.087296 
6031.000000,0.093108 
6026.000000,0.081081 
6022.000000,0.119248 
7096.000000,0.155801 
6366.000000,0.223455 
2460.000000,0.184863 
2512.000000,0.283465 
2512.000000,0.138626 
9869.000000,0.151260 
9870.000000,0.477523 
9817.000000,0.194505 
1921.000000,0.244032 
6092.000000,0.173160 
2511.000000,0.215198 
6376.000000,0.309323 
7018.000000,0.198634 
6934.000000,0.107846 
6955.000000,0.140972 
7030.000000,0.227867 
6992.000000,0.124198 
6968.000000,0.223918 
6954.000000,0.134300 
7084.000000,0.199960 
7037.000000,0.151035 
7033.000000,0.180503 
7062.000000,0.189948 
2313.000000,0.106630 
2317.000000,0.169247 
6980.000000,0.085692 
7009.000000,0.409499 
6983.000000,0.131517 
6574.000000,0.188789 
3365.000000,0.247131 
9775.000000,0.190220 
3365.000000,0.118681 
6799.000000,0.180424 
6714.000000,0.181082 
6716.000000,0.171325 
6714.000000,0.177808 
9485.000000,0.145771 
4543.000000,0.182188 
9870.000000,0.085953 
9827.000000,0.150653 
9819.000000,0.199737 
7325.000000,0.317237 
7348.000000,0.528763 
7291.000000,0.162848 
7470.000000,0.165405 
7343.000000,0.442405 
7149.000000,0.177740 
6693.000000,0.466685 
7217.000000,0.206031 
7348.000000,0.415716 
7783.000000,0.028135 
7782.000000,0.248204 
7787.000000,0.025420 
2534.000000,0.255383 
2534.000000,0.196000 
2732.000000,0.260009 
2541.000000,0.210206 
9289.000000,0.401625 
9159.000000,0.363004 
4124.000000,0.168703 
3757.000000,0.202616 
3972.000000,0.201106 
6754.000000,0.138205 
6762.000000,0.172750 
6800.000000,0.196793 
6761.000000,0.164360 
7133.000000,0.161160 
7131.000000,0.174824 
7205.000000,0.136745 
6796.000000,0.172394 
7204.000000,0.169716 
4486.000000,0.178948 
5028.000000,0.089158 
6068.000000,0.159895 
6034.000000,0.199096 
6008.000000,0.099640 
4564.000000,0.167207 
5943.000000,0.073559 
4421.000000,0.213004 
4591.000000,0.094612 
4817.000000,0.087593 
4690.000000,0.140591 
4442.000000,0.051467 
8565.000000,0.187554 
8530.000000,0.430096 
8540.000000,0.392367 
8708.000000,0.252126 
8685.000000,0.338310 
8683.000000,0.271513 
8575.000000,0.483979 
8685.000000,0.142207 
8655.000000,0.137197 
8703.000000,0.100408 
9891.000000,0.220109 
8601.000000,0.481197 
8531.000000,0.494458 
7118.000000,0.508475 
2467.000000,0.515274 
8575.000000,0.044614 
8571.000000,0.322574 
8574.000000,0.204391 
8574.000000,0.312533 
8570.000000,0.256363 
2570.000000,0.298456 
2426.000000,0.250104 
8805.000000,0.152077 
8714.000000,0.072569 
8645.000000,0.133740 
8714.000000,0.474510 
8658.000000,0.121071 
8816.000000,0.175397 
4711.000000,0.124791 
4532.000000,0.099156 
5065.000000,0.080385 
2819.000000,0.112514 
2670.000000,0.070767 
1120.000000,0.298752 
1053.000000,0.246143 
923.000000,0.251316 
1088.000000,0.199773 
1269.000000,0.261866 
985.000000,0.262091 
1114.000000,0.211250 
1329.000000,0.273899 
1151.000000,0.294166 
2568.000000,0.245215 
1311.000000,0.211647 
2720.000000,0.226605 
2702.000000,0.210214 
9367.000000,0.214292 
9302.000000,0.177151 
9359.000000,0.134985 
9409.000000,0.133270 
4626.000000,0.202159 
9038.000000,0.128751 
9037.000000,0.034096 
9010.000000,0.088321 
9065.000000,0.394769 
9065.000000,0.335476 
9038.000000,0.396700 
9161.000000,0.118130 
9158.000000,0.255624 
9158.000000,0.154015 
9161.000000,0.247277 
8826.000000,0.518191 
8826.000000,0.327861 
8826.000000,0.118361 
2602.000000,0.255214 
2811.000000,0.242093 
2562.000000,0.247609 
8921.000000,0.413160 
8802.000000,0.285653 
8823.000000,0.283779 
8710.000000,0.554613 
2738.000000,0.252370 
2577.000000,0.230851 
8710.000000,0.533768 
8710.000000,0.296141 
2702.000000,0.087157 
2703.000000,0.236884 
7782.000000,0.128302 
7798.000000,0.184775 
9984.000000,0.174523 
9841.000000,0.109300 
9834.000000,0.174150 
9833.000000,0.150236 
9839.000000,0.158723 
9480.000000,0.148529 
9159.000000,0.282572 
2676.000000,0.224060 
2774.000000,0.206688 
8921.000000,0.287168 
9157.000000,0.276778 
2833.000000,0.265033 
2778.000000,0.266410 
5196.000000,0.146758 
6888.000000,0.390283 
5191.000000,0.159416 
6249.000000,0.153933 
6265.000000,0.200072 
6490.000000,0.212936 
6870.000000,0.135612 
6869.000000,0.145360 
216.000000,0.122690 
94.000000,0.454214 
722.000000,0.227620 
6787.000000,0.114735 
281.000000,0.232558 
747.000000,0.411118 
689.000000,0.344522 
270.000000,0.163345 
6831.000000,0.540565 
5980.000000,0.127470 
6819.000000,0.379728 
6808.000000,0.267621 
6858.000000,0.081446 
6837.000000,0.179536 
6886.000000,0.187353 
6860.000000,0.194862 
5869.000000,0.182455 
6420.000000,0.137162 
6355.000000,0.197576 
6273.000000,0.047789 
6259.000000,0.186504 
6169.000000,0.242052 
6138.000000,0.105923 
102.000000,0.084417 
106.000000,0.052947 
6124.000000,0.157026 
6164.000000,0.214703 
2307.000000,0.206274 
303.000000,0.192669 
8595.000000,0.075408 
7016.000000,0.188234 
7013.000000,0.165386 
6981.000000,0.149570 
6012.000000,0.086575 
6020.000000,0.237860 
2476.000000,0.220470 
2582.000000,0.208025 
2590.000000,0.322926 
6019.000000,0.188038 
6423.000000,0.263968 
6424.000000,0.179675 
6029.000000,0.261092 
6028.000000,0.198143 
5901.000000,0.230441 
2451.000000,0.250514 
2436.000000,0.218777 
2464.000000,0.120749 
998.000000,0.230975 
1316.000000,0.253785 
9869.000000,0.486718 
1854.000000,0.199600 
1983.000000,0.257371 
1443.000000,0.254671 
1562.000000,0.246920 
1886.000000,0.213261 
1848.000000,0.197196 
1619.000000,0.200805 
1653.000000,0.228493 
1556.000000,0.221063 
2030.000000,0.228634 
1719.000000,0.252504 
1200.000000,0.229629 
1121.000000,0.255693 
2555.000000,0.190872 
2701.000000,0.142789 
2697.000000,0.257979 
2560.000000,0.253841 
1293.000000,0.206712 
1041.000000,0.330593 
7017.000000,0.414466 
6991.000000,0.057655 
6991.000000,0.360366 
6987.000000,0.136553 
6514.000000,0.103358 
3967.000000,0.171873 
4409.000000,0.266093 
3001.000000,0.181561 
6989.000000,0.157721 
6244.000000,0.176216 
7017.000000,0.135612 
6978.000000,0.214333 
6522.000000,0.190990 
6187.000000,0.148512 
2967.000000,0.139740 
7013.000000,0.460423 
4536.000000,0.180249 
5934.000000,0.091125 
6763.000000,0.197160 
6743.000000,0.228224 
6748.000000,0.199782 
6747.000000,0.179656 
6841.000000,0.071159 
9787.000000,0.165459 
9831.000000,0.116168 
9831.000000,0.477478 
636.000000,0.173189 
448.000000,0.150992 
2017.000000,0.239564 
1683.000000,0.259755 
482.000000,0.086390 
1958.000000,0.217519 
629.000000,0.155559 
1518.000000,0.223003 
1455.000000,0.309478 
698.000000,0.393444 
7784.000000,0.220241 
506.000000,0.273399 
406.000000,0.228805 
590.000000,0.190449 
7749.000000,0.106504 
4154.000000,0.139316 
4201.000000,0.092627 
3842.000000,0.160828 
4310.000000,0.185858 
4249.000000,0.195445 
6609.000000,0.137057 
6650.000000,0.124864 
6662.000000,0.218608 
7136.000000,0.162135 
7138.000000,0.103168 
7237.000000,0.166283 
7216.000000,0.362048 
707.000000,0.351356 
7212.000000,0.265858 
7159.000000,0.179089 
7344.000000,0.448747 
7261.000000,0.446242 
7343.000000,0.193792 
1553.000000,0.242506 
2023.000000,0.236817 
1490.000000,0.223168 
2028.000000,0.219759 
801.000000,0.301239 
2592.000000,0.273513 
2788.000000,0.222809 
2645.000000,0.246122 
9270.000000,0.262856 
2542.000000,0.148138 
8666.000000,0.185687 
8490.000000,0.147852 
8600.000000,0.503621 
3422.000000,0.404230 
8669.000000,0.171114 
8670.000000,0.142718 
6785.000000,0.070450 
6785.000000,0.519225 
6444.000000,0.290672 
5407.000000,0.310560 
6450.000000,0.293269 
6450.000000,0.087808 
6444.000000,0.162497 
6740.000000,0.182856 
6712.000000,0.200220 
6468.000000,0.131543 
5001.000000,0.112675 
4503.000000,0.162492 
4702.000000,0.220971 
5003.000000,0.081300 
5059.000000,0.172932 
4835.000000,0.194707 
4731.000000,0.124365 
4538.000000,0.177083 
3987.000000,0.185891 
3919.000000,0.187794 
4357.000000,0.128018 
3688.000000,0.123594 
7197.000000,0.215328 
7206.000000,0.142759 
5957.000000,0.123105 
4883.000000,0.232980 
4958.000000,0.120409 
4588.000000,0.260162 
4435.000000,0.193933 
4826.000000,0.096038 
4630.000000,0.115893 
4871.000000,0.183410 
5151.000000,0.154654 
4831.000000,0.283558 
4617.000000,0.191533 
4889.000000,0.153113 
4677.000000,0.173265 
4761.000000,0.060762 
5088.000000,0.154900 
4557.000000,0.048756 
4663.000000,0.192036 
2573.000000,0.333938 
2576.000000,0.277508 
2693.000000,0.296641 
8544.000000,0.112031 
2422.000000,0.243389 
8660.000000,0.215120 
8643.000000,0.198553 
8716.000000,0.500173 
8822.000000,0.092754 
8659.000000,0.121265 
8618.000000,0.197380 
5123.000000,0.193590 
3721.000000,0.191373 
4809.000000,0.257156 
4632.000000,0.150191 
3887.000000,0.100713 
829.000000,0.303013 
1280.000000,0.320242 
980.000000,0.260407 
6372.000000,0.186064 
2438.000000,0.184144 
9442.000000,0.163752 
9318.000000,0.158808 
9324.000000,0.161579 
9344.000000,0.199146 
8688.000000,0.165703 
2805.000000,0.235727 
8687.000000,0.058936 
7812.000000,0.353946 
7690.000000,0.264658 
7650.000000,0.296699 
7785.000000,0.280172 
7701.000000,0.180517 
7754.000000,0.143787 
