point, dist
37.000000,0.117814 
8092.000000,0.092698 
212.000000,0.133544 
3034.000000,0.255758 
3065.000000,0.047492 
7065.000000,0.100447 
4997.000000,0.081615 
4573.000000,0.131103 
4451.000000,0.138281 
4788.000000,0.131162 
277.000000,0.119530 
322.000000,0.123555 
271.000000,0.113957 
346.000000,0.122894 
9990.000000,0.128850 
5822.000000,0.051204 
4491.000000,0.131153 
4872.000000,0.129085 
4270.000000,0.139746 
4344.000000,0.141036 
4320.000000,0.126670 
4617.000000,0.129411 
4800.000000,0.128889 
8656.000000,0.114728 
4826.000000,0.130450 
4378.000000,0.139475 
4288.000000,0.131610 
5678.000000,0.063289 
1469.000000,0.271372 
1592.000000,0.268340 
1805.000000,0.268116 
1628.000000,0.278757 
7511.000000,0.104085 
7599.000000,0.078731 
7635.000000,0.055139 
7708.000000,0.080546 
4406.000000,0.154276 
4418.000000,0.144156 
448.000000,0.087883 
451.000000,0.125149 
9007.000000,0.409029 
4347.000000,0.136543 
5661.000000,0.047970 
8205.000000,0.056699 
5693.000000,0.051758 
4816.000000,0.143308 
4063.000000,0.134100 
3873.000000,0.149530 
4880.000000,0.127039 
5620.000000,0.106948 
770.000000,0.113226 
785.000000,0.090169 
3602.000000,0.147446 
3480.000000,0.045389 
3536.000000,0.076937 
9260.000000,0.283859 
6162.000000,0.084601 
5902.000000,0.114153 
6058.000000,0.088878 
5919.000000,0.108372 
713.000000,0.104031 
754.000000,0.093342 
692.000000,0.134577 
768.000000,0.103309 
798.000000,0.111811 
1397.000000,0.066285 
1442.000000,0.095154 
6296.000000,0.095517 
9123.000000,0.318049 
9125.000000,0.325326 
5137.000000,0.054219 
1005.000000,0.107655 
1226.000000,0.261318 
5979.000000,0.105006 
5991.000000,0.110330 
6546.000000,0.094630 
6506.000000,0.137542 
5740.000000,0.105918 
5850.000000,0.073694 
5142.000000,0.026486 
3509.000000,0.073638 
9260.000000,0.072019 
9261.000000,0.056353 
9279.000000,0.062486 
3063.000000,0.058838 
2833.000000,0.057075 
2828.000000,0.059258 
2794.000000,0.067136 
9276.000000,0.318439 
2880.000000,0.094629 
2227.000000,0.273376 
6784.000000,0.089760 
6717.000000,0.072962 
2161.000000,0.268058 
8211.000000,0.070772 
5856.000000,0.073582 
6900.000000,0.072121 
7204.000000,0.052214 
2087.000000,0.275211 
6707.000000,0.077097 
1982.000000,0.274033 
2714.000000,0.100927 
9859.000000,0.336092 
2739.000000,0.058603 
9859.000000,0.048731 
2951.000000,0.058822 
7277.000000,0.112996 
7299.000000,0.114740 
3123.000000,0.036281 
7274.000000,0.099220 
7441.000000,0.101862 
7482.000000,0.115139 
9329.000000,0.112458 
9849.000000,0.090152 
9324.000000,0.116977 
9373.000000,0.112858 
9436.000000,0.128589 
3857.000000,0.153722 
9424.000000,0.116761 
440.000000,0.412335 
448.000000,0.423105 
457.000000,0.430364 
5829.000000,0.083809 
6140.000000,0.121425 
5799.000000,0.089210 
5639.000000,0.058947 
3600.000000,0.132278 
3896.000000,0.134431 
3797.000000,0.133934 
4084.000000,0.133220 
3306.000000,0.090870 
4425.000000,0.126697 
4739.000000,0.129349 
4672.000000,0.136120 
4850.000000,0.135971 
7614.000000,0.119524 
990.000000,0.116576 
4973.000000,0.105186 
7198.000000,0.126470 
6654.000000,0.089931 
6321.000000,0.073994 
6328.000000,0.073895 
6396.000000,0.097024 
6582.000000,0.096355 
5934.000000,0.116923 
6065.000000,0.144693 
800.000000,0.111139 
959.000000,0.409505 
944.000000,0.384167 
9714.000000,0.428183 
9833.000000,0.062119 
9722.000000,0.100893 
9842.000000,0.085914 
9833.000000,0.244545 
9846.000000,0.255965 
4125.000000,0.134356 
3804.000000,0.145174 
6085.000000,0.144660 
8689.000000,0.100786 
8751.000000,0.059934 
9142.000000,0.073175 
8796.000000,0.130237 
9004.000000,0.396596 
4315.000000,0.137302 
5669.000000,0.081984 
9146.000000,0.241220 
1415.000000,0.064304 
6538.000000,0.079626 
6563.000000,0.091920 
5418.000000,0.139892 
6275.000000,0.118446 
6270.000000,0.047434 
5432.000000,0.131195 
1513.000000,0.296412 
1577.000000,0.278641 
9142.000000,0.305481 
5784.000000,0.090868 
2992.000000,0.102434 
9743.000000,0.094512 
3018.000000,0.063966 
1914.000000,0.270197 
6488.000000,0.129977 
6107.000000,0.117475 
6524.000000,0.127105 
6443.000000,0.153830 
860.000000,0.331989 
3111.000000,0.118884 
4108.000000,0.129556 
6868.000000,0.045800 
7090.000000,0.121547 
7096.000000,0.112968 
18.000000,0.122710 
9977.000000,0.095898 
9959.000000,0.082405 
9959.000000,0.308594 
1362.000000,0.066072 
1080.000000,0.088672 
1368.000000,0.034545 
3253.000000,0.097237 
5896.000000,0.121290 
5876.000000,0.096588 
5632.000000,0.088777 
9963.000000,0.336538 
9293.000000,0.066330 
1502.000000,0.270404 
1531.000000,0.274934 
1578.000000,0.274743 
667.000000,0.081646 
6829.000000,0.098200 
6739.000000,0.088366 
7111.000000,0.110921 
6907.000000,0.114926 
1119.000000,0.064013 
2942.000000,0.235491 
7112.000000,0.101566 
7113.000000,0.101091 
7086.000000,0.102937 
7597.000000,0.103289 
3939.000000,0.139827 
4177.000000,0.167332 
