point, dist
2103.000000,0.244301 
2103.000000,0.327214 
9097.000000,0.267729 
5534.000000,0.350677 
9094.000000,0.326088 
4990.000000,0.256108 
4989.000000,0.255053 
4999.000000,0.224037 
9114.000000,0.238165 
9120.000000,0.290953 
5559.000000,0.103675 
5581.000000,0.149597 
4993.000000,0.295574 
5908.000000,0.107183 
5630.000000,0.101487 
5621.000000,0.156537 
5663.000000,0.144969 
5662.000000,0.123142 
5844.000000,0.207456 
951.000000,0.268995 
3359.000000,0.326190 
9120.000000,0.324828 
5570.000000,0.197879 
5570.000000,0.181102 
2015.000000,0.342383 
1891.000000,0.241235 
1763.000000,0.210637 
5427.000000,0.289051 
1625.000000,0.342055 
2097.000000,0.367650 
9095.000000,0.250965 
264.000000,0.203078 
254.000000,0.159892 
254.000000,0.215291 
6185.000000,0.177924 
6282.000000,0.285946 
613.000000,0.321063 
5699.000000,0.417957 
6696.000000,0.215036 
3745.000000,0.288268 
6649.000000,0.039025 
6673.000000,0.221372 
6658.000000,0.230887 
6652.000000,0.204258 
6416.000000,0.278279 
6313.000000,0.057740 
9132.000000,0.311768 
9115.000000,0.298495 
9113.000000,0.303005 
5583.000000,0.302215 
5715.000000,0.059604 
5675.000000,0.210313 
5760.000000,0.222781 
6114.000000,0.026990 
5664.000000,0.229817 
3745.000000,0.397419 
5629.000000,0.152339 
541.000000,0.221425 
987.000000,0.297575 
987.000000,0.361212 
2371.000000,0.271288 
2539.000000,0.316197 
2656.000000,0.362705 
1687.000000,0.282283 
1430.000000,0.232670 
1409.000000,0.228464 
1412.000000,0.373819 
1967.000000,0.270617 
1801.000000,0.287512 
2009.000000,0.237381 
1994.000000,0.283270 
1776.000000,0.387684 
1776.000000,0.292671 
1714.000000,0.239198 
578.000000,0.331429 
714.000000,0.261942 
6344.000000,0.304351 
6396.000000,0.306674 
573.000000,0.322033 
1715.000000,0.238796 
1799.000000,0.238212 
1701.000000,0.237145 
1887.000000,0.288609 
1584.000000,0.361638 
9128.000000,0.219106 
9124.000000,0.211313 
1604.000000,0.261392 
5438.000000,0.298785 
1622.000000,0.270510 
5403.000000,0.312580 
2114.000000,0.273780 
2073.000000,0.323839 
2069.000000,0.218264 
2124.000000,0.397677 
2087.000000,0.333105 
5475.000000,0.263727 
2091.000000,0.283761 
2112.000000,0.319031 
2097.000000,0.351709 
1628.000000,0.318122 
1643.000000,0.303762 
2080.000000,0.269401 
1616.000000,0.307037 
47.000000,0.259948 
55.000000,0.114264 
64.000000,0.242876 
65.000000,0.273156 
9319.000000,0.227277 
9289.000000,0.042242 
9289.000000,0.265306 
6340.000000,0.063818 
613.000000,0.289978 
698.000000,0.338523 
1455.000000,0.327155 
58.000000,0.279925 
1607.000000,0.320219 
9125.000000,0.242535 
1597.000000,0.221271 
5298.000000,0.557977 
5082.000000,0.511926 
5176.000000,0.814300 
5501.000000,0.414721 
5323.000000,0.404542 
5342.000000,0.432010 
3858.000000,0.235043 
3864.000000,0.308788 
3859.000000,0.235524 
3903.000000,0.268651 
3882.000000,0.248938 
4672.000000,0.313176 
3869.000000,0.270045 
3002.000000,0.257801 
8594.000000,0.232852 
3925.000000,0.115544 
8559.000000,0.292721 
4195.000000,0.205792 
7814.000000,0.307419 
7573.000000,0.255297 
7579.000000,0.347500 
4554.000000,0.297101 
4755.000000,0.338879 
4548.000000,0.315271 
4491.000000,0.379692 
4935.000000,0.269839 
6278.000000,0.222306 
6561.000000,0.191117 
6652.000000,0.208528 
6665.000000,0.271061 
612.000000,0.300136 
6378.000000,0.152518 
6648.000000,0.317244 
6200.000000,0.280817 
6274.000000,0.207908 
739.000000,0.284524 
6239.000000,0.276773 
6011.000000,0.211624 
6123.000000,0.029452 
5920.000000,0.213493 
