point, dist
3524.000000,0.164864 
3546.000000,0.194566 
3525.000000,0.151978 
9427.000000,0.154906 
9395.000000,0.245653 
9989.000000,0.130704 
9395.000000,0.261948 
9423.000000,0.215542 
4680.000000,0.196732 
3544.000000,0.156456 
4674.000000,0.106855 
3600.000000,0.156174 
4673.000000,0.130673 
4673.000000,0.214233 
8710.000000,0.197921 
9911.000000,0.146801 
9907.000000,0.206441 
8744.000000,0.205122 
9429.000000,0.158637 
9431.000000,0.178181 
4679.000000,0.249459 
4730.000000,0.204871 
9773.000000,0.177493 
7648.000000,0.262060 
9781.000000,0.129457 
5905.000000,0.173606 
4643.000000,0.130892 
4636.000000,0.165561 
5901.000000,0.086168 
5909.000000,0.083459 
5903.000000,0.093415 
4635.000000,0.199375 
3523.000000,0.234928 
3540.000000,0.267819 
9433.000000,0.182996 
5902.000000,0.197936 
5904.000000,0.035842 
4644.000000,0.184355 
588.000000,0.372970 
3801.000000,0.147679 
9439.000000,0.131497 
3800.000000,0.147546 
5656.000000,0.223580 
2547.000000,0.152470 
5168.000000,0.209169 
1401.000000,0.176006 
1416.000000,0.118699 
1418.000000,0.246468 
1405.000000,0.138089 
9398.000000,0.190837 
9405.000000,0.205964 
8801.000000,0.161336 
8797.000000,0.241253 
8862.000000,0.198732 
4675.000000,0.225336 
4080.000000,0.146591 
3943.000000,0.169479 
9999.000000,0.273910 
9446.000000,0.188591 
9446.000000,0.202322 
9477.000000,0.199918 
1953.000000,0.098257 
1938.000000,0.200052 
1965.000000,0.207556 
3539.000000,0.138049 
3928.000000,0.229731 
1390.000000,0.141900 
9490.000000,0.193608 
1387.000000,0.173258 
9489.000000,0.164221 
1374.000000,0.129064 
3633.000000,0.235173 
4839.000000,0.167505 
4847.000000,0.146130 
4671.000000,0.203383 
3573.000000,0.202661 
3624.000000,0.141893 
3596.000000,0.169714 
3595.000000,0.129421 
9424.000000,0.230291 
9458.000000,0.238548 
9464.000000,0.222647 
9464.000000,0.189702 
4634.000000,0.129058 
1392.000000,0.110767 
1966.000000,0.124381 
1971.000000,0.122414 
9966.000000,0.126374 
9961.000000,0.145973 
9960.000000,0.214939 
8852.000000,0.172995 
8817.000000,0.148692 
8865.000000,0.234299 
8803.000000,0.200176 
2559.000000,0.181192 
1399.000000,0.207743 
1414.000000,0.094813 
9400.000000,0.233718 
8813.000000,0.148799 
1944.000000,0.144982 
1939.000000,0.185085 
8808.000000,0.202591 
5820.000000,0.152669 
3545.000000,0.208553 
3594.000000,0.181507 
3597.000000,0.272728 
3611.000000,0.159740 
3626.000000,0.148691 
4719.000000,0.191210 
4731.000000,0.198278 
4748.000000,0.184045 
4733.000000,0.149287 
4743.000000,0.193118 
4729.000000,0.199520 
4717.000000,0.171356 
4110.000000,0.092577 
4730.000000,0.171508 
9974.000000,0.184499 
9372.000000,0.169604 
9307.000000,0.236999 
9316.000000,0.143836 
9286.000000,0.096736 
9972.000000,0.149871 
9578.000000,0.186758 
9582.000000,0.176680 
9577.000000,0.185580 
6058.000000,0.231741 
4895.000000,0.251476 
4831.000000,0.207495 
4794.000000,0.226748 
4801.000000,0.241135 
4831.000000,0.184207 
4503.000000,0.062444 
5410.000000,0.252320 
1952.000000,0.187687 
3395.000000,0.195052 
5445.000000,0.159775 
3398.000000,0.153994 
5941.000000,0.148046 
5929.000000,0.159705 
5943.000000,0.208603 
3450.000000,0.098896 
5936.000000,0.185614 
3531.000000,0.129099 
3519.000000,0.151524 
3547.000000,0.135871 
3799.000000,0.115714 
5908.000000,0.246474 
1378.000000,0.175482 
1404.000000,0.214751 
5888.000000,0.179621 
563.000000,0.330619 
1407.000000,0.124996 
4864.000000,0.236134 
4851.000000,0.150045 
1986.000000,0.213943 
8713.000000,0.212997 
5804.000000,0.186096 
8716.000000,0.170609 
8743.000000,0.173465 
1996.000000,0.099678 
1994.000000,0.101238 
4626.000000,0.068933 
9263.000000,0.171776 
9480.000000,0.169540 
9450.000000,0.273008 
9470.000000,0.172101 
9467.000000,0.214339 
4630.000000,0.201296 
603.000000,0.370455 
1964.000000,0.187234 
7672.000000,0.197308 
7694.000000,0.173627 
7702.000000,0.232443 
7692.000000,0.142050 
7161.000000,0.165439 
7213.000000,0.194952 
7149.000000,0.153473 
9738.000000,0.167168 
7379.000000,0.230107 
7294.000000,0.176285 
9739.000000,0.154790 
9735.000000,0.164312 
7326.000000,0.148157 
9476.000000,0.184637 
9461.000000,0.132915 
9558.000000,0.205125 
9468.000000,0.229685 
9459.000000,0.220009 
9096.000000,0.197152 
9099.000000,0.175795 
9941.000000,0.168541 
9264.000000,0.152187 
8881.000000,0.195303 
9930.000000,0.213533 
9922.000000,0.201507 
