point, dist
5160.000000,0.162251 
5748.000000,0.161437 
5770.000000,0.230527 
6774.000000,0.192817 
9638.000000,0.157320 
9608.000000,0.146393 
9769.000000,0.110404 
9746.000000,0.109635 
9759.000000,0.102392 
5586.000000,0.186811 
5191.000000,0.130036 
3569.000000,0.210261 
3536.000000,0.200065 
4256.000000,0.107085 
3543.000000,0.217143 
3745.000000,0.074733 
3548.000000,0.212147 
4795.000000,0.100108 
4250.000000,0.073846 
5096.000000,0.207304 
5078.000000,0.213329 
4787.000000,0.090062 
4773.000000,0.083578 
3381.000000,0.123370 
3281.000000,0.114854 
5206.000000,0.152675 
5327.000000,0.201820 
7305.000000,0.166784 
9670.000000,0.190518 
7023.000000,0.167009 
9657.000000,0.170524 
6879.000000,0.158389 
9646.000000,0.190365 
6858.000000,0.150727 
5719.000000,0.144333 
5704.000000,0.185506 
5739.000000,0.152030 
9632.000000,0.108266 
8740.000000,0.170439 
8638.000000,0.164114 
8630.000000,0.179419 
9730.000000,0.083286 
9688.000000,0.105827 
9698.000000,0.113264 
9616.000000,0.150159 
9771.000000,0.104176 
3450.000000,0.193716 
3490.000000,0.204663 
3516.000000,0.204404 
3521.000000,0.219384 
2666.000000,0.139057 
2785.000000,0.098635 
5843.000000,0.155982 
2735.000000,0.151891 
2715.000000,0.127586 
1367.000000,0.130756 
1383.000000,0.127250 
6617.000000,0.092457 
6599.000000,0.110228 
1406.000000,0.141126 
6592.000000,0.081624 
4243.000000,0.121975 
4826.000000,0.104988 
3388.000000,0.146995 
4803.000000,0.073529 
3395.000000,0.131046 
4663.000000,0.222396 
4645.000000,0.215991 
4450.000000,0.097256 
6560.000000,0.125132 
1805.000000,0.127192 
1694.000000,0.134322 
1759.000000,0.117675 
6537.000000,0.136395 
6551.000000,0.128240 
8597.000000,0.174802 
9847.000000,0.073440 
8782.000000,0.180800 
4844.000000,0.090039 
4859.000000,0.087138 
3077.000000,0.132119 
3213.000000,0.157375 
3589.000000,0.196168 
3462.000000,0.201774 
8732.000000,0.182930 
6991.000000,0.175341 
6970.000000,0.168531 
6904.000000,0.177092 
7255.000000,0.187464 
4666.000000,0.201047 
4676.000000,0.217912 
3778.000000,0.058055 
4730.000000,0.190706 
3127.000000,0.112860 
3114.000000,0.118396 
6891.000000,0.150543 
6848.000000,0.151179 
2407.000000,0.117617 
1078.000000,0.049300 
527.000000,0.083365 
2340.000000,0.108564 
7044.000000,0.181324 
299.000000,0.065792 
7341.000000,0.179258 
5876.000000,0.146704 
2807.000000,0.127100 
399.000000,0.339561 
9620.000000,0.117485 
6642.000000,0.172013 
6635.000000,0.166996 
6787.000000,0.147936 
2925.000000,0.114488 
5720.000000,0.171451 
5123.000000,0.130091 
5127.000000,0.136496 
8778.000000,0.171114 
8684.000000,0.163006 
7597.000000,0.162986 
7612.000000,0.170218 
7930.000000,0.149923 
7699.000000,0.177875 
1005.000000,0.063049 
1018.000000,0.059327 
8065.000000,0.159944 
7800.000000,0.176522 
9714.000000,0.079143 
9692.000000,0.118180 
9690.000000,0.144010 
4814.000000,0.134665 
5836.000000,0.156814 
200.000000,0.303761 
3027.000000,0.118875 
5813.000000,0.121651 
5830.000000,0.154101 
3300.000000,0.112185 
999.000000,0.029805 
7940.000000,0.160585 
7943.000000,0.157215 
3413.000000,0.102873 
3408.000000,0.107944 
3318.000000,0.120235 
5818.000000,0.176614 
3050.000000,0.098128 
2953.000000,0.125977 
3800.000000,0.085761 
4696.000000,0.213677 
4702.000000,0.217157 
3584.000000,0.203719 
4857.000000,0.231720 
7.000000,0.303551 
4466.000000,0.031707 
9200.000000,0.190155 
9229.000000,0.171207 
9095.000000,0.262023 
9502.000000,0.217782 
9338.000000,0.140356 
8643.000000,0.155743 
8632.000000,0.137176 
8533.000000,0.168222 
8640.000000,0.140770 
8667.000000,0.165062 
8587.000000,0.138454 
8713.000000,0.171551 
8622.000000,0.140944 
8697.000000,0.181598 
7740.000000,0.179240 
7868.000000,0.141361 
7634.000000,0.180954 
9768.000000,0.162051 
7729.000000,0.193280 
2827.000000,0.111652 
2742.000000,0.126988 
5881.000000,0.144853 
2714.000000,0.104340 
3137.000000,0.109960 
3094.000000,0.111428 
4819.000000,0.103733 
3166.000000,0.130219 
2737.000000,0.116921 
6609.000000,0.089313 
1342.000000,0.153693 
6582.000000,0.102759 
1419.000000,0.139001 
1386.000000,0.125373 
3198.000000,0.144674 
3209.000000,0.115863 
3416.000000,0.115738 
3348.000000,0.150732 
9895.000000,0.120295 
9903.000000,0.183512 
9872.000000,0.165908 
9889.000000,0.142160 
5567.000000,0.176481 
5577.000000,0.173442 
5205.000000,0.131707 
6538.000000,0.146386 
1747.000000,0.176063 
6558.000000,0.132643 
1838.000000,0.142596 
4726.000000,0.213587 
3511.000000,0.212389 
8824.000000,0.167710 
2063.000000,0.108509 
2048.000000,0.102698 
1696.000000,0.113488 
1849.000000,0.104211 
7297.000000,0.187112 
5208.000000,0.129239 
5171.000000,0.122864 
6849.000000,0.155762 
6967.000000,0.170698 
4654.000000,0.193705 
3772.000000,0.046708 
3078.000000,0.111995 
5391.000000,0.228905 
5253.000000,0.140112 
5251.000000,0.137666 
6794.000000,0.178820 
2701.000000,0.121446 
5990.000000,0.160903 
1043.000000,0.064672 
6960.000000,0.142685 
6908.000000,0.164060 
2864.000000,0.127160 
133.000000,0.081897 
2579.000000,0.110709 
2637.000000,0.107750 
2531.000000,0.148653 
2517.000000,0.119075 
2565.000000,0.138572 
2548.000000,0.120461 
3656.000000,0.088438 
4395.000000,0.055598 
2052.000000,0.108626 
1912.000000,0.129512 
6333.000000,0.160955 
2515.000000,0.143537 
9719.000000,0.134270 
6809.000000,0.167389 
4997.000000,0.192487 
5111.000000,0.128094 
141.000000,0.039001 
7799.000000,0.176322 
7869.000000,0.153405 
7885.000000,0.139346 
8930.000000,0.132672 
4532.000000,0.057492 
1486.000000,0.145252 
3103.000000,0.129017 
3056.000000,0.115043 
2418.000000,0.105509 
7509.000000,0.179815 
2327.000000,0.133516 
4572.000000,0.084867 
7472.000000,0.135777 
2426.000000,0.124255 
5957.000000,0.162146 
4585.000000,0.037465 
3171.000000,0.128581 
6376.000000,0.178805 
9817.000000,0.132470 
9798.000000,0.127192 
9797.000000,0.140515 
5224.000000,0.149702 
340.000000,0.308279 
5288.000000,0.138057 
337.000000,0.308488 
271.000000,0.307521 
5576.000000,0.164911 
9742.000000,0.171214 
7629.000000,0.167490 
7964.000000,0.150887 
2998.000000,0.106618 
2647.000000,0.157801 
5927.000000,0.196760 
2895.000000,0.107121 
5934.000000,0.169219 
2983.000000,0.114754 
3262.000000,0.105984 
3344.000000,0.126227 
2992.000000,0.135607 
5913.000000,0.171615 
5914.000000,0.180896 
5901.000000,0.188294 
2639.000000,0.100839 
2888.000000,0.123368 
2536.000000,0.117399 
7576.000000,0.168802 
1055.000000,0.031472 
27.000000,0.069821 
1049.000000,0.101079 
991.000000,0.092102 
8543.000000,0.174352 
8477.000000,0.176847 
8608.000000,0.132146 
7854.000000,0.135892 
6864.000000,0.152489 
4820.000000,0.111844 
9347.000000,0.124382 
9331.000000,0.115551 
9254.000000,0.179556 
9533.000000,0.185517 
8468.000000,0.163711 
6122.000000,0.142859 
1830.000000,0.117925 
6458.000000,0.142852 
673.000000,0.360956 
1517.000000,0.104858 
6476.000000,0.155008 
1593.000000,0.114355 
6471.000000,0.148743 
1379.000000,0.120087 
1392.000000,0.126265 
1489.000000,0.126854 
1410.000000,0.117212 
1381.000000,0.137790 
3304.000000,0.128435 
3266.000000,0.113615 
1727.000000,0.112723 
4989.000000,0.174846 
3844.000000,0.109691 
3857.000000,0.066934 
8242.000000,0.173696 
3583.000000,0.238580 
4731.000000,0.218647 
1750.000000,0.183393 
5303.000000,0.215068 
5353.000000,0.220966 
3501.000000,0.212838 
4553.000000,0.076390 
8696.000000,0.173651 
8818.000000,0.185299 
1978.000000,0.135782 
1898.000000,0.134643 
2043.000000,0.120769 
1790.000000,0.120755 
1854.000000,0.147285 
1863.000000,0.110374 
7241.000000,0.178277 
5282.000000,0.143262 
5245.000000,0.133892 
6855.000000,0.168541 
4698.000000,0.193296 
3081.000000,0.117534 
7915.000000,0.151954 
7811.000000,0.177360 
464.000000,0.039358 
6920.000000,0.175652 
6978.000000,0.174470 
6912.000000,0.178271 
6914.000000,0.173094 
2690.000000,0.125519 
4582.000000,0.112114 
2758.000000,0.135405 
2761.000000,0.113622 
2782.000000,0.101084 
154.000000,0.037250 
1099.000000,0.051893 
2913.000000,0.137330 
3051.000000,0.133192 
3006.000000,0.135432 
2554.000000,0.141941 
8175.000000,0.161767 
3646.000000,0.102761 
3669.000000,0.055679 
1752.000000,0.182340 
1762.000000,0.185839 
5147.000000,0.127742 
3334.000000,0.107666 
4377.000000,0.090175 
4326.000000,0.099853 
1100.000000,0.048088 
2651.000000,0.140958 
7788.000000,0.170040 
8929.000000,0.117926 
8856.000000,0.209957 
4606.000000,0.072027 
4544.000000,0.061088 
4599.000000,0.101958 
4056.000000,0.058906 
4036.000000,0.097813 
5863.000000,0.157570 
3061.000000,0.100846 
1684.000000,0.104779 
7453.000000,0.151597 
2392.000000,0.112468 
7439.000000,0.148495 
9783.000000,0.124422 
1632.000000,0.112328 
8166.000000,0.119051 
1611.000000,0.111595 
2842.000000,0.140336 
6343.000000,0.172262 
7258.000000,0.163297 
7007.000000,0.170758 
5656.000000,0.185625 
5676.000000,0.185400 
5343.000000,0.213089 
5308.000000,0.202741 
5660.000000,0.172824 
5280.000000,0.134492 
5570.000000,0.178114 
5665.000000,0.157657 
7604.000000,0.165453 
7920.000000,0.160794 
2609.000000,0.144248 
2988.000000,0.131268 
3328.000000,0.104683 
3411.000000,0.114914 
5168.000000,0.121033 
5197.000000,0.140086 
2936.000000,0.123887 
2576.000000,0.126686 
4333.000000,0.127016 
4689.000000,0.224941 
1698.000000,0.182929 
3573.000000,0.193439 
4637.000000,0.185300 
9372.000000,0.141236 
8517.000000,0.181853 
1578.000000,0.118119 
466.000000,0.079527 
7895.000000,0.161125 
3169.000000,0.132975 
9380.000000,0.136991 
9334.000000,0.139672 
9327.000000,0.130022 
9196.000000,0.172459 
9262.000000,0.186076 
9387.000000,0.123477 
8504.000000,0.163520 
8641.000000,0.138107 
6517.000000,0.142663 
1561.000000,0.101194 
1440.000000,0.118259 
6522.000000,0.143700 
1471.000000,0.119806 
1528.000000,0.112298 
1570.000000,0.099369 
1577.000000,0.119792 
1657.000000,0.108220 
1534.000000,0.098058 
1640.000000,0.124592 
1425.000000,0.118396 
5793.000000,0.156043 
4359.000000,0.082710 
3301.000000,0.149888 
1739.000000,0.131555 
9597.000000,0.199589 
866.000000,0.372579 
1331.000000,0.110285 
227.000000,0.369465 
8726.000000,0.186955 
8836.000000,0.173877 
8800.000000,0.188011 
1868.000000,0.115555 
1932.000000,0.129848 
1907.000000,0.117979 
6869.000000,0.171922 
7012.000000,0.186816 
4671.000000,0.201180 
4694.000000,0.194202 
264.000000,0.348149 
7966.000000,0.151394 
7648.000000,0.190726 
7886.000000,0.151842 
7793.000000,0.177603 
6394.000000,0.177180 
2287.000000,0.116848 
6800.000000,0.176706 
7870.000000,0.141957 
7014.000000,0.179725 
7047.000000,0.187375 
7846.000000,0.158552 
1038.000000,0.082628 
529.000000,0.076639 
6933.000000,0.180922 
2765.000000,0.098231 
1072.000000,0.304561 
304.000000,0.054376 
2906.000000,0.115647 
2949.000000,0.129843 
2562.000000,0.126196 
1940.000000,0.115863 
6438.000000,0.166578 
1840.000000,0.117834 
8187.000000,0.118293 
8170.000000,0.164662 
2031.000000,0.113340 
2010.000000,0.105013 
1890.000000,0.102284 
1950.000000,0.098396 
1603.000000,0.113674 
2652.000000,0.104613 
6365.000000,0.174484 
6323.000000,0.185424 
2556.000000,0.104319 
8988.000000,0.187981 
8874.000000,0.191366 
8921.000000,0.145735 
5849.000000,0.163150 
3157.000000,0.114703 
4139.000000,0.078274 
3953.000000,0.066226 
4587.000000,0.049711 
2313.000000,0.122136 
2404.000000,0.102299 
2474.000000,0.106252 
8243.000000,0.167241 
7240.000000,0.184198 
7326.000000,0.179635 
6833.000000,0.147212 
37.000000,0.015121 
5399.000000,0.212252 
5334.000000,0.206748 
8061.000000,0.158146 
8102.000000,0.167561 
3018.000000,0.105107 
3327.000000,0.118135 
184.000000,0.326795 
5259.000000,0.132630 
5238.000000,0.133087 
5606.000000,0.178065 
2592.000000,0.117973 
9321.000000,0.170633 
985.000000,0.073508 
933.000000,0.305740 
4612.000000,0.180126 
9371.000000,0.135482 
1531.000000,0.132130 
8851.000000,0.181720 
8580.000000,0.164375 
8694.000000,0.127633 
539.000000,0.062586 
1633.000000,0.118239 
7863.000000,0.169570 
7938.000000,0.169146 
9286.000000,0.168106 
9391.000000,0.121459 
9842.000000,0.171474 
8506.000000,0.178665 
8607.000000,0.121262 
1400.000000,0.132113 
1467.000000,0.108775 
1430.000000,0.120137 
3049.000000,0.149208 
5814.000000,0.175248 
520.000000,0.026431 
5376.000000,0.201669 
8801.000000,0.179997 
491.000000,0.300313 
6439.000000,0.163906 
6432.000000,0.149293 
2042.000000,0.114684 
5870.000000,0.203624 
423.000000,0.029389 
7679.000000,0.166337 
6759.000000,0.176697 
4104.000000,0.091167 
4063.000000,0.091427 
7858.000000,0.142277 
7959.000000,0.140788 
2812.000000,0.140753 
2841.000000,0.114974 
551.000000,0.134142 
2697.000000,0.107089 
5977.000000,0.173379 
4198.000000,0.079369 
2875.000000,0.147840 
4020.000000,0.060250 
1915.000000,0.106080 
1882.000000,0.111800 
3933.000000,0.070158 
7562.000000,0.173087 
7537.000000,0.174424 
9726.000000,0.150468 
7511.000000,0.177369 
1975.000000,0.101759 
1921.000000,0.129246 
3997.000000,0.063135 
3976.000000,0.067610 
7442.000000,0.155421 
1645.000000,0.146369 
3619.000000,0.065829 
2540.000000,0.131705 
8996.000000,0.187486 
3676.000000,0.096058 
3829.000000,0.076061 
3672.000000,0.098721 
3645.000000,0.081982 
3238.000000,0.126766 
6375.000000,0.196492 
2470.000000,0.108298 
2362.000000,0.103166 
5945.000000,0.176050 
8126.000000,0.176068 
6316.000000,0.186474 
6901.000000,0.159421 
7343.000000,0.163588 
5247.000000,0.124385 
5648.000000,0.168204 
3642.000000,0.037395 
8903.000000,0.156184 
9280.000000,0.171258 
9398.000000,0.145894 
9303.000000,0.191932 
9578.000000,0.202487 
9545.000000,0.191680 
9265.000000,0.179615 
9441.000000,0.139679 
9423.000000,0.148717 
9390.000000,0.130304 
720.000000,0.313761 
9425.000000,0.138335 
652.000000,0.068915 
661.000000,0.044482 
695.000000,0.054444 
9569.000000,0.203489 
8586.000000,0.134712 
2023.000000,0.115422 
714.000000,0.309815 
1451.000000,0.117063 
6477.000000,0.159591 
3339.000000,0.102483 
1855.000000,0.104388 
6444.000000,0.153134 
641.000000,0.339367 
9972.000000,0.085381 
2762.000000,0.112587 
4327.000000,0.134412 
4151.000000,0.099934 
1665.000000,0.104291 
3154.000000,0.109667 
2302.000000,0.105438 
2337.000000,0.108199 
2372.000000,0.108703 
2342.000000,0.123808 
2398.000000,0.118411 
2401.000000,0.104447 
5972.000000,0.188367 
8141.000000,0.181459 
7026.000000,0.178525 
2608.000000,0.125113 
9454.000000,0.117806 
9413.000000,0.138157 
9468.000000,0.202129 
8676.000000,0.164379 
1538.000000,0.101760 
8521.000000,0.185861 
9492.000000,0.190376 
4105.000000,0.068225 
6411.000000,0.172793 
3086.000000,0.104481 
2410.000000,0.147025 
9542.000000,0.206567 
9457.000000,0.133443 
9409.000000,0.137018 
861.000000,0.331674 
6519.000000,0.162260 
752.000000,0.309343 
1643.000000,0.106843 
6401.000000,0.179223 
2348.000000,0.130564 
9456.000000,0.130108 
0.144452 
0.139509 
