point, dist
3724.000000,0.397640 
3724.000000,0.478938 
4880.000000,0.546713 
4906.000000,0.505324 
4906.000000,0.218418 
4880.000000,0.285043 
4839.000000,0.131967 
8643.000000,0.348548 
8631.000000,0.302771 
8643.000000,0.291363 
8631.000000,0.364755 
5695.000000,0.373204 
9468.000000,0.286928 
5694.000000,0.252523 
8882.000000,0.338356 
8890.000000,0.339541 
8895.000000,0.414054 
8897.000000,0.338731 
4906.000000,0.709862 
4913.000000,0.761184 
3725.000000,0.257564 
3732.000000,0.287998 
3720.000000,0.498384 
1187.000000,0.118642 
1204.000000,0.302541 
165.000000,0.587558 
4582.000000,0.335233 
4582.000000,0.194333 
4584.000000,0.316139 
5695.000000,0.327953 
7378.000000,0.401915 
7499.000000,0.286913 
7378.000000,0.410894 
7499.000000,0.266756 
6824.000000,0.176088 
6753.000000,0.161126 
6748.000000,0.260574 
6776.000000,0.458960 
6890.000000,0.286816 
9854.000000,0.261210 
8605.000000,0.274634 
9851.000000,0.242270 
9851.000000,0.256326 
9846.000000,0.348929 
6370.000000,0.420149 
6370.000000,0.205536 
6240.000000,0.324104 
6315.000000,0.139458 
6340.000000,0.373628 
9472.000000,0.274165 
5693.000000,0.091949 
9481.000000,0.371535 
9117.000000,0.371085 
2517.000000,0.385960 
9100.000000,0.242761 
4920.000000,0.566356 
4898.000000,0.637944 
4914.000000,0.288793 
4932.000000,0.206268 
5688.000000,0.461436 
4155.000000,0.339806 
4155.000000,0.377935 
4201.000000,0.457278 
4253.000000,0.382561 
4162.000000,0.250147 
4183.000000,0.328352 
4213.000000,0.323420 
4183.000000,0.566032 
3720.000000,0.289043 
4272.000000,0.330382 
3731.000000,0.266565 
2018.000000,0.179026 
8036.000000,0.453753 
5610.000000,0.145612 
3334.000000,0.394027 
6958.000000,0.245113 
9707.000000,0.270270 
9704.000000,0.494929 
9704.000000,0.285171 
4773.000000,0.390690 
6149.000000,0.292714 
6195.000000,0.308965 
6188.000000,0.412693 
6204.000000,0.365435 
1672.000000,0.228776 
1667.000000,0.336731 
1295.000000,0.304160 
3526.000000,0.266377 
3870.000000,0.425553 
3521.000000,0.382496 
4799.000000,0.265351 
8867.000000,0.364611 
9859.000000,0.277791 
6060.000000,0.251787 
6057.000000,0.388096 
6054.000000,0.206496 
6055.000000,0.132654 
7006.000000,0.449980 
7003.000000,0.346904 
8864.000000,0.361306 
9721.000000,0.318878 
1204.000000,0.315013 
1203.000000,0.844771 
1203.000000,0.435105 
1203.000000,0.794403 
4111.000000,0.532383 
3311.000000,0.392843 
4573.000000,0.365952 
6176.000000,0.142706 
6164.000000,0.403545 
6198.000000,0.304184 
4570.000000,0.324051 
4037.000000,0.449020 
4078.000000,0.388155 
4035.000000,0.380177 
3976.000000,0.285110 
4076.000000,0.390245 
4078.000000,0.370396 
3480.000000,0.444262 
3422.000000,0.334297 
3387.000000,0.280296 
188.000000,0.463382 
188.000000,0.611807 
204.000000,0.525791 
300.000000,0.261197 
9844.000000,0.337896 
6895.000000,0.335732 
6905.000000,0.235289 
6393.000000,0.262790 
6340.000000,0.298896 
6098.000000,0.255168 
6080.000000,0.388464 
6213.000000,0.223867 
6065.000000,0.414002 
6080.000000,0.405573 
6053.000000,0.312777 
6325.000000,0.241692 
6325.000000,0.348005 
6393.000000,0.291814 
5689.000000,0.295984 
4914.000000,0.362384 
4931.000000,0.296640 
4931.000000,0.292208 
8991.000000,0.339503 
9477.000000,0.297514 
9484.000000,0.367507 
9477.000000,0.370873 
9483.000000,0.408694 
5629.000000,0.156571 
9486.000000,0.123622 
5630.000000,0.348834 
5630.000000,0.418163 
9050.000000,0.267771 
9055.000000,0.426908 
9047.000000,0.284749 
9029.000000,0.370827 
6226.000000,0.190310 
6127.000000,0.159018 
4466.000000,0.281850 
9980.000000,0.263453 
6229.000000,0.291351 
6738.000000,0.138626 
6738.000000,0.347024 
7378.000000,0.420131 
6821.000000,0.179382 
6760.000000,0.213797 
6744.000000,0.145306 
9990.000000,0.491297 
9996.000000,0.336303 
4912.000000,0.393358 
4915.000000,0.234362 
4906.000000,0.758917 
4917.000000,0.233309 
9468.000000,0.462253 
4929.000000,0.120397 
4926.000000,0.327176 
4926.000000,0.369362 
4219.000000,0.572203 
4250.000000,0.357032 
5668.000000,0.205514 
5668.000000,0.347104 
4289.000000,0.312834 
5668.000000,0.534954 
4297.000000,0.342618 
4253.000000,0.370726 
4280.000000,0.414759 
4226.000000,0.550439 
4200.000000,0.369117 
4226.000000,0.269862 
4200.000000,0.368047 
4272.000000,0.428633 
4242.000000,0.290514 
3726.000000,0.256763 
4183.000000,0.422377 
4213.000000,0.330309 
4186.000000,0.428671 
4171.000000,0.375226 
4300.000000,0.460072 
4151.000000,0.293268 
4303.000000,0.505402 
4276.000000,0.336024 
4303.000000,0.534123 
3720.000000,0.373005 
8032.000000,0.404589 
9975.000000,0.369594 
2102.000000,0.099609 
5624.000000,0.321390 
5623.000000,0.308544 
5623.000000,0.234713 
9713.000000,0.252360 
7005.000000,0.437228 
6997.000000,0.392516 
6996.000000,0.112482 
4507.000000,0.259450 
4507.000000,0.566864 
4845.000000,0.216879 
4855.000000,0.347882 
4830.000000,0.180881 
4488.000000,0.429207 
4797.000000,1.024883 
4787.000000,0.423567 
9721.000000,0.864513 
3336.000000,0.257844 
3332.000000,0.341992 
3329.000000,0.261715 
4856.000000,0.274190 
3328.000000,0.286368 
674.000000,0.122663 
932.000000,0.142776 
932.000000,0.483157 
1156.000000,0.361689 
1096.000000,0.467201 
1033.000000,0.549655 
918.000000,0.335369 
153.000000,0.605003 
9178.000000,0.440317 
163.000000,0.611822 
7373.000000,0.376958 
6739.000000,0.476213 
7373.000000,0.331949 
4560.000000,0.279574 
4573.000000,0.304665 
4581.000000,0.247358 
6149.000000,0.351012 
6195.000000,0.230640 
3560.000000,0.424190 
3677.000000,0.576711 
3682.000000,0.723367 
1831.000000,0.838539 
1804.000000,0.835325 
1753.000000,0.458670 
1859.000000,0.544247 
1812.000000,0.443741 
1689.000000,0.805313 
1816.000000,0.819108 
1804.000000,0.565203 
7002.000000,0.433128 
7002.000000,0.112069 
9706.000000,0.354953 
9724.000000,0.349560 
6998.000000,0.377445 
9832.000000,0.253739 
9182.000000,0.559434 
9182.000000,2.336735 
1232.000000,2.341074 
9182.000000,0.845636 
9182.000000,1.266758 
1232.000000,0.571063 
9141.000000,0.300686 
1912.000000,0.270660 
9148.000000,0.367797 
1912.000000,0.599235 
9136.000000,0.291591 
9137.000000,0.439670 
1558.000000,0.371923 
4030.000000,0.433132 
4030.000000,0.386940 
3964.000000,0.395762 
4093.000000,0.339297 
4006.000000,0.537730 
4018.000000,0.358291 
3883.000000,0.442315 
3883.000000,0.423051 
3930.000000,0.406823 
3966.000000,0.298913 
4018.000000,0.373167 
4108.000000,0.290074 
3414.000000,0.328378 
3364.000000,0.304182 
3455.000000,0.407749 
3414.000000,0.412590 
3505.000000,0.324581 
3505.000000,0.461549 
3471.000000,0.350907 
3514.000000,0.428184 
3870.000000,0.257176 
3913.000000,0.451551 
3850.000000,0.366819 
3508.000000,1.323876 
4619.000000,0.714111 
9871.000000,0.413379 
6888.000000,0.439273 
9870.000000,0.303381 
6836.000000,0.355220 
6876.000000,0.166550 
6885.000000,0.125269 
6730.000000,0.350760 
6736.000000,0.190404 
8896.000000,0.349042 
8904.000000,0.374391 
8885.000000,0.331532 
3520.000000,0.268412 
3793.000000,0.508660 
3777.000000,0.265507 
3529.000000,0.303473 
3804.000000,0.400663 
3736.000000,0.321389 
4512.000000,0.256580 
8893.000000,0.308520 
4856.000000,0.363244 
3339.000000,0.355528 
4801.000000,0.338498 
4671.000000,0.500055 
6898.000000,0.180352 
9351.000000,0.395712 
9374.000000,0.200186 
9841.000000,0.470995 
9854.000000,0.309077 
6056.000000,0.251460 
9861.000000,0.270294 
6048.000000,0.131530 
9853.000000,0.455171 
6051.000000,0.126683 
9855.000000,0.503534 
6047.000000,0.153039 
6058.000000,0.232776 
6050.000000,0.392749 
1933.000000,0.426440 
1916.000000,0.190062 
1924.000000,0.550970 
1441.000000,1.286812 
1441.000000,1.808547 
1441.000000,1.757113 
1442.000000,0.307984 
8181.000000,2.898035 
1441.000000,2.769443 
8181.000000,3.093509 
9722.000000,0.344789 
7004.000000,0.391908 
4769.000000,0.277460 
9696.000000,0.325616 
9717.000000,0.220940 
9722.000000,0.388639 
4771.000000,0.260497 
4771.000000,0.285023 
4773.000000,0.392264 
1183.000000,0.232195 
1177.000000,0.530183 
6098.000000,0.345377 
6198.000000,0.394318 
6331.000000,0.645794 
6198.000000,0.248145 
6160.000000,0.370831 
4113.000000,0.316184 
3936.000000,0.419147 
6209.000000,0.335680 
7358.000000,0.295500 
4687.000000,0.327352 
3938.000000,0.356593 
4024.000000,0.251423 
4037.000000,0.464777 
4040.000000,0.263126 
4040.000000,0.411091 
4103.000000,0.294198 
4040.000000,0.513472 
4111.000000,0.410223 
4111.000000,0.371851 
3316.000000,0.487023 
4052.000000,0.407641 
3957.000000,0.379160 
3957.000000,0.284381 
4013.000000,0.354819 
3937.000000,0.347030 
6987.000000,0.348166 
9286.000000,0.367885 
6997.000000,0.153054 
6994.000000,0.124974 
9296.000000,0.788883 
6996.000000,0.458674 
4006.000000,0.249376 
4080.000000,0.323120 
4080.000000,0.463675 
4092.000000,0.512821 
3695.000000,0.631191 
3982.000000,0.338677 
3699.000000,0.245022 
3701.000000,0.322271 
3701.000000,0.347352 
4028.000000,0.254639 
4028.000000,0.503028 
4075.000000,0.384578 
3918.000000,0.394226 
4087.000000,0.301429 
3925.000000,0.374176 
4060.000000,0.407270 
4060.000000,0.282178 
3925.000000,0.394632 
1812.000000,0.540567 
1888.000000,0.611214 
1704.000000,0.805743 
1685.000000,0.398799 
1733.000000,0.842771 
1843.000000,0.810957 
1733.000000,0.885979 
1708.000000,0.490483 
1607.000000,0.384326 
1621.000000,0.474520 
1781.000000,0.495690 
1869.000000,0.505877 
1869.000000,0.524568 
1857.000000,0.453939 
1534.000000,0.362978 
1836.000000,0.525808 
1696.000000,0.523562 
1831.000000,0.803486 
1891.000000,0.786447 
1873.000000,0.808678 
9093.000000,0.365734 
9118.000000,0.381199 
9082.000000,0.343683 
6739.000000,0.137315 
7342.000000,0.510580 
