point, dist
2149.000000,0.173625 
5342.000000,0.119467 
2194.000000,0.171847 
1883.000000,0.167077 
6603.000000,0.184702 
1928.000000,0.148344 
6607.000000,0.148946 
2194.000000,0.093466 
6596.000000,0.194633 
2207.000000,0.146293 
6544.000000,0.167523 
156.000000,0.123453 
160.000000,0.122895 
2645.000000,0.281284 
2634.000000,0.294049 
6339.000000,0.139198 
5858.000000,0.103323 
6383.000000,0.139216 
2657.000000,0.120483 
2664.000000,0.162688 
2692.000000,0.106721 
1149.000000,0.346472 
3830.000000,0.160862 
4272.000000,0.147536 
4157.000000,0.169006 
2670.000000,0.157160 
2642.000000,0.289610 
2609.000000,0.237800 
2636.000000,0.304642 
1952.000000,0.213294 
1925.000000,0.177547 
1931.000000,0.163743 
1953.000000,0.209885 
1748.000000,0.132491 
1801.000000,0.101809 
8725.000000,0.108615 
8735.000000,0.176286 
1891.000000,0.121597 
1889.000000,0.096775 
2747.000000,0.182149 
2898.000000,0.102754 
2742.000000,0.094313 
2737.000000,0.209247 
2436.000000,0.192921 
3020.000000,0.145596 
2546.000000,0.171545 
3012.000000,0.132151 
2619.000000,0.220406 
1199.000000,0.238269 
2620.000000,0.235609 
5336.000000,0.184293 
2186.000000,0.175326 
1184.000000,0.276272 
6538.000000,0.178336 
1899.000000,0.165719 
6530.000000,0.209959 
2624.000000,0.293719 
2661.000000,0.091908 
2662.000000,0.105429 
2649.000000,0.117855 
4541.000000,0.221266 
4140.000000,0.129498 
4700.000000,0.250672 
4049.000000,0.164505 
4792.000000,0.142501 
4754.000000,0.167138 
4750.000000,0.213386 
4751.000000,0.159782 
4807.000000,0.176875 
6613.000000,0.189631 
6616.000000,0.160035 
6271.000000,0.081550 
6212.000000,0.220227 
4828.000000,0.188105 
4774.000000,0.151389 
4779.000000,0.198005 
3004.000000,0.149286 
3054.000000,0.101511 
3029.000000,0.129773 
3001.000000,0.148481 
3057.000000,0.147817 
3006.000000,0.113360 
3024.000000,0.174355 
2375.000000,0.156302 
2310.000000,0.151748 
2390.000000,0.191691 
2333.000000,0.108702 
4821.000000,0.142925 
4853.000000,0.217383 
4953.000000,0.124388 
5001.000000,0.138166 
3479.000000,0.166006 
4769.000000,0.185066 
4777.000000,0.182043 
4812.000000,0.131176 
2641.000000,0.094518 
159.000000,0.158560 
181.000000,0.156509 
2605.000000,0.052760 
197.000000,0.215122 
1334.000000,0.341176 
1940.000000,0.208769 
444.000000,0.175744 
1927.000000,0.133693 
1910.000000,0.178215 
3048.000000,0.167700 
3060.000000,0.145694 
3061.000000,0.152882 
3002.000000,0.067599 
1311.000000,0.330317 
3052.000000,0.087079 
3045.000000,0.202223 
223.000000,0.201333 
2626.000000,0.127130 
2625.000000,0.124059 
1128.000000,0.251557 
2182.000000,0.198993 
2212.000000,0.195992 
1300.000000,0.261856 
2369.000000,0.136014 
1141.000000,0.249162 
2876.000000,0.094548 
961.000000,0.250617 
874.000000,0.283062 
102.000000,0.153140 
2668.000000,0.152723 
1148.000000,0.270107 
1150.000000,0.247083 
1239.000000,0.250912 
1520.000000,0.254130 
1235.000000,0.280007 
3797.000000,0.140923 
4778.000000,0.152409 
4755.000000,0.170913 
190.000000,0.165392 
2602.000000,0.114701 
2610.000000,0.061856 
177.000000,0.181045 
112.000000,0.161694 
4836.000000,0.181588 
4837.000000,0.165995 
4826.000000,0.219531 
4830.000000,0.189622 
3535.000000,0.107761 
3589.000000,0.602944 
3533.000000,0.105619 
6200.000000,0.551742 
3586.000000,0.296831 
4818.000000,0.160642 
4847.000000,0.181483 
4842.000000,0.197797 
4535.000000,0.260760 
4535.000000,0.358167 
4741.000000,0.226678 
4565.000000,0.246931 
4564.000000,0.233056 
4532.000000,0.212983 
4546.000000,0.207721 
4169.000000,0.163759 
2330.000000,0.144610 
4586.000000,0.237644 
4719.000000,0.210278 
4853.000000,0.318173 
4821.000000,0.369465 
4535.000000,0.847463 
4918.000000,0.134707 
4927.000000,0.176467 
4961.000000,0.168802 
3349.000000,0.106796 
4970.000000,0.488901 
4894.000000,0.134113 
3369.000000,0.145935 
3365.000000,0.086788 
4955.000000,0.150334 
3342.000000,0.179146 
4965.000000,0.220563 
3381.000000,0.166270 
4968.000000,0.181794 
4822.000000,0.128065 
4846.000000,0.173720 
3828.000000,0.165219 
2613.000000,0.099720 
2618.000000,0.220021 
2626.000000,0.297735 
2601.000000,0.185683 
2598.000000,0.089246 
5356.000000,0.193713 
2154.000000,0.186479 
2529.000000,0.149068 
2552.000000,0.131012 
2452.000000,0.193877 
1750.000000,0.152632 
2510.000000,0.130471 
2533.000000,0.114717 
195.000000,0.204433 
3788.000000,0.133435 
1035.000000,0.239816 
2824.000000,0.150720 
1338.000000,0.302804 
1305.000000,0.267603 
6336.000000,0.151107 
6246.000000,0.143675 
6303.000000,0.043008 
6236.000000,0.003503 
6238.000000,0.115465 
6320.000000,0.125334 
6314.000000,0.111983 
6276.000000,0.280266 
642.000000,0.163172 
5450.000000,0.234917 
5386.000000,0.219698 
2926.000000,0.124907 
2792.000000,0.136262 
2925.000000,0.130268 
9648.000000,0.084742 
9657.000000,0.298694 
9597.000000,0.294186 
9634.000000,0.080399 
2751.000000,0.127684 
2865.000000,0.181546 
9787.000000,0.175905 
9384.000000,0.176408 
9808.000000,0.182985 
9820.000000,0.076991 
9995.000000,0.191613 
2.000000,0.192649 
42.000000,0.165102 
2733.000000,0.161586 
2152.000000,0.143739 
1640.000000,0.265096 
1292.000000,0.276937 
1200.000000,0.240820 
2151.000000,0.209427 
1190.000000,0.242312 
822.000000,0.238476 
792.000000,0.247855 
2797.000000,0.127145 
3368.000000,0.176022 
3474.000000,0.124810 
3457.000000,0.148151 
3353.000000,0.154149 
4909.000000,0.213295 
4542.000000,0.207523 
2667.000000,0.128730 
2673.000000,0.088196 
2669.000000,0.096398 
113.000000,0.225238 
1935.000000,0.129808 
1495.000000,0.237945 
1904.000000,0.225349 
3790.000000,0.180278 
4848.000000,0.174324 
4908.000000,0.176796 
3840.000000,0.128829 
3791.000000,0.119315 
4742.000000,0.226214 
3795.000000,0.164043 
4799.000000,0.138716 
4850.000000,0.159111 
3469.000000,0.205746 
5056.000000,0.127959 
6212.000000,0.193756 
3590.000000,0.292950 
5918.000000,0.100275 
5903.000000,0.195686 
5942.000000,0.208710 
5980.000000,0.220471 
5960.000000,0.213062 
4074.000000,0.098887 
4698.000000,0.227575 
2961.000000,0.139127 
2991.000000,0.148810 
2980.000000,0.147037 
575.000000,0.158264 
2717.000000,0.154684 
2920.000000,0.124287 
2722.000000,0.151107 
127.000000,0.221087 
5360.000000,0.236670 
5044.000000,0.581383 
5056.000000,1.029200 
4806.000000,0.258578 
3838.000000,0.136682 
7017.000000,0.559809 
6930.000000,0.213917 
7017.000000,0.197767 
4578.000000,0.231452 
2603.000000,0.175143 
1504.000000,0.241631 
1382.000000,0.266520 
1386.000000,0.240969 
1639.000000,0.236061 
1614.000000,0.284678 
1510.000000,0.242783 
2219.000000,0.157585 
2189.000000,0.153678 
2988.000000,0.173096 
1384.000000,0.272923 
6537.000000,0.212970 
6535.000000,0.201606 
6536.000000,0.193680 
1948.000000,0.206677 
1923.000000,0.155098 
4764.000000,0.266952 
4918.000000,0.822313 
3800.000000,0.155742 
2660.000000,0.151385 
2420.000000,0.096121 
364.000000,0.184389 
2354.000000,0.146803 
5335.000000,0.140757 
2379.000000,0.094390 
2317.000000,0.198542 
365.000000,0.148664 
2457.000000,0.168869 
508.000000,0.182133 
502.000000,0.205216 
2496.000000,0.094631 
2512.000000,0.164278 
2435.000000,0.099124 
2517.000000,0.176846 
2907.000000,0.110797 
2985.000000,0.135711 
597.000000,0.162122 
2913.000000,0.120310 
8738.000000,0.151963 
8741.000000,0.194504 
1749.000000,0.114466 
2414.000000,0.097741 
2403.000000,0.126631 
2360.000000,0.101085 
5881.000000,0.209602 
558.000000,0.182021 
7142.000000,0.187368 
