point, dist
7709.000000,0.151332 
6688.000000,0.144583 
7654.000000,0.139941 
6776.000000,0.141570 
9757.000000,0.129490 
9743.000000,0.144397 
9723.000000,0.137807 
9761.000000,0.145077 
8281.000000,0.127326 
8255.000000,0.131735 
8236.000000,0.130292 
7619.000000,0.170960 
6682.000000,0.149824 
4789.000000,0.158214 
8257.000000,0.128661 
3202.000000,0.356935 
2525.000000,0.055054 
1627.000000,0.008917 
1449.000000,0.036421 
3233.000000,0.351430 
3239.000000,0.351474 
1552.000000,0.036321 
6786.000000,0.131770 
5566.000000,0.110219 
3529.000000,0.237451 
3843.000000,0.234746 
3798.000000,0.241360 
3829.000000,0.237297 
1219.000000,0.012330 
736.000000,0.264992 
1003.000000,0.024942 
1080.000000,0.027190 
1251.000000,0.024393 
737.000000,0.263969 
7600.000000,0.162918 
9794.000000,0.130208 
9827.000000,0.140399 
9836.000000,0.114309 
5211.000000,0.148611 
636.000000,0.058898 
621.000000,0.054447 
6375.000000,0.017778 
6498.000000,0.036966 
9681.000000,0.052369 
9615.000000,0.319952 
9681.000000,0.350446 
53.000000,0.030036 
9661.000000,0.392965 
6476.000000,0.042189 
6477.000000,0.288239 
6515.000000,0.039193 
9445.000000,0.071337 
6364.000000,0.078773 
6292.000000,0.030896 
7950.000000,0.284936 
8099.000000,0.091360 
8138.000000,0.120539 
8115.000000,0.087368 
7541.000000,0.102000 
8019.000000,0.360515 
7929.000000,0.352168 
7955.000000,0.319091 
2502.000000,0.051620 
7969.000000,0.051138 
5317.000000,0.464093 
5320.000000,0.361110 
7998.000000,0.450482 
1495.000000,0.017335 
1472.000000,0.023621 
458.000000,0.239428 
9507.000000,0.448904 
335.000000,0.245918 
321.000000,0.249806 
7791.000000,0.188414 
8374.000000,0.126189 
8192.000000,0.128452 
9426.000000,0.286209 
9330.000000,0.305434 
9426.000000,0.288528 
759.000000,0.061243 
9384.000000,0.392088 
1517.000000,0.034724 
5328.000000,0.304179 
4936.000000,0.045961 
5388.000000,0.068635 
4484.000000,0.179375 
933.000000,0.050478 
934.000000,0.038528 
937.000000,0.044499 
1479.000000,0.042721 
4010.000000,0.243558 
3517.000000,0.238142 
281.000000,0.254426 
5073.000000,0.347107 
5165.000000,0.097107 
4659.000000,0.128005 
5101.000000,0.114180 
4569.000000,0.125939 
4774.000000,0.156510 
4076.000000,0.238684 
4230.000000,0.181333 
9686.000000,0.446132 
9686.000000,0.012200 
2733.000000,0.065075 
7575.000000,0.131409 
7549.000000,0.117806 
716.000000,0.200525 
155.000000,0.077089 
9291.000000,0.348025 
9304.000000,0.038480 
9289.000000,0.010858 
9289.000000,0.377840 
4402.000000,0.204313 
13.000000,0.061584 
4350.000000,0.235790 
1358.000000,0.017826 
3143.000000,0.355022 
3239.000000,0.037672 
1326.000000,0.050918 
6772.000000,0.155436 
7716.000000,0.150982 
4855.000000,0.141238 
5206.000000,0.152292 
5608.000000,0.107486 
5624.000000,0.113526 
6359.000000,0.025428 
898.000000,0.095374 
6417.000000,0.042425 
6417.000000,0.320069 
6428.000000,0.286065 
6582.000000,0.315795 
6368.000000,0.020954 
9950.000000,0.112186 
9948.000000,0.128929 
9472.000000,0.110191 
9876.000000,0.148373 
9876.000000,0.152650 
9901.000000,0.069318 
89.000000,0.060703 
38.000000,0.266864 
6605.000000,0.359669 
9364.000000,0.024930 
9434.000000,0.024261 
9453.000000,0.077740 
9516.000000,0.319378 
6436.000000,0.071940 
6472.000000,0.043646 
9615.000000,0.018170 
9505.000000,0.067681 
8327.000000,0.115758 
7981.000000,0.287152 
8019.000000,0.037603 
4932.000000,0.069477 
7945.000000,0.062594 
7450.000000,0.289369 
5368.000000,0.434955 
4707.000000,0.104274 
