point, dist
4002.000000,0.098539 
3869.000000,0.225550 
4009.000000,0.129750 
9082.000000,0.387366 
4894.000000,0.380107 
9088.000000,0.440825 
4794.000000,0.388784 
6340.000000,0.219577 
6119.000000,0.146895 
6340.000000,0.388220 
6119.000000,0.311963 
9998.000000,0.323138 
9938.000000,0.385365 
9999.000000,0.365485 
9999.000000,0.412518 
1217.000000,0.331810 
9198.000000,0.329227 
9142.000000,0.266353 
9189.000000,0.302359 
9934.000000,0.385650 
6199.000000,0.285652 
6119.000000,0.422732 
6327.000000,0.286992 
4018.000000,0.398153 
4457.000000,0.568036 
9389.000000,0.452375 
4481.000000,0.254758 
4481.000000,0.483046 
8802.000000,0.072898 
8896.000000,0.294388 
8896.000000,0.240935 
8923.000000,0.400838 
8767.000000,0.348128 
8767.000000,0.186685 
8769.000000,0.105811 
8688.000000,0.244413 
8808.000000,0.216155 
8578.000000,0.290829 
9236.000000,0.311513 
9236.000000,0.434873 
9176.000000,0.360123 
9175.000000,0.364187 
9226.000000,0.332876 
1187.000000,0.393937 
9242.000000,0.373538 
4894.000000,0.215022 
4993.000000,0.452471 
5096.000000,0.170309 
5096.000000,0.335034 
3919.000000,0.142453 
4427.000000,0.499968 
9242.000000,0.305203 
1775.000000,0.363015 
1778.000000,0.240630 
1864.000000,0.802957 
9161.000000,0.313565 
9224.000000,0.370069 
9282.000000,0.341687 
9261.000000,0.359702 
9157.000000,0.315723 
58.000000,0.332657 
9202.000000,0.272373 
9159.000000,0.453571 
1241.000000,0.375915 
9950.000000,0.420152 
9935.000000,0.345533 
6435.000000,0.233108 
5734.000000,0.407115 
3709.000000,0.309333 
3997.000000,0.317416 
3532.000000,0.238430 
3722.000000,0.191547 
3683.000000,0.395722 
9209.000000,0.471794 
9186.000000,0.359598 
9209.000000,0.248369 
9199.000000,0.376623 
9173.000000,0.246990 
9162.000000,0.258982 
6432.000000,0.309742 
6340.000000,0.269312 
6289.000000,0.273198 
6329.000000,0.060728 
6329.000000,0.325249 
5481.000000,0.417781 
6329.000000,0.315034 
1014.000000,0.154183 
1034.000000,0.065452 
1078.000000,0.142887 
1093.000000,0.244690 
1120.000000,0.222581 
990.000000,0.317950 
1063.000000,0.095024 
1093.000000,0.307991 
8770.000000,0.172954 
8713.000000,0.162110 
6417.000000,0.403374 
9028.000000,0.554097 
9025.000000,0.415265 
9028.000000,0.343519 
4663.000000,0.384922 
4778.000000,0.273837 
9394.000000,0.432839 
4469.000000,0.421958 
4483.000000,0.613138 
9427.000000,0.224824 
4145.000000,0.527199 
4627.000000,0.493489 
4183.000000,0.428237 
4729.000000,0.556590 
9245.000000,0.280235 
1200.000000,0.289649 
1236.000000,0.212809 
9215.000000,0.454751 
9179.000000,0.318870 
9179.000000,0.422185 
9263.000000,0.203656 
2676.000000,0.263411 
2806.000000,0.160450 
2676.000000,0.352166 
2756.000000,0.289598 
1184.000000,0.336983 
928.000000,0.383228 
933.000000,0.519635 
9212.000000,0.441535 
4878.000000,0.385788 
8976.000000,0.330873 
8796.000000,0.116479 
8985.000000,0.118882 
8861.000000,0.296083 
8849.000000,0.277889 
8775.000000,0.476646 
8934.000000,0.127412 
8922.000000,0.238778 
8623.000000,0.155752 
8808.000000,0.344619 
8578.000000,0.256167 
5698.000000,0.521202 
9070.000000,0.491597 
5831.000000,0.566498 
5698.000000,0.592047 
5832.000000,0.647547 
6275.000000,0.196806 
6066.000000,0.501930 
6388.000000,0.306191 
6422.000000,0.512802 
6383.000000,0.306320 
6444.000000,0.827642 
9389.000000,0.491559 
494.000000,0.188368 
9.000000,0.455448 
9.000000,0.278376 
9724.000000,0.369502 
9724.000000,0.302123 
9761.000000,0.378013 
2840.000000,0.906478 
2693.000000,0.467600 
