point, dist
3511.000000,0.247352 
3614.000000,0.131957 
3466.000000,0.258613 
8646.000000,0.283353 
8627.000000,0.218903 
8626.000000,0.179715 
2963.000000,0.265753 
467.000000,0.356090 
465.000000,0.174406 
466.000000,0.183318 
712.000000,0.286471 
872.000000,0.272304 
988.000000,0.266337 
3323.000000,0.247819 
3260.000000,0.276620 
3249.000000,0.176140 
2844.000000,0.343263 
2840.000000,0.414732 
4324.000000,3.114678 
6077.000000,3.149336 
6081.000000,2.951949 
2618.000000,0.362368 
2615.000000,0.303405 
2590.000000,0.349072 
5534.000000,0.268469 
2619.000000,0.324614 
465.000000,0.379595 
4030.000000,0.386048 
3638.000000,0.054976 
3746.000000,0.167733 
3866.000000,0.164635 
4022.000000,0.013162 
6077.000000,2.961211 
6081.000000,3.008640 
2469.000000,0.428706 
7547.000000,0.098728 
2467.000000,0.386822 
2470.000000,0.478834 
5534.000000,0.260053 
2699.000000,0.223687 
2697.000000,0.286408 
1795.000000,0.395832 
1780.000000,0.310901 
1797.000000,0.347277 
659.000000,0.250301 
460.000000,0.101278 
465.000000,0.270015 
641.000000,0.236227 
3782.000000,0.338923 
3893.000000,0.007262 
4034.000000,0.287491 
3770.000000,0.106321 
3900.000000,0.195599 
1683.000000,0.329163 
3955.000000,0.157227 
4011.000000,0.384101 
3236.000000,0.157908 
1832.000000,0.464212 
3226.000000,0.139422 
3094.000000,0.373407 
3028.000000,0.206253 
1832.000000,0.472900 
1845.000000,0.420204 
1843.000000,0.380104 
3491.000000,0.494629 
3474.000000,0.399151 
3598.000000,0.480824 
8017.000000,0.276067 
2728.000000,0.407031 
2829.000000,0.301755 
2828.000000,0.295834 
2830.000000,0.306877 
3477.000000,0.309758 
2821.000000,0.352422 
2855.000000,0.345195 
2843.000000,0.338941 
2848.000000,0.315194 
3731.000000,0.198378 
1708.000000,0.337495 
4022.000000,0.289508 
2933.000000,0.433419 
2963.000000,0.459093 
2932.000000,0.420055 
1794.000000,0.290033 
1792.000000,0.409409 
1795.000000,0.266104 
7856.000000,0.123872 
7001.000000,0.568271 
1806.000000,0.504687 
1796.000000,0.293997 
4036.000000,0.215404 
4076.000000,0.183322 
4076.000000,0.464815 
2422.000000,0.389792 
7547.000000,0.243287 
2425.000000,0.296691 
2470.000000,0.473966 
2960.000000,0.300776 
6077.000000,3.150038 
10.000000,0.419278 
2900.000000,0.410903 
2901.000000,0.413723 
13.000000,0.348757 
13.000000,0.189723 
10.000000,0.264556 
4073.000000,0.238962 
4146.000000,0.245295 
2462.000000,0.373634 
4146.000000,0.490625 
664.000000,0.281337 
2957.000000,0.388773 
2930.000000,0.404501 
2909.000000,0.426964 
4872.000000,0.193498 
2948.000000,0.350017 
554.000000,0.257277 
483.000000,0.248997 
554.000000,0.184119 
553.000000,0.162304 
482.000000,0.313214 
652.000000,0.488441 
598.000000,0.279572 
676.000000,0.437726 
604.000000,0.470569 
664.000000,0.044494 
643.000000,0.058981 
5680.000000,0.203516 
5668.000000,0.219398 
5709.000000,0.275416 
1221.000000,0.371501 
2566.000000,0.335285 
214.000000,0.215674 
431.000000,0.392412 
874.000000,0.385263 
431.000000,0.220959 
422.000000,0.294295 
420.000000,0.223093 
2710.000000,0.222318 
1692.000000,0.251118 
1665.000000,0.278654 
3638.000000,0.320328 
5456.000000,0.166719 
3002.000000,0.361730 
2992.000000,0.186901 
3001.000000,0.163861 
3068.000000,0.171500 
3053.000000,0.165363 
3052.000000,0.166611 
2832.000000,0.337493 
1757.000000,0.331181 
1755.000000,0.266890 
458.000000,0.132111 
691.000000,0.163407 
461.000000,0.323972 
457.000000,0.229890 
694.000000,0.348329 
694.000000,0.246718 
459.000000,0.243578 
607.000000,0.181892 
633.000000,0.169590 
589.000000,0.142224 
596.000000,0.219673 
647.000000,0.250287 
638.000000,0.252907 
975.000000,0.241966 
2525.000000,0.368347 
3688.000000,0.153167 
3685.000000,0.311145 
3685.000000,0.231280 
3286.000000,0.082228 
1706.000000,0.239698 
3792.000000,0.253349 
3734.000000,0.311139 
3983.000000,0.187951 
3785.000000,0.408863 
3731.000000,0.211353 
4005.000000,0.200262 
3920.000000,0.357754 
5540.000000,0.159482 
5619.000000,0.244621 
2321.000000,0.236812 
5661.000000,0.216726 
5662.000000,0.253577 
5712.000000,0.278718 
8683.000000,0.273663 
5660.000000,0.191773 
3364.000000,0.439820 
3570.000000,0.394857 
692.000000,0.182595 
693.000000,0.358938 
692.000000,0.365642 
2823.000000,0.319195 
2833.000000,0.346284 
1784.000000,0.330468 
6991.000000,0.775531 
7010.000000,0.515872 
7002.000000,0.548241 
2992.000000,0.312808 
2991.000000,0.092485 
2831.000000,0.308712 
2846.000000,0.356972 
4049.000000,0.221226 
4046.000000,0.287585 
14.000000,0.337005 
2891.000000,0.333505 
18.000000,0.249038 
14.000000,0.126499 
24.000000,0.102789 
2895.000000,0.335383 
14.000000,0.324681 
15.000000,0.099840 
482.000000,0.196433 
577.000000,0.407053 
628.000000,0.305265 
577.000000,0.243636 
645.000000,0.072052 
596.000000,0.367662 
589.000000,0.322287 
2905.000000,0.442002 
6314.000000,0.359338 
2057.000000,0.398469 
2058.000000,0.360067 
2909.000000,0.476479 
4889.000000,0.392797 
500.000000,0.221283 
526.000000,0.430815 
469.000000,0.134083 
521.000000,0.248813 
6537.000000,0.812058 
6510.000000,0.792119 
6544.000000,0.815186 
6476.000000,0.805000 
6536.000000,0.808419 
7020.000000,0.073771 
7020.000000,0.409074 
1819.000000,0.374970 
2463.000000,0.388098 
2490.000000,0.400124 
4104.000000,0.110252 
7826.000000,0.231962 
7055.000000,0.309041 
7129.000000,0.157686 
7067.000000,0.187478 
7855.000000,0.166899 
2421.000000,0.389633 
2424.000000,0.275742 
2478.000000,0.457573 
8011.000000,0.162417 
2492.000000,0.266535 
8006.000000,0.090704 
5046.000000,0.510604 
5045.000000,0.596218 
2969.000000,0.416275 
459.000000,0.347694 
2507.000000,0.237449 
4318.000000,0.142391 
2508.000000,0.330343 
4320.000000,0.269628 
2493.000000,0.273607 
2496.000000,0.234758 
4189.000000,0.289627 
2443.000000,0.457366 
2457.000000,0.428834 
2432.000000,0.396335 
2456.000000,0.366539 
2453.000000,0.448379 
2465.000000,0.391791 
2431.000000,0.431422 
4076.000000,0.369479 
4064.000000,0.262340 
554.000000,0.342843 
2938.000000,0.516501 
553.000000,0.331638 
502.000000,0.175412 
606.000000,0.263352 
536.000000,0.254437 
586.000000,0.317875 
436.000000,0.197457 
433.000000,0.175384 
2609.000000,0.387373 
90.000000,0.235300 
90.000000,0.364799 
2540.000000,0.372887 
2627.000000,0.354276 
417.000000,0.346644 
2707.000000,0.250721 
169.000000,0.447329 
68.000000,0.263275 
173.000000,0.246393 
92.000000,0.184317 
147.000000,0.185078 
131.000000,0.179107 
177.000000,0.194430 
2996.000000,0.150233 
1827.000000,0.491127 
1814.000000,0.442322 
1801.000000,0.420064 
3024.000000,0.395420 
3140.000000,0.264427 
7130.000000,0.549852 
7011.000000,1.175666 
6991.000000,1.100183 
7003.000000,0.596682 
7084.000000,0.579826 
2997.000000,0.218091 
2987.000000,0.094842 
3189.000000,0.228179 
1776.000000,0.119948 
3299.000000,0.323268 
3299.000000,0.262237 
1768.000000,0.246661 
1002.000000,0.233791 
1002.000000,0.324547 
1007.000000,0.323450 
690.000000,0.230270 
691.000000,0.307281 
292.000000,0.226149 
5.000000,0.170301 
292.000000,0.376669 
986.000000,0.290834 
2534.000000,0.354719 
2529.000000,0.242151 
2529.000000,0.305137 
989.000000,0.047084 
995.000000,0.267360 
468.000000,0.115515 
465.000000,0.395663 
672.000000,0.346151 
672.000000,0.423057 
636.000000,0.468244 
4828.000000,0.414433 
643.000000,0.304429 
2923.000000,0.379231 
589.000000,0.269137 
668.000000,0.204779 
644.000000,0.170110 
619.000000,0.118936 
612.000000,0.198932 
464.000000,0.243873 
463.000000,0.213096 
2979.000000,0.294469 
2981.000000,0.243098 
2522.000000,0.310222 
2982.000000,0.241347 
2532.000000,0.196176 
3706.000000,0.241767 
3688.000000,0.402407 
3733.000000,0.225624 
3828.000000,0.166297 
3785.000000,0.128162 
1723.000000,0.305446 
3996.000000,0.401500 
1662.000000,0.298432 
1684.000000,0.256777 
3780.000000,0.307053 
1681.000000,0.320091 
3780.000000,0.129730 
8332.000000,0.331137 
2300.000000,0.244120 
8104.000000,0.195891 
3497.000000,0.298122 
3453.000000,0.148419 
3290.000000,0.087747 
4005.000000,0.221230 
3432.000000,0.413512 
3920.000000,0.413512 
3582.000000,0.424798 
3579.000000,0.468080 
3579.000000,0.543108 
3867.000000,0.348708 
4029.000000,0.143969 
3754.000000,0.215766 
3844.000000,0.294093 
3935.000000,0.224929 
3851.000000,0.277336 
3950.000000,0.137267 
3829.000000,0.291619 
3344.000000,0.829211 
3592.000000,0.823757 
3650.000000,0.415610 
3682.000000,0.448775 
3696.000000,0.428786 
1757.000000,0.195600 
974.000000,0.081752 
5708.000000,0.308674 
5663.000000,0.322937 
8312.000000,0.179678 
2317.000000,0.273863 
8238.000000,0.242887 
8173.000000,0.363955 
8155.000000,0.753476 
5075.000000,0.126143 
5072.000000,0.100849 
5580.000000,0.159183 
5577.000000,0.280161 
5601.000000,0.186475 
2335.000000,0.371021 
5068.000000,0.246207 
2339.000000,0.339320 
8639.000000,0.247702 
8662.000000,0.237634 
8634.000000,0.179411 
8129.000000,0.289899 
1408.000000,0.292823 
4005.000000,0.351776 
8190.000000,0.235201 
8057.000000,0.217027 
1342.000000,0.376036 
1386.000000,0.315884 
1221.000000,0.413778 
1217.000000,0.380978 
254.000000,0.356279 
1198.000000,0.295603 
216.000000,0.300447 
244.000000,0.038020 
1196.000000,0.333685 
1184.000000,0.370827 
1685.000000,0.284247 
1698.000000,0.365786 
4030.000000,0.097413 
3914.000000,0.234416 
1672.000000,0.232858 
3904.000000,0.146434 
2972.000000,0.376430 
5668.000000,0.295854 
1292.000000,0.262071 
5186.000000,0.230526 
5246.000000,0.243069 
3041.000000,0.379077 
1813.000000,0.454365 
1855.000000,0.419386 
1808.000000,0.401689 
3259.000000,0.231959 
3504.000000,0.271169 
3359.000000,0.251920 
3443.000000,0.104668 
3534.000000,0.205129 
3506.000000,0.105456 
3534.000000,0.281079 
3345.000000,0.068728 
8419.000000,0.266954 
8419.000000,0.120054 
2783.000000,0.238299 
2783.000000,0.292154 
8448.000000,0.306479 
8448.000000,0.192556 
2806.000000,0.358031 
2806.000000,0.327328 
2813.000000,0.234024 
6991.000000,1.644707 
7012.000000,1.782541 
6991.000000,1.772305 
6991.000000,2.129903 
2986.000000,0.304348 
1776.000000,0.218464 
1774.000000,0.291871 
1783.000000,0.401041 
4087.000000,0.228686 
4052.000000,0.317473 
7016.000000,0.196826 
2414.000000,0.307500 
2414.000000,0.309873 
2426.000000,0.265849 
13.000000,0.192978 
4867.000000,0.587362 
2935.000000,0.434262 
2947.000000,0.361187 
4846.000000,0.244681 
2635.000000,0.368339 
408.000000,0.214591 
405.000000,0.182684 
404.000000,0.255615 
2624.000000,0.309141 
402.000000,0.051474 
445.000000,0.188281 
23.000000,0.200175 
17.000000,0.146772 
25.000000,0.267031 
23.000000,0.355706 
18.000000,0.115296 
4556.000000,0.188491 
4556.000000,0.627978 
2700.000000,0.261503 
6529.000000,0.827198 
6440.000000,0.728395 
6556.000000,0.804249 
402.000000,0.300530 
24.000000,0.317734 
2881.000000,0.305845 
21.000000,0.164022 
6.000000,0.078970 
2594.000000,0.346883 
2554.000000,0.335549 
2554.000000,0.399734 
147.000000,0.343358 
2601.000000,0.311894 
177.000000,0.327721 
2599.000000,0.374733 
173.000000,0.379936 
156.000000,0.388160 
2640.000000,0.415746 
4555.000000,0.202606 
2640.000000,0.362330 
420.000000,0.407478 
5702.000000,0.291672 
5644.000000,0.136115 
1317.000000,0.290078 
8226.000000,0.179469 
1306.000000,0.236596 
8210.000000,0.190865 
8182.000000,0.135165 
8127.000000,0.241219 
8121.000000,0.230842 
1314.000000,0.295254 
5085.000000,0.244183 
6077.000000,2.895922 
2973.000000,0.355965 
608.000000,0.498321 
686.000000,0.089846 
651.000000,0.215887 
625.000000,0.107060 
4878.000000,0.481929 
4810.000000,0.481537 
6255.000000,1.249187 
6310.000000,1.489833 
6310.000000,1.005592 
551.000000,0.516322 
522.000000,0.439591 
543.000000,0.546403 
485.000000,0.479543 
937.000000,0.238896 
998.000000,0.084348 
1005.000000,0.169907 
969.000000,0.112314 
9986.000000,0.205411 
315.000000,0.235639 
311.000000,0.136717 
310.000000,0.227311 
872.000000,0.079286 
930.000000,0.105309 
766.000000,0.039056 
2956.000000,0.351027 
4882.000000,0.334740 
4843.000000,0.241865 
6297.000000,0.271927 
570.000000,0.128392 
5065.000000,0.161924 
5067.000000,0.335491 
6578.000000,0.800206 
6558.000000,0.785722 
2444.000000,0.404749 
8013.000000,0.217348 
1859.000000,0.283345 
7977.000000,0.122039 
2498.000000,0.402015 
8013.000000,0.194700 
8005.000000,0.183594 
817.000000,0.441773 
564.000000,0.514423 
515.000000,0.494188 
6308.000000,0.366694 
6307.000000,0.709544 
6308.000000,0.211469 
7112.000000,0.153213 
1805.000000,0.368162 
2438.000000,0.443125 
7770.000000,0.272173 
2437.000000,0.412373 
2489.000000,0.440798 
2475.000000,0.430629 
2459.000000,0.381079 
656.000000,0.143945 
4906.000000,0.418998 
4832.000000,0.163159 
4886.000000,0.189533 
4906.000000,0.090882 
4883.000000,0.140042 
2913.000000,0.435406 
2914.000000,0.381302 
655.000000,0.161511 
2925.000000,0.453132 
2920.000000,0.415676 
7788.000000,0.165041 
7873.000000,0.132535 
1803.000000,0.414035 
3053.000000,0.389044 
4073.000000,0.148548 
2497.000000,0.400226 
3236.000000,0.341670 
8007.000000,0.157768 
4314.000000,0.096864 
4215.000000,0.133432 
2448.000000,0.438643 
4215.000000,0.214244 
2508.000000,0.302755 
6822.000000,2.019188 
6822.000000,1.608213 
2009.000000,2.081899 
6835.000000,1.647549 
1804.000000,0.423447 
3060.000000,0.321008 
2442.000000,0.367225 
1752.000000,0.089051 
1881.000000,0.277947 
1880.000000,0.155448 
6246.000000,1.526859 
6247.000000,1.546799 
6246.000000,2.012156 
2939.000000,0.433673 
1412.000000,0.360451 
1417.000000,0.334267 
9373.000000,0.281776 
9372.000000,0.214662 
2451.000000,0.496245 
572.000000,0.410810 
567.000000,0.272121 
541.000000,0.237793 
478.000000,0.236404 
555.000000,0.564630 
804.000000,0.469919 
5007.000000,0.459266 
5012.000000,0.496309 
2950.000000,0.329348 
7797.000000,0.230914 
7876.000000,0.105617 
7849.000000,0.199247 
7830.000000,0.248842 
7842.000000,0.349157 
7842.000000,0.183224 
7832.000000,0.191618 
7772.000000,0.073478 
7817.000000,0.218884 
7904.000000,1.214876 
6246.000000,1.547909 
4900.000000,0.479202 
4859.000000,0.491439 
4916.000000,0.517969 
4993.000000,0.045911 
4994.000000,1.136206 
595.000000,0.142814 
582.000000,0.421012 
576.000000,0.401983 
416.000000,0.223865 
403.000000,0.317015 
451.000000,0.246083 
880.000000,0.300420 
2631.000000,0.394079 
2631.000000,0.383161 
2634.000000,0.352079 
2627.000000,0.410337 
449.000000,0.329760 
2617.000000,0.427614 
4564.000000,0.392353 
5507.000000,0.082403 
5507.000000,0.252273 
5529.000000,0.191494 
2682.000000,0.256574 
920.000000,0.202010 
76.000000,0.370181 
76.000000,0.411828 
170.000000,0.362454 
177.000000,0.154142 
92.000000,0.194843 
34.000000,0.218455 
2582.000000,0.358675 
2586.000000,0.402522 
112.000000,0.227605 
40.000000,0.365767 
922.000000,0.242441 
5479.000000,0.238900 
5479.000000,0.337527 
2675.000000,0.249073 
5511.000000,0.240654 
5477.000000,0.247337 
3222.000000,0.383290 
3120.000000,0.354316 
3176.000000,0.174383 
2995.000000,0.128460 
2999.000000,0.230648 
2993.000000,0.161091 
2989.000000,0.144063 
3024.000000,0.412333 
2994.000000,0.305979 
3307.000000,0.251344 
7111.000000,0.557919 
2551.000000,0.334115 
5147.000000,0.189421 
5142.000000,0.135010 
235.000000,0.240582 
279.000000,0.220867 
251.000000,0.074191 
234.000000,0.072501 
252.000000,0.111841 
254.000000,0.101982 
270.000000,0.183894 
259.000000,0.289381 
1206.000000,0.332167 
1195.000000,0.335762 
1200.000000,0.245441 
1195.000000,0.337559 
295.000000,0.154710 
299.000000,0.327383 
5046.000000,0.586671 
4939.000000,0.510482 
4834.000000,0.376600 
4832.000000,0.058519 
4821.000000,0.422830 
682.000000,0.135672 
688.000000,0.309246 
574.000000,0.307988 
795.000000,0.078169 
751.000000,0.102683 
579.000000,0.308989 
690.000000,0.158807 
2521.000000,0.220805 
980.000000,0.203947 
2523.000000,0.263269 
2979.000000,0.187109 
4799.000000,0.718352 
2978.000000,0.849938 
962.000000,0.345397 
991.000000,0.157088 
991.000000,0.176239 
984.000000,0.140151 
3518.000000,0.319816 
3706.000000,0.253306 
3803.000000,0.893794 
3901.000000,0.447842 
3787.000000,0.903623 
3846.000000,0.468046 
3980.000000,0.904467 
3858.000000,0.907778 
8508.000000,0.242689 
3948.000000,0.453174 
3913.000000,0.914943 
3973.000000,0.472146 
1698.000000,0.244576 
3792.000000,0.450643 
8057.000000,0.198373 
1711.000000,0.417859 
3819.000000,0.345028 
3776.000000,0.382662 
3814.000000,0.361732 
4035.000000,0.438059 
8557.000000,0.229872 
8584.000000,0.115605 
8544.000000,0.304190 
8645.000000,0.225458 
8280.000000,0.108961 
8278.000000,0.141129 
8642.000000,0.201499 
8645.000000,0.075299 
8332.000000,0.193594 
3607.000000,0.122479 
3927.000000,0.155337 
3394.000000,0.338914 
3903.000000,0.154210 
3604.000000,0.203867 
3604.000000,0.319272 
3056.000000,0.269823 
