point, dist
4301.000000,0.350761 
4306.000000,0.517029 
4295.000000,0.416070 
4297.000000,0.541437 
267.000000,0.485832 
2572.000000,0.391050 
2575.000000,0.339703 
268.000000,0.456929 
2573.000000,0.451094 
2574.000000,0.382632 
430.000000,0.502295 
267.000000,0.330073 
4291.000000,0.336782 
4298.000000,0.575293 
4298.000000,0.345844 
6852.000000,0.455298 
6796.000000,0.561377 
6855.000000,0.408328 
6817.000000,0.457487 
6854.000000,0.408706 
6816.000000,0.325276 
4319.000000,0.151955 
4290.000000,0.453058 
4306.000000,0.341399 
267.000000,0.429259 
2573.000000,0.347106 
428.000000,0.264022 
2574.000000,0.401265 
8789.000000,0.610968 
8915.000000,0.620699 
9473.000000,0.481752 
91.000000,0.617470 
78.000000,0.532052 
8886.000000,0.475438 
8786.000000,0.377340 
8754.000000,0.431457 
8814.000000,0.361803 
373.000000,0.408863 
2567.000000,0.398357 
363.000000,0.366818 
2567.000000,0.195266 
4291.000000,0.325838 
4290.000000,0.431524 
8923.000000,0.581201 
1455.000000,0.222457 
1443.000000,0.305204 
1443.000000,0.384395 
1436.000000,0.343303 
1462.000000,0.447736 
1453.000000,0.368725 
1436.000000,0.525362 
1437.000000,0.464551 
1435.000000,0.512612 
2561.000000,0.476766 
1435.000000,0.363789 
5953.000000,0.532528 
2499.000000,0.300560 
2550.000000,0.368284 
2499.000000,0.278274 
5953.000000,0.335102 
5807.000000,0.429807 
5872.000000,0.331766 
5807.000000,0.247406 
714.000000,0.454611 
1899.000000,0.428417 
1868.000000,0.551822 
1886.000000,0.447971 
1918.000000,0.391963 
9798.000000,0.281586 
1489.000000,0.281153 
1479.000000,0.395453 
4315.000000,0.361822 
4314.000000,0.442251 
4316.000000,0.409193 
428.000000,0.232991 
428.000000,0.540495 
8209.000000,0.497019 
8260.000000,0.477614 
8135.000000,0.448082 
85.000000,0.520083 
85.000000,0.652312 
8896.000000,0.443642 
9461.000000,0.487259 
9461.000000,0.526692 
8692.000000,0.287536 
8550.000000,0.487386 
8434.000000,0.349727 
8305.000000,0.585042 
8305.000000,0.534842 
4316.000000,0.485527 
8006.000000,0.322420 
8255.000000,0.332028 
8244.000000,0.277258 
2553.000000,0.492953 
2524.000000,0.408097 
2412.000000,0.499517 
2508.000000,0.372196 
5647.000000,0.373817 
1864.000000,0.340162 
5682.000000,0.158297 
5647.000000,0.362596 
4305.000000,0.482928 
4314.000000,0.347003 
1455.000000,0.582517 
