point, dist
4608.000000,0.234051 
4606.000000,0.229353 
3487.000000,0.159685 
3479.000000,0.285438 
4565.000000,0.150004 
3685.000000,0.189381 
4574.000000,0.059022 
4575.000000,0.153030 
9107.000000,0.217928 
9951.000000,0.254184 
9953.000000,0.255650 
3690.000000,0.148389 
3683.000000,0.182284 
6793.000000,0.195027 
6785.000000,0.201964 
6812.000000,0.167807 
732.000000,0.241102 
4908.000000,0.219587 
6794.000000,0.162263 
4773.000000,0.277410 
4752.000000,0.104507 
4746.000000,0.255147 
6784.000000,0.249484 
9714.000000,0.160382 
9711.000000,0.139604 
6813.000000,0.155793 
6746.000000,0.235341 
6654.000000,0.235731 
9695.000000,0.230385 
6679.000000,0.218564 
9696.000000,0.179818 
9451.000000,0.226161 
9980.000000,0.215966 
9983.000000,0.256001 
4587.000000,0.150139 
5745.000000,0.214232 
5744.000000,0.157958 
5742.000000,0.168012 
3296.000000,0.208969 
6096.000000,0.216840 
3289.000000,0.261618 
3489.000000,0.252012 
3485.000000,0.254706 
4718.000000,0.239717 
4705.000000,0.211107 
9249.000000,0.147929 
9960.000000,0.197736 
9224.000000,0.316878 
9215.000000,0.253928 
9501.000000,0.251457 
9505.000000,0.325020 
9986.000000,0.180731 
9988.000000,0.239055 
3477.000000,0.251054 
4625.000000,0.169683 
4622.000000,0.130772 
3475.000000,0.280173 
4784.000000,0.209103 
7175.000000,0.231592 
9755.000000,0.201073 
7171.000000,0.244692 
7354.000000,0.156776 
7379.000000,0.184946 
7356.000000,0.161283 
6230.000000,0.180242 
6273.000000,0.188535 
6233.000000,0.270927 
4796.000000,0.140006 
4799.000000,0.262550 
5252.000000,0.154025 
4714.000000,0.260205 
4708.000000,0.203973 
7490.000000,0.153292 
9790.000000,0.180270 
9785.000000,0.239858 
2392.000000,0.148595 
109.000000,0.225947 
2393.000000,0.215777 
20.000000,0.257228 
19.000000,0.318916 
9754.000000,0.241129 
7196.000000,0.222488 
3484.000000,0.173336 
6769.000000,0.260463 
6788.000000,0.219672 
8603.000000,0.255358 
8628.000000,0.221672 
8617.000000,0.169915 
7363.000000,0.190276 
7355.000000,0.108347 
9776.000000,0.177514 
7382.000000,0.163930 
7579.000000,0.193549 
7557.000000,0.194014 
7617.000000,0.257532 
8671.000000,0.222703 
8663.000000,0.198433 
8666.000000,0.234253 
8670.000000,0.136717 
9590.000000,0.307385 
9996.000000,0.269775 
9590.000000,0.296885 
3541.000000,0.345290 
4529.000000,0.125354 
4205.000000,0.157835 
4605.000000,0.222033 
3507.000000,0.263648 
3503.000000,0.350934 
9964.000000,0.185674 
9906.000000,0.127291 
9904.000000,0.199458 
9909.000000,0.124335 
9907.000000,0.143838 
2087.000000,0.187899 
2096.000000,0.334503 
2086.000000,0.149836 
4563.000000,0.223769 
953.000000,0.303621 
4568.000000,0.090976 
4572.000000,0.099562 
6829.000000,0.222762 
4176.000000,0.268805 
3925.000000,0.101095 
6852.000000,0.180005 
3074.000000,0.197231 
3071.000000,0.250050 
3045.000000,0.218807 
3072.000000,0.129526 
3058.000000,0.198897 
7497.000000,0.125822 
7497.000000,0.207270 
8050.000000,0.161146 
2362.000000,0.200451 
2364.000000,0.222548 
8038.000000,0.194974 
9885.000000,0.177773 
9881.000000,0.191705 
9882.000000,0.187044 
6768.000000,0.158237 
1479.000000,0.283420 
1476.000000,0.222191 
9478.000000,0.313142 
9474.000000,0.212288 
5734.000000,0.195291 
6204.000000,0.165527 
6207.000000,0.060540 
6272.000000,0.289551 
6274.000000,0.206180 
6201.000000,0.199320 
3552.000000,0.343501 
3551.000000,0.361058 
3562.000000,0.377411 
3565.000000,0.377440 
3540.000000,0.359658 
3539.000000,0.343901 
3556.000000,0.397629 
3495.000000,0.244037 
4599.000000,0.176924 
47.000000,0.291783 
4601.000000,0.276821 
3566.000000,0.363741 
4581.000000,0.206214 
7625.000000,0.205498 
9803.000000,0.196701 
9796.000000,0.131289 
8176.000000,0.211958 
8146.000000,0.168526 
9851.000000,0.148583 
9854.000000,0.259811 
2771.000000,0.193305 
2789.000000,0.186477 
2783.000000,0.141790 
2844.000000,0.238994 
2851.000000,0.170646 
4951.000000,0.142410 
2433.000000,0.161911 
5536.000000,0.115554 
5064.000000,0.179214 
2390.000000,0.163874 
6132.000000,0.263655 
9646.000000,0.252535 
9644.000000,0.252506 
6086.000000,0.200607 
5952.000000,0.191750 
5991.000000,0.173466 
9630.000000,0.232105 
3475.000000,0.230965 
3493.000000,0.240076 
4609.000000,0.214475 
6272.000000,0.233050 
8734.000000,0.241308 
8772.000000,0.249947 
8776.000000,0.180066 
2690.000000,0.175862 
2686.000000,0.128197 
2678.000000,0.125249 
7383.000000,0.222113 
7366.000000,0.106223 
7364.000000,0.215637 
7362.000000,0.163090 
2860.000000,0.243703 
2862.000000,0.232505 
2869.000000,0.127607 
7647.000000,0.248373 
7515.000000,0.144846 
7489.000000,0.189890 
7559.000000,0.192555 
8667.000000,0.223932 
8667.000000,0.284076 
8665.000000,0.184203 
8681.000000,0.178202 
8661.000000,0.255323 
8664.000000,0.254638 
8682.000000,0.123114 
8627.000000,0.190803 
8630.000000,0.136832 
9793.000000,0.135665 
7581.000000,0.118382 
7459.000000,0.169029 
7483.000000,0.175174 
7466.000000,0.211976 
7485.000000,0.208158 
1050.000000,0.276374 
7427.000000,0.285741 
6653.000000,0.214469 
6637.000000,0.097350 
9683.000000,0.208274 
6477.000000,0.207399 
9684.000000,0.278671 
6537.000000,0.128879 
9540.000000,0.208445 
9542.000000,0.221661 
2101.000000,0.130962 
5123.000000,0.183759 
9237.000000,0.133859 
9233.000000,0.184917 
9244.000000,0.222865 
1768.000000,0.210419 
8624.000000,0.203865 
2079.000000,0.181286 
2084.000000,0.218949 
2084.000000,0.304033 
4570.000000,0.206324 
4564.000000,0.027470 
4589.000000,0.120447 
3496.000000,0.272054 
4519.000000,0.251599 
4702.000000,0.210770 
4701.000000,0.242421 
4747.000000,0.096991 
4750.000000,0.178907 
4696.000000,0.267647 
4699.000000,0.174484 
9247.000000,0.070714 
9922.000000,0.169449 
8822.000000,0.213151 
9920.000000,0.230616 
8811.000000,0.218556 
9920.000000,0.247409 
947.000000,0.336664 
9495.000000,0.151846 
9494.000000,0.232726 
9750.000000,0.204582 
9746.000000,0.178093 
9749.000000,0.184422 
9747.000000,0.231484 
6714.000000,0.150931 
4057.000000,0.143237 
4003.000000,0.188822 
4520.000000,0.241762 
3070.000000,0.174100 
4893.000000,0.223500 
4894.000000,0.162702 
3111.000000,0.177398 
6614.000000,0.260415 
6607.000000,0.213642 
9699.000000,0.191783 
6786.000000,0.197666 
6810.000000,0.181711 
6684.000000,0.163238 
3095.000000,0.136738 
3092.000000,0.194707 
3170.000000,0.117149 
5324.000000,0.165549 
3169.000000,0.241323 
3178.000000,0.210921 
4877.000000,0.228669 
4879.000000,0.203556 
