point, dist
5905.000000,0.455216 
3128.000000,0.467821 
3128.000000,0.279319 
7755.000000,0.540157 
5910.000000,0.380626 
5943.000000,0.468345 
3121.000000,0.287079 
2762.000000,0.559017 
3094.000000,0.478283 
3088.000000,0.584874 
1154.000000,0.108939 
1156.000000,0.434270 
1051.000000,0.402198 
1152.000000,0.250366 
3190.000000,0.199510 
3197.000000,0.370198 
3192.000000,0.429093 
3121.000000,0.262056 
3114.000000,0.355562 
3116.000000,0.290565 
3113.000000,0.257037 
3093.000000,0.264555 
6616.000000,0.355044 
6523.000000,0.259957 
6543.000000,0.442713 
6549.000000,0.264638 
3125.000000,0.484231 
5910.000000,0.491684 
6091.000000,0.602008 
3109.000000,0.427380 
3109.000000,0.305117 
6093.000000,0.380363 
3329.000000,0.359447 
4999.000000,0.575904 
7882.000000,0.493993 
3329.000000,0.408035 
3339.000000,0.547715 
7887.000000,0.587677 
5086.000000,0.574606 
7887.000000,0.535771 
6697.000000,0.440103 
3076.000000,0.320220 
6631.000000,0.462857 
7727.000000,0.354809 
3028.000000,0.159138 
3028.000000,0.227697 
6350.000000,0.266638 
3019.000000,0.333782 
7741.000000,0.342899 
957.000000,0.433430 
1056.000000,0.333358 
1057.000000,0.358929 
1360.000000,0.460732 
1261.000000,0.594087 
1261.000000,0.417633 
3118.000000,0.596743 
7710.000000,0.503020 
3117.000000,0.503532 
5943.000000,0.451089 
3124.000000,0.533930 
3124.000000,0.481141 
3124.000000,0.320754 
3121.000000,0.397583 
3121.000000,0.379800 
3311.000000,0.370123 
3316.000000,0.498996 
7892.000000,0.511363 
4695.000000,0.698552 
4702.000000,0.557462 
3742.000000,0.172426 
6091.000000,0.243117 
6097.000000,0.438735 
6093.000000,0.309881 
6102.000000,0.294392 
6091.000000,0.535881 
5957.000000,0.529577 
3113.000000,0.315831 
5944.000000,0.451979 
6102.000000,0.430972 
6097.000000,0.281430 
6084.000000,0.470912 
6259.000000,0.333065 
6100.000000,0.400254 
9980.000000,0.556932 
26.000000,0.391967 
9978.000000,0.402846 
9979.000000,0.509749 
14.000000,0.458024 
9980.000000,0.352727 
9980.000000,0.359017 
23.000000,0.357365 
18.000000,0.592720 
9970.000000,0.495112 
5005.000000,0.738627 
4340.000000,0.592270 
4211.000000,0.618982 
4215.000000,0.422386 
4220.000000,0.516117 
3853.000000,0.559306 
3847.000000,0.293087 
4187.000000,0.618492 
4738.000000,0.670544 
4739.000000,0.631623 
3344.000000,0.253343 
3344.000000,0.415425 
3748.000000,0.307056 
4412.000000,0.672938 
3749.000000,0.576535 
4418.000000,0.606120 
4736.000000,0.532951 
3749.000000,0.268574 
7614.000000,0.111586 
7903.000000,0.491967 
3182.000000,0.285238 
3182.000000,0.444089 
3345.000000,0.404974 
7614.000000,0.360691 
7583.000000,0.434173 
3345.000000,0.272476 
3345.000000,0.322901 
3336.000000,0.544666 
3317.000000,0.304182 
851.000000,0.266147 
854.000000,0.430714 
740.000000,0.378559 
3329.000000,0.638536 
3405.000000,0.255714 
3410.000000,0.334774 
3410.000000,0.460925 
3411.000000,0.431900 
3464.000000,0.388840 
3464.000000,0.253190 
3455.000000,0.149006 
6208.000000,0.300226 
6294.000000,0.407495 
6294.000000,0.280533 
4690.000000,0.607193 
4690.000000,0.637237 
4695.000000,0.480341 
3263.000000,0.177728 
3252.000000,0.335745 
3263.000000,0.300078 
3263.000000,0.376625 
3256.000000,0.253392 
3256.000000,0.528507 
3253.000000,0.342486 
3256.000000,0.442827 
7737.000000,0.361208 
6616.000000,0.446591 
6620.000000,0.423275 
6620.000000,0.524870 
6620.000000,0.438505 
3244.000000,0.503592 
3243.000000,0.298347 
7761.000000,0.381978 
3067.000000,0.313388 
6761.000000,0.328352 
6761.000000,0.497004 
7838.000000,0.310741 
7838.000000,0.330135 
1052.000000,0.523745 
1054.000000,0.348027 
1059.000000,0.152434 
7455.000000,0.396766 
7455.000000,0.186623 
7664.000000,0.728625 
7455.000000,0.368555 
6067.000000,0.388449 
3359.000000,0.395884 
3355.000000,0.389369 
6072.000000,0.572329 
6071.000000,0.350998 
3354.000000,0.154443 
3358.000000,0.328406 
7664.000000,0.756519 
7455.000000,0.659688 
7460.000000,0.809735 
3357.000000,0.175013 
3888.000000,0.366995 
3888.000000,0.220498 
3884.000000,0.350941 
3883.000000,0.618486 
3893.000000,0.433247 
3897.000000,0.299124 
3899.000000,0.433334 
3903.000000,0.318687 
3843.000000,0.397406 
3848.000000,0.295682 
6190.000000,0.554449 
6190.000000,0.370420 
7686.000000,0.502274 
6190.000000,0.424266 
3855.000000,0.540538 
3854.000000,0.273518 
