point, dist
6431.000000,0.273355 
4197.000000,0.168984 
4531.000000,0.237432 
4555.000000,0.270334 
563.000000,0.175214 
542.000000,0.053067 
558.000000,0.133027 
7914.000000,0.146545 
8009.000000,0.274446 
7876.000000,0.115255 
7918.000000,0.113746 
7974.000000,0.152808 
5873.000000,0.255852 
6366.000000,0.324600 
5909.000000,0.336320 
6195.000000,0.320286 
6615.000000,0.283954 
5613.000000,0.242198 
5572.000000,0.221881 
9427.000000,0.150245 
5540.000000,0.249073 
5850.000000,0.282422 
5732.000000,0.154983 
5685.000000,0.158080 
5543.000000,0.215124 
5765.000000,0.298943 
585.000000,0.075016 
607.000000,0.098651 
4242.000000,0.214917 
3925.000000,0.257781 
4220.000000,0.206303 
3979.000000,0.162629 
4391.000000,0.237951 
3960.000000,0.263463 
3723.000000,0.109670 
9479.000000,0.290161 
6381.000000,0.294373 
4272.000000,0.203906 
4196.000000,0.155736 
4004.000000,0.213309 
4038.000000,0.149860 
4108.000000,0.144747 
3823.000000,0.142748 
3838.000000,0.243477 
3857.000000,0.226745 
3629.000000,0.066470 
6594.000000,0.290310 
5713.000000,0.176075 
5960.000000,0.234580 
6365.000000,0.270460 
6375.000000,0.249839 
6614.000000,0.261157 
5146.000000,0.244220 
5295.000000,0.222239 
5139.000000,0.179597 
5139.000000,0.183405 
5193.000000,0.263769 
5627.000000,0.126814 
5578.000000,0.068425 
5933.000000,0.251455 
6231.000000,0.345835 
5801.000000,0.304699 
5781.000000,0.308379 
5514.000000,0.212275 
5769.000000,0.217146 
4245.000000,0.144522 
3998.000000,0.203438 
4187.000000,0.277121 
4496.000000,0.259244 
4625.000000,0.226486 
8761.000000,0.193088 
8759.000000,0.107431 
196.000000,0.201361 
4871.000000,0.277093 
6507.000000,0.269492 
5097.000000,0.177050 
6505.000000,0.290024 
4972.000000,0.181797 
4719.000000,0.252505 
6993.000000,0.246878 
8099.000000,0.143724 
8120.000000,0.146405 
8105.000000,0.133768 
1667.000000,0.175070 
1990.000000,0.217964 
2038.000000,0.221267 
2033.000000,0.242689 
2010.000000,0.234604 
1980.000000,0.239145 
3769.000000,0.241695 
3682.000000,0.224828 
3900.000000,0.226876 
7782.000000,0.279328 
2704.000000,0.146822 
9920.000000,0.242091 
6643.000000,0.274025 
2563.000000,0.144145 
8123.000000,0.145169 
8133.000000,0.143175 
8019.000000,0.152915 
8026.000000,0.127630 
6823.000000,0.247560 
6837.000000,0.247729 
6810.000000,0.250083 
8103.000000,0.094825 
8085.000000,0.147630 
8136.000000,0.167558 
3923.000000,0.144100 
6443.000000,0.308408 
6440.000000,0.304311 
6442.000000,0.281139 
5443.000000,0.221159 
5465.000000,0.138506 
5490.000000,0.214909 
5493.000000,0.237876 
4103.000000,0.261213 
4098.000000,0.147095 
4136.000000,0.247797 
4110.000000,0.119130 
4011.000000,0.204270 
4046.000000,0.146792 
3841.000000,0.176772 
7295.000000,0.252889 
4074.000000,0.245252 
6169.000000,0.319919 
2061.000000,0.260248 
2117.000000,0.183500 
2152.000000,0.204072 
2022.000000,0.215805 
5172.000000,0.255892 
5063.000000,0.257403 
5214.000000,0.109667 
5560.000000,0.109920 
628.000000,0.151050 
6222.000000,0.269943 
6312.000000,0.328707 
6280.000000,0.310822 
6157.000000,0.339012 
6208.000000,0.319386 
6136.000000,0.259179 
1120.000000,0.233437 
1168.000000,0.202631 
881.000000,0.230115 
988.000000,0.213591 
5928.000000,0.314536 
5967.000000,0.263011 
5594.000000,0.189313 
5461.000000,0.091035 
5810.000000,0.236862 
5577.000000,0.197856 
5686.000000,0.288049 
5617.000000,0.215880 
5498.000000,0.123737 
5565.000000,0.206736 
5598.000000,0.187421 
5518.000000,0.211844 
5410.000000,0.180256 
5476.000000,0.114528 
5619.000000,0.208464 
5755.000000,0.284623 
5830.000000,0.185713 
4885.000000,0.311894 
4764.000000,0.283296 
4780.000000,0.289151 
4790.000000,0.313708 
4765.000000,0.251455 
348.000000,0.169451 
88.000000,0.217873 
139.000000,0.191778 
352.000000,0.175892 
6496.000000,0.334426 
3034.000000,0.263904 
8946.000000,0.273838 
6516.000000,0.278193 
3011.000000,0.265749 
6514.000000,0.288284 
6519.000000,0.277871 
6539.000000,0.277991 
9538.000000,0.157420 
6497.000000,0.308923 
3538.000000,0.214700 
3713.000000,0.186597 
4438.000000,0.239552 
4607.000000,0.270367 
4589.000000,0.287141 
4277.000000,0.283195 
4641.000000,0.245049 
6525.000000,0.257457 
9550.000000,0.201702 
6545.000000,0.303250 
9682.000000,0.195800 
9686.000000,0.186509 
8336.000000,0.263418 
8792.000000,0.206773 
6613.000000,0.261458 
194.000000,0.243297 
242.000000,0.230263 
8248.000000,0.279154 
8262.000000,0.221701 
178.000000,0.210911 
176.000000,0.232742 
470.000000,0.187372 
167.000000,0.221924 
164.000000,0.219123 
182.000000,0.206088 
153.000000,0.174095 
163.000000,0.227709 
179.000000,0.216414 
4796.000000,0.318765 
4840.000000,0.316190 
4770.000000,0.272645 
6084.000000,0.321728 
6022.000000,0.272957 
6791.000000,0.261690 
6932.000000,0.282581 
8057.000000,0.154692 
8015.000000,0.113949 
8096.000000,0.116802 
8119.000000,0.209569 
8014.000000,0.171889 
8182.000000,0.260570 
7296.000000,0.220231 
7301.000000,0.257600 
7282.000000,0.233334 
8094.000000,0.117946 
8049.000000,0.104899 
7650.000000,0.228070 
7281.000000,0.237155 
7127.000000,0.233164 
629.000000,0.191709 
561.000000,0.172613 
245.000000,0.197941 
554.000000,0.077375 
567.000000,0.180188 
677.000000,0.134350 
1227.000000,0.225585 
727.000000,0.142646 
6351.000000,0.259384 
9822.000000,0.259744 
