point, dist
2316.000000,0.291147 
7163.000000,0.248420 
2338.000000,0.306058 
3029.000000,0.013754 
7785.000000,0.116148 
7714.000000,0.119732 
7704.000000,0.115212 
3230.000000,0.118364 
2925.000000,0.119177 
2963.000000,0.184087 
2893.000000,0.080249 
3329.000000,0.112619 
3173.000000,0.162413 
3060.000000,0.063115 
3033.000000,0.097392 
1593.000000,0.324929 
2960.000000,0.101300 
1584.000000,0.289099 
1658.000000,0.295358 
1601.000000,0.297195 
3004.000000,0.080477 
2913.000000,0.444802 
5274.000000,0.166880 
1699.000000,0.339650 
5196.000000,0.128085 
1701.000000,0.305653 
3020.000000,0.105211 
2948.000000,0.110434 
1589.000000,0.303913 
1573.000000,0.288267 
1667.000000,0.318647 
8751.000000,1.278070 
8754.000000,1.301869 
8762.000000,1.319343 
8762.000000,1.313382 
5412.000000,0.096226 
5433.000000,0.142905 
5421.000000,0.083875 
5366.000000,0.095914 
2329.000000,0.308710 
2599.000000,0.313498 
2583.000000,0.309871 
3183.000000,0.067367 
2894.000000,0.130932 
3167.000000,0.058183 
3160.000000,0.070028 
3154.000000,0.061728 
3003.000000,0.110359 
2982.000000,0.157263 
5453.000000,0.141745 
3238.000000,0.123906 
3268.000000,0.433894 
3247.000000,0.073609 
3276.000000,0.065288 
3710.000000,0.165346 
4710.000000,0.182773 
4729.000000,0.115437 
4351.000000,0.184673 
929.000000,0.335423 
980.000000,0.066437 
1029.000000,0.115000 
4631.000000,0.102346 
4562.000000,0.074292 
4737.000000,0.134135 
4573.000000,0.123719 
2916.000000,0.111504 
2889.000000,0.107803 
2957.000000,0.109738 
4432.000000,0.165457 
4430.000000,0.160005 
579.000000,0.303495 
565.000000,0.304128 
3483.000000,0.092650 
3470.000000,0.114602 
7650.000000,0.396341 
7641.000000,0.386244 
3291.000000,0.091648 
3295.000000,0.096024 
3292.000000,0.090321 
8748.000000,1.284769 
8752.000000,1.308381 
9442.000000,1.385128 
9453.000000,1.053816 
9453.000000,1.385731 
1618.000000,0.287153 
2977.000000,0.078379 
1610.000000,0.288218 
2945.000000,0.131659 
1635.000000,0.342726 
2850.000000,0.089416 
1612.000000,0.331759 
1724.000000,0.297863 
1682.000000,0.300272 
1592.000000,0.304455 
1735.000000,0.298451 
3025.000000,0.094520 
3081.000000,0.096765 
2900.000000,0.093868 
2934.000000,0.098714 
3275.000000,0.097829 
827.000000,0.302154 
3319.000000,0.118498 
826.000000,0.284426 
3359.000000,0.063907 
8759.000000,0.456943 
3536.000000,0.045206 
520.000000,0.291193 
492.000000,0.265449 
507.000000,0.269919 
9403.000000,1.370998 
9451.000000,1.341288 
9403.000000,1.048310 
5585.000000,0.159903 
5379.000000,0.072998 
2504.000000,0.297849 
2513.000000,0.288609 
2477.000000,0.315115 
2464.000000,0.331502 
2351.000000,0.290761 
2991.000000,0.111379 
1634.000000,0.342391 
7146.000000,0.189700 
78.000000,0.246423 
2521.000000,0.316794 
2344.000000,0.299513 
2252.000000,0.298433 
7780.000000,0.115882 
4034.000000,0.209887 
3511.000000,0.118863 
698.000000,0.304260 
4494.000000,0.145467 
5313.000000,0.103184 
897.000000,0.024277 
907.000000,0.092110 
1972.000000,0.300771 
9399.000000,1.383798 
9429.000000,1.049430 
9429.000000,1.382399 
9399.000000,1.051272 
5414.000000,0.089537 
5371.000000,0.076456 
2500.000000,0.299810 
8759.000000,0.926822 
3176.000000,0.142065 
3128.000000,0.179462 
7585.000000,0.667934 
9242.000000,0.386110 
9211.000000,0.383548 
7695.000000,0.047799 
4327.000000,0.166958 
1844.000000,0.321573 
1049.000000,0.326107 
1038.000000,0.059764 
999.000000,0.120366 
502.000000,0.269088 
470.000000,0.268779 
543.000000,0.275747 
64.000000,0.325831 
2801.000000,0.315951 
7136.000000,0.201058 
2236.000000,0.339309 
7174.000000,0.240507 
7135.000000,0.168364 
4609.000000,0.065028 
4684.000000,0.159435 
3709.000000,0.166044 
9865.000000,0.173756 
9406.000000,0.580999 
9406.000000,0.141494 
9431.000000,0.579392 
9407.000000,0.167783 
