point, dist
1726.000000,0.208756 
1719.000000,0.162860 
1718.000000,0.295164 
1718.000000,0.271477 
3695.000000,0.134087 
5486.000000,0.354338 
3693.000000,0.205408 
470.000000,0.248328 
494.000000,0.201093 
9392.000000,0.369636 
5489.000000,0.369606 
5608.000000,0.400286 
3695.000000,0.292721 
3696.000000,0.089654 
9519.000000,0.347922 
5611.000000,0.362617 
4378.000000,0.448677 
3072.000000,0.171129 
4377.000000,0.448404 
3060.000000,0.371887 
9322.000000,0.326468 
9273.000000,0.257265 
9320.000000,0.349631 
3066.000000,0.145203 
3066.000000,0.380419 
3087.000000,0.279653 
3065.000000,0.273689 
9303.000000,0.257050 
446.000000,0.330488 
3106.000000,0.347957 
3106.000000,0.237401 
3102.000000,0.177243 
4299.000000,0.325742 
9778.000000,0.413085 
7979.000000,0.301339 
9746.000000,0.473819 
3699.000000,0.216447 
3689.000000,0.299349 
3700.000000,0.264442 
3716.000000,0.291333 
3690.000000,0.272610 
9751.000000,0.193634 
9988.000000,0.294157 
9724.000000,0.244325 
9995.000000,0.255592 
9726.000000,0.494284 
5486.000000,0.437297 
5108.000000,0.389178 
5109.000000,0.370076 
5482.000000,0.430464 
3080.000000,0.126794 
3077.000000,0.305850 
3078.000000,0.126196 
9372.000000,0.296157 
9354.000000,0.334419 
9349.000000,0.312582 
9387.000000,0.266581 
5480.000000,0.334992 
5114.000000,0.340868 
5112.000000,0.345933 
5490.000000,0.359529 
9338.000000,0.179388 
9333.000000,0.171050 
4296.000000,0.340166 
512.000000,0.228543 
9306.000000,0.242512 
9321.000000,0.429475 
3090.000000,0.264303 
3089.000000,0.223675 
3089.000000,0.191330 
1714.000000,0.194250 
3688.000000,0.295695 
1717.000000,0.254401 
1716.000000,0.244121 
3698.000000,0.299501 
2367.000000,0.436153 
4099.000000,0.325145 
9466.000000,0.327866 
1842.000000,0.179703 
9650.000000,0.238030 
4019.000000,0.378602 
4016.000000,0.406699 
4015.000000,0.302798 
4005.000000,0.300758 
1709.000000,0.269685 
1722.000000,0.264267 
1706.000000,0.272830 
1710.000000,0.151919 
1711.000000,0.339463 
4058.000000,0.312342 
6815.000000,0.312355 
6945.000000,0.284010 
3696.000000,0.314416 
6818.000000,0.312686 
6816.000000,0.316576 
3114.000000,0.233592 
2718.000000,0.314714 
3114.000000,0.264944 
3098.000000,0.301328 
3097.000000,0.347868 
3100.000000,0.335882 
3119.000000,0.124009 
