point, dist
7860.000000,0.198533 
7885.000000,0.224728 
7810.000000,0.205164 
7815.000000,0.363338 
7679.000000,0.169362 
6780.000000,0.304963 
7678.000000,0.187215 
5052.000000,0.334921 
7870.000000,0.155808 
7857.000000,0.204858 
9502.000000,0.086574 
9294.000000,0.222943 
9624.000000,0.209781 
9499.000000,0.575605 
8282.000000,0.087517 
9240.000000,0.177349 
8307.000000,0.058887 
9502.000000,0.536983 
3258.000000,0.189372 
3521.000000,0.166418 
3326.000000,0.147493 
537.000000,0.301488 
3708.000000,0.140325 
3686.000000,0.189377 
3719.000000,0.130447 
3674.000000,0.135216 
9625.000000,0.033844 
9294.000000,0.101473 
9515.000000,0.626689 
7662.000000,0.172235 
7647.000000,0.173153 
8194.000000,0.174698 
7651.000000,0.137215 
6933.000000,0.256563 
9293.000000,0.112935 
9410.000000,0.158270 
5413.000000,0.302669 
7773.000000,0.231196 
7686.000000,0.241827 
3592.000000,0.138425 
3536.000000,0.122803 
3527.000000,0.159097 
3531.000000,0.189565 
3576.000000,0.109598 
497.000000,0.334670 
7799.000000,0.285874 
7743.000000,0.221755 
8787.000000,0.205695 
8783.000000,0.189910 
8778.000000,0.180400 
8777.000000,0.093309 
6802.000000,0.262209 
6796.000000,0.251908 
7711.000000,0.264067 
6774.000000,0.295546 
6775.000000,0.252906 
9718.000000,0.128001 
9905.000000,0.150670 
9698.000000,0.225310 
5624.000000,0.338956 
8296.000000,0.049343 
8296.000000,0.224780 
8294.000000,0.207388 
8287.000000,0.098483 
8283.000000,0.096307 
8292.000000,0.059356 
8279.000000,0.151465 
8307.000000,0.187618 
8292.000000,0.194085 
8588.000000,0.211389 
6684.000000,0.280833 
631.000000,0.294449 
3529.000000,0.156281 
552.000000,0.321059 
527.000000,0.304086 
7722.000000,0.289976 
6825.000000,0.291341 
5552.000000,0.309835 
5574.000000,0.326126 
5565.000000,0.357230 
7751.000000,0.300705 
7750.000000,0.233335 
9625.000000,0.993358 
9891.000000,0.142773 
9901.000000,0.265937 
9899.000000,0.507019 
9900.000000,0.142595 
9679.000000,0.089993 
9697.000000,0.222077 
5060.000000,0.292707 
7659.000000,0.099454 
6865.000000,0.270940 
7644.000000,0.159541 
7613.000000,0.103572 
7643.000000,0.118489 
8771.000000,0.105622 
8764.000000,0.116217 
9887.000000,0.147588 
9713.000000,0.248659 
9906.000000,0.168741 
9895.000000,0.234049 
9906.000000,0.633783 
9895.000000,0.652107 
9906.000000,1.002555 
9909.000000,0.632136 
9907.000000,0.620681 
9909.000000,1.073530 
8862.000000,0.238122 
8835.000000,0.233104 
8835.000000,0.128105 
8273.000000,0.184579 
8272.000000,0.208647 
8383.000000,0.133697 
3673.000000,0.148577 
3693.000000,0.156018 
3777.000000,0.062656 
8261.000000,0.202576 
3755.000000,0.210941 
3760.000000,0.056510 
9336.000000,0.076299 
9502.000000,0.157894 
9405.000000,0.188984 
9398.000000,0.114421 
9400.000000,0.512042 
9322.000000,0.149401 
9402.000000,0.160174 
3516.000000,0.159198 
7838.000000,0.114951 
5637.000000,0.288098 
5747.000000,0.289877 
7839.000000,0.128000 
5714.000000,0.306185 
5632.000000,0.293627 
7805.000000,0.220762 
7233.000000,0.320807 
7457.000000,0.307093 
7240.000000,0.284964 
7864.000000,0.196473 
9499.000000,1.039543 
9505.000000,0.098460 
9793.000000,0.136856 
9793.000000,0.551523 
9997.000000,0.143916 
8283.000000,0.198664 
8267.000000,0.233721 
5558.000000,0.313631 
6557.000000,0.325043 
3543.000000,0.140777 
645.000000,0.271742 
632.000000,0.252772 
6506.000000,0.305194 
6454.000000,0.307547 
666.000000,0.282547 
3565.000000,0.148225 
544.000000,0.279123 
534.000000,0.265931 
597.000000,0.244587 
479.000000,0.246544 
618.000000,0.287309 
3401.000000,0.170313 
289.000000,0.261516 
399.000000,0.247427 
449.000000,0.270209 
3534.000000,0.109950 
3510.000000,0.122146 
3517.000000,0.127154 
566.000000,0.259155 
3577.000000,0.122299 
3508.000000,0.175482 
3541.000000,0.150484 
4980.000000,0.112948 
2244.000000,0.108886 
1946.000000,0.108418 
522.000000,0.318112 
636.000000,0.339539 
5556.000000,0.336003 
4567.000000,0.165316 
4574.000000,0.103765 
240.000000,0.274220 
9143.000000,0.161774 
9142.000000,0.148491 
8760.000000,0.231869 
8758.000000,0.191508 
9147.000000,0.117223 
8781.000000,0.126623 
9705.000000,0.228175 
9672.000000,0.192366 
9885.000000,0.090323 
9794.000000,0.584212 
8752.000000,0.141289 
9901.000000,0.604823 
9895.000000,0.928263 
8265.000000,0.181534 
8265.000000,0.048392 
8838.000000,0.129124 
9148.000000,0.203755 
8758.000000,0.035065 
8755.000000,0.222386 
8755.000000,0.118367 
4387.000000,0.072846 
4372.000000,0.061222 
3722.000000,0.136934 
4708.000000,0.406154 
4705.000000,0.379591 
4219.000000,0.145915 
4226.000000,0.130027 
7220.000000,0.297934 
7080.000000,0.282925 
7245.000000,0.259684 
7065.000000,0.278119 
7092.000000,0.256411 
6547.000000,0.280984 
6578.000000,0.288620 
6622.000000,0.280803 
6525.000000,0.288809 
3654.000000,0.126939 
425.000000,0.283026 
3636.000000,0.130286 
