point, dist
9542.000000,0.211628 
9595.000000,0.087474 
9532.000000,0.193496 
9539.000000,0.198518 
9692.000000,0.169392 
9520.000000,0.176015 
9818.000000,0.185583 
9862.000000,0.197425 
9813.000000,0.108909 
8476.000000,0.325276 
8470.000000,0.098301 
8399.000000,0.186094 
8391.000000,0.198326 
8368.000000,0.205802 
8387.000000,0.174925 
4406.000000,0.319293 
4384.000000,0.305305 
398.000000,0.342871 
4420.000000,0.317549 
4378.000000,0.097758 
4420.000000,0.096080 
173.000000,0.312568 
9522.000000,0.187117 
9573.000000,0.121056 
8388.000000,0.156465 
8386.000000,0.201494 
7684.000000,0.258082 
7687.000000,0.215207 
9872.000000,0.812158 
9873.000000,0.102880 
9873.000000,0.477648 
9659.000000,0.896745 
3902.000000,0.140698 
9732.000000,0.234279 
9785.000000,0.145325 
9746.000000,0.192842 
3875.000000,0.189225 
4761.000000,0.058084 
3870.000000,0.104272 
8304.000000,0.203004 
8335.000000,0.206649 
8333.000000,0.227854 
8289.000000,0.194090 
4783.000000,0.106633 
102.000000,0.397720 
3868.000000,0.100987 
4248.000000,0.123654 
4235.000000,0.126161 
980.000000,0.301564 
4258.000000,0.322006 
286.000000,0.312504 
4262.000000,0.326018 
250.000000,0.285290 
9587.000000,0.105953 
4414.000000,0.030793 
4401.000000,0.054244 
4771.000000,0.167223 
4388.000000,0.320590 
4379.000000,0.089546 
9864.000000,0.180365 
9868.000000,0.284051 
9137.000000,0.321694 
9266.000000,0.258699 
9301.000000,0.188206 
9413.000000,0.176648 
9439.000000,0.175154 
9439.000000,0.237800 
4111.000000,0.149196 
4163.000000,0.107706 
231.000000,0.323537 
284.000000,0.290335 
4091.000000,0.100104 
9705.000000,0.188226 
9337.000000,0.064912 
9353.000000,0.132174 
9349.000000,0.175125 
9562.000000,0.160701 
9712.000000,0.181069 
9874.000000,0.092296 
9734.000000,0.201570 
9733.000000,0.230029 
9749.000000,0.215228 
9713.000000,0.180184 
9839.000000,0.192284 
4372.000000,0.338361 
4794.000000,0.121334 
5358.000000,0.204828 
4806.000000,0.124526 
8359.000000,0.188808 
8379.000000,0.187336 
8321.000000,0.175442 
236.000000,0.283867 
348.000000,0.284070 
405.000000,0.291763 
8806.000000,0.915138 
5349.000000,0.621353 
5333.000000,1.039851 
4796.000000,0.159551 
5357.000000,0.714516 
9774.000000,0.196616 
2369.000000,0.259442 
2474.000000,0.087708 
2468.000000,0.131678 
2491.000000,0.110872 
4901.000000,0.076606 
4889.000000,0.112159 
4983.000000,0.143676 
4862.000000,0.090400 
4914.000000,0.117257 
4946.000000,0.115850 
4864.000000,0.147003 
4982.000000,0.133374 
4871.000000,0.081095 
9433.000000,0.191839 
9371.000000,0.138543 
9433.000000,0.243168 
2511.000000,0.187339 
2531.000000,0.166523 
2500.000000,0.139460 
6240.000000,0.314616 
4311.000000,0.055155 
4314.000000,0.056091 
4234.000000,0.119421 
4303.000000,0.111079 
4297.000000,0.097666 
2482.000000,0.187763 
2475.000000,0.165563 
2502.000000,0.179430 
7651.000000,0.235004 
8354.000000,0.296542 
7488.000000,0.229377 
7579.000000,0.250485 
7553.000000,0.215031 
7414.000000,0.225015 
918.000000,0.307551 
6863.000000,0.298238 
6986.000000,0.294201 
6791.000000,0.289476 
5702.000000,0.319496 
8273.000000,0.171650 
5749.000000,0.339386 
8325.000000,0.219199 
3860.000000,0.184911 
3854.000000,0.188730 
4788.000000,0.214642 
4830.000000,0.226536 
3022.000000,0.177321 
9829.000000,0.239581 
9788.000000,0.106746 
8477.000000,0.091585 
8124.000000,0.263951 
8185.000000,0.285608 
5492.000000,0.244584 
5495.000000,0.195174 
2526.000000,0.470070 
5479.000000,0.575737 
4281.000000,0.058712 
2524.000000,0.256549 
2945.000000,0.077747 
4361.000000,0.038827 
4068.000000,0.074978 
4158.000000,0.014418 
4102.000000,0.064051 
9011.000000,0.489378 
9016.000000,0.497600 
4600.000000,0.147999 
562.000000,0.288189 
6917.000000,0.287628 
6932.000000,0.293208 
6819.000000,0.304612 
756.000000,0.287620 
456.000000,0.260622 
6175.000000,0.290599 
6138.000000,0.295862 
11.000000,0.091872 
8312.000000,0.153905 
6139.000000,0.296466 
8314.000000,0.199351 
8324.000000,0.203151 
8372.000000,0.175956 
8347.000000,0.154045 
8566.000000,0.144407 
8554.000000,0.478133 
8545.000000,0.352756 
8550.000000,0.043266 
8550.000000,0.747740 
6054.000000,0.316990 
6123.000000,0.294312 
6066.000000,0.298962 
6118.000000,0.308517 
4784.000000,0.210656 
8194.000000,0.081013 
5854.000000,0.307274 
5785.000000,0.308205 
4437.000000,0.202490 
9863.000000,0.229882 
9439.000000,0.178891 
9449.000000,0.176468 
9458.000000,0.224697 
9449.000000,0.162029 
8878.000000,0.238261 
9031.000000,0.144667 
8872.000000,0.248623 
9554.000000,0.110387 
9549.000000,0.084382 
9652.000000,0.176732 
9313.000000,0.061429 
9323.000000,0.104442 
9356.000000,0.168582 
9406.000000,0.227342 
9410.000000,0.181473 
9403.000000,0.184178 
9350.000000,0.165224 
9715.000000,0.223068 
9893.000000,0.149438 
9884.000000,0.124849 
9872.000000,0.428280 
9759.000000,0.130137 
9894.000000,0.259988 
9757.000000,0.141099 
9892.000000,0.258014 
9889.000000,0.140158 
9891.000000,0.263311 
9750.000000,0.192531 
4413.000000,0.341236 
4782.000000,0.295165 
4811.000000,0.167569 
8392.000000,0.257770 
8343.000000,0.166643 
8389.000000,0.176915 
3794.000000,0.147721 
3685.000000,0.139282 
3583.000000,0.118483 
3681.000000,0.118023 
4747.000000,0.212907 
4837.000000,0.177502 
4798.000000,0.156077 
6039.000000,0.311188 
5996.000000,0.298258 
5999.000000,0.289809 
5771.000000,0.308358 
6943.000000,0.306130 
6836.000000,0.337514 
364.000000,0.274461 
214.000000,0.286477 
4442.000000,0.306994 
6041.000000,0.331260 
5362.000000,0.692320 
4930.000000,0.664406 
4744.000000,0.143592 
3169.000000,0.083969 
3019.000000,0.159211 
4793.000000,0.167425 
5165.000000,0.099094 
5060.000000,0.137536 
5205.000000,0.099800 
5055.000000,0.180418 
8248.000000,0.122742 
8241.000000,0.097664 
8254.000000,0.175089 
7448.000000,0.231032 
8206.000000,0.090381 
8211.000000,0.119540 
3347.000000,0.180118 
3286.000000,0.228777 
3368.000000,0.181579 
7470.000000,0.216496 
3390.000000,0.158883 
9775.000000,0.128971 
9764.000000,0.134077 
9075.000000,0.268256 
9076.000000,0.236697 
9108.000000,0.246964 
2231.000000,0.234483 
3221.000000,0.110272 
3197.000000,0.105102 
3210.000000,0.078238 
9427.000000,0.152214 
4594.000000,0.256764 
4593.000000,0.251167 
9438.000000,0.180083 
2555.000000,0.208436 
3636.000000,0.167014 
2669.000000,0.209564 
1484.000000,0.252864 
3665.000000,0.111963 
3835.000000,0.137888 
1421.000000,0.284295 
1141.000000,0.227223 
1393.000000,0.248253 
3846.000000,0.082733 
3718.000000,0.117202 
2472.000000,0.143363 
2442.000000,0.130072 
2437.000000,0.265624 
3229.000000,0.129803 
226.000000,0.271556 
4478.000000,0.133851 
209.000000,0.297158 
6928.000000,0.297133 
6817.000000,0.285533 
4431.000000,0.008382 
4392.000000,0.314144 
4392.000000,0.076044 
148.000000,0.308983 
4376.000000,0.147126 
851.000000,0.267528 
633.000000,0.268821 
136.000000,0.301575 
4492.000000,0.028081 
4419.000000,0.119708 
4411.000000,0.029988 
4449.000000,0.082532 
8806.000000,0.176953 
8803.000000,0.199466 
178.000000,0.277263 
5139.000000,0.055866 
4474.000000,0.099735 
4502.000000,0.070240 
5108.000000,0.109785 
4503.000000,0.086520 
5987.000000,0.289705 
8223.000000,0.149192 
4476.000000,0.119785 
4951.000000,0.146630 
9420.000000,0.123213 
9642.000000,0.190467 
9382.000000,0.286064 
3888.000000,0.170802 
3920.000000,0.139214 
3922.000000,0.129956 
3917.000000,0.169176 
5495.000000,0.519085 
2536.000000,0.450777 
4215.000000,0.166757 
2496.000000,0.323058 
4206.000000,0.148313 
4207.000000,0.117840 
3979.000000,0.135179 
8447.000000,0.161696 
7818.000000,0.273030 
6377.000000,0.344719 
6334.000000,0.301101 
6078.000000,0.324829 
6103.000000,0.294627 
8072.000000,0.301696 
6394.000000,0.318588 
8461.000000,0.075852 
8466.000000,0.319769 
6345.000000,0.343464 
6298.000000,0.309845 
6314.000000,0.307350 
6458.000000,0.301450 
6651.000000,0.286411 
8484.000000,0.217951 
4555.000000,0.241039 
4531.000000,0.251431 
4562.000000,0.234974 
4515.000000,0.237976 
4362.000000,0.122735 
4299.000000,0.080569 
8478.000000,0.134682 
8423.000000,0.113472 
8448.000000,0.107333 
6701.000000,0.301550 
6554.000000,0.311251 
7150.000000,0.307238 
8689.000000,0.212230 
2999.000000,0.826076 
3247.000000,0.190094 
2999.000000,0.417237 
3937.000000,0.202403 
2507.000000,0.238268 
2467.000000,0.098480 
2466.000000,0.170212 
8351.000000,0.200568 
8354.000000,0.255150 
7820.000000,0.295193 
6233.000000,0.326333 
6094.000000,0.287198 
6065.000000,0.296904 
8349.000000,0.203530 
7750.000000,0.242770 
7710.000000,0.256130 
8548.000000,1.424381 
8558.000000,0.963138 
16.000000,0.975152 
18.000000,1.456963 
23.000000,0.747876 
56.000000,1.610571 
4230.000000,0.070564 
4245.000000,0.106346 
943.000000,0.283544 
1005.000000,0.263745 
4353.000000,0.121111 
993.000000,0.288955 
926.000000,0.282832 
1002.000000,0.277569 
919.000000,0.310419 
8239.000000,0.045817 
4442.000000,0.036638 
8309.000000,0.234871 
8277.000000,0.213673 
4781.000000,0.288134 
3008.000000,0.179136 
101.000000,0.110536 
9496.000000,0.125873 
9868.000000,0.204563 
9723.000000,0.188037 
9742.000000,0.193075 
9761.000000,0.143991 
9769.000000,0.143869 
9140.000000,0.396212 
4162.000000,0.086316 
9127.000000,0.500583 
9136.000000,0.182016 
8466.000000,0.097089 
2523.000000,0.225838 
428.000000,0.288939 
260.000000,0.329925 
591.000000,0.279362 
355.000000,0.308159 
232.000000,0.266869 
539.000000,0.276480 
544.000000,0.300298 
4251.000000,0.147320 
4277.000000,0.121680 
985.000000,0.270410 
4257.000000,0.128408 
4259.000000,0.330616 
4214.000000,0.114644 
2937.000000,0.198885 
2534.000000,0.255591 
2538.000000,0.114475 
4289.000000,0.365423 
8853.000000,0.236540 
8834.000000,0.253483 
9011.000000,0.085048 
9030.000000,0.483578 
4662.000000,0.082772 
4605.000000,0.105818 
4119.000000,0.116772 
4077.000000,0.098465 
4137.000000,0.117145 
8830.000000,0.255113 
9395.000000,0.284876 
9388.000000,0.296459 
9443.000000,0.191570 
9261.000000,0.445639 
9263.000000,0.156656 
511.000000,0.263620 
471.000000,0.285340 
345.000000,0.270587 
484.000000,0.277852 
520.000000,0.276632 
478.000000,0.274501 
673.000000,0.295979 
518.000000,0.337123 
4160.000000,0.073752 
396.000000,0.311615 
837.000000,0.290917 
691.000000,0.263797 
887.000000,0.262595 
6851.000000,0.316319 
560.000000,0.297836 
554.000000,0.274922 
655.000000,0.273254 
529.000000,0.273546 
482.000000,0.289558 
295.000000,0.277936 
6772.000000,0.303348 
690.000000,0.271489 
725.000000,0.262040 
736.000000,0.277178 
6980.000000,0.291374 
6848.000000,0.301002 
6011.000000,0.294991 
5939.000000,0.317104 
6009.000000,0.290505 
437.000000,0.296989 
577.000000,0.296486 
470.000000,0.277445 
7429.000000,0.229606 
25.000000,0.363935 
17.000000,0.110595 
40.000000,0.399770 
83.000000,0.243200 
8488.000000,0.676970 
82.000000,0.697112 
8.000000,0.498098 
8562.000000,0.962275 
8550.000000,1.427662 
8.000000,0.978512 
29.000000,1.457668 
8516.000000,1.568731 
8528.000000,1.148387 
8492.000000,1.169316 
8326.000000,0.186407 
6112.000000,0.287060 
8374.000000,0.161781 
8554.000000,0.045687 
6064.000000,0.311154 
6168.000000,0.314697 
776.000000,0.273050 
702.000000,0.262749 
609.000000,0.279484 
7014.000000,0.329368 
843.000000,0.302111 
722.000000,0.268520 
777.000000,0.291539 
871.000000,0.284718 
734.000000,0.326466 
821.000000,0.281736 
782.000000,0.260396 
658.000000,0.267055 
788.000000,0.275586 
6990.000000,0.314850 
7023.000000,0.301344 
6779.000000,0.309767 
6973.000000,0.285655 
6858.000000,0.305742 
5132.000000,0.133745 
5034.000000,0.089018 
8201.000000,0.119243 
8268.000000,0.083448 
8804.000000,0.461364 
5012.000000,0.096160 
4903.000000,0.125358 
9441.000000,0.175260 
4724.000000,0.338492 
9436.000000,0.221628 
9457.000000,0.209644 
9256.000000,0.080996 
9289.000000,0.210093 
9322.000000,0.062545 
9699.000000,0.126688 
422.000000,0.284816 
9338.000000,0.174377 
9475.000000,0.227371 
9357.000000,0.135850 
528.000000,0.266388 
385.000000,0.299010 
259.000000,0.280205 
749.000000,0.276486 
9279.000000,0.231943 
9887.000000,0.094329 
9517.000000,0.162948 
9511.000000,0.198132 
9627.000000,0.170556 
9571.000000,0.133152 
9503.000000,0.162142 
9900.000000,0.207497 
9038.000000,0.144176 
9040.000000,0.284867 
4165.000000,0.201652 
82.000000,1.176780 
3830.000000,0.194096 
3441.000000,0.174419 
3788.000000,0.120911 
3641.000000,0.204075 
4795.000000,0.204123 
343.000000,0.294468 
373.000000,0.304441 
4108.000000,0.105750 
454.000000,0.283724 
5357.000000,1.075000 
5381.000000,0.245416 
4869.000000,0.102697 
5388.000000,0.184848 
4839.000000,0.144980 
5375.000000,0.192217 
5011.000000,0.102997 
4955.000000,0.083659 
5289.000000,0.808386 
3696.000000,0.123675 
3437.000000,0.250937 
3512.000000,0.228767 
3633.000000,0.173258 
5062.000000,0.161625 
4972.000000,0.161502 
5100.000000,0.182889 
8208.000000,0.045295 
8397.000000,0.203839 
3658.000000,0.166527 
7511.000000,0.277126 
7439.000000,0.222428 
7520.000000,0.236517 
7501.000000,0.273078 
8234.000000,0.037603 
7549.000000,0.214158 
7567.000000,0.270204 
7561.000000,0.222011 
7715.000000,0.222602 
8084.000000,0.243579 
3784.000000,0.206094 
3578.000000,0.247839 
9841.000000,0.204135 
9870.000000,0.109828 
5173.000000,0.203901 
1799.000000,0.257551 
3595.000000,0.144198 
1122.000000,0.265006 
5479.000000,0.155671 
2461.000000,0.219510 
2455.000000,0.201640 
3261.000000,0.163955 
2141.000000,0.236795 
4451.000000,0.055012 
4426.000000,0.062027 
4431.000000,0.304917 
4390.000000,0.100586 
160.000000,0.289659 
146.000000,0.272974 
4390.000000,0.320970 
4410.000000,0.050222 
184.000000,0.313810 
191.000000,0.278311 
4428.000000,0.083907 
205.000000,0.286567 
6944.000000,0.293461 
6958.000000,0.305719 
6751.000000,0.289048 
6976.000000,0.286114 
5221.000000,0.173304 
4924.000000,0.103219 
4904.000000,0.098245 
4500.000000,0.017295 
4504.000000,0.062414 
5144.000000,0.087071 
3137.000000,0.125902 
3189.000000,0.140836 
4608.000000,0.126260 
4556.000000,0.237173 
4522.000000,0.260249 
4713.000000,0.030849 
9422.000000,0.141549 
9420.000000,0.475395 
9422.000000,0.479070 
9415.000000,0.108309 
9415.000000,0.392337 
9441.000000,0.176266 
9430.000000,0.209087 
4597.000000,0.148024 
3893.000000,0.166682 
3852.000000,0.357608 
731.000000,0.266403 
2559.000000,0.073386 
1253.000000,0.243743 
1229.000000,0.213885 
2604.000000,0.074327 
2628.000000,0.167953 
2629.000000,0.158091 
3228.000000,0.120433 
4186.000000,0.124554 
3960.000000,0.085895 
3987.000000,0.088463 
4616.000000,0.091250 
4530.000000,0.241070 
4681.000000,0.114717 
4690.000000,0.281181 
3174.000000,0.160286 
534.000000,0.299531 
3257.000000,0.152830 
4693.000000,0.056095 
3932.000000,0.106852 
1431.000000,0.264551 
2572.000000,0.181166 
6228.000000,0.371055 
8491.000000,0.135524 
8464.000000,0.114580 
4301.000000,0.104233 
8538.000000,0.163086 
8540.000000,0.608465 
8528.000000,0.642247 
6276.000000,0.302120 
6207.000000,0.300748 
6053.000000,0.300957 
7739.000000,0.227853 
10.000000,0.085437 
15.000000,0.225825 
8543.000000,0.750534 
8559.000000,0.470180 
8561.000000,0.365413 
8543.000000,0.055407 
8533.000000,0.387103 
8520.000000,1.146632 
8511.000000,0.492326 
8494.000000,0.917324 
8520.000000,0.639104 
63.000000,1.152869 
73.000000,0.903941 
56.000000,0.476197 
47.000000,0.650979 
6872.000000,0.289520 
7285.000000,0.299019 
7049.000000,0.296628 
7181.000000,0.310569 
7212.000000,0.293583 
7290.000000,0.298380 
4283.000000,0.104165 
960.000000,0.263338 
1010.000000,0.296004 
7176.000000,0.330111 
7238.000000,0.306440 
7206.000000,0.285648 
924.000000,0.341537 
899.000000,0.281781 
7082.000000,0.310974 
7283.000000,0.297460 
903.000000,0.284108 
997.000000,0.302229 
6825.000000,0.292216 
6896.000000,0.305547 
7020.000000,0.301789 
6978.000000,0.296984 
765.000000,0.266491 
6778.000000,0.289348 
6945.000000,0.285861 
889.000000,0.261954 
311.000000,0.269088 
585.000000,0.282086 
755.000000,0.273539 
8501.000000,0.516533 
8487.000000,0.122568 
8234.000000,0.309624 
5998.000000,0.304915 
6014.000000,0.309668 
6005.000000,0.302256 
4445.000000,0.089306 
7390.000000,0.216609 
8288.000000,0.170317 
8364.000000,0.195028 
8294.000000,0.184365 
8322.000000,0.178900 
7338.000000,0.256552 
8259.000000,0.142848 
7566.000000,0.279067 
8235.000000,0.126152 
4763.000000,0.296812 
4749.000000,0.198871 
9080.000000,0.257245 
9140.000000,0.127578 
3881.000000,0.076523 
100.000000,0.921048 
9142.000000,0.041785 
4078.000000,0.119504 
3647.000000,0.216607 
8474.000000,0.122318 
912.000000,0.277394 
7213.000000,0.300583 
2518.000000,0.177711 
940.000000,0.289985 
326.000000,0.280623 
370.000000,0.281305 
561.000000,0.260288 
547.000000,0.282990 
506.000000,0.263503 
492.000000,0.275557 
463.000000,0.267554 
972.000000,0.279544 
493.000000,0.265926 
959.000000,0.276182 
988.000000,0.261237 
4325.000000,0.103971 
4345.000000,0.029746 
2982.000000,0.082939 
2285.000000,0.248536 
8858.000000,0.261803 
4065.000000,0.085298 
9106.000000,0.248073 
8910.000000,0.496785 
8911.000000,0.105548 
8910.000000,0.120572 
9663.000000,0.383638 
9652.000000,0.167316 
9030.000000,0.039875 
9016.000000,0.123888 
9387.000000,0.256114 
9031.000000,0.503174 
9481.000000,0.793370 
9033.000000,0.100318 
3191.000000,0.098122 
3100.000000,0.157105 
9479.000000,0.748715 
9674.000000,0.360050 
556.000000,0.279855 
581.000000,0.284693 
674.000000,0.310639 
675.000000,0.322139 
682.000000,0.299349 
752.000000,0.285842 
4202.000000,0.052964 
883.000000,0.322398 
757.000000,0.266024 
452.000000,0.272792 
6999.000000,0.303036 
6929.000000,0.286471 
6960.000000,0.301405 
6774.000000,0.293941 
6927.000000,0.307200 
7083.000000,0.300840 
6557.000000,0.298314 
6735.000000,0.289120 
6700.000000,0.291815 
6650.000000,0.310980 
6631.000000,0.299443 
6702.000000,0.288673 
6038.000000,0.296828 
6017.000000,0.315201 
5957.000000,0.291287 
5967.000000,0.323165 
6193.000000,0.292565 
5991.000000,0.312722 
5795.000000,0.315577 
5921.000000,0.328514 
5928.000000,0.306759 
8235.000000,0.318481 
8266.000000,0.105199 
7487.000000,0.218080 
