point, dist
9480.000000,0.117300 
9555.000000,0.183026 
9482.000000,0.168861 
9632.000000,0.193619 
9723.000000,0.186280 
9643.000000,0.117282 
4101.000000,0.156446 
4250.000000,0.134670 
4191.000000,0.158981 
4162.000000,0.151499 
6492.000000,0.197204 
6448.000000,0.145059 
6456.000000,0.104543 
7769.000000,0.151028 
7533.000000,0.177648 
7584.000000,0.103139 
7582.000000,0.149185 
9557.000000,0.169156 
9618.000000,0.177277 
6954.000000,0.136416 
9531.000000,0.102684 
7876.000000,0.077630 
7923.000000,0.085580 
7709.000000,0.206779 
7893.000000,0.113606 
7887.000000,0.085227 
7338.000000,0.119870 
7355.000000,0.164245 
7288.000000,0.076911 
9243.000000,0.185220 
9229.000000,0.163503 
9227.000000,0.156784 
9509.000000,0.166307 
9491.000000,0.138076 
9528.000000,0.093063 
9519.000000,0.087051 
4174.000000,0.239608 
4079.000000,0.170319 
4122.000000,0.175584 
4249.000000,0.163097 
1056.000000,0.160067 
7293.000000,0.113411 
7312.000000,0.087884 
7415.000000,0.136849 
7432.000000,0.127044 
7403.000000,0.144162 
7450.000000,0.080714 
6394.000000,0.152706 
6443.000000,0.205868 
6421.000000,0.141949 
6469.000000,0.102407 
9566.000000,0.161931 
6452.000000,0.106460 
6490.000000,0.145895 
6475.000000,0.091179 
6419.000000,0.127051 
4159.000000,0.178969 
4094.000000,0.175773 
4270.000000,0.155230 
4269.000000,0.168797 
4151.000000,0.133073 
8680.000000,0.813268 
8680.000000,0.817851 
8680.000000,0.514267 
8676.000000,0.705096 
8677.000000,0.714356 
8680.000000,0.446292 
7644.000000,0.061358 
9827.000000,0.169809 
9814.000000,0.176387 
9814.000000,0.234523 
9609.000000,0.180717 
9521.000000,0.107761 
4482.000000,0.160101 
4583.000000,0.298005 
2462.000000,0.280981 
7559.000000,0.088926 
7792.000000,0.094835 
7383.000000,0.120092 
7352.000000,0.123809 
1681.000000,0.267385 
1828.000000,0.247515 
1762.000000,0.247258 
7114.000000,0.135664 
1694.000000,0.266960 
1812.000000,0.263425 
1717.000000,0.274799 
1931.000000,0.251971 
1664.000000,0.246339 
1934.000000,0.293799 
1818.000000,0.264642 
1797.000000,0.252552 
9532.000000,0.099290 
9543.000000,0.152602 
9533.000000,0.088169 
9548.000000,0.081700 
9625.000000,0.148100 
9608.000000,0.182769 
9598.000000,0.147669 
9603.000000,0.156904 
9503.000000,0.138420 
9576.000000,0.142345 
9178.000000,0.128096 
9182.000000,0.169094 
9191.000000,0.167585 
9159.000000,0.104329 
1466.000000,0.250710 
4085.000000,0.207870 
1308.000000,0.248534 
3950.000000,0.153599 
4001.000000,0.162355 
1077.000000,0.173150 
3866.000000,0.174376 
4017.000000,0.178558 
4276.000000,0.476716 
7334.000000,0.145430 
7337.000000,0.146736 
7465.000000,0.162571 
7466.000000,0.176318 
7443.000000,0.087461 
6483.000000,0.137726 
4680.000000,0.466892 
6563.000000,0.094838 
9587.000000,0.182333 
9272.000000,0.136933 
9274.000000,0.167626 
9169.000000,0.192970 
9669.000000,0.141392 
9678.000000,0.089619 
9678.000000,0.166703 
9669.000000,0.082978 
9714.000000,0.625151 
9714.000000,0.620649 
9677.000000,0.106509 
9720.000000,0.210926 
9776.000000,0.099474 
9847.000000,0.187169 
