point, dist
9702.000000,0.190511 
9707.000000,0.131127 
9618.000000,0.136122 
9627.000000,0.188860 
8407.000000,0.092387 
8338.000000,0.065373 
8373.000000,0.103569 
8429.000000,0.088422 
8431.000000,0.208945 
7684.000000,0.334591 
8410.000000,0.134475 
8392.000000,0.111263 
2283.000000,0.239198 
2387.000000,0.064095 
2339.000000,0.152034 
2383.000000,0.127351 
989.000000,0.255861 
2618.000000,0.196138 
2467.000000,0.118206 
2608.000000,0.223574 
4920.000000,0.086637 
5077.000000,0.074709 
8736.000000,0.151828 
8731.000000,0.197347 
8412.000000,0.093330 
9708.000000,1.011546 
9559.000000,1.467862 
9559.000000,0.931347 
9559.000000,1.410341 
9709.000000,0.196029 
9708.000000,0.150562 
9708.000000,0.588946 
832.000000,0.309965 
845.000000,0.315016 
840.000000,0.316319 
830.000000,0.318395 
9902.000000,0.944436 
9902.000000,1.002702 
9902.000000,1.448554 
9902.000000,0.593172 
9903.000000,0.255598 
8379.000000,0.084372 
8420.000000,0.161118 
8427.000000,0.119138 
8408.000000,0.086977 
8412.000000,0.314692 
8391.000000,0.062235 
8393.000000,0.148679 
8397.000000,0.138278 
8508.000000,0.301936 
8508.000000,0.060167 
8115.000000,0.328520 
8217.000000,0.302432 
9559.000000,0.465496 
2315.000000,0.234385 
3050.000000,0.242405 
2303.000000,0.189064 
2218.000000,0.226892 
2035.000000,0.241561 
1116.000000,0.207003 
1000.000000,0.210536 
966.000000,0.249905 
1271.000000,0.203625 
808.000000,0.347981 
7221.000000,0.317876 
7138.000000,0.345098 
814.000000,0.348046 
4190.000000,0.153951 
4222.000000,0.112017 
846.000000,0.286360 
4183.000000,0.108020 
4170.000000,0.084512 
4128.000000,0.112904 
8098.000000,0.272396 
8511.000000,0.043310 
8492.000000,0.184941 
5531.000000,0.139162 
2514.000000,0.126616 
2461.000000,0.115439 
2254.000000,0.260182 
3068.000000,0.246238 
2391.000000,0.325569 
2397.000000,0.191637 
2344.000000,0.176531 
2363.000000,0.157536 
9902.000000,0.458046 
8398.000000,0.110920 
8395.000000,0.136785 
7739.000000,0.255453 
6230.000000,0.305259 
8336.000000,0.094133 
7257.000000,0.332081 
7149.000000,0.330915 
442.000000,0.296402 
500.000000,0.310758 
224.000000,0.287340 
611.000000,0.286482 
689.000000,0.298175 
648.000000,0.304779 
723.000000,0.294178 
671.000000,0.291203 
9635.000000,0.202959 
8439.000000,0.247628 
8517.000000,0.347650 
1074.000000,0.213537 
1307.000000,0.214411 
1327.000000,0.202152 
4935.000000,0.133594 
2451.000000,0.124106 
1117.000000,0.181486 
1319.000000,0.209802 
1215.000000,0.196601 
1046.000000,0.189078 
9688.000000,1.395444 
9688.000000,1.765138 
9671.000000,1.761426 
9671.000000,1.398938 
9515.000000,1.280922 
9692.000000,0.859283 
8496.000000,0.350045 
816.000000,0.361026 
4150.000000,0.120605 
4190.000000,0.339317 
6785.000000,0.375003 
4195.000000,0.138572 
4201.000000,0.104260 
4105.000000,0.025811 
2866.000000,0.127648 
2830.000000,0.095515 
2820.000000,0.130089 
2804.000000,0.140442 
2751.000000,0.106494 
2393.000000,0.160738 
2417.000000,0.107041 
2427.000000,0.153171 
2782.000000,0.031605 
210.000000,0.293642 
272.000000,0.289416 
471.000000,0.304825 
3875.000000,0.205472 
8503.000000,0.085035 
2535.000000,0.091891 
3489.000000,0.142729 
3642.000000,0.154420 
3702.000000,0.113096 
3790.000000,0.289236 
2828.000000,0.094304 
2886.000000,0.682936 
1345.000000,0.263672 
1077.000000,0.298277 
2641.000000,0.104546 
2648.000000,0.154955 
2712.000000,0.159224 
2336.000000,0.187539 
2386.000000,0.186865 
2343.000000,0.139189 
590.000000,0.328743 
761.000000,0.297825 
755.000000,0.292685 
4240.000000,0.106957 
4275.000000,0.189856 
92.000000,0.317039 
6191.000000,0.316926 
3329.000000,0.166478 
1379.000000,0.263593 
5120.000000,0.170723 
3453.000000,0.141813 
8273.000000,0.135276 
7410.000000,0.239573 
8310.000000,0.141170 
7393.000000,0.237850 
7774.000000,0.231577 
8283.000000,0.074357 
8281.000000,0.150664 
8338.000000,0.307950 
8408.000000,0.313244 
6111.000000,0.310629 
7335.000000,0.328319 
7108.000000,0.322809 
7582.000000,0.272946 
8235.000000,0.181758 
8604.000000,0.167292 
8612.000000,0.462129 
8604.000000,0.656538 
8623.000000,0.119223 
154.000000,0.282151 
9144.000000,0.199707 
9156.000000,0.195958 
9787.000000,1.227927 
9627.000000,0.144541 
9559.000000,1.917886 
3011.000000,0.146324 
2122.000000,0.191322 
2994.000000,0.104186 
2101.000000,0.188243 
9874.000000,0.184705 
9805.000000,0.187274 
9881.000000,0.114681 
9834.000000,1.407639 
208.000000,0.330032 
361.000000,0.322225 
354.000000,0.310344 
220.000000,0.306389 
395.000000,0.283534 
408.000000,0.285645 
3032.000000,0.234298 
2241.000000,0.208750 
3019.000000,0.240261 
2301.000000,0.246709 
2253.000000,0.196419 
2230.000000,0.213147 
2225.000000,0.210274 
508.000000,0.283610 
276.000000,0.292538 
221.000000,0.279413 
9512.000000,0.159472 
4797.000000,0.473818 
4797.000000,0.077072 
1493.000000,0.214413 
1424.000000,0.203631 
1582.000000,0.240926 
1524.000000,0.220501 
1438.000000,0.185862 
919.000000,0.197463 
1685.000000,0.191119 
1244.000000,0.211506 
936.000000,0.187168 
946.000000,0.200871 
1282.000000,0.235565 
1399.000000,0.206576 
1496.000000,0.218832 
1208.000000,0.184314 
1372.000000,0.242075 
9775.000000,0.854948 
9780.000000,1.752893 
9775.000000,1.763395 
9274.000000,1.619673 
9775.000000,1.382577 
2945.000000,0.090973 
3028.000000,0.129740 
2060.000000,0.189665 
8771.000000,0.213157 
1386.000000,0.249006 
1089.000000,0.262893 
1234.000000,0.267259 
1400.000000,0.253693 
9515.000000,1.602023 
4796.000000,1.475289 
4796.000000,1.067525 
9676.000000,1.761747 
1192.000000,0.226807 
5625.000000,0.339231 
1861.000000,0.200647 
1873.000000,0.203931 
1740.000000,0.198463 
4147.000000,0.061501 
4145.000000,0.117365 
4154.000000,0.059966 
4222.000000,0.322463 
4150.000000,0.325545 
858.000000,0.283886 
4121.000000,0.137581 
4183.000000,0.321097 
4170.000000,0.313970 
4188.000000,0.062710 
2394.000000,0.177335 
2426.000000,0.137884 
2798.000000,0.049268 
859.000000,0.287305 
870.000000,0.282965 
4099.000000,0.069115 
2823.000000,0.117102 
2716.000000,0.104304 
2842.000000,0.097260 
4156.000000,0.047761 
4191.000000,0.122400 
4138.000000,0.133534 
4098.000000,0.080031 
4080.000000,0.045324 
892.000000,0.309700 
2799.000000,0.156735 
2832.000000,0.200665 
2810.000000,0.143618 
3872.000000,0.158905 
4272.000000,0.041971 
4271.000000,0.073278 
4053.000000,0.179164 
9902.000000,0.050187 
3914.000000,0.180723 
183.000000,0.296553 
312.000000,0.295745 
499.000000,0.276720 
4057.000000,0.229292 
497.000000,0.310038 
446.000000,0.294325 
278.000000,0.299994 
8518.000000,0.148587 
4086.000000,0.065546 
4120.000000,0.079050 
2508.000000,0.107969 
2729.000000,0.175257 
2604.000000,0.185084 
3463.000000,0.203894 
3581.000000,0.178017 
2865.000000,0.183470 
2880.000000,0.146128 
1141.000000,0.212599 
1318.000000,0.246535 
2553.000000,0.184024 
2373.000000,0.135696 
2385.000000,0.187070 
1473.000000,0.199141 
1615.000000,0.193132 
5046.000000,0.081068 
706.000000,0.284110 
99.000000,0.299290 
75.000000,0.286707 
4258.000000,0.059650 
4336.000000,0.086389 
4332.000000,0.135066 
5129.000000,0.115140 
4102.000000,0.082334 
886.000000,0.292436 
8364.000000,0.328356 
8309.000000,0.179384 
8281.000000,0.321054 
7448.000000,0.260431 
7555.000000,0.262375 
3635.000000,0.093238 
3432.000000,0.086312 
3454.000000,0.064653 
2581.000000,0.286670 
3622.000000,0.167352 
3645.000000,0.096775 
3482.000000,0.102231 
6298.000000,0.372365 
8395.000000,0.311272 
6161.000000,0.373169 
7841.000000,0.320121 
