point, dist
1979.000000,0.091117 
2059.000000,0.139153 
2022.000000,0.088340 
1486.000000,0.043365 
1997.000000,0.089032 
3283.000000,0.215503 
6803.000000,0.222951 
4375.000000,0.233536 
4328.000000,0.253023 
3926.000000,0.050486 
3914.000000,0.037272 
3891.000000,0.054763 
6999.000000,0.220892 
6859.000000,0.216731 
7203.000000,0.218870 
429.000000,0.182289 
7156.000000,0.215259 
255.000000,0.130620 
876.000000,0.146922 
207.000000,0.109516 
462.000000,0.176760 
1820.000000,0.147748 
1924.000000,0.148350 
1961.000000,0.093099 
1816.000000,0.085972 
1957.000000,0.157232 
1956.000000,0.094735 
2264.000000,0.120362 
2187.000000,0.160562 
6532.000000,0.217188 
6503.000000,0.220779 
6569.000000,0.218845 
7341.000000,0.227311 
3349.000000,0.174866 
7304.000000,0.215048 
6212.000000,0.169223 
4600.000000,0.146288 
7560.000000,0.220230 
4434.000000,0.208939 
3822.000000,0.060750 
554.000000,0.180528 
3929.000000,0.046644 
3862.000000,0.048119 
5291.000000,0.232144 
339.000000,0.090008 
3680.000000,0.194813 
3890.000000,0.050716 
3700.000000,0.188650 
4658.000000,0.146021 
4902.000000,0.173255 
5238.000000,0.167418 
4669.000000,0.138959 
5072.000000,0.169147 
4739.000000,0.149667 
4436.000000,0.205973 
4416.000000,0.202798 
4692.000000,0.159513 
5259.000000,0.170476 
4686.000000,0.156987 
4668.000000,0.141132 
4633.000000,0.138326 
3151.000000,0.056132 
8040.000000,0.253167 
3112.000000,0.233453 
3585.000000,0.178318 
3603.000000,0.171187 
1774.000000,0.075137 
1670.000000,0.070594 
1717.000000,0.073999 
1543.000000,0.051432 
1527.000000,0.039297 
1629.000000,0.076642 
1681.000000,0.072412 
1289.000000,0.060044 
1266.000000,0.053269 
2562.000000,0.058753 
2885.000000,0.064614 
2269.000000,0.082231 
2305.000000,0.114583 
2601.000000,0.027476 
2678.000000,0.134189 
2665.000000,0.140092 
3038.000000,0.065499 
2466.000000,0.151830 
2234.000000,0.116286 
1570.000000,0.056553 
1520.000000,0.062420 
6778.000000,0.219891 
7247.000000,0.225144 
6656.000000,0.221015 
1129.000000,0.190089 
1470.000000,0.061127 
1148.000000,0.049823 
840.000000,0.120621 
7452.000000,0.218307 
1487.000000,0.176216 
6617.000000,0.215450 
1429.000000,0.047436 
1824.000000,0.154819 
2094.000000,0.158075 
2018.000000,0.147742 
2390.000000,0.153373 
2486.000000,0.158561 
2432.000000,0.153600 
4527.000000,0.202302 
3073.000000,0.057203 
3535.000000,0.183482 
3295.000000,0.197368 
4368.000000,0.237531 
2175.000000,0.103698 
2596.000000,0.036436 
2685.000000,0.135888 
2587.000000,0.140658 
3036.000000,0.075015 
7347.000000,0.221184 
6446.000000,0.223979 
2455.000000,0.110991 
2403.000000,0.124146 
2854.000000,0.144174 
2873.000000,0.219841 
2799.000000,0.046760 
3028.000000,0.073408 
2929.000000,0.059865 
3545.000000,0.178806 
3610.000000,0.177363 
3336.000000,0.207619 
4248.000000,0.245076 
4485.000000,0.201941 
9821.000000,0.183020 
2870.000000,0.030531 
2547.000000,0.135702 
933.000000,0.153353 
878.000000,0.128257 
986.000000,0.153730 
896.000000,0.119259 
1024.000000,0.120666 
6910.000000,0.216681 
7179.000000,0.216534 
7046.000000,0.226895 
7166.000000,0.219525 
7512.000000,0.221053 
6918.000000,0.219098 
3761.000000,0.184069 
3714.000000,0.180774 
4910.000000,0.201269 
4836.000000,0.166640 
4597.000000,0.141234 
5412.000000,0.164991 
5074.000000,0.167030 
3145.000000,0.101709 
3574.000000,0.176018 
2901.000000,0.062263 
9733.000000,0.184565 
2628.000000,0.139901 
1757.000000,0.079107 
1760.000000,0.080983 
1503.000000,0.048680 
1765.000000,0.081308 
1243.000000,0.062581 
914.000000,0.124839 
2713.000000,0.138848 
536.000000,0.110705 
309.000000,0.087935 
285.000000,0.087562 
266.000000,0.124990 
144.000000,0.100977 
110.000000,0.090219 
179.000000,0.094054 
5864.000000,0.224871 
232.000000,0.138909 
689.000000,0.157135 
654.000000,0.112901 
3885.000000,0.050919 
4013.000000,0.106952 
6782.000000,0.219087 
1921.000000,0.146266 
1781.000000,0.152832 
2427.000000,0.163991 
1207.000000,0.050174 
1640.000000,0.027828 
1417.000000,0.028931 
1657.000000,0.081986 
1594.000000,0.090614 
4282.000000,0.241943 
4545.000000,0.209449 
4576.000000,0.214030 
4530.000000,0.207532 
4300.000000,0.251255 
3452.000000,0.170758 
3368.000000,0.202785 
3390.000000,0.201369 
2327.000000,0.147437 
2898.000000,0.077213 
2884.000000,0.042574 
4363.000000,0.231713 
9804.000000,0.184582 
3703.000000,0.198427 
2827.000000,0.057268 
1245.000000,0.021041 
1359.000000,0.198881 
666.000000,0.142460 
928.000000,0.112262 
3720.000000,0.183792 
4081.000000,0.088234 
7516.000000,0.219516 
7437.000000,0.217185 
7303.000000,0.217292 
6865.000000,0.223122 
6868.000000,0.215107 
6848.000000,0.218362 
3752.000000,0.181632 
7919.000000,0.251665 
8352.000000,0.254302 
4657.000000,0.147497 
4418.000000,0.212713 
5228.000000,0.164391 
5378.000000,0.154065 
6029.000000,0.152895 
4962.000000,0.166160 
4972.000000,0.151873 
7525.000000,0.220198 
5603.000000,0.154355 
5614.000000,0.153406 
2950.000000,0.054710 
3238.000000,0.072556 
7795.000000,0.251630 
2792.000000,0.036983 
2326.000000,0.113548 
858.000000,0.143579 
686.000000,0.145623 
2113.000000,0.095168 
2150.000000,0.096471 
1978.000000,0.090704 
659.000000,0.156858 
788.000000,0.148479 
7455.000000,0.216886 
6550.000000,0.219493 
2576.000000,0.219745 
2535.000000,0.145946 
2650.000000,0.137164 
242.000000,0.160401 
357.000000,0.115120 
267.000000,0.163000 
548.000000,0.130919 
149.000000,0.098546 
400.000000,0.197914 
588.000000,0.191513 
433.000000,0.193342 
403.000000,0.180162 
333.000000,0.101135 
5668.000000,0.227130 
8604.000000,0.253031 
3825.000000,0.051719 
3920.000000,0.032627 
7357.000000,0.216382 
7367.000000,0.216933 
6763.000000,0.223652 
2241.000000,0.160179 
1007.000000,0.127406 
1324.000000,0.067437 
7302.000000,0.223663 
7253.000000,0.217834 
4318.000000,0.261399 
3529.000000,0.204482 
4251.000000,0.267843 
3642.000000,0.227546 
5209.000000,0.165230 
3567.000000,0.184842 
3544.000000,0.204329 
3434.000000,0.202125 
9714.000000,0.184715 
1666.000000,0.178398 
8105.000000,0.258967 
9807.000000,0.184592 
3922.000000,0.040678 
9963.000000,0.065623 
4058.000000,0.099542 
2303.000000,0.108126 
1352.000000,0.054091 
9538.000000,0.057207 
8899.000000,0.075601 
8960.000000,0.072075 
8932.000000,0.064089 
9775.000000,0.186075 
9943.000000,0.072580 
9118.000000,0.135147 
4837.000000,0.163108 
5896.000000,0.166580 
5921.000000,0.184186 
5586.000000,0.152755 
5874.000000,0.184723 
6170.000000,0.158594 
5768.000000,0.187657 
5672.000000,0.156286 
5585.000000,0.172618 
6152.000000,0.151895 
131.000000,0.102367 
6267.000000,0.154662 
6315.000000,0.189184 
5313.000000,0.161409 
5035.000000,0.189050 
3875.000000,0.054214 
7962.000000,0.256837 
9518.000000,0.034824 
8918.000000,0.050726 
9069.000000,0.139211 
7326.000000,0.221090 
4900.000000,0.157999 
3586.000000,0.170118 
8587.000000,0.251559 
8787.000000,0.137455 
2409.000000,0.160875 
2006.000000,0.099531 
1834.000000,0.153449 
6530.000000,0.225619 
617.000000,0.196145 
591.000000,0.187888 
793.000000,0.147995 
3940.000000,0.064596 
574.000000,0.178791 
6364.000000,0.227398 
5591.000000,0.187075 
1080.000000,0.038996 
8210.000000,0.255090 
3493.000000,0.199447 
5147.000000,0.155174 
5245.000000,0.162568 
8647.000000,0.251026 
9931.000000,0.071565 
9113.000000,0.142285 
4061.000000,0.081859 
2476.000000,0.155914 
6854.000000,0.216313 
916.000000,0.118351 
1242.000000,0.063989 
8730.000000,0.128479 
9454.000000,0.029652 
5459.000000,0.166194 
4831.000000,0.163904 
5355.000000,0.161279 
8391.000000,0.252394 
5640.000000,0.165943 
6127.000000,0.163027 
5865.000000,0.231898 
4767.000000,0.154710 
5182.000000,0.154451 
6133.000000,0.167729 
6197.000000,0.208068 
6022.000000,0.185274 
6247.000000,0.230255 
5919.000000,0.226735 
9512.000000,0.043690 
7614.000000,0.254659 
3985.000000,0.086898 
7882.000000,0.256517 
8327.000000,0.252613 
8829.000000,0.132526 
4881.000000,0.158214 
5385.000000,0.151777 
7776.000000,0.252486 
5536.000000,0.154136 
5382.000000,0.154268 
5301.000000,0.163189 
4863.000000,0.158562 
4455.000000,0.205300 
6272.000000,0.156983 
2315.000000,0.104360 
7242.000000,0.226024 
515.000000,0.132232 
999.000000,0.116785 
3937.000000,0.029213 
5678.000000,0.200273 
6377.000000,0.163152 
4068.000000,0.100507 
7311.000000,0.216536 
9471.000000,0.033614 
8967.000000,0.048447 
8789.000000,0.132683 
9017.000000,0.134664 
9723.000000,0.189623 
9442.000000,0.051800 
8972.000000,0.061986 
5358.000000,0.153871 
8747.000000,0.137148 
8978.000000,0.055409 
5612.000000,0.222150 
5231.000000,0.165578 
6968.000000,0.243806 
4008.000000,0.094365 
9073.000000,0.134547 
9564.000000,0.066950 
9877.000000,0.074445 
4872.000000,0.158746 
5071.000000,0.153610 
6124.000000,0.160927 
8815.000000,0.129810 
486.000000,0.153988 
6376.000000,0.156152 
9498.000000,0.018169 
9019.000000,0.142225 
9954.000000,0.080295 
9960.000000,0.072699 
8750.000000,0.126695 
5621.000000,0.230736 
6041.000000,0.158417 
5584.000000,0.153568 
9885.000000,0.074332 
5431.000000,0.156670 
5821.000000,0.159668 
6107.000000,0.171078 
9018.000000,0.135535 
9444.000000,0.035695 
5130.000000,0.152523 
5747.000000,0.152733 
6155.000000,0.159489 
4859.000000,0.152267 
5689.000000,0.152915 
9496.000000,0.092641 
0.147914 
0.154202 
