point, dist
8933.000000,0.228653 
8931.000000,0.220572 
8805.000000,0.207112 
8799.000000,0.170059 
4557.000000,0.260167 
4557.000000,0.258132 
4483.000000,0.200873 
4483.000000,0.263192 
9746.000000,0.232964 
9791.000000,0.058433 
9597.000000,0.259494 
9746.000000,0.218553 
8776.000000,0.183802 
9005.000000,0.120271 
8751.000000,0.129782 
9042.000000,0.271749 
8752.000000,0.189874 
8918.000000,0.182420 
4527.000000,0.277306 
4540.000000,0.179504 
4572.000000,0.074045 
4572.000000,0.196397 
8339.000000,0.169032 
8315.000000,0.206483 
1493.000000,0.170220 
4670.000000,0.276242 
870.000000,0.284251 
9300.000000,0.193777 
9364.000000,0.284024 
9459.000000,0.225135 
1166.000000,0.335731 
1002.000000,0.282775 
995.000000,0.199136 
4455.000000,0.200018 
3764.000000,0.309246 
4420.000000,0.191081 
4314.000000,0.159416 
4374.000000,0.112193 
7004.000000,0.241748 
867.000000,0.259514 
883.000000,0.216347 
6851.000000,0.264369 
7075.000000,0.311925 
7059.000000,0.232140 
7170.000000,0.290661 
7164.000000,0.222837 
7168.000000,0.243908 
5122.000000,1.178888 
4388.000000,0.892766 
3795.000000,1.132114 
3806.000000,1.675918 
1518.000000,0.289135 
888.000000,0.274682 
6927.000000,0.251415 
859.000000,0.336491 
925.000000,0.232731 
954.000000,0.295047 
1092.000000,0.282511 
1237.000000,0.246869 
1146.000000,0.245184 
7808.000000,0.231608 
7776.000000,0.277889 
7834.000000,0.305981 
7326.000000,0.267669 
7322.000000,0.295987 
7301.000000,0.224132 
1154.000000,0.231839 
1174.000000,0.250613 
1219.000000,0.204207 
491.000000,0.201102 
540.000000,0.227390 
524.000000,0.232525 
725.000000,0.248453 
7791.000000,0.319552 
7763.000000,0.310557 
7800.000000,0.297360 
7740.000000,0.280147 
4592.000000,0.192598 
4592.000000,0.305912 
1339.000000,0.245791 
4499.000000,0.258502 
785.000000,0.237150 
812.000000,0.209559 
8493.000000,0.245681 
496.000000,0.283668 
641.000000,0.270672 
1241.000000,0.194544 
1189.000000,0.228257 
1175.000000,0.264062 
938.000000,0.245072 
425.000000,0.233160 
4311.000000,0.179175 
4445.000000,0.103306 
3764.000000,0.294851 
5405.000000,0.261174 
5381.000000,0.215132 
8390.000000,0.254361 
5368.000000,0.149330 
3761.000000,0.319503 
3775.000000,0.306797 
7893.000000,0.371881 
7091.000000,0.312616 
7282.000000,0.364339 
7237.000000,0.371710 
3778.000000,0.319729 
852.000000,0.212685 
5730.000000,0.253373 
5676.000000,0.192686 
885.000000,0.247591 
830.000000,0.291652 
8511.000000,0.226243 
5475.000000,0.759289 
5488.000000,0.746565 
6876.000000,0.251981 
6946.000000,0.255874 
6970.000000,0.224481 
893.000000,0.234705 
6980.000000,0.233515 
6793.000000,0.249515 
6797.000000,0.227629 
7941.000000,0.242420 
6972.000000,0.242829 
8513.000000,0.220918 
5752.000000,0.228189 
5781.000000,0.223650 
6823.000000,0.230120 
6865.000000,0.268524 
6936.000000,0.244068 
4463.000000,0.105535 
4541.000000,0.268479 
6800.000000,0.271567 
1253.000000,0.351188 
7147.000000,0.337130 
6722.000000,0.262177 
3774.000000,0.288970 
7090.000000,0.247270 
7106.000000,0.214223 
7110.000000,0.235494 
7214.000000,0.350779 
5247.000000,1.701699 
4388.000000,0.436785 
4321.000000,0.149124 
4388.000000,0.056516 
1271.000000,0.290612 
7180.000000,0.270065 
1251.000000,0.295064 
7195.000000,0.287648 
7280.000000,0.320171 
7115.000000,0.260359 
7224.000000,0.279253 
4685.000000,0.510098 
5495.000000,0.251231 
5815.000000,0.226036 
8492.000000,0.303016 
5853.000000,0.236148 
2898.000000,0.342744 
8353.000000,0.165646 
3733.000000,0.132696 
2916.000000,0.269019 
907.000000,0.214127 
797.000000,0.267806 
897.000000,0.192481 
901.000000,0.262767 
5785.000000,0.240538 
895.000000,0.205046 
873.000000,0.254701 
902.000000,0.190065 
6941.000000,0.277620 
5484.000000,0.246331 
5559.000000,0.281761 
5074.000000,0.207878 
4792.000000,0.184180 
4793.000000,0.205580 
4685.000000,0.208540 
4666.000000,0.502909 
5657.000000,0.395258 
4733.000000,0.254877 
334.000000,0.191112 
328.000000,0.161963 
8520.000000,0.233682 
8519.000000,0.229943 
3781.000000,0.280554 
9651.000000,0.241962 
9678.000000,0.171221 
9856.000000,0.210856 
5582.000000,0.285903 
835.000000,0.193912 
849.000000,0.253109 
774.000000,0.224220 
829.000000,0.202776 
5557.000000,0.298459 
5547.000000,0.224419 
5485.000000,0.252362 
9601.000000,0.189282 
9867.000000,0.159309 
9640.000000,0.250932 
9836.000000,1.115012 
1262.000000,0.380298 
899.000000,0.384474 
5641.000000,1.181645 
6807.000000,1.376746 
