point, dist
4401.000000,0.271113 
4465.000000,0.067863 
4499.000000,0.196702 
4423.000000,0.342762 
5524.000000,0.139003 
5450.000000,0.141188 
5485.000000,0.378820 
5487.000000,0.948735 
3779.000000,0.334644 
3733.000000,0.091795 
4388.000000,0.192023 
4371.000000,0.113374 
6033.000000,0.214158 
9038.000000,0.104384 
9098.000000,0.078286 
5982.000000,0.242578 
5450.000000,0.348615 
4401.000000,0.609158 
4493.000000,0.267104 
5485.000000,0.204710 
141.000000,0.563749 
8240.000000,0.431123 
141.000000,1.004224 
407.000000,0.299511 
1368.000000,0.358382 
503.000000,0.403035 
4465.000000,0.344338 
5481.000000,0.470847 
5507.000000,1.443816 
8738.000000,0.255932 
9888.000000,0.231454 
9893.000000,0.537813 
9887.000000,0.220696 
9751.000000,0.228432 
9771.000000,0.223038 
8751.000000,0.238703 
8803.000000,0.276468 
9033.000000,0.455403 
9036.000000,0.444221 
9034.000000,0.509287 
9055.000000,0.947134 
9047.000000,0.921302 
9813.000000,0.626057 
9789.000000,0.611910 
9813.000000,1.170399 
9789.000000,1.162892 
9813.000000,1.565030 
9789.000000,1.559424 
3764.000000,0.109138 
3777.000000,0.345050 
3755.000000,0.297697 
8241.000000,0.125629 
2757.000000,0.114135 
2256.000000,0.202248 
2263.000000,0.161717 
2224.000000,0.204783 
9816.000000,1.640011 
9793.000000,1.644764 
9771.000000,0.512742 
320.000000,0.266388 
4113.000000,0.081620 
1716.000000,0.226741 
4151.000000,0.165730 
9771.000000,0.481434 
9770.000000,0.934834 
9751.000000,0.537222 
506.000000,0.298063 
6967.000000,0.331878 
470.000000,0.324119 
5485.000000,0.224604 
5469.000000,0.110236 
5610.000000,0.143669 
6967.000000,1.296782 
6846.000000,1.287835 
5499.000000,0.154072 
9834.000000,1.651650 
9854.000000,1.658367 
9892.000000,2.099864 
9834.000000,1.327392 
4259.000000,0.191955 
343.000000,0.158286 
4493.000000,0.326417 
4336.000000,0.187627 
4332.000000,0.191955 
4359.000000,0.216726 
4308.000000,0.176085 
4281.000000,0.165433 
4375.000000,0.228917 
4668.000000,0.206530 
4426.000000,0.134463 
4511.000000,0.221269 
769.000000,0.330208 
5201.000000,0.127394 
5255.000000,0.034436 
773.000000,0.380384 
5260.000000,0.186464 
5287.000000,0.227611 
5293.000000,0.221743 
5262.000000,0.160236 
9038.000000,0.163321 
9060.000000,0.185243 
9799.000000,1.607247 
6002.000000,0.253240 
5905.000000,0.239203 
8994.000000,0.167867 
9812.000000,0.170681 
9812.000000,0.609940 
9779.000000,0.151575 
5127.000000,0.499909 
5000.000000,0.222037 
5146.000000,0.491356 
5070.000000,0.152551 
7945.000000,0.343633 
7947.000000,0.310224 
7925.000000,0.317943 
3767.000000,0.289123 
3757.000000,0.352020 
3761.000000,0.313960 
4278.000000,0.379762 
4302.000000,0.208620 
5146.000000,0.883840 
3603.000000,0.214935 
3595.000000,0.198359 
2895.000000,0.166823 
2939.000000,0.243242 
2695.000000,0.248016 
2680.000000,0.182547 
2634.000000,0.252049 
195.000000,0.519948 
2303.000000,0.215833 
9779.000000,0.604872 
9807.000000,0.594921 
9809.000000,1.564692 
9809.000000,1.566546 
9788.000000,1.564615 
9788.000000,1.169845 
9809.000000,1.169948 
9812.000000,0.924456 
9761.000000,0.611844 
9761.000000,0.991097 
6152.000000,0.209330 
8375.000000,0.227378 
6152.000000,0.269911 
9798.000000,1.634280 
9816.000000,1.164540 
6716.000000,1.057514 
3745.000000,1.034165 
3745.000000,1.049411 
