point, dist
8725.000000,0.146779 
8689.000000,0.138146 
8687.000000,0.128926 
598.000000,0.245973 
750.000000,0.270345 
625.000000,0.242811 
8158.000000,0.084802 
8776.000000,0.135336 
8785.000000,0.131310 
8161.000000,0.085875 
8595.000000,0.122967 
8157.000000,0.098157 
705.000000,0.272711 
589.000000,0.253675 
708.000000,0.307711 
1757.000000,0.256784 
3564.000000,0.057268 
1335.000000,0.261773 
3622.000000,0.078742 
8777.000000,0.127733 
8753.000000,0.158960 
8646.000000,0.141573 
8592.000000,0.124989 
8581.000000,0.150960 
5735.000000,0.098461 
5755.000000,0.095579 
97.000000,0.407628 
5734.000000,0.127886 
4288.000000,0.077035 
4254.000000,0.136470 
4266.000000,0.133515 
4209.000000,0.123681 
108.000000,0.408087 
5750.000000,0.117026 
108.000000,0.092458 
102.000000,0.079600 
97.000000,0.077903 
4599.000000,0.165197 
4224.000000,0.117745 
726.000000,0.246219 
317.000000,0.248342 
448.000000,0.257683 
8778.000000,0.142491 
9864.000000,0.068287 
671.000000,0.308958 
8172.000000,0.083615 
8621.000000,0.141185 
8609.000000,0.151788 
139.000000,0.253994 
231.000000,0.249861 
4544.000000,0.147963 
4597.000000,0.124381 
491.000000,0.261183 
4548.000000,0.146558 
4204.000000,0.098187 
4313.000000,0.091997 
292.000000,0.270655 
266.000000,0.284773 
3399.000000,0.104396 
3325.000000,0.093249 
5791.000000,0.132561 
6020.000000,0.118611 
6002.000000,0.111103 
5851.000000,0.145596 
5960.000000,0.131150 
5807.000000,0.144421 
870.000000,0.263242 
4013.000000,0.123979 
3748.000000,0.132433 
8686.000000,0.147089 
9868.000000,0.086345 
8628.000000,0.139909 
8594.000000,0.150306 
5781.000000,0.185315 
6086.000000,0.143424 
6134.000000,0.118576 
5763.000000,0.180272 
5941.000000,0.096314 
5948.000000,0.080510 
5993.000000,0.139842 
5849.000000,0.145734 
4419.000000,0.106231 
4459.000000,0.084722 
4423.000000,0.122593 
2743.000000,0.083582 
6011.000000,0.159921 
4693.000000,0.292191 
3188.000000,0.048542 
9801.000000,0.195135 
9580.000000,0.023168 
9814.000000,0.092866 
9785.000000,0.175564 
8381.000000,0.099585 
8390.000000,0.119161 
8000.000000,0.143850 
7855.000000,0.158731 
7861.000000,0.149558 
8382.000000,0.116630 
8377.000000,0.113542 
8397.000000,0.140597 
8399.000000,0.141835 
8772.000000,0.124061 
8697.000000,0.153343 
7318.000000,0.069928 
3313.000000,0.098123 
8597.000000,0.133885 
8515.000000,0.158999 
8622.000000,0.136313 
8539.000000,0.149170 
8578.000000,0.139673 
8181.000000,0.081383 
8142.000000,0.093331 
4598.000000,0.143066 
4268.000000,0.087137 
4316.000000,0.073388 
4267.000000,0.138509 
4102.000000,0.050451 
4066.000000,0.039385 
5706.000000,0.278983 
5396.000000,0.279700 
695.000000,0.257227 
5481.000000,0.278308 
5634.000000,0.274827 
5326.000000,0.273164 
246.000000,0.272100 
744.000000,0.247754 
313.000000,0.265182 
696.000000,0.245136 
5372.000000,0.273639 
580.000000,0.246425 
556.000000,0.257870 
7999.000000,0.142854 
8012.000000,0.159263 
8249.000000,0.074115 
585.000000,0.309102 
3272.000000,0.139861 
8137.000000,0.057246 
3582.000000,0.049973 
3529.000000,0.069423 
4273.000000,0.078581 
4608.000000,0.137130 
5798.000000,0.150150 
5965.000000,0.117816 
889.000000,0.304131 
4008.000000,0.126442 
3762.000000,0.106633 
3520.000000,0.073000 
3639.000000,0.092942 
3484.000000,0.070187 
3322.000000,0.095383 
3438.000000,0.091694 
433.000000,0.249224 
3448.000000,0.090112 
442.000000,0.253157 
9737.000000,0.110302 
9685.000000,0.133223 
9583.000000,0.074852 
9600.000000,0.110011 
9893.000000,0.069122 
9333.000000,0.141867 
9361.000000,0.160062 
9858.000000,0.061514 
9846.000000,0.102437 
5287.000000,0.281491 
5904.000000,0.141392 
4755.000000,0.272623 
4697.000000,0.268400 
5976.000000,0.125415 
5842.000000,0.144534 
4725.000000,0.276843 
5191.000000,0.272150 
5204.000000,0.272398 
6041.000000,0.133707 
5925.000000,0.083978 
3719.000000,0.157950 
8096.000000,0.048793 
8259.000000,0.179879 
8107.000000,0.123150 
8196.000000,0.062857 
9019.000000,0.391228 
9811.000000,0.657908 
9045.000000,0.393079 
9810.000000,0.720777 
8867.000000,0.399492 
8988.000000,0.214111 
8256.000000,0.669020 
9068.000000,0.441111 
9078.000000,0.313602 
8550.000000,0.142904 
8964.000000,0.193285 
8544.000000,0.146224 
8719.000000,0.135794 
8738.000000,0.122750 
8663.000000,0.139074 
8662.000000,0.158640 
7319.000000,0.091775 
8639.000000,0.148934 
8155.000000,0.063405 
48.000000,0.371195 
6305.000000,0.096980 
3199.000000,0.340808 
4454.000000,0.109828 
4427.000000,0.081150 
4052.000000,0.080012 
3991.000000,0.150729 
825.000000,0.284829 
4031.000000,0.190839 
4484.000000,0.041055 
4485.000000,0.075504 
4401.000000,0.097137 
4094.000000,0.026520 
4086.000000,0.073684 
4332.000000,0.069246 
4497.000000,0.097342 
4493.000000,0.058037 
8730.000000,0.174647 
3382.000000,0.084918 
5578.000000,0.278599 
5492.000000,0.284835 
5667.000000,0.275664 
5605.000000,0.277874 
423.000000,0.258746 
5440.000000,0.276940 
5017.000000,0.272034 
4941.000000,0.288522 
4844.000000,0.269916 
5137.000000,0.276717 
495.000000,0.246424 
5797.000000,0.140241 
4948.000000,0.271570 
5091.000000,0.268642 
8187.000000,0.074886 
3388.000000,0.149023 
380.000000,0.307257 
3330.000000,0.101563 
249.000000,0.305113 
8139.000000,0.061705 
142.000000,0.249772 
3565.000000,0.087049 
3473.000000,0.072431 
3685.000000,0.080925 
3855.000000,0.063078 
841.000000,0.297025 
770.000000,0.256852 
842.000000,0.253696 
5644.000000,0.282905 
871.000000,0.248829 
3190.000000,0.076971 
3678.000000,0.073140 
3713.000000,0.073180 
791.000000,0.250860 
5699.000000,0.270066 
775.000000,0.243358 
859.000000,0.253436 
885.000000,0.245276 
5563.000000,0.281302 
798.000000,0.248228 
3681.000000,0.108972 
4029.000000,0.132330 
3810.000000,0.082251 
3541.000000,0.087702 
3770.000000,0.093805 
1727.000000,0.271622 
3464.000000,0.043355 
341.000000,0.262481 
488.000000,0.248882 
3341.000000,0.104648 
260.000000,0.248604 
257.000000,0.251323 
9638.000000,0.123708 
9669.000000,0.119859 
9521.000000,0.156236 
9474.000000,0.153995 
9940.000000,0.092411 
9504.000000,0.161776 
9862.000000,0.080459 
9463.000000,0.162180 
9884.000000,0.081913 
9888.000000,0.086009 
9466.000000,0.167207 
9663.000000,0.119543 
9642.000000,0.137340 
5619.000000,0.269025 
5197.000000,0.291037 
5213.000000,0.277482 
5209.000000,0.269880 
4367.000000,0.103636 
3097.000000,0.051484 
4471.000000,0.104996 
5305.000000,0.268939 
5281.000000,0.268607 
5239.000000,0.278085 
5242.000000,0.272140 
3686.000000,0.139278 
6965.000000,0.290960 
6923.000000,0.098460 
6692.000000,0.319437 
6682.000000,0.268552 
6959.000000,0.086549 
7949.000000,0.165153 
8465.000000,0.131959 
8448.000000,0.103450 
8458.000000,0.118692 
7935.000000,0.140079 
7957.000000,0.143519 
8236.000000,0.060693 
7781.000000,0.145837 
8334.000000,0.105492 
8457.000000,0.081431 
8230.000000,0.107194 
9190.000000,0.121579 
7778.000000,0.147691 
7798.000000,0.151004 
8223.000000,0.069893 
9802.000000,0.622991 
8945.000000,0.278187 
9899.000000,0.071701 
4068.000000,0.037024 
4122.000000,0.028077 
8082.000000,0.177087 
8086.000000,0.063868 
8313.000000,0.106803 
8340.000000,0.073296 
8454.000000,0.072463 
8452.000000,0.119990 
8360.000000,0.110456 
8846.000000,0.107100 
8603.000000,0.149269 
8343.000000,0.069117 
6678.000000,0.100159 
8721.000000,0.156297 
9912.000000,0.075738 
7340.000000,0.065949 
7262.000000,0.055896 
7179.000000,0.049310 
7080.000000,0.298200 
9838.000000,0.655196 
7655.000000,0.276274 
7432.000000,0.610410 
7024.000000,0.387916 
6795.000000,0.547758 
6848.000000,0.668104 
9639.000000,0.134512 
7707.000000,0.380424 
7444.000000,0.316175 
1127.000000,0.157997 
1099.000000,0.164578 
7284.000000,0.320126 
7414.000000,0.071707 
7699.000000,0.134737 
7678.000000,0.057547 
471.000000,0.254813 
7690.000000,0.091356 
7487.000000,0.103672 
7723.000000,0.089989 
7735.000000,0.187332 
4134.000000,0.074961 
4133.000000,0.086770 
4058.000000,0.106075 
795.000000,0.272153 
4017.000000,0.129806 
3117.000000,0.056519 
4242.000000,0.108819 
4187.000000,0.082707 
4080.000000,0.080957 
4428.000000,0.074729 
4131.000000,0.052908 
3128.000000,0.053856 
5636.000000,0.275743 
5529.000000,0.275227 
4698.000000,0.267994 
5419.000000,0.269084 
5451.000000,0.268236 
5405.000000,0.268524 
5617.000000,0.269219 
5148.000000,0.271831 
4774.000000,0.276285 
5088.000000,0.275351 
4838.000000,0.292560 
4903.000000,0.277504 
5005.000000,0.276989 
4849.000000,0.277621 
4970.000000,0.268418 
560.000000,0.251985 
5066.000000,0.279141 
581.000000,0.250566 
8136.000000,0.087117 
7829.000000,0.182572 
157.000000,0.248382 
4584.000000,0.136895 
3820.000000,0.063394 
3701.000000,0.097002 
3870.000000,0.101144 
3769.000000,0.095030 
3829.000000,0.146134 
3909.000000,0.112784 
3871.000000,0.136432 
2823.000000,0.055167 
6532.000000,0.119881 
3955.000000,0.103413 
3140.000000,0.071218 
1282.000000,0.258321 
3062.000000,0.062380 
3041.000000,0.039384 
5713.000000,0.280972 
5581.000000,0.268088 
5710.000000,0.269706 
5368.000000,0.279121 
5931.000000,0.081089 
3993.000000,0.150780 
784.000000,0.248273 
867.000000,0.242852 
3969.000000,0.141268 
5517.000000,0.286335 
3772.000000,0.108143 
3801.000000,0.098164 
4546.000000,0.128647 
9518.000000,0.204765 
347.000000,0.244118 
5124.000000,0.274854 
9452.000000,0.161449 
9867.000000,0.060157 
3222.000000,0.105516 
9635.000000,0.124647 
9329.000000,0.164083 
9562.000000,0.196718 
7422.000000,0.570565 
9836.000000,0.651168 
7431.000000,0.582553 
5083.000000,0.274463 
1339.000000,0.266008 
2596.000000,0.248815 
773.000000,0.257965 
3182.000000,0.097248 
6970.000000,0.069540 
6964.000000,0.091027 
8444.000000,0.101739 
7809.000000,0.146079 
8388.000000,0.137227 
7785.000000,0.157393 
8423.000000,0.127961 
8200.000000,0.072096 
9182.000000,0.220668 
7322.000000,0.060832 
7077.000000,0.269677 
7253.000000,0.069786 
9754.000000,0.041836 
7656.000000,0.262193 
9839.000000,0.172776 
9004.000000,0.403098 
8843.000000,0.084544 
9019.000000,0.156756 
9054.000000,0.388522 
9054.000000,0.116089 
9801.000000,0.660043 
1963.000000,0.254794 
1605.000000,0.249969 
1531.000000,0.255285 
1722.000000,0.264678 
3548.000000,0.045304 
3657.000000,0.071746 
3921.000000,0.079444 
3502.000000,0.105518 
8273.000000,0.649718 
8259.000000,0.660076 
8839.000000,0.038627 
9218.000000,0.207347 
9182.000000,0.132797 
8860.000000,0.109443 
8111.000000,0.108251 
8362.000000,0.113498 
8115.000000,0.249265 
9047.000000,0.387109 
7365.000000,0.069922 
9037.000000,0.388193 
9047.000000,0.140585 
9045.000000,0.156276 
7659.000000,0.081298 
7495.000000,0.403959 
4043.000000,0.107737 
4121.000000,0.066426 
9674.000000,0.141076 
7699.000000,0.564662 
4603.000000,0.141441 
453.000000,0.243106 
4138.000000,0.119338 
4457.000000,0.076457 
4206.000000,0.121097 
4588.000000,0.122474 
2431.000000,0.251268 
2008.000000,0.250191 
2001.000000,0.261308 
3116.000000,0.116980 
2965.000000,0.077844 
3074.000000,0.058860 
4827.000000,0.277678 
5041.000000,0.273832 
5053.000000,0.274856 
4717.000000,0.270050 
2974.000000,0.032681 
411.000000,0.250570 
277.000000,0.251355 
5638.000000,0.269540 
4852.000000,0.269516 
545.000000,0.261708 
5003.000000,0.291071 
1977.000000,0.264130 
1793.000000,0.255006 
2210.000000,0.261456 
2705.000000,0.248477 
5093.000000,0.274269 
3821.000000,0.142154 
2816.000000,0.064710 
3916.000000,0.128052 
5697.000000,0.271558 
5350.000000,0.273406 
4932.000000,0.279918 
923.000000,0.256988 
3985.000000,0.111374 
5322.000000,0.273439 
3740.000000,0.110096 
3864.000000,0.113294 
5497.000000,0.278394 
566.000000,0.250047 
129.000000,0.261633 
175.000000,0.254510 
133.000000,0.253999 
541.000000,0.243035 
7432.000000,0.215391 
9850.000000,0.086324 
9885.000000,0.063878 
9281.000000,0.154885 
9811.000000,0.172315 
7641.000000,0.262425 
5312.000000,0.270467 
4922.000000,0.273968 
5250.000000,0.271303 
1897.000000,0.278538 
1791.000000,0.252174 
3107.000000,0.060438 
6718.000000,0.193972 
6711.000000,0.142234 
6793.000000,0.553311 
1095.000000,0.196315 
6879.000000,0.044142 
1150.000000,0.193280 
1062.000000,0.188179 
6915.000000,0.246731 
8276.000000,0.164540 
6691.000000,0.253445 
6686.000000,0.302096 
6667.000000,0.112260 
7883.000000,0.145388 
8378.000000,0.103955 
7946.000000,0.149270 
7922.000000,0.149088 
8224.000000,0.087222 
8217.000000,0.051258 
7631.000000,0.098466 
7622.000000,0.081397 
9707.000000,0.100501 
7642.000000,0.094649 
7647.000000,0.101844 
9900.000000,0.067329 
9728.000000,0.132645 
9727.000000,0.146082 
9733.000000,0.122828 
9785.000000,0.645895 
2511.000000,0.246020 
2033.000000,0.248989 
1960.000000,0.253966 
1944.000000,0.254623 
2571.000000,0.255150 
4070.000000,0.105045 
2359.000000,0.245954 
2372.000000,0.246815 
1334.000000,0.259834 
1310.000000,0.255779 
1938.000000,0.251939 
1594.000000,0.251676 
1820.000000,0.247531 
3571.000000,0.087031 
2709.000000,0.258002 
9076.000000,0.108877 
9076.000000,0.386429 
8360.000000,0.372404 
7081.000000,0.343553 
7184.000000,0.054564 
7032.000000,0.398838 
7233.000000,0.064907 
1135.000000,0.141702 
7287.000000,0.360098 
7457.000000,0.078621 
7631.000000,0.265009 
7616.000000,0.021884 
7678.000000,0.244424 
7489.000000,0.078065 
9784.000000,0.081708 
7439.000000,0.260400 
9749.000000,0.112037 
7658.000000,0.258185 
7459.000000,0.299835 
9697.000000,0.148171 
9670.000000,0.132036 
9248.000000,0.141555 
1072.000000,0.108133 
7170.000000,0.094238 
7414.000000,0.525151 
7735.000000,0.667432 
