point, dist
9980.000000,0.058149 
9041.000000,0.412464 
9972.000000,0.072880 
9976.000000,0.084176 
4530.000000,0.210073 
4428.000000,0.209509 
4592.000000,0.129948 
4582.000000,0.118351 
9518.000000,0.103418 
9516.000000,0.143480 
9480.000000,0.090092 
9503.000000,0.121932 
7778.000000,0.212247 
9987.000000,0.196202 
9989.000000,0.206528 
88.000000,0.356988 
4391.000000,0.047440 
4386.000000,0.417499 
4375.000000,0.109199 
4502.000000,0.218411 
3442.000000,0.296294 
4485.000000,0.251936 
4569.000000,0.051538 
78.000000,0.072861 
5013.000000,0.045864 
4414.000000,0.022521 
4398.000000,0.115523 
1205.000000,0.246026 
984.000000,0.243469 
2089.000000,0.090156 
2194.000000,0.069054 
4703.000000,0.134521 
4472.000000,0.247103 
2137.000000,0.073504 
2131.000000,0.082375 
4478.000000,0.205081 
4684.000000,0.114806 
4476.000000,0.202877 
4636.000000,0.162199 
4696.000000,0.130048 
9982.000000,0.699034 
9056.000000,0.341970 
9982.000000,0.704917 
9775.000000,0.671192 
9274.000000,0.139461 
8477.000000,0.699027 
8223.000000,0.211105 
8263.000000,0.202798 
9540.000000,0.032958 
9775.000000,0.163507 
9835.000000,0.214008 
8975.000000,0.687345 
8973.000000,0.247972 
8975.000000,0.230206 
990.000000,0.260304 
1668.000000,0.233865 
871.000000,0.217352 
9008.000000,0.380861 
4650.000000,0.119010 
4382.000000,0.135481 
4386.000000,0.174624 
4588.000000,0.161594 
4464.000000,0.226075 
4692.000000,0.118755 
4435.000000,0.211917 
3387.000000,0.292125 
85.000000,0.082658 
3531.000000,0.283096 
9981.000000,0.223062 
3174.000000,0.072742 
2224.000000,0.317149 
2181.000000,0.114912 
2167.000000,0.120751 
2207.000000,0.091936 
8520.000000,0.156757 
8485.000000,0.150078 
5510.000000,0.184933 
8528.000000,0.662543 
9787.000000,0.661828 
8493.000000,0.663874 
9255.000000,0.351076 
9270.000000,0.348715 
9255.000000,0.163056 
6583.000000,0.153401 
9319.000000,0.141377 
9342.000000,0.354724 
9967.000000,0.400160 
5452.000000,0.168789 
8536.000000,0.664132 
8585.000000,0.156364 
8536.000000,0.152347 
8585.000000,0.665066 
9561.000000,0.096170 
7610.000000,0.161218 
7563.000000,0.151878 
9835.000000,0.675101 
8995.000000,0.347796 
8980.000000,0.207311 
6139.000000,0.235852 
8964.000000,0.060933 
8817.000000,0.116337 
9493.000000,0.369723 
9506.000000,0.350003 
9481.000000,0.342372 
9493.000000,0.063801 
7856.000000,0.175972 
9568.000000,0.379992 
9585.000000,0.124216 
9813.000000,0.177075 
9556.000000,0.099314 
9491.000000,0.114476 
1643.000000,0.221596 
1388.000000,0.214023 
1378.000000,0.210706 
1671.000000,0.207468 
9504.000000,0.115465 
2443.000000,0.079087 
325.000000,0.275186 
5025.000000,0.126372 
343.000000,0.265068 
336.000000,0.276015 
2418.000000,0.084100 
8936.000000,0.464940 
8954.000000,0.466260 
8769.000000,0.465401 
8730.000000,0.465405 
5345.000000,0.093460 
6284.000000,0.190281 
5334.000000,0.116678 
9642.000000,0.063931 
9600.000000,0.074753 
9642.000000,0.342305 
9652.000000,0.112479 
9726.000000,0.168633 
1923.000000,0.088846 
5203.000000,0.103561 
2849.000000,0.158686 
2266.000000,0.091429 
2867.000000,0.201197 
2268.000000,0.079157 
2701.000000,0.179537 
2808.000000,0.130361 
8995.000000,0.154323 
9306.000000,0.406815 
8483.000000,0.147089 
8588.000000,0.151786 
373.000000,0.253360 
1883.000000,0.210543 
