point, dist
6941.000000,0.144512 
6951.000000,0.188766 
6939.000000,0.097938 
6927.000000,0.104927 
6918.000000,0.140840 
1687.000000,0.252230 
4832.000000,0.172580 
2995.000000,0.100289 
3102.000000,0.112994 
113.000000,0.219458 
186.000000,0.128929 
2216.000000,0.331851 
89.000000,0.146435 
2533.000000,0.362514 
5044.000000,0.175833 
4806.000000,0.131729 
5173.000000,0.187797 
4084.000000,0.095186 
7777.000000,0.199038 
8262.000000,0.119039 
8242.000000,0.114184 
9966.000000,0.109123 
9966.000000,0.540601 
9393.000000,0.058683 
9395.000000,0.129074 
5155.000000,0.112701 
7191.000000,0.187435 
5124.000000,0.279841 
2933.000000,0.124081 
7006.000000,0.109390 
7021.000000,0.108042 
7064.000000,0.076165 
7033.000000,0.097635 
1895.000000,0.258971 
1793.000000,0.270454 
1483.000000,0.249822 
1904.000000,0.268313 
6935.000000,0.301011 
4146.000000,0.309142 
4146.000000,0.090520 
1067.000000,0.267872 
8420.000000,0.151638 
8417.000000,0.198882 
7658.000000,0.093658 
7655.000000,0.092951 
2779.000000,0.069519 
7390.000000,0.162927 
7305.000000,0.184834 
7347.000000,0.123279 
4362.000000,0.140574 
4365.000000,0.102492 
1767.000000,0.281458 
8173.000000,0.242061 
8228.000000,0.609838 
7799.000000,0.232915 
8191.000000,0.602671 
8217.000000,0.748383 
8265.000000,1.088978 
8152.000000,0.636884 
8139.000000,0.303324 
8221.000000,0.648328 
3759.000000,0.089462 
3812.000000,0.096151 
3603.000000,0.113678 
736.000000,0.348005 
8166.000000,1.316113 
8189.000000,1.319379 
8166.000000,1.673912 
8162.000000,1.715046 
1801.000000,0.278853 
1531.000000,0.262868 
3547.000000,0.164457 
3992.000000,0.083662 
366.000000,0.294221 
4068.000000,0.123688 
444.000000,0.291952 
8234.000000,0.220915 
8190.000000,0.223025 
960.000000,0.287466 
1193.000000,0.273033 
975.000000,0.260566 
2130.000000,0.259719 
175.000000,0.137364 
177.000000,0.143579 
242.000000,0.160181 
2084.000000,0.272381 
1063.000000,0.262435 
2118.000000,0.252620 
9967.000000,0.436457 
9962.000000,0.113591 
9971.000000,0.557301 
9970.000000,1.007666 
9549.000000,0.905225 
1094.000000,0.258289 
1311.000000,0.247629 
1214.000000,0.251305 
1125.000000,0.305736 
54.000000,0.121407 
153.000000,0.168185 
9970.000000,0.036176 
9971.000000,0.169467 
9675.000000,0.205730 
8914.000000,0.244672 
3858.000000,0.068108 
836.000000,0.309431 
3869.000000,0.082285 
795.000000,0.322171 
2275.000000,0.301727 
4340.000000,0.098912 
2500.000000,0.301488 
5310.000000,0.315239 
2978.000000,0.095531 
3003.000000,0.100750 
3019.000000,0.103016 
5102.000000,0.215099 
6960.000000,0.151066 
7013.000000,0.134672 
6954.000000,0.301949 
3143.000000,0.155799 
2915.000000,0.088070 
3036.000000,0.185921 
8407.000000,0.110690 
7703.000000,0.075602 
7740.000000,0.061211 
8252.000000,0.189920 
7752.000000,0.063657 
7657.000000,0.111007 
8306.000000,0.473855 
8135.000000,0.144859 
8426.000000,0.066256 
8330.000000,0.097272 
7692.000000,0.150696 
8352.000000,0.102207 
