point, dist
8048.000000,0.227791 
8111.000000,0.193009 
8057.000000,0.214790 
9011.000000,0.165913 
8996.000000,0.163304 
9027.000000,0.100935 
8927.000000,0.144049 
8895.000000,0.180382 
9210.000000,0.219726 
8922.000000,0.114253 
8316.000000,0.222608 
8167.000000,0.111003 
8163.000000,0.134659 
8072.000000,0.212547 
8140.000000,0.161551 
8418.000000,0.113217 
8051.000000,0.200471 
6601.000000,0.272983 
6594.000000,0.218487 
6779.000000,0.161632 
6498.000000,0.246052 
6611.000000,0.070247 
6584.000000,0.064307 
1930.000000,0.287944 
593.000000,0.055931 
2341.000000,0.244214 
755.000000,0.163950 
6786.000000,0.165501 
6689.000000,0.218283 
8095.000000,0.195063 
8437.000000,0.193021 
8043.000000,0.201344 
8080.000000,0.242400 
8216.000000,0.212229 
8427.000000,0.089299 
8326.000000,0.216110 
8146.000000,0.071863 
8857.000000,0.194020 
8858.000000,0.222593 
8866.000000,0.202352 
9228.000000,0.196239 
8125.000000,0.033074 
8942.000000,0.072207 
8978.000000,0.053600 
8964.000000,0.144152 
9227.000000,0.221916 
8899.000000,0.191989 
8516.000000,0.199084 
8730.000000,0.166702 
8743.000000,0.152463 
8500.000000,0.209185 
8867.000000,0.196950 
9020.000000,0.125336 
9090.000000,0.141298 
9088.000000,0.086396 
8450.000000,0.195517 
8554.000000,0.087147 
8466.000000,0.214581 
8915.000000,0.080033 
6394.000000,0.108319 
6374.000000,0.184416 
6363.000000,0.193093 
6630.000000,0.194722 
6388.000000,0.047381 
6604.000000,0.123960 
6600.000000,0.176347 
8123.000000,0.112372 
8166.000000,0.134002 
8217.000000,0.160956 
8226.000000,0.191841 
6618.000000,0.188859 
9388.000000,0.031503 
9551.000000,0.142864 
9373.000000,0.076757 
9254.000000,0.240307 
9544.000000,0.163149 
1933.000000,0.279627 
9859.000000,0.153035 
9865.000000,0.164189 
9768.000000,0.123133 
6866.000000,0.188134 
8574.000000,0.047987 
8493.000000,0.194802 
8822.000000,0.244906 
8545.000000,0.015450 
8473.000000,0.203519 
8329.000000,0.216082 
9006.000000,0.219819 
8984.000000,0.075888 
8980.000000,0.130932 
9012.000000,0.042712 
9021.000000,0.130914 
8832.000000,0.214558 
8888.000000,0.218319 
8840.000000,0.169074 
8896.000000,0.213654 
4547.000000,0.171122 
4600.000000,0.110657 
4586.000000,0.137257 
3691.000000,0.026490 
9122.000000,0.081601 
8989.000000,0.082868 
8224.000000,0.092751 
8391.000000,0.131396 
8223.000000,0.093214 
9276.000000,0.250072 
9269.000000,0.238320 
9560.000000,0.142231 
8180.000000,0.066417 
8189.000000,0.102935 
8096.000000,0.186921 
6398.000000,0.207865 
6693.000000,0.214194 
6448.000000,0.283972 
6637.000000,0.208589 
6603.000000,0.189000 
6821.000000,0.176792 
6585.000000,0.300835 
4955.000000,0.318073 
5116.000000,0.370296 
8527.000000,0.073129 
8449.000000,0.227153 
8556.000000,0.066848 
9758.000000,0.077710 
9767.000000,0.064955 
8668.000000,0.190944 
8771.000000,0.205436 
8653.000000,0.170863 
1089.000000,0.262451 
883.000000,0.250198 
855.000000,0.252871 
1073.000000,0.254673 
1117.000000,0.235149 
1024.000000,0.249641 
1190.000000,0.249103 
1143.000000,0.245303 
1369.000000,0.268624 
1688.000000,0.307022 
2837.000000,0.100636 
1505.000000,0.287115 
991.000000,0.249231 
1191.000000,0.246918 
845.000000,0.239775 
5334.000000,0.289989 
5319.000000,0.290181 
5351.000000,0.283314 
8959.000000,0.106014 
8930.000000,0.084155 
6812.000000,0.177430 
6491.000000,0.244047 
6520.000000,0.219138 
6666.000000,0.232542 
6507.000000,0.266218 
8108.000000,0.211860 
8178.000000,0.043707 
8179.000000,0.105616 
8170.000000,0.155668 
8330.000000,0.189789 
8142.000000,0.094451 
8056.000000,0.223789 
8132.000000,0.102938 
8906.000000,0.205101 
8862.000000,0.189319 
8903.000000,0.231504 
8907.000000,0.209908 
8956.000000,0.047865 
8848.000000,0.209808 
8928.000000,0.060514 
8924.000000,0.113784 
9188.000000,0.181055 
9072.000000,0.250319 
14.000000,0.603766 
1238.000000,0.249901 
7064.000000,0.190213 
1374.000000,0.240431 
1244.000000,0.233738 
1841.000000,0.257847 
1267.000000,0.249018 
1947.000000,0.234477 
1963.000000,0.247636 
7058.000000,0.170854 
1825.000000,0.237473 
1497.000000,0.261162 
1792.000000,0.287604 
8819.000000,0.211362 
8853.000000,0.204726 
8880.000000,0.213582 
8490.000000,0.184792 
8475.000000,0.221778 
8471.000000,0.217156 
8481.000000,0.199770 
1419.000000,0.290627 
1580.000000,0.259830 
2716.000000,0.136108 
1051.000000,0.258793 
9755.000000,0.135976 
9853.000000,0.151623 
9763.000000,0.107031 
8510.000000,0.207327 
8470.000000,0.210726 
8972.000000,0.128622 
5006.000000,0.278685 
6404.000000,0.234648 
6442.000000,0.241329 
6413.000000,0.206000 
6572.000000,0.192731 
6519.000000,0.248511 
6646.000000,0.192076 
8568.000000,0.048551 
8591.000000,0.090102 
9545.000000,0.171618 
9334.000000,0.090278 
9352.000000,0.100038 
9824.000000,0.133981 
9684.000000,0.191686 
9843.000000,0.147282 
8539.000000,0.066416 
2811.000000,0.247955 
6422.000000,0.238289 
6376.000000,0.065926 
6635.000000,0.187697 
3492.000000,0.382055 
3541.000000,0.064605 
2825.000000,0.256958 
2906.000000,0.227587 
2835.000000,0.277768 
8772.000000,0.207660 
8772.000000,0.359709 
8653.000000,0.359092 
8664.000000,0.140642 
8540.000000,0.027284 
9528.000000,0.120002 
