point, dist
5240.000000,0.106419 
8151.000000,0.190564 
5218.000000,0.224575 
4585.000000,0.146855 
8279.000000,0.279184 
4573.000000,0.204882 
4591.000000,0.218499 
8276.000000,0.259701 
8289.000000,0.279100 
3956.000000,0.313847 
3958.000000,0.314576 
4029.000000,0.233442 
4024.000000,0.231618 
5236.000000,0.238807 
5189.000000,0.108822 
4107.000000,0.333707 
5293.000000,0.186526 
4059.000000,0.278486 
5326.000000,0.264144 
5210.000000,0.158863 
8286.000000,0.200696 
8286.000000,0.334892 
8276.000000,0.372755 
7643.000000,0.224775 
3405.000000,0.130641 
2496.000000,0.225282 
3450.000000,0.125008 
7994.000000,0.218742 
7674.000000,0.367535 
2605.000000,0.313459 
2538.000000,0.235977 
7995.000000,0.175133 
2701.000000,0.248599 
7587.000000,0.192156 
7370.000000,0.174347 
3442.000000,0.154657 
3971.000000,0.286059 
5305.000000,0.111489 
4660.000000,0.194587 
5288.000000,0.234848 
3972.000000,0.233190 
3923.000000,0.308133 
4079.000000,0.283404 
4013.000000,0.303283 
5277.000000,0.245737 
5321.000000,0.147501 
5203.000000,0.140306 
4614.000000,0.166729 
1770.000000,0.335808 
1699.000000,0.298922 
4660.000000,0.254702 
1162.000000,0.289270 
1303.000000,0.245504 
1212.000000,0.238994 
1323.000000,0.296044 
3241.000000,0.123180 
3294.000000,0.120158 
3335.000000,0.092500 
3285.000000,0.120271 
3234.000000,0.184202 
1352.000000,0.294077 
3468.000000,0.103631 
2743.000000,0.302730 
2901.000000,0.171453 
2720.000000,0.092914 
3957.000000,0.312450 
3967.000000,0.222485 
4063.000000,0.372703 
3936.000000,0.323871 
3940.000000,0.256524 
4100.000000,0.227846 
4004.000000,0.224162 
4058.000000,0.325785 
3916.000000,0.261938 
4129.000000,0.280859 
2094.000000,0.311116 
1269.000000,0.291406 
1647.000000,0.325798 
1263.000000,0.379552 
1346.000000,0.387281 
2815.000000,0.159199 
3845.000000,0.280748 
3099.000000,0.215555 
3099.000000,0.300235 
3831.000000,0.294834 
2736.000000,0.190938 
3868.000000,0.312256 
3670.000000,0.254088 
1146.000000,0.240413 
1181.000000,0.238846 
1267.000000,0.319000 
1188.000000,0.285594 
5298.000000,0.214610 
5186.000000,0.112817 
5206.000000,0.104355 
4001.000000,0.283630 
4584.000000,0.237288 
4586.000000,0.122560 
4575.000000,0.106138 
4563.000000,0.229397 
4560.000000,0.207788 
4576.000000,0.161526 
8289.000000,0.831548 
8289.000000,1.305421 
8286.000000,0.808843 
8257.000000,0.190268 
8284.000000,0.379549 
8261.000000,0.263307 
8258.000000,0.333936 
4075.000000,0.341084 
9287.000000,1.130729 
9272.000000,1.133433 
8276.000000,0.369564 
7661.000000,0.343260 
2471.000000,0.248488 
8276.000000,0.825240 
2029.000000,0.363012 
2232.000000,0.264453 
1553.000000,0.311369 
4078.000000,0.225270 
5238.000000,0.241462 
5169.000000,0.138015 
4026.000000,0.275790 
1657.000000,0.262581 
4526.000000,0.136018 
4718.000000,0.209333 
2429.000000,0.328041 
1304.000000,0.297197 
1202.000000,0.242428 
1199.000000,0.270446 
1247.000000,0.306154 
1225.000000,0.252606 
1318.000000,0.238001 
1175.000000,0.330264 
3251.000000,0.129664 
3349.000000,0.185293 
1183.000000,0.311692 
3177.000000,0.170930 
3669.000000,0.274970 
3888.000000,0.308023 
