point, dist
2589.000000,0.172711 
2548.000000,0.134606 
2624.000000,0.160260 
2595.000000,0.166677 
2652.000000,0.102401 
2685.000000,0.084438 
2674.000000,0.116461 
2570.000000,0.131511 
2613.000000,0.132217 
2627.000000,0.128647 
2957.000000,0.129074 
2850.000000,0.113136 
2843.000000,0.159080 
2932.000000,0.093810 
1369.000000,0.156013 
3335.000000,0.140905 
943.000000,0.219214 
1133.000000,0.199002 
2524.000000,0.121274 
2544.000000,0.102039 
3369.000000,0.136782 
1963.000000,0.127707 
3431.000000,0.124497 
4313.000000,0.251984 
4365.000000,0.207506 
4366.000000,0.238241 
4357.000000,0.238874 
7238.000000,0.087815 
7235.000000,0.183338 
7230.000000,0.102752 
2716.000000,0.128488 
2644.000000,0.135224 
2691.000000,0.203656 
2645.000000,0.133817 
2660.000000,0.091343 
2966.000000,0.111953 
2582.000000,0.143573 
2941.000000,0.139039 
3031.000000,0.125361 
2893.000000,0.130831 
2898.000000,0.184687 
3011.000000,0.135821 
2992.000000,0.098758 
2928.000000,0.124268 
3072.000000,0.116809 
2873.000000,0.146382 
2095.000000,0.106658 
2093.000000,0.111305 
2101.000000,0.098736 
2055.000000,0.120299 
743.000000,0.218150 
759.000000,0.240049 
1935.000000,0.115660 
2082.000000,0.107765 
2315.000000,0.083858 
1924.000000,0.191082 
1123.000000,0.198663 
1148.000000,0.144370 
8245.000000,0.600118 
1131.000000,0.210916 
9849.000000,0.120372 
2032.000000,0.160301 
2018.000000,0.125023 
3328.000000,0.131826 
2016.000000,0.152715 
9878.000000,0.163267 
1936.000000,0.105847 
2777.000000,0.107527 
2803.000000,0.122920 
2753.000000,0.116450 
2794.000000,0.138227 
2845.000000,0.159957 
2746.000000,0.110601 
9789.000000,0.153623 
2804.000000,0.153360 
2733.000000,0.081164 
3870.000000,0.439044 
3876.000000,0.090396 
3876.000000,0.435628 
3870.000000,0.102448 
8242.000000,0.212141 
8246.000000,0.358942 
8243.000000,0.330909 
8232.000000,0.101830 
2929.000000,0.176058 
2984.000000,0.133209 
2864.000000,0.107312 
3390.000000,0.434997 
1944.000000,0.092965 
3375.000000,0.456640 
3007.000000,0.127817 
3041.000000,0.137708 
2997.000000,0.118369 
6897.000000,0.054645 
832.000000,0.209956 
962.000000,0.185425 
754.000000,0.231193 
773.000000,0.219029 
2040.000000,0.094111 
2015.000000,0.185707 
2046.000000,0.161229 
5710.000000,0.287008 
6470.000000,0.197759 
6399.000000,0.075004 
6391.000000,0.100890 
6464.000000,0.210011 
2636.000000,0.135518 
5729.000000,0.275660 
2564.000000,0.114766 
2942.000000,0.078996 
2629.000000,0.101553 
5700.000000,0.268778 
5730.000000,0.283854 
6487.000000,0.245155 
5900.000000,0.283972 
4501.000000,0.214360 
6495.000000,0.221530 
2438.000000,0.123918 
2429.000000,0.153347 
2214.000000,0.147372 
2172.000000,0.116924 
2359.000000,0.158476 
2334.000000,0.167772 
4645.000000,0.222741 
2918.000000,0.115043 
3030.000000,0.137391 
2935.000000,0.160226 
874.000000,0.191375 
119.000000,0.204824 
209.000000,0.191482 
139.000000,0.192760 
4497.000000,0.184203 
5927.000000,0.292528 
6887.000000,0.051360 
6442.000000,0.103989 
6274.000000,0.293479 
5936.000000,0.276733 
