point, dist
7264.000000,0.139006 
7252.000000,0.310178 
7261.000000,0.146346 
1210.000000,0.123655 
9935.000000,0.070298 
9945.000000,0.216195 
8730.000000,0.099639 
3501.000000,0.050549 
3288.000000,0.086650 
3486.000000,0.067046 
3229.000000,0.047265 
3251.000000,0.069370 
7946.000000,0.016237 
7338.000000,0.037335 
7623.000000,0.086988 
7284.000000,0.074165 
8713.000000,0.102284 
8684.000000,0.084283 
7450.000000,0.050634 
7451.000000,0.076869 
7922.000000,0.048535 
7297.000000,0.117397 
7419.000000,0.061801 
7497.000000,0.028567 
7720.000000,0.075869 
7890.000000,0.098543 
7934.000000,0.062958 
1003.000000,0.137588 
6970.000000,0.141691 
6954.000000,0.153626 
1202.000000,0.121636 
1185.000000,0.124309 
1192.000000,0.152037 
514.000000,0.088302 
1196.000000,0.133402 
6755.000000,0.358877 
7938.000000,0.110043 
7843.000000,0.057154 
7625.000000,0.130228 
4617.000000,0.086239 
4976.000000,0.081258 
4962.000000,0.080081 
4938.000000,0.035531 
8965.000000,0.308104 
8915.000000,0.295920 
8962.000000,0.087166 
3222.000000,0.060674 
3421.000000,0.116962 
3231.000000,0.037084 
8925.000000,0.047836 
3553.000000,0.101613 
3557.000000,0.067899 
3503.000000,0.040301 
3404.000000,0.082711 
3283.000000,0.078964 
4811.000000,0.103623 
5173.000000,0.071404 
5155.000000,0.086260 
4827.000000,0.154882 
3183.000000,0.269195 
7662.000000,0.051691 
7749.000000,0.063852 
7628.000000,0.028477 
7470.000000,0.041915 
7736.000000,0.089227 
647.000000,0.135398 
582.000000,0.152283 
742.000000,0.155492 
9358.000000,0.192320 
9658.000000,0.121969 
9338.000000,0.166073 
9520.000000,0.204548 
9975.000000,0.218963 
9976.000000,0.175098 
3510.000000,0.102226 
8800.000000,0.281139 
9131.000000,0.063881 
8815.000000,0.287520 
4770.000000,0.290658 
4955.000000,0.072059 
3108.000000,0.259058 
3311.000000,0.056866 
3349.000000,0.110324 
4997.000000,0.025430 
3637.000000,0.064091 
3217.000000,0.048836 
4764.000000,0.319832 
9150.000000,0.092887 
9144.000000,0.056627 
106.000000,0.136179 
389.000000,0.159616 
108.000000,0.130316 
3274.000000,0.059169 
4883.000000,0.051324 
5898.000000,0.095674 
4910.000000,0.056893 
3848.000000,0.091400 
4482.000000,0.280921 
1286.000000,0.144816 
